model,feature_group,outcome,worst_case_strength,paired_mean_delta,paired_median_delta,positive_seed_count,raw_pvalue,holm_adjusted_pvalue,ci_low,ci_high,seed_min_delta,seed_max_delta,seed_deltas_json
LR,header,auc_drop,0.01,0.06592732991145836,0.07812356141145836,5,0.03125,1.0,0.03276500972083333,0.08635737043020836,0.0005477886041666473,0.08878361675000006,"[0.078123561411, 0.074133654172, 0.08878361675, 0.000547788604, 0.08804802862]"
LR,header,flip_rate,0.05,0.05565458333333334,0.04091041666666667,3,0.125,1.0,-0.0010930000000000009,0.125602375,-0.011866458333333335,0.18939145833333335,"[-0.01132125, -0.011866458333, 0.07115875, 0.189391458333, 0.040910416667]"
LR,imports,auc_drop,0.01,0.038283405689583334,0.033124727875000017,5,0.03125,1.0,0.03147072179479164,0.050078037969791676,0.03007350202604163,0.06108569565104168,"[0.033124727875, 0.034764487099, 0.030073502026, 0.061085695651, 0.032368615797]"
LR,imports,flip_rate,0.01,0.07941637500000001,0.06845583333333334,5,0.03125,1.0,0.06585966666666668,0.10265877083333334,0.06291635416666667,0.12546072916666667,"[0.068455833333, 0.062916354167, 0.0720934375, 0.125460729167, 0.068155520833]"
LightGBM,header,auc_drop,0.01,0.0032910671031249903,-0.0006703508333333391,2,0.25,1.0,-0.0009622843604166764,0.007610551898958327,-0.0011002882187500205,0.009913392463541663,"[-0.001100288219, -0.000670350833, -0.000970247266, 0.00928282937, 0.009913392464]"
LightGBM,header,flip_rate,0.01,0.003765979166666665,-0.010705312500000001,2,0.34375,1.0,-0.012767395833333334,0.020829458333333335,-0.01479104166666667,0.029910520833333332,"[-0.014791041667, -0.0107053125, -0.011774791667, 0.026190520833, 0.029910520833]"
LightGBM,imports,auc_drop,0.01,0.02574275946458336,0.022768748437500014,5,0.03125,1.0,0.021104135458333374,0.030381383470833346,0.020351874906250015,0.032338548755208356,"[0.032338548755, 0.021024089521, 0.022768748438, 0.020351874906, 0.032230535703]"
LightGBM,imports,flip_rate,0.01,0.09430470833333333,0.08824729166666667,5,0.03125,1.0,0.07200120833333333,0.11660820833333334,0.06276645833333333,0.12866604166666668,"[0.118730833333, 0.088247291667, 0.062766458333, 0.073112916667, 0.128666041667]"
RF,header,auc_drop,0.01,0.007050466791666684,0.010921181322916662,3,0.125,1.0,0.001711484018750009,0.01238944956458336,-0.0008101477656250008,0.012996282218750037,"[-0.000371732849, 0.012516751031, 0.010921181323, -0.000810147766, 0.012996282219]"
RF,header,flip_rate,0.01,0.01813254166666667,0.0191678125,5,0.03125,1.0,0.004334895833333333,0.033734125000000004,4.739583333333346e-05,0.048611562500000004,"[0.0012059375, 0.0191678125, 0.0486115625, 4.7395833e-05, 0.02163]"
RF,imports,auc_drop,0.01,0.004592645907291662,0.003861455640625025,4,0.0625,1.0,0.0013239267333333127,0.008000469661458324,-0.0013545686822917043,0.009773002864583314,"[0.007724191391, 0.009773002865, 0.003861455641, 0.002959148323, -0.001354568682]"
RF,imports,flip_rate,0.01,0.039618708333333336,0.02947177083333333,5,0.03125,1.0,0.024822270833333333,0.056579416666666674,0.021446145833333333,0.06786072916666668,"[0.05344125, 0.067860729167, 0.029471770833, 0.025873645833, 0.021446145833]"
MLP,all,auc_drop,0.01,0.11309982358333326,0.08040139499999983,5,0.03125,0.9375,0.05122646983333325,0.1942048059999999,0.024945974999999915,0.2700737466666666,"[0.127158499167, 0.024945975, 0.080401395, 0.270073746667, 0.062919502083]"
MLP,all,flip_rate,0.01,0.3478266666666666,0.34695,5,0.03125,0.9375,0.23642166666666667,0.43956999999999996,0.13306666666666667,0.47620833333333334,"[0.476208333333, 0.133066666667, 0.333666666667, 0.449241666667, 0.34695]"
MLP,header,auc_drop,0.01,0.008110148750000002,-0.011304384166666681,2,0.28125,0.9375,-0.011638795666666677,0.0295147648333333,-0.01172785375000003,0.04199542124999989,"[-0.011304384167, -0.01172785375, 0.03330450375, -0.011716943333, 0.04199542125]"
MLP,header,flip_rate,0.1,0.01156166666666667,-0.023699999999999943,1,0.5,0.9375,-0.1115216666666667,0.1900083333333333,-0.16657499999999997,0.35716666666666663,"[-0.166575, -0.0237, -0.011325, -0.097758333333, 0.357166666667]"
MLP,imports,auc_drop,0.01,0.01867137066666662,0.014958199583333368,5,0.03125,0.9375,0.013398971749999924,0.026469716999999986,0.012582789583333143,0.033266360416666675,"[0.012582789583, 0.01911396375, 0.014958199583, 0.033266360417, 0.01343554]"
MLP,imports,flip_rate,0.01,0.059693333333333334,0.056391666666666666,5,0.03125,0.9375,0.048655,0.07385166666666668,0.045566666666666665,0.08637500000000001,"[0.045566666667, 0.062258333333, 0.056391666667, 0.086375, 0.047875]"
MLP,section,auc_drop,0.01,0.13193634999999998,0.1135424075,5,0.03125,0.9375,0.0926673018333333,0.1738479993333333,0.08158111291666663,0.20524305666666676,"[0.165999235, 0.1135424075, 0.093315937917, 0.205243056667, 0.081581112917]"
MLP,section,flip_rate,0.01,0.17546166666666665,0.171275,5,0.03125,0.9375,0.12950833333333334,0.22404333333333332,0.10733333333333335,0.2607583333333333,"[0.260758333333, 0.107333333333, 0.171275, 0.207141666667, 0.1308]"
MLP,strings,auc_drop,0.1,0.06181231274999997,0.06415609083333333,4,0.0625,0.9375,0.01877448908333331,0.09925884816666665,-0.019972801250000047,0.1110874249999999,"[0.111087425, -0.01997280125, 0.048809199167, 0.064156090833, 0.10498165]"
MLP,strings,flip_rate,0.01,0.3087533333333333,0.476875,5,0.03125,0.9375,0.12304833333333334,0.49445833333333333,0.026091666666666673,0.502775,"[0.476875, 0.494933333333, 0.026091666667, 0.502775, 0.043091666667]"
