model,feature_group,masking_strength,pooled_delta_auc_drop,class_conditional_delta_auc_drop,class_conditional_delta_malware_to_benign,class_conditional_delta_benign_to_malware
LR,header,0.01,+0.091,+0.091,+0.000,+0.382
LR,header,0.05,+0.157,+0.162,+0.036,+0.271
LR,header,0.1,+0.190,+0.191,-0.108,+0.097
LR,imports,0.01,-0.014,-0.028,+0.030,+0.035
LR,imports,0.05,+0.037,+0.003,+0.122,+0.058
LR,imports,0.1,+0.041,+0.001,+0.098,+0.090
LightGBM,header,0.01,+0.008,+0.008,+0.001,+0.048
LightGBM,header,0.05,+0.071,+0.061,+0.088,+0.185
LightGBM,header,0.1,+0.110,+0.114,+0.031,+0.407
LightGBM,imports,0.01,+0.030,+0.030,+0.141,+0.019
LightGBM,imports,0.05,+0.045,+0.041,+0.160,+0.036
LightGBM,imports,0.1,+0.043,+0.049,+0.120,+0.084
RF,header,0.01,+0.009,+0.011,+0.004,+0.050
RF,header,0.05,+0.038,+0.037,+0.008,+0.251
RF,header,0.1,+0.084,+0.093,+0.070,+0.179
RF,imports,0.01,+0.010,+0.009,+0.069,-0.019
RF,imports,0.05,+0.017,+0.012,+0.109,-0.009
RF,imports,0.1,+0.032,+0.024,+0.104,-0.000
