feature_group,density_bin,auc,positive_rate,silhouette
all,high_density,0.9972354106252878,0.34426000000000007,0.279723709821701
all,mid_density,0.9883895205704787,0.60623,0.054567667096853255
all,low_density,0.9642542760688443,0.32994,-0.005091201979666948
header,high_density,0.9994427325279407,0.7176308778244351,0.45877605080604555
header,mid_density,0.9645553801640137,0.2977888457309154,0.11139213293790817
header,low_density,0.9510264680582278,0.5422893390660934,0.027072564885020255
section,high_density,0.9981177035408585,0.42951999999999996,0.2975822567939758
section,mid_density,0.9652200439450184,0.36582,0.0856742411851883
section,low_density,0.9539504533096361,0.68042,-0.05192320272326469
imports,high_density,0.8559507903240917,0.33546508708890965,0.23533903062343597
imports,mid_density,0.9633873744011021,0.6295172114513061,0.11599696576595306
imports,low_density,0.9012585376069333,0.23205051389722056,-0.05415290743112564
strings,high_density,0.9973578781472929,0.33074000000000003,0.22659933865070342
strings,mid_density,0.9653465322365633,0.55488,0.0173460453748703
strings,low_density,0.939020052940054,0.42969999999999997,0.03992752432823181
