feature_group,strength,important_delta_auc,important_flip_rate,important_malware_to_benign,important_benign_to_malware,random_delta_auc,random_flip_rate
all,0.01,0.113234375,0.35899000000000003,0.00056,0.35842999999999997,0.00013455141666673202,0.011163333333333334
all,0.05,0.12572235250000002,0.33945,0.015985000000000003,0.323465,0.002826929083333396,0.04652
all,0.1,0.13990594600000006,0.30236999999999997,0.024375,0.277995,0.006177462666666707,0.07239833333333333
header,0.01,0.04993139975000001,0.24257,0.001295,0.241275,0.041821251000000004,0.12904833333333332
header,0.05,0.08545045525000003,0.28965,0.26625,0.0234,0.06265684025,0.23494833333333337
header,0.1,0.19299756749999997,0.31083500000000003,0.10664499999999999,0.20419,0.10691319408333337,0.29927333333333334
section,0.01,0.14080543625000003,0.220185,0.163095,0.057089999999999995,0.008869086250000031,0.04472333333333334
section,0.05,0.19760006075,0.27968000000000004,0.151145,0.128535,0.014858873166666684,0.09523833333333334
section,0.1,0.23738607100000006,0.36363500000000004,0.138485,0.22515000000000002,0.031313418166666676,0.13327
imports,0.01,0.018331843499999965,0.064595,0.06082,0.0037749999999999997,-0.0003395271666666533,0.004901666666666667
imports,0.05,0.04163713924999997,0.12035,0.11552500000000002,0.004825,0.0046294748333333136,0.02221666666666667
imports,0.1,0.060775314999999976,0.156205,0.150135,0.006070000000000001,0.0056010987499999585,0.03172666666666667
strings,0.01,0.09219247,0.323915,0.0007549999999999999,0.32316,0.003977970750000023,0.015161666666666667
strings,0.05,0.19871603724999998,0.51822,1e-05,0.5182100000000001,0.026815364916666667,0.15041
strings,0.1,0.11749797849999996,0.5292749999999999,1.4999999999999999e-05,0.5292600000000001,0.05568566574999999,0.220995
