seed,k,test_week,n_train_samples,n_test_samples,n_train_families,n_test_families,header_same_family_rate_at_k,header_family_silhouette,header_family_macro_f1,header_same_family_rate_at_k_rank,header_family_silhouette_rank,header_family_macro_f1_rank,section_same_family_rate_at_k,section_family_silhouette,section_family_macro_f1,section_same_family_rate_at_k_rank,section_family_silhouette_rank,section_family_macro_f1_rank,imports_same_family_rate_at_k,imports_family_silhouette,imports_family_macro_f1,imports_same_family_rate_at_k_rank,imports_family_silhouette_rank,imports_family_macro_f1_rank,strings_same_family_rate_at_k,strings_family_silhouette,strings_family_macro_f1,strings_same_family_rate_at_k_rank,strings_family_silhouette_rank,strings_family_macro_f1_rank,all_same_family_rate_at_k,all_family_silhouette,all_family_macro_f1,all_same_family_rate_at_k_rank,all_family_silhouette_rank,all_family_macro_f1_rank
13,5,2024-09-22_2024-09-28,10000,2936,20,19,0.8239782016348773,-0.010463640357322576,0.6593616146341363,1,1,5,0.8111716621253406,-0.06251242014928526,0.727935426164644,2,3,2,0.7676430517711171,-0.059416003597485834,0.6903589542822329,5,2,4,0.7914850136239782,-0.09009186910308557,0.6964677811087128,4,5,3,0.809400544959128,-0.06431035263036006,0.8379649294427068,3,4,1
13,10,2024-09-22_2024-09-28,10000,2936,20,19,0.7754427792915531,-0.010463640357322576,0.6593616146341363,1,1,5,0.7506811989100818,-0.06251242014928526,0.727935426164644,2,3,2,0.716825613079019,-0.059416003597485834,0.6903589542822329,5,2,4,0.7309604904632152,-0.09009186910308557,0.6964677811087128,4,5,3,0.7494209809264305,-0.06431035263036006,0.8379649294427068,3,4,1
13,15,2024-09-22_2024-09-28,10000,2936,20,19,0.7474795640326976,-0.010463640357322576,0.6593616146341363,1,1,5,0.7125340599455041,-0.06251242014928526,0.727935426164644,3,3,2,0.6850590372388737,-0.059416003597485834,0.6903589542822329,5,2,4,0.7009536784741145,-0.09009186910308557,0.6964677811087128,4,5,3,0.7166893732970028,-0.06431035263036006,0.8379649294427068,2,4,1
13,20,2024-09-22_2024-09-28,10000,2936,20,19,0.7241485013623978,-0.010463640357322576,0.6593616146341363,1,1,5,0.6846900544959128,-0.06251242014928526,0.727935426164644,3,3,2,0.6594686648501362,-0.059416003597485834,0.6903589542822329,5,2,4,0.6798876021798365,-0.09009186910308557,0.6964677811087128,4,5,3,0.6936989100817439,-0.06431035263036006,0.8379649294427068,2,4,1
13,5,2024-09-29_2024-10-05,10000,2504,20,18,0.8206869009584664,0.02219258936889423,0.6155417189413919,2,1,5,0.8266773162939297,-0.09929669660999156,0.6990457165399189,1,5,4,0.7725239616613419,-0.024002114728881526,0.7166368763195565,5,2,2,0.7942492012779553,-0.0933477186438793,0.7101083281060481,4,4,3,0.8059105431309904,-0.04272438666944724,0.7776388667198401,3,3,1
13,10,2024-09-29_2024-10-05,10000,2504,20,18,0.7687300319488818,0.02219258936889423,0.6155417189413919,1,1,5,0.7677715654952076,-0.09929669660999156,0.6990457165399189,2,5,4,0.7109424920127796,-0.024002114728881526,0.7166368763195565,5,2,2,0.7376198083067093,-0.0933477186438793,0.7101083281060481,4,4,3,0.7404153354632588,-0.04272438666944724,0.7776388667198401,3,3,1
13,15,2024-09-29_2024-10-05,10000,2504,20,18,0.7390575079872205,0.02219258936889423,0.6155417189413919,1,1,5,0.7344515441959532,-0.09929669660999156,0.6990457165399189,2,5,4,0.6769435569755059,-0.024002114728881526,0.7166368763195565,5,2,2,0.71160809371672,-0.0933477186438793,0.7101083281060481,3,4,3,0.7054579339723109,-0.04272438666944724,0.7776388667198401,4,3,1
13,20,2024-09-29_2024-10-05,10000,2504,20,18,0.7133785942492012,0.02219258936889423,0.6155417189413919,1,1,5,0.7068490415335463,-0.09929669660999156,0.6990457165399189,2,5,4,0.6532947284345048,-0.024002114728881526,0.7166368763195565,5,2,2,0.6901757188498403,-0.0933477186438793,0.7101083281060481,3,4,3,0.6838458466453674,-0.04272438666944724,0.7776388667198401,4,3,1
13,5,2024-10-06_2024-10-12,10000,3032,20,20,0.816622691292876,-0.058409385104800905,0.5955098751042225,2,1,5,0.8264511873350924,-0.12287936913538437,0.7356193182691305,1,5,2,0.7380606860158311,-0.09652999697217071,0.655642629696804,5,3,3,0.7602902374670185,-0.11444848544422803,0.6473403454162993,4,4,4,0.7905013192612137,-0.08070461846002454,0.8131473947312736,3,2,1
13,10,2024-10-06_2024-10-12,10000,3032,20,20,0.7648087071240105,-0.058409385104800905,0.5955098751042225,2,1,5,0.7807387862796834,-0.12287936913538437,0.7356193182691305,1,5,2,0.6828496042216359,-0.09652999697217071,0.655642629696804,5,3,3,0.7087401055408971,-0.11444848544422803,0.6473403454162993,4,4,4,0.737368073878628,-0.08070461846002454,0.8131473947312736,3,2,1
13,15,2024-10-06_2024-10-12,10000,3032,20,20,0.7352902374670185,-0.058409385104800905,0.5955098751042225,2,1,5,0.7483509234828496,-0.12287936913538437,0.7356193182691305,1,5,2,0.6465699208443272,-0.09652999697217071,0.655642629696804,5,3,3,0.6789138082673702,-0.11444848544422803,0.6473403454162993,4,4,4,0.7073878627968337,-0.08070461846002454,0.8131473947312736,3,2,1
13,20,2024-10-06_2024-10-12,10000,3032,20,20,0.710438654353562,-0.058409385104800905,0.5955098751042225,2,1,5,0.7184696569920844,-0.12287936913538437,0.7356193182691305,1,5,2,0.6188984168865436,-0.09652999697217071,0.655642629696804,5,3,3,0.6498845646437995,-0.11444848544422803,0.6473403454162993,4,4,4,0.6810026385224275,-0.08070461846002454,0.8131473947312736,3,2,1
13,5,2024-10-13_2024-10-19,10000,2868,20,19,0.8265690376569038,-0.02104536458387843,0.5884901350120655,2,1,5,0.8319386331938633,-0.0765360253772212,0.6728756918419652,1,2,3,0.7594839609483961,-0.09378260020514916,0.6960114688304634,5,3,2,0.7788005578800558,-0.11652127447542036,0.6460115008853574,4,5,4,0.8177126917712692,-0.11152425304627643,0.8212761840640146,3,4,1
13,10,2024-10-13_2024-10-19,10000,2868,20,19,0.775139470013947,-0.02104536458387843,0.5884901350120655,2,1,5,0.7757322175732217,-0.0765360253772212,0.6728756918419652,1,2,3,0.702928870292887,-0.09378260020514916,0.6960114688304634,5,3,2,0.7184449093444909,-0.11652127447542036,0.6460115008853574,4,5,4,0.7559274755927475,-0.11152425304627643,0.8212761840640146,3,4,1
13,15,2024-10-13_2024-10-19,10000,2868,20,19,0.7437238493723849,-0.02104536458387843,0.5884901350120655,1,1,5,0.7370990237099023,-0.0765360253772212,0.6728756918419652,2,2,3,0.6664342166434216,-0.09378260020514916,0.6960114688304634,5,3,2,0.6867038586703859,-0.11652127447542036,0.6460115008853574,4,5,4,0.7153417015341702,-0.11152425304627643,0.8212761840640146,3,4,1
13,20,2024-10-13_2024-10-19,10000,2868,20,19,0.7171896792189679,-0.02104536458387843,0.5884901350120655,1,1,5,0.7066596931659693,-0.0765360253772212,0.6728756918419652,2,2,3,0.6345711297071129,-0.09378260020514916,0.6960114688304634,5,3,2,0.6630230125523012,-0.11652127447542036,0.6460115008853574,4,5,4,0.6800557880055788,-0.11152425304627643,0.8212761840640146,3,4,1
13,5,2024-10-20_2024-10-26,10000,2882,20,19,0.8334489937543372,-0.030763791596620182,0.5787316277211405,1,1,5,0.8315058986814712,-0.04990766789778417,0.6852869235324486,2,2,2,0.7571825121443442,-0.06035338676257306,0.6763595625365907,5,3,3,0.7598195697432338,-0.09994692557854426,0.6214277034039046,4,5,4,0.8065232477446218,-0.0983917114885957,0.8396198021997927,3,4,1
13,10,2024-10-20_2024-10-26,10000,2882,20,19,0.7802914642609299,-0.030763791596620182,0.5787316277211405,1,1,5,0.7723455933379597,-0.04990766789778417,0.6852869235324486,2,2,2,0.7052394170714782,-0.06035338676257306,0.6763595625365907,5,3,3,0.7058986814712006,-0.09994692557854426,0.6214277034039046,4,5,4,0.7437543372657877,-0.0983917114885957,0.8396198021997927,3,4,1
