k,scope,feature_group,metric,mean,std,min,max
5,metric,header,same_family_rate_at_k,0.8494302712793677,0.014640127247236998,0.8245762711864407,0.8861111111111111
5,metric,header,family_silhouette,0.051614482721844476,0.038193587276603116,-0.028203001044755174,0.1421877772677193
5,metric,header,family_macro_f1,0.6321460215506602,0.026606616295447288,0.5670208191835262,0.7013124799744557
5,rank,header,same_family_rate_at_k_rank,1.5,0.6191391873668903,1.0,3.0
5,rank,header,family_silhouette_rank,1.1666666666666667,0.4149966532662911,1.0,3.0
5,rank,header,family_macro_f1_rank,4.883333333333334,0.41197356981027583,3.0,5.0
5,metric,section,same_family_rate_at_k,0.8476598225034268,0.010550635687201824,0.8275409836065574,0.875
5,metric,section,family_silhouette,-0.007338807165153819,0.041899607148749,-0.09027620055980494,0.06841585336377119
5,metric,section,family_macro_f1,0.7116334770829975,0.030338404140883807,0.648255815352134,0.7735910001178201
5,rank,section,same_family_rate_at_k_rank,1.5666666666666667,0.4955356249106168,1.0,2.0
5,rank,section,family_silhouette_rank,2.716666666666667,1.1415145884111844,1.0,4.0
5,rank,section,family_macro_f1_rank,2.35,0.5423713365090992,2.0,4.0
5,metric,imports,same_family_rate_at_k,0.7742034113276548,0.01807108771249034,0.7398939695162359,0.8087037037037037
5,metric,imports,family_silhouette,-0.02392973006067359,0.04002904433573306,-0.08779024488931177,0.05434320492303106
5,metric,imports,family_macro_f1,0.6863981635874115,0.020515726523297095,0.6389813736741665,0.7236739964294561
5,rank,imports,same_family_rate_at_k_rank,4.983333333333333,0.12801909579781018,4.0,5.0
5,rank,imports,family_silhouette_rank,2.8,0.7916228058025279,2.0,5.0
5,rank,imports,family_macro_f1_rank,3.05,0.7399324293474371,2.0,4.0
5,metric,strings,same_family_rate_at_k,0.7988128861084844,0.016285921134727387,0.7576923076923077,0.8269753086419753
5,metric,strings,family_silhouette,-0.06657865032548213,0.024823359366646598,-0.111409270355906,-0.02317155735599036
5,metric,strings,family_macro_f1,0.6758574349765766,0.028664439339520786,0.6215594357299699,0.7359719085098767
5,rank,strings,same_family_rate_at_k_rank,4.016666666666667,0.12801909579781018,4.0,5.0
5,rank,strings,family_silhouette_rank,4.833333333333333,0.372677996249965,4.0,5.0
5,rank,strings,family_macro_f1_rank,3.716666666666667,0.7092640943651072,2.0,5.0
5,metric,all,same_family_rate_at_k,0.8303288584293061,0.011424764724333429,0.807496740547588,0.8570987654320987
5,metric,all,family_silhouette,-0.035949762855692374,0.035827166693728166,-0.10324770002543164,0.030299093034338222
5,metric,all,family_macro_f1,0.8064428138095802,0.017193361947392908,0.7731551610329194,0.8455658124173493
5,rank,all,same_family_rate_at_k_rank,2.933333333333333,0.2494438257849294,2.0,3.0
5,rank,all,family_silhouette_rank,3.4833333333333334,0.8264717512144958,2.0,5.0
5,rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
10,metric,header,same_family_rate_at_k,0.8036979411018569,0.01610207214390276,0.7801499348109517,0.8412654320987655
10,metric,header,family_silhouette,0.051614482721844476,0.038193587276603116,-0.028203001044755174,0.1421877772677193
10,metric,header,family_macro_f1,0.6321460215506602,0.026606616295447288,0.5670208191835262,0.7013124799744557
10,rank,header,same_family_rate_at_k_rank,1.3666666666666667,0.4818944098266987,1.0,2.0
10,rank,header,family_silhouette_rank,1.1666666666666667,0.4149966532662911,1.0,3.0
10,rank,header,family_macro_f1_rank,4.883333333333334,0.41197356981027583,3.0,5.0
10,metric,section,same_family_rate_at_k,0.797872404397849,0.013610583524634354,0.773344262295082,0.828858024691358
10,metric,section,family_silhouette,-0.007338807165153819,0.041899607148749,-0.09027620055980494,0.06841585336377119
10,metric,section,family_macro_f1,0.7116334770829975,0.030338404140883807,0.648255815352134,0.7735910001178201
10,rank,section,same_family_rate_at_k_rank,1.6333333333333333,0.4818944098266987,1.0,2.0
10,rank,section,family_silhouette_rank,2.716666666666667,1.1415145884111844,1.0,4.0
10,rank,section,family_macro_f1_rank,2.35,0.5423713365090992,2.0,4.0
10,metric,imports,same_family_rate_at_k,0.7232580820642471,0.016951001143740697,0.6891318754141815,0.7562654320987654
10,metric,imports,family_silhouette,-0.02392973006067359,0.04002904433573306,-0.08779024488931177,0.05434320492303106
10,metric,imports,family_macro_f1,0.6863981635874115,0.020515726523297095,0.6389813736741665,0.7236739964294561
10,rank,imports,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
10,rank,imports,family_silhouette_rank,2.8,0.7916228058025279,2.0,5.0
10,rank,imports,family_macro_f1_rank,3.05,0.7399324293474371,2.0,4.0
10,metric,strings,same_family_rate_at_k,0.7474409965872036,0.016168284204603717,0.7101043024771838,0.784537037037037
10,metric,strings,family_silhouette,-0.06657865032548213,0.024823359366646598,-0.111409270355906,-0.02317155735599036
10,metric,strings,family_macro_f1,0.6758574349765766,0.028664439339520786,0.6215594357299699,0.7359719085098767
10,rank,strings,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
10,rank,strings,family_silhouette_rank,4.833333333333333,0.372677996249965,4.0,5.0
10,rank,strings,family_macro_f1_rank,3.716666666666667,0.7092640943651072,2.0,5.0
10,metric,all,same_family_rate_at_k,0.7757587177344506,0.012029304287117683,0.7565840938722295,0.8082098765432099
10,metric,all,family_silhouette,-0.035949762855692374,0.035827166693728166,-0.10324770002543164,0.030299093034338222
10,metric,all,family_macro_f1,0.8064428138095802,0.017193361947392908,0.7731551610329194,0.8455658124173493
10,rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
10,rank,all,family_silhouette_rank,3.4833333333333334,0.8264717512144958,2.0,5.0
10,rank,all,family_macro_f1_rank,1.0,0.0,1.0,1.0
15,metric,header,same_family_rate_at_k,0.775036413421446,0.01646232597198502,0.7520425901781834,0.8148148148148148
15,metric,header,family_silhouette,0.051614482721844476,0.038193587276603116,-0.028203001044755174,0.1421877772677193
15,metric,header,family_macro_f1,0.6321460215506602,0.026606616295447288,0.5670208191835262,0.7013124799744557
15,rank,header,same_family_rate_at_k_rank,1.2833333333333334,0.45061686115319244,1.0,2.0
15,rank,header,family_silhouette_rank,1.1666666666666667,0.4149966532662911,1.0,3.0
15,rank,header,family_macro_f1_rank,4.883333333333334,0.41197356981027583,3.0,5.0
15,metric,section,same_family_rate_at_k,0.7661214982006133,0.013808505036894007,0.740983606557377,0.7962345679012346
15,metric,section,family_silhouette,-0.007338807165153819,0.041899607148749,-0.09027620055980494,0.06841585336377119
15,metric,section,family_macro_f1,0.7116334770829975,0.030338404140883807,0.648255815352134,0.7735910001178201
15,rank,section,same_family_rate_at_k_rank,1.7166666666666666,0.45061686115319244,1.0,2.0
15,rank,section,family_silhouette_rank,2.716666666666667,1.1415145884111844,1.0,4.0
15,rank,section,family_macro_f1_rank,2.35,0.5423713365090992,2.0,4.0
15,metric,imports,same_family_rate_at_k,0.6919381585679282,0.017038440940026194,0.6597746852220013,0.7202263374485597
15,metric,imports,family_silhouette,-0.02392973006067359,0.04002904433573306,-0.08779024488931177,0.05434320492303106
15,metric,imports,family_macro_f1,0.6863981635874115,0.020515726523297095,0.6389813736741665,0.7236739964294561
15,rank,imports,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
15,rank,imports,family_silhouette_rank,2.8,0.7916228058025279,2.0,5.0
15,rank,imports,family_macro_f1_rank,3.05,0.7399324293474371,2.0,4.0
15,metric,strings,same_family_rate_at_k,0.7177370417621114,0.01712670833058635,0.6802694480660583,0.7565432098765432
15,metric,strings,family_silhouette,-0.06657865032548213,0.024823359366646598,-0.111409270355906,-0.02317155735599036
15,metric,strings,family_macro_f1,0.6758574349765766,0.028664439339520786,0.6215594357299699,0.7359719085098767
15,rank,strings,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
