family,original_included,original_train_raw,original_train_effective,original_test_raw,original_test_effective,unpacked_included,unpacked_train_raw,unpacked_train_effective,unpacked_test_raw,unpacked_test_effective
axespec,False,8900,0,2644,0,True,8900,500,2644,2428
barys,True,14386,500,454,454,True,13638,500,396,396
berbew,True,256810,500,92086,3600,True,256786,500,92086,3600
blackmoon,True,12240,500,1240,1240,True,10680,500,1048,1048
cosmu,True,60786,500,9562,3532,True,59524,500,9378,3532
ekstak,True,10750,500,2026,1980,True,10720,500,2018,1980
emdup,True,12764,500,582,582,True,12376,500,570,570
expiro,True,35434,500,7966,3600,True,35122,500,7864,3600
floxif,True,13686,500,5508,3600,True,10546,500,4908,3584
flystudio,True,34262,500,1912,1688,True,32218,500,1672,1480
glupteba,True,39814,500,3412,2668,True,39770,500,3412,2668
grandoreiro,True,40728,500,226,226,True,40716,500,226,226
ipamor,True,9596,500,1252,1252,True,9478,500,1226,1226
sfone,True,44216,500,132,132,True,32108,500,102,102
shipshape,True,9264,500,376,376,False,8024,0,358,0
sinowal,True,34560,500,18,18,True,34554,500,18,18
tempedreve,True,17974,500,828,828,True,17974,500,828,828
upatre,True,43954,500,6430,3574,True,39130,500,5532,3486
urelas,True,9924,500,600,600,True,8882,500,582,582
virut,True,14972,500,4264,2116,True,14816,500,4240,2098
wacatac,True,45118,500,12238,3600,True,38168,500,10154,3600
