scope,feature_group,metric,mean,std,min,max
metric,header,same_family_rate_at_k,0.757254271361306,0.04565659374485165,0.6886875,0.8540380827314511
metric,header,family_silhouette,-0.14193754965508204,0.06743506525642007,-0.3046258440779738,0.04630110692004712
metric,header,family_macro_f1,0.802188332065397,0.021503777517122225,0.7663631720637739,0.8508268514421836
rank,header,same_family_rate_at_k_rank,1.6,0.4983305462575352,1.0,3.0
rank,header,family_silhouette_rank,2.65,0.9970790674097348,1.0,5.0
rank,header,family_macro_f1_rank,2.8666666666666667,0.5312459150169743,2.0,4.0
metric,section,same_family_rate_at_k,0.75978595228186,0.04378943018687532,0.675546875,0.8386736703873933
metric,section,family_silhouette,-0.14968599860627657,0.06231230021803169,-0.33479265269766345,-0.04877170218845783
metric,section,family_macro_f1,0.8216890176982825,0.029383250165519226,0.7493080327090766,0.892446524766465
rank,section,same_family_rate_at_k_rank,1.4083333333333334,0.4999305507323548,1.0,3.0
rank,section,family_silhouette_rank,2.7,1.3699148392023013,1.0,5.0
rank,section,family_macro_f1_rank,2.183333333333333,0.5320296566504122,1.0,4.0
metric,imports,same_family_rate_at_k,0.695098232001228,0.044700544159236265,0.6188654353562005,0.7922521339461589
metric,imports,family_silhouette,-0.0913007996922771,0.032434474692357496,-0.1425128814818229,-0.03150367323274393
metric,imports,family_macro_f1,0.7267797770241978,0.01587041582710756,0.6882368192389363,0.7705642911363928
rank,imports,same_family_rate_at_k_rank,4.004166666666666,0.06441510347391793,4.0,5.0
rank,imports,family_silhouette_rank,1.4833333333333334,0.6706133179576903,1.0,3.0
rank,imports,family_macro_f1_rank,4.95,0.21794494717703367,4.0,5.0
metric,strings,same_family_rate_at_k,0.6565197449243966,0.04832975846096754,0.5841004184100418,0.7506389776357828
metric,strings,family_silhouette,-0.2152963713918501,0.02960798091497145,-0.28536296528392224,-0.1647545004741266
metric,strings,family_macro_f1,0.7650755836796072,0.02696345091633413,0.7097043707119348,0.8269216077284348
rank,strings,same_family_rate_at_k_rank,4.995833333333334,0.06441510347391793,4.0,5.0
rank,strings,family_silhouette_rank,4.45,0.8836477427874376,2.0,5.0
rank,strings,family_macro_f1_rank,3.95,0.3840572873934304,3.0,5.0
metric,all,same_family_rate_at_k,0.7363754205445965,0.04596326404739161,0.6668700527704485,0.8283650689428759
metric,all,family_silhouette,-0.1826490086349299,0.03781853532123859,-0.2869936735283834,-0.12741070619504596
metric,all,family_macro_f1,0.8690365590880967,0.02701602889197395,0.8100764052934496,0.9271183044989257
rank,all,same_family_rate_at_k_rank,2.9916666666666667,0.09090593428863095,2.0,3.0
rank,all,family_silhouette_rank,3.716666666666667,0.877338145883457,2.0,5.0
rank,all,family_macro_f1_rank,1.05,0.2179449471770337,1.0,2.0
