seed,k,test_week,n_train_samples,n_test_samples,n_train_families,n_test_families,header_same_family_rate_at_k,header_family_silhouette,header_family_macro_f1,header_same_family_rate_at_k_rank,header_family_silhouette_rank,header_family_macro_f1_rank,section_same_family_rate_at_k,section_family_silhouette,section_family_macro_f1,section_same_family_rate_at_k_rank,section_family_silhouette_rank,section_family_macro_f1_rank,imports_same_family_rate_at_k,imports_family_silhouette,imports_family_macro_f1,imports_same_family_rate_at_k_rank,imports_family_silhouette_rank,imports_family_macro_f1_rank,strings_same_family_rate_at_k,strings_family_silhouette,strings_family_macro_f1,strings_same_family_rate_at_k_rank,strings_family_silhouette_rank,strings_family_macro_f1_rank,all_same_family_rate_at_k,all_family_silhouette,all_family_macro_f1,all_same_family_rate_at_k_rank,all_family_silhouette_rank,all_family_macro_f1_rank
13,5,2024-09-22_2024-09-28,10000,2936,20,19,0.8027929155313351,-0.2635691918511987,0.836578829003875,2,5,3,0.8175068119891008,-0.12849664572746627,0.8425627497941239,1,2,2,0.7688692098092643,-0.06905049010009452,0.7300509222807919,4,1,5,0.7467302452316076,-0.2446915904409898,0.790216498595451,5,3,4,0.8026566757493188,-0.26181932357340515,0.8492451861390162,3,4,1
13,10,2024-09-22_2024-09-28,10000,2936,20,19,0.7467302452316076,-0.2635691918511987,0.836578829003875,2,5,3,0.7539850136239782,-0.12849664572746627,0.8425627497941239,1,2,2,0.7165531335149864,-0.06905049010009452,0.7300509222807919,4,1,5,0.6751021798365122,-0.2446915904409898,0.790216498595451,5,3,4,0.7433242506811989,-0.26181932357340515,0.8492451861390162,3,4,1
13,15,2024-09-22_2024-09-28,10000,2936,20,19,0.7128292461398729,-0.2635691918511987,0.836578829003875,2,5,3,0.7176430517711172,-0.12849664572746627,0.8425627497941239,1,2,2,0.6817211625794732,-0.06905049010009452,0.7300509222807919,4,1,5,0.6369663941871027,-0.2446915904409898,0.790216498595451,5,3,4,0.7078564940962762,-0.26181932357340515,0.8492451861390162,3,4,1
13,20,2024-09-22_2024-09-28,10000,2936,20,19,0.689475476839237,-0.2635691918511987,0.836578829003875,2,5,3,0.6896798365122616,-0.12849664572746627,0.8425627497941239,1,2,2,0.658191416893733,-0.06905049010009452,0.7300509222807919,4,1,5,0.6088726158038147,-0.2446915904409898,0.790216498595451,5,3,4,0.6807901907356948,-0.26181932357340515,0.8492451861390162,3,4,1
13,5,2024-09-29_2024-10-05,10000,2504,20,18,0.8077476038338658,-0.11675570015067367,0.8260097146725883,2,2,3,0.826996805111821,-0.2138532023189817,0.8433228782274016,1,4,2,0.7691693290734825,-0.03150367323274393,0.7374486832817485,4,1,5,0.7506389776357828,-0.21884971994205843,0.8197768084789835,5,5,4,0.797923322683706,-0.12741070619504596,0.9248463038045769,3,3,1
13,10,2024-09-29_2024-10-05,10000,2504,20,18,0.7506389776357828,-0.11675570015067367,0.8260097146725883,2,2,3,0.767611821086262,-0.2138532023189817,0.8433228782274016,1,4,2,0.7059504792332268,-0.03150367323274393,0.7374486832817485,4,1,5,0.6857428115015974,-0.21884971994205843,0.8197768084789835,5,5,4,0.7335862619808307,-0.12741070619504596,0.9248463038045769,3,3,1
13,15,2024-09-29_2024-10-05,10000,2504,20,18,0.7186900958466453,-0.11675570015067367,0.8260097146725883,2,2,3,0.7310969116080938,-0.2138532023189817,0.8433228782274016,1,4,2,0.6768903088391907,-0.03150367323274393,0.7374486832817485,4,1,5,0.6475239616613419,-0.21884971994205843,0.8197768084789835,5,5,4,0.699307774227902,-0.12741070619504596,0.9248463038045769,3,3,1
13,20,2024-09-29_2024-10-05,10000,2504,20,18,0.6892571884984026,-0.11675570015067367,0.8260097146725883,2,2,3,0.7029153354632588,-0.2138532023189817,0.8433228782274016,1,4,2,0.6520966453674122,-0.03150367323274393,0.7374486832817485,4,1,5,0.6225439297124601,-0.21884971994205843,0.8197768084789835,5,5,4,0.6787739616613419,-0.12741070619504596,0.9248463038045769,3,3,1
13,5,2024-10-06_2024-10-12,10000,3032,20,20,0.8036939313984169,-0.3046258440779738,0.7913393745507806,2,4,3,0.8220316622691293,-0.33479265269766345,0.8466752787166658,1,5,2,0.7356860158311346,-0.10669281901880762,0.7148795704721234,4,1,5,0.7156992084432717,-0.252125962032884,0.7725362955083442,5,3,4,0.7813984168865435,-0.24308110607088337,0.8680574019609351,3,2,1
13,10,2024-10-06_2024-10-12,10000,3032,20,20,0.7492744063324538,-0.3046258440779738,0.7913393745507806,2,4,3,0.775230870712401,-0.33479265269766345,0.8466752787166658,1,5,2,0.6827836411609499,-0.10669281901880762,0.7148795704721234,4,1,5,0.6587071240105541,-0.252125962032884,0.7725362955083442,5,3,4,0.7270118733509234,-0.24308110607088337,0.8680574019609351,3,2,1
