k,scope,feature_group,metric,mean,std,min,max
5,metric,header,same_family_rate_at_k,0.8385620596955184,0.014404508052650776,0.8109517601043025,0.877962962962963
5,metric,header,family_silhouette,-0.07583763002225447,0.06488937004693937,-0.22301618787662414,0.07263763859457094
5,metric,header,family_macro_f1,0.8147976254455324,0.03149575671668841,0.7548763457376805,0.8858036193822161
5,rank,header,same_family_rate_at_k_rank,1.8333333333333333,0.48876260995383936,1.0,3.0
5,rank,header,family_silhouette_rank,2.4166666666666665,0.9181805680559547,1.0,5.0
5,rank,header,family_macro_f1_rank,2.933333333333333,0.7039570693980959,1.0,4.0
5,metric,section,same_family_rate_at_k,0.847463814004265,0.01123087814329895,0.8269052352551358,0.8752469135802469
5,metric,section,family_silhouette,-0.11538398782165048,0.07649307387725177,-0.3476115295984255,0.006145263237699606
5,metric,section,family_macro_f1,0.8335603276234868,0.03210434012974909,0.7642127892545059,0.8954774577775811
5,rank,section,same_family_rate_at_k_rank,1.2166666666666666,0.41197356981027583,1.0,2.0
5,rank,section,family_silhouette_rank,3.0166666666666666,1.3101102582946558,1.0,5.0
5,rank,section,family_macro_f1_rank,2.216666666666667,0.486198404860494,1.0,3.0
5,metric,imports,same_family_rate_at_k,0.7760945830678644,0.017647442265763025,0.7351888667992048,0.8145679012345679
5,metric,imports,family_silhouette,-0.03201442573701588,0.04120855850562289,-0.10009415580049104,0.04852633769348167
5,metric,imports,family_macro_f1,0.7265747655347093,0.013142732935388582,0.7028369851986793,0.7594637897407666
5,rank,imports,same_family_rate_at_k_rank,4.1,0.3,4.0,5.0
5,rank,imports,family_silhouette_rank,1.35,0.6006940430313367,1.0,3.0
5,rank,imports,family_macro_f1_rank,5.0,0.0,5.0,5.0
5,metric,strings,same_family_rate_at_k,0.7544349027718712,0.016666132826656053,0.7174054758800521,0.7854938271604939
5,metric,strings,family_silhouette,-0.15259356903944307,0.04159937427749707,-0.2493937759928671,-0.08907331483401677
5,metric,strings,family_macro_f1,0.7926126599073359,0.021038986081032152,0.7410029962112394,0.83583952264519
5,rank,strings,same_family_rate_at_k_rank,4.9,0.3,4.0,5.0
5,rank,strings,family_silhouette_rank,4.35,0.7921489758877429,2.0,5.0
5,rank,strings,family_macro_f1_rank,3.8,0.4,3.0,4.0
5,metric,all,same_family_rate_at_k,0.8230730452044236,0.012748305602102253,0.7960886571056063,0.850925925925926
5,metric,all,family_silhouette,-0.12896124867632336,0.04994142215814364,-0.23041362136080054,-0.03441775757317298
5,metric,all,family_macro_f1,0.8752708229736759,0.02377777465150277,0.8276692808555215,0.938868581537588
5,rank,all,same_family_rate_at_k_rank,2.95,0.21794494717703364,2.0,3.0
5,rank,all,family_silhouette_rank,3.8666666666666667,0.9030811456096044,2.0,5.0
5,rank,all,family_macro_f1_rank,1.05,0.2179449471770337,1.0,2.0
10,metric,header,same_family_rate_at_k,0.7872004554410289,0.015711894415883016,0.7628205128205128,0.8282098765432099
10,metric,header,family_silhouette,-0.07583763002225447,0.06488937004693937,-0.22301618787662414,0.07263763859457094
10,metric,header,family_macro_f1,0.8147976254455324,0.03149575671668841,0.7548763457376805,0.8858036193822161
10,rank,header,same_family_rate_at_k_rank,1.85,0.3570714214271425,1.0,2.0
10,rank,header,family_silhouette_rank,2.4166666666666665,0.9181805680559547,1.0,5.0
10,rank,header,family_macro_f1_rank,2.933333333333333,0.7039570693980959,1.0,4.0
10,metric,section,same_family_rate_at_k,0.7981321923147003,0.01359438870452788,0.7745901639344263,0.8329938271604939
10,metric,section,family_silhouette,-0.11538398782165048,0.07649307387725177,-0.3476115295984255,0.006145263237699606
10,metric,section,family_macro_f1,0.8335603276234868,0.03210434012974909,0.7642127892545059,0.8954774577775811
10,rank,section,same_family_rate_at_k_rank,1.15,0.3570714214271425,1.0,2.0
10,rank,section,family_silhouette_rank,3.0166666666666666,1.3101102582946558,1.0,5.0
