seed,k,test_week,n_train_samples,n_test_samples,n_train_families,n_test_families,header_same_family_rate_at_k,header_family_silhouette,header_family_macro_f1,header_same_family_rate_at_k_rank,header_family_silhouette_rank,header_family_macro_f1_rank,section_same_family_rate_at_k,section_family_silhouette,section_family_macro_f1,section_same_family_rate_at_k_rank,section_family_silhouette_rank,section_family_macro_f1_rank,imports_same_family_rate_at_k,imports_family_silhouette,imports_family_macro_f1,imports_same_family_rate_at_k_rank,imports_family_silhouette_rank,imports_family_macro_f1_rank,strings_same_family_rate_at_k,strings_family_silhouette,strings_family_macro_f1,strings_same_family_rate_at_k_rank,strings_family_silhouette_rank,strings_family_macro_f1_rank,all_same_family_rate_at_k,all_family_silhouette,all_family_macro_f1,all_same_family_rate_at_k_rank,all_family_silhouette_rank,all_family_macro_f1_rank
13,5,2024-09-22_2024-09-28,10000,3084,20,19,0.8416990920881972,-0.12097753497232004,0.8172548953069659,2,4,3,0.8461738002594034,-0.06563271687051171,0.8384932715681543,1,2,2,0.7880674448767834,0.015694170209815426,0.715873016005631,4,1,5,0.7809987029831388,-0.1124425208005364,0.7965274631971109,5,3,4,0.829118028534371,-0.1287186295914058,0.867370094929037,3,5,1
13,10,2024-09-22_2024-09-28,10000,3084,20,19,0.7898184176394293,-0.12097753497232004,0.8172548953069659,1,4,3,0.788651102464332,-0.06563271687051171,0.8384932715681543,2,2,2,0.7390726329442283,0.015694170209815426,0.715873016005631,4,1,5,0.7154993514915694,-0.1124425208005364,0.7965274631971109,5,3,4,0.7737354085603113,-0.1287186295914058,0.867370094929037,3,5,1
13,15,2024-09-22_2024-09-28,10000,3084,20,19,0.7542801556420233,-0.12097753497232004,0.8172548953069659,2,4,3,0.7583009079118028,-0.06563271687051171,0.8384932715681543,1,2,2,0.7077604842196282,0.015694170209815426,0.715873016005631,4,1,5,0.6798097708603545,-0.1124425208005364,0.7965274631971109,5,3,4,0.738824038045828,-0.1287186295914058,0.867370094929037,3,5,1
13,20,2024-09-22_2024-09-28,10000,3084,20,19,0.7348411154345007,-0.12097753497232004,0.8172548953069659,1,4,3,0.7329928664072632,-0.06563271687051171,0.8384932715681543,2,2,2,0.684662775616083,0.015694170209815426,0.715873016005631,4,1,5,0.6534046692607004,-0.1124425208005364,0.7965274631971109,5,3,4,0.714591439688716,-0.1287186295914058,0.867370094929037,3,5,1
13,5,2024-09-29_2024-10-05,10000,2644,20,18,0.8286686838124054,-0.01193201301418275,0.7704544009721345,2,2,4,0.8536308623298033,-0.12582804265191402,0.8555920652997044,1,4,2,0.789712556732224,0.04282863540608574,0.7481358931272103,4,1,5,0.7661119515885023,-0.15092937990012525,0.8347323604586327,5,5,3,0.8183055975794251,-0.03441775757317298,0.8846866359929085,3,3,1
13,10,2024-09-29_2024-10-05,10000,2644,20,18,0.7818078668683812,-0.01193201301418275,0.7704544009721345,2,2,4,0.8000378214826022,-0.12582804265191402,0.8555920652997044,1,4,2,0.7367246596066566,0.04282863540608574,0.7481358931272103,4,1,5,0.7064296520423601,-0.15092937990012525,0.8347323604586327,5,5,3,0.761535552193646,-0.03441775757317298,0.8846866359929085,3,3,1
13,15,2024-09-29_2024-10-05,10000,2644,20,18,0.748613212304589,-0.01193201301418275,0.7704544009721345,2,2,4,0.767221381744831,-0.12582804265191402,0.8555920652997044,1,4,2,0.7045637922339889,0.04282863540608574,0.7481358931272103,4,1,5,0.6735753908219869,-0.15092937990012525,0.8347323604586327,5,5,3,0.727029752899647,-0.03441775757317298,0.8846866359929085,3,3,1
13,20,2024-09-29_2024-10-05,10000,2644,20,18,0.7239409984871407,-0.01193201301418275,0.7704544009721345,2,2,4,0.7386535552193646,-0.12582804265191402,0.8555920652997044,1,4,2,0.6802571860816944,0.04282863540608574,0.7481358931272103,4,1,5,0.6508131618759455,-0.15092937990012525,0.8347323604586327,5,5,3,0.7056921331316187,-0.03441775757317298,0.8846866359929085,3,3,1
13,5,2024-10-06_2024-10-12,10000,3068,20,20,0.8245762711864407,-0.192681821606154,0.791571825194648,2,3,4,0.8395697522816167,-0.3052915744964789,0.8094547007591428,1,5,2,0.7533246414602347,-0.0725682923636723,0.7291464115519066,4,1,5,0.7298565840938722,-0.20518609328903004,0.7940635479149628,5,4,3,0.7980443285528032,-0.16597265956593832,0.8684516336169421,3,2,1
13,10,2024-10-06_2024-10-12,10000,3068,20,20,0.7789765319426336,-0.192681821606154,0.791571825194648,2,3,4,0.7985984354628423,-0.3052915744964789,0.8094547007591428,1,5,2,0.7065189048239896,-0.0725682923636723,0.7291464115519066,4,1,5,0.6732398956975228,-0.20518609328903004,0.7940635479149628,5,4,3,0.7499348109517601,-0.16597265956593832,0.8684516336169421,3,2,1
