scope,feature_group,metric,mean,std,min,max
metric,header,same_family_rate_at_k,0.787170265294181,0.01571738009155557,0.762719298245614,0.8277777777777777
metric,header,family_silhouette,-0.07583763002225447,0.06488937004693937,-0.22301618787662414,0.07263763859457094
metric,header,family_macro_f1,0.8146309346552023,0.02306942471280031,0.7618300391899082,0.8762917009596535
rank,header,same_family_rate_at_k_rank,1.8333333333333333,0.37267799624996495,1.0,2.0
rank,header,family_silhouette_rank,2.4166666666666665,0.9181805680559547,1.0,5.0
rank,header,family_macro_f1_rank,2.75,0.4330127018922193,2.0,3.0
metric,section,same_family_rate_at_k,0.7981321923147003,0.01359438870452788,0.7745901639344263,0.8329938271604939
metric,section,family_silhouette,-0.11538398782165048,0.07649307387725177,-0.3476115295984255,0.006145263237699606
metric,section,family_macro_f1,0.8329027585146261,0.028742859089517403,0.7782675012371995,0.9038842047792818
rank,section,same_family_rate_at_k_rank,1.1666666666666667,0.37267799624996495,1.0,2.0
rank,section,family_silhouette_rank,3.0166666666666666,1.3101102582946558,1.0,5.0
rank,section,family_macro_f1_rank,2.1333333333333333,0.5312459150169742,1.0,3.0
metric,imports,same_family_rate_at_k,0.7252565824120855,0.016893654110812697,0.6822730284956925,0.7560493827160494
metric,imports,family_silhouette,-0.03201442573701588,0.04120855850562289,-0.10009415580049104,0.04852633769348167
metric,imports,family_macro_f1,0.7211725722547836,0.013841294346475682,0.7016351148679658,0.7549051213540576
rank,imports,same_family_rate_at_k_rank,4.0,0.0,4.0,4.0
rank,imports,family_silhouette_rank,1.35,0.6006940430313367,1.0,3.0
rank,imports,family_macro_f1_rank,4.816666666666666,0.38693955887479664,4.0,5.0
metric,strings,same_family_rate_at_k,0.694681616157945,0.016578396170780295,0.668057366362451,0.733641975308642
metric,strings,family_silhouette,-0.15259356903944307,0.04159937427749707,-0.2493937759928671,-0.08907331483401677
metric,strings,family_macro_f1,0.74925007712799,0.030309903881624158,0.6886884454597595,0.8144193024303491
rank,strings,same_family_rate_at_k_rank,5.0,0.0,5.0,5.0
rank,strings,family_silhouette_rank,4.35,0.7921489758877429,2.0,5.0
rank,strings,family_macro_f1_rank,4.183333333333334,0.38693955887479664,4.0,5.0
metric,all,same_family_rate_at_k,0.7679978259940738,0.013000384134988252,0.7461538461538462,0.8002160493827161
metric,all,family_silhouette,-0.12896124867632336,0.04994142215814364,-0.23041362136080054,-0.03441775757317298
metric,all,family_macro_f1,0.8549148198861166,0.020622199589510216,0.8043403053982056,0.8956706569267823
rank,all,same_family_rate_at_k_rank,3.0,0.0,3.0,3.0
rank,all,family_silhouette_rank,3.8666666666666667,0.9030811456096044,2.0,5.0
rank,all,family_macro_f1_rank,1.1166666666666667,0.4119735698102758,1.0,3.0
