k,scope,feature_group,metric,mean,std,min,max
5,metric,header,same_family_rate_at_k,0.8226742676767824,0.012620902691421769,0.8026357827476038,0.8540380827314511
5,metric,header,family_silhouette,-0.14193754965508204,0.06743506525642007,-0.3046258440779738,0.04630110692004712
5,metric,header,family_macro_f1,0.8005655844559598,0.019247890376363857,0.7466413600958698,0.8594623178802872
5,rank,header,same_family_rate_at_k_rank,1.5833333333333333,0.5257270098529169,1.0,3.0
5,rank,header,family_silhouette_rank,2.65,0.9970790674097348,1.0,5.0
5,rank,header,family_macro_f1_rank,2.65,0.5107184482014854,2.0,4.0
5,metric,section,same_family_rate_at_k,0.8225188800242533,0.010928351600336901,0.79535666218035,0.8386736703873933
5,metric,section,family_silhouette,-0.14968599860627654,0.06231230021803169,-0.33479265269766345,-0.04877170218845783
5,metric,section,family_macro_f1,0.8067322740411657,0.024026359557744303,0.7425476020936413,0.8581226207578494
5,rank,section,same_family_rate_at_k_rank,1.45,0.5299371031861548,1.0,3.0
5,rank,section,family_silhouette_rank,2.7,1.369914839202301,1.0,5.0
5,rank,section,family_macro_f1_rank,2.35,0.5107184482014854,1.0,3.0
5,metric,imports,same_family_rate_at_k,0.7584501295065323,0.015838414659586752,0.7287954830614806,0.7922521339461589
5,metric,imports,family_silhouette,-0.0913007996922771,0.032434474692357496,-0.1425128814818229,-0.03150367323274393
5,metric,imports,family_macro_f1,0.7165951979802134,0.01765240145419363,0.6810139009575229,0.763180031036144
5,rank,imports,same_family_rate_at_k_rank,4.016666666666667,0.12801909579781015,4.0,5.0
5,rank,imports,family_silhouette_rank,1.4833333333333334,0.6706133179576903,1.0,3.0
5,rank,imports,family_macro_f1_rank,4.466666666666667,0.49888765156985887,4.0,5.0
5,metric,strings,same_family_rate_at_k,0.7288629612317546,0.010845013755356275,0.7078800557880056,0.7506389776357828
5,metric,strings,family_silhouette,-0.21529637139185007,0.02960798091497145,-0.28536296528392224,-0.1647545004741266
5,metric,strings,family_macro_f1,0.7196454739515139,0.03225638166633705,0.666970650131395,0.7904766652527584
5,rank,strings,same_family_rate_at_k_rank,4.983333333333333,0.12801909579781015,4.0,5.0
5,rank,strings,family_silhouette_rank,4.45,0.8836477427874376,2.0,5.0
5,rank,strings,family_macro_f1_rank,4.516666666666667,0.5320296566504122,3.0,5.0
5,metric,all,same_family_rate_at_k,0.8039762713843263,0.009973283153426705,0.7796174142480211,0.8283650689428759
5,metric,all,family_silhouette,-0.18264900863492986,0.0378185353212386,-0.2869936735283834,-0.12741070619504596
5,metric,all,family_macro_f1,0.8438000119201257,0.01677386228715198,0.8043560337760562,0.8822551421832457
5,rank,all,same_family_rate_at_k_rank,2.966666666666667,0.17950549357115014,2.0,3.0
5,rank,all,family_silhouette_rank,3.716666666666667,0.8773381458834572,2.0,5.0
5,rank,all,family_macro_f1_rank,1.0166666666666666,0.12801909579781018,1.0,2.0
10,metric,header,same_family_rate_at_k,0.767396000450612,0.01450718678622427,0.7467302452316076,0.8008535784635588
10,metric,header,family_silhouette,-0.14193754965508204,0.06743506525642007,-0.3046258440779738,0.04630110692004712
10,metric,header,family_macro_f1,0.8005655844559598,0.019247890376363857,0.7466413600958698,0.8594623178802872
10,rank,header,same_family_rate_at_k_rank,1.5666666666666667,0.49553562491061687,1.0,2.0
10,rank,header,family_silhouette_rank,2.65,0.9970790674097348,1.0,5.0
10,rank,header,family_macro_f1_rank,2.65,0.5107184482014854,2.0,4.0
10,metric,section,same_family_rate_at_k,0.7697933866565733,0.01206654556306847,0.7449192462987887,0.7909389363099146
10,metric,section,family_silhouette,-0.14968599860627654,0.06231230021803169,-0.33479265269766345,-0.04877170218845783
10,metric,section,family_macro_f1,0.8067322740411657,0.024026359557744303,0.7425476020936413,0.8581226207578494
