scope,feature_group,metric,mean,std,min,max
metric,header,acc,0.9332391470715642,0.01083325332527229,0.909504161130149,0.9504450734968112
metric,header,f1,0.9279623496068176,0.012982330658437432,0.8987718063052491,0.948319402454206
metric,header,auc,0.9831527601776927,0.004655022741932377,0.9751100759755108,0.9900966599166726
metric,header,positive_rate,0.4504083174719422,0.01411512097802949,0.41849080355269597,0.470447801916715
metric,header,mix_at_k,0.07335515448882338,0.013781495447883398,0.04697656969407592,0.0963434689807201
metric,header,silhouette,0.12103041119316034,0.039105979057229186,0.07182004170069839,0.2052412202235234
metric,header,js_divergence,0.08118852304310302,0.013029238071534437,0.06039933059953649,0.1007729307809958
rank,header,auc_rank,3.0,0.0,3.0,3.0
rank,header,acc_rank,3.0,0.0,3.0,3.0
rank,header,mix_at_k_rank,2.35,0.653834841531101,1.0,3.0
rank,header,silhouette_rank,1.0,0.0,1.0,1.0
rank,header,js_divergence_rank,2.8333333333333335,0.3726779962499649,2.0,3.0
metric,section,acc,0.9445848175573993,0.008402440670818119,0.9308079396142018,0.9587667542034719
metric,section,f1,0.9407765847229508,0.009636443810374238,0.9252964725432434,0.9569613043323484
metric,section,auc,0.9886653982702237,0.0032190354182679553,0.9828539549064444,0.9936571887438028
metric,section,positive_rate,0.45812104492572614,0.008019094331289021,0.4422337226379467,0.46990110609558594
metric,section,mix_at_k,0.07311684209737591,0.014321506879260953,0.046055727976535586,0.09808950628083558
metric,section,silhouette,0.08097726072916785,0.018442940345355225,0.05921981064702258,0.12413304836963601
metric,section,js_divergence,0.10351996533326167,0.03726262647343503,0.054519615560427184,0.20103319123678642
rank,section,auc_rank,2.0,0.0,2.0,2.0
rank,section,acc_rank,1.95,0.21794494717703372,1.0,2.0
rank,section,mix_at_k_rank,2.408333333333333,0.6645278189979877,1.0,3.0
rank,section,silhouette_rank,2.0,0.0,2.0,2.0
rank,section,js_divergence_rank,1.3333333333333333,0.7453559924999298,1.0,3.0
metric,imports,acc,0.8724268218991429,0.015904606581141897,0.8392103004291845,0.8971044643770676
metric,imports,f1,0.8519196712418288,0.0221578102920808,0.8046851622280169,0.8861638305097536
metric,imports,auc,0.9303252671483689,0.009637321704672568,0.9112483657817111,0.9438516693831185
metric,imports,positive_rate,0.385210535747276,0.020038256639860585,0.34339899926519474,0.4161522458306333
metric,imports,mix_at_k,0.16030928195690114,0.023859572398498122,0.1026772620306265,0.22656223175965665
metric,imports,silhouette,0.03179187151741177,0.01951611946893253,0.013194434960076667,0.08060702848216857
metric,imports,js_divergence,0.03777661849133269,0.00827582107669139,0.024563529926045154,0.05480393614630924
rank,imports,auc_rank,5.0,0.0,5.0,5.0
rank,imports,acc_rank,5.0,0.0,5.0,5.0
rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
rank,imports,silhouette_rank,4.833333333333333,0.372677996249965,4.0,5.0
rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
metric,strings,acc,0.9133571405510946,0.011986864482147372,0.8941534373033079,0.9348930800450189
metric,strings,f1,0.9066091971823427,0.013960060758211629,0.8837245035147697,0.9315500735056832
metric,strings,auc,0.9752248260031436,0.006572491371319545,0.9652695273814778,0.9865287479924588
metric,strings,positive_rate,0.45001015007745754,0.009586182361931919,0.4325826980907756,0.46382202259807703
metric,strings,mix_at_k,0.09204860628072935,0.017340188372925797,0.05801984925480031,0.11969278141292558
metric,strings,silhouette,0.05117337559986293,0.015128266281257463,0.03274733668189956,0.08667054501889825
metric,strings,js_divergence,0.0004770285051705401,0.0001820670767818735,0.0002520098782431169,0.00094427608477679
rank,strings,auc_rank,4.0,0.0,4.0,4.0
rank,strings,acc_rank,4.0,0.0,4.0,4.0
rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
rank,strings,silhouette_rank,3.0833333333333335,0.2763853991962833,3.0,4.0
rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
metric,all,acc,0.9487236535348441,0.0071751586751483635,0.9332470802153997,0.9616657003512841
metric,all,f1,0.9450705266049652,0.008399770891140012,0.9265571500019236,0.9600426590828297
metric,all,auc,0.9909831025794735,0.0024401728051801443,0.9857506478817831,0.994789786560529
metric,all,positive_rate,0.45599626986078745,0.009933006893857359,0.4325826980907756,0.4709593806486818
metric,all,mix_at_k,0.07108095934304141,0.014151760721262613,0.043518297465980016,0.0942160327513209
metric,all,silhouette,0.038232888402047,0.019688768682035084,0.01693706582145977,0.08589104477764954
metric,all,js_divergence,0.08161310109536665,0.012899350029196226,0.06066059735500155,0.10107829624622962
rank,all,auc_rank,1.0,0.0,1.0,1.0
rank,all,acc_rank,1.05,0.21794494717703372,1.0,2.0
rank,all,mix_at_k_rank,1.2416666666666667,0.5163305358219888,1.0,3.0
rank,all,silhouette_rank,4.083333333333333,0.49300664859163473,3.0,5.0
rank,all,js_divergence_rank,1.8333333333333333,0.3726779962499649,1.0,2.0
