scope,feature_group,metric,mean,std,min,max
metric,header,acc,0.9319416666666667,0.010960545404109944,0.9104,0.94845
metric,header,f1,0.9295570691099054,0.012012854869296936,0.9044521460943749,0.9473845368716509
metric,header,auc,0.9836406489791667,0.00441244334064355,0.9751240375,0.9901241125000001
metric,header,positive_rate,0.46772,0.011166061675153568,0.43775,0.483975
metric,header,score_std,0.4379220616231846,0.009117396114440634,0.42569453768473947,0.4548127906076244
metric,header,degenerate_prediction,0.0,0.0,0.0,0.0
metric,header,mix_at_k,0.0814902517361111,0.013248990011444181,0.054025,0.10408375
metric,header,silhouette,0.11739159981168842,0.03899024404862948,0.06832454133074779,0.20279649232774138
metric,header,js_divergence,0.08158102838046156,0.01262034812097472,0.06035469125537132,0.10080397314125852
rank,header,auc_rank,3.0,0.0,3.0,3.0
rank,header,acc_rank,3.0,0.0,3.0,3.0
rank,header,mix_at_k_rank,2.091666666666667,0.6891520554678449,1.0,3.0
rank,header,silhouette_rank,1.0,0.0,1.0,1.0
rank,header,js_divergence_rank,2.85,0.3570714214271425,2.0,3.0
metric,section,acc,0.9457629166666668,0.007818196578690989,0.930925,0.9577
metric,section,f1,0.9444134368892347,0.00815763349343143,0.92961253177032,0.9568385650224215
metric,section,auc,0.9894418692291665,0.002780641626889498,0.98306629875,0.9934368712499999
metric,section,positive_rate,0.4761320833333334,0.005803960737552895,0.461975,0.4881
metric,section,score_std,0.4370151619262655,0.008922027620122393,0.42546466810349187,0.45316472893335635
metric,section,degenerate_prediction,0.0,0.0,0.0,0.0
metric,section,mix_at_k,0.08244601215277778,0.013989690140828619,0.05584,0.10739625
metric,section,silhouette,0.07380124874527257,0.01815955776200821,0.05236187826692238,0.1171711570300041
metric,section,js_divergence,0.1178867858601355,0.03849180036671446,0.06397049816122019,0.23417991120241338
rank,section,auc_rank,2.0,0.0,2.0,2.0
rank,section,acc_rank,1.8833333333333333,0.3210226714043037,1.0,2.0
rank,section,mix_at_k_rank,2.658333333333333,0.5322254117278589,1.0,3.0
rank,section,silhouette_rank,2.0,0.0,2.0,2.0
rank,section,js_divergence_rank,1.3,0.714142842854285,1.0,3.0
metric,imports,acc,0.8710787500000001,0.016504323186794626,0.836275,0.8967
metric,imports,f1,0.8566734387325677,0.02157777793173854,0.8099370229561482,0.8883363960652902
metric,imports,auc,0.9329210472916666,0.009156812106787721,0.90967831,0.9446460050000001
metric,imports,positive_rate,0.40229708333333325,0.019581746438364196,0.361425,0.429775
metric,imports,score_std,0.364578933329466,0.008144588745244772,0.3462383801506663,0.3784210123972637
metric,imports,degenerate_prediction,0.0,0.0,0.0,0.0
metric,imports,mix_at_k,0.1734469565972222,0.02505238406542752,0.10887,0.233235
metric,imports,silhouette,0.03558756363110662,0.015930844273145738,0.021289945229214288,0.0781192130559892
metric,imports,js_divergence,0.037215789652913396,0.007908935329942416,0.02390193354153535,0.053917900403113166
rank,imports,auc_rank,5.0,0.0,5.0,5.0
rank,imports,acc_rank,5.0,0.0,5.0,5.0
rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
rank,imports,silhouette_rank,4.683333333333334,0.5913731666403389,3.0,5.0
rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
metric,strings,acc,0.9134929166666667,0.011970442845180045,0.89435,0.93595
metric,strings,f1,0.9104566958800047,0.012665503364191552,0.8892499606897636,0.9341286573764591
metric,strings,auc,0.9759835195416666,0.006235171700503915,0.96535429625,0.9870155537499999
metric,strings,positive_rate,0.46653958333333334,0.00805820659802098,0.4538,0.482575
metric,strings,score_std,0.38839921468359306,0.012866667939234602,0.3650718946313196,0.4105017397216175
metric,strings,degenerate_prediction,0.0,0.0,0.0,0.0
metric,strings,mix_at_k,0.10191649131944444,0.016175114297569,0.06829,0.1289875
metric,strings,silhouette,0.05073933908291968,0.014256925862737902,0.031497130270741885,0.08406233551341229
metric,strings,js_divergence,0.0004943524296359214,0.00019966908082129668,0.00026105276929801516,0.0010678721289805282
rank,strings,auc_rank,4.0,0.0,4.0,4.0
rank,strings,acc_rank,4.0,0.0,4.0,4.0
rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
rank,strings,silhouette_rank,3.1166666666666667,0.3210226714043037,3.0,4.0
rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
metric,all,acc,0.9489420833333334,0.007364351764393266,0.933325,0.962125
metric,all,f1,0.9475628581101226,0.007791002672702524,0.9322769863639826,0.9613747036177753
metric,all,auc,0.9913790967291668,0.002330006815144411,0.9848893200000002,0.99505796125
metric,all,positive_rate,0.47434624999999997,0.007260872343424033,0.454525,0.484525
metric,all,score_std,0.4218553138695016,0.011096664678319153,0.4057705246264691,0.4422764889821637
metric,all,degenerate_prediction,0.0,0.0,0.0,0.0
metric,all,mix_at_k,0.07978607812499999,0.013775324789742959,0.0532,0.10289875
metric,all,silhouette,0.03928532730517732,0.01760810708881939,0.020147834125039486,0.08408425108021224
metric,all,js_divergence,0.08203745022951958,0.012500420462649141,0.06064969021501569,0.10109806106333613
rank,all,auc_rank,1.0,0.0,1.0,1.0
rank,all,acc_rank,1.1166666666666667,0.3210226714043037,1.0,2.0
rank,all,mix_at_k_rank,1.25,0.48733971724044817,1.0,3.0
rank,all,silhouette_rank,4.2,0.5099019513592784,3.0,5.0
rank,all,js_divergence_rank,1.85,0.3570714214271425,1.0,2.0
