mix_k,scope,feature_group,metric,mean,std,min,max
5,metric,header,acc,0.9318933333333332,0.011092932017313581,0.9100333333333334,0.9485333333333333
5,metric,header,f1,0.9295060606203177,0.012161657755682691,0.9039194047915703,0.9474329293204412
5,metric,header,auc,0.9836682283333332,0.004401849407152223,0.975277831111111,0.9902690488888888
5,metric,header,positive_rate,0.4677577777777779,0.01121458684146194,0.4363666666666667,0.4844
5,metric,header,mix_at_k,0.05280822222222223,0.0038359954749648257,0.046606666666666664,0.0585
5,metric,header,silhouette,0.1173275674978619,0.03887812122231448,0.06903038449142378,0.2007205508800454
5,metric,header,js_divergence,0.0815676633699316,0.012666096971302235,0.06184048804875904,0.10090729814674582
5,rank,header,auc_rank,3.0,0.0,3.0,3.0
5,rank,header,acc_rank,3.0,0.0,3.0,3.0
5,rank,header,mix_at_k_rank,2.5833333333333335,0.4930066485916346,2.0,3.0
5,rank,header,silhouette_rank,1.0,0.0,1.0,1.0
5,rank,header,js_divergence_rank,2.9166666666666665,0.2763853991962833,2.0,3.0
5,metric,section,acc,0.9456505555555557,0.0076699376878695946,0.9314,0.9572333333333334
5,metric,section,f1,0.9442979021854477,0.008010249679207711,0.9302500598638525,0.9563679646318654
5,metric,section,auc,0.9894284487037037,0.002752029312756263,0.9831100555555555,0.9933330266666667
5,metric,section,positive_rate,0.47612499999999996,0.005632733778088118,0.4619,0.4877666666666667
5,metric,section,mix_at_k,0.051750444444444446,0.003338593708527182,0.045886666666666666,0.05752
5,metric,section,silhouette,0.073832796871439,0.018110904178914713,0.053049813781735275,0.11687852573234976
5,metric,section,js_divergence,0.11746323315173803,0.034887079790854175,0.06678267814476099,0.21136740430467066
5,rank,section,auc_rank,2.0,0.0,2.0,2.0
5,rank,section,acc_rank,1.9166666666666667,0.27638539919628335,1.0,2.0
5,rank,section,mix_at_k_rank,2.3333333333333335,0.6236095644623235,1.0,3.0
5,rank,section,silhouette_rank,2.0,0.0,2.0,2.0
5,rank,section,js_divergence_rank,1.1666666666666667,0.5527707983925667,1.0,3.0
5,metric,imports,acc,0.87129,0.016499334778958454,0.8366,0.8958333333333334
5,metric,imports,f1,0.8569448108616105,0.02155887615021763,0.8104115099009901,0.8871718958731992
5,metric,imports,auc,0.9330759754074075,0.009256545899269188,0.9093557422222222,0.9456385533333334
5,metric,imports,positive_rate,0.40252222222222217,0.019451760528402588,0.36186666666666667,0.4287666666666667
5,metric,imports,mix_at_k,0.14301927777777781,0.03074071731067269,0.10343,0.21115666666666666
5,metric,imports,silhouette,0.03561061271723696,0.015896903003120744,0.02143355167598222,0.07645379976871756
