scope,feature_group,metric,mean,std,min,max
metric,header,acc,0.9318933333333335,0.011092932017313581,0.9100333333333334,0.9485333333333333
metric,header,f1,0.9295060606203177,0.012161657755682691,0.9039194047915703,0.9474329293204412
metric,header,auc,0.9836682283333334,0.004401849407152223,0.975277831111111,0.9902690488888888
metric,header,positive_rate,0.4677577777777778,0.01121458684146194,0.4363666666666667,0.4844
metric,header,mix_at_k,0.0716000162037037,0.013316357983006427,0.046606666666666664,0.09384166666666667
metric,header,silhouette,0.11732756749786187,0.03887812122231448,0.06903038449142378,0.2007205508800454
metric,header,js_divergence,0.08156766336993161,0.012666096971302235,0.06184048804875904,0.10090729814674582
rank,header,auc_rank,3.0,0.0,3.0,3.0
rank,header,acc_rank,3.0,0.0,3.0,3.0
rank,header,mix_at_k_rank,2.35,0.634428877022476,1.0,3.0
rank,header,silhouette_rank,1.0,0.0,1.0,1.0
rank,header,js_divergence_rank,2.9166666666666665,0.2763853991962833,2.0,3.0
metric,section,acc,0.9456505555555555,0.007669937687869595,0.9314,0.9572333333333334
metric,section,f1,0.9442979021854476,0.008010249679207711,0.9302500598638525,0.9563679646318654
metric,section,auc,0.9894284487037036,0.002752029312756263,0.9831100555555555,0.9933330266666667
metric,section,positive_rate,0.47612499999999996,0.005632733778088118,0.4619,0.4877666666666667
metric,section,mix_at_k,0.07176151620370372,0.013809619147340501,0.045886666666666666,0.09532333333333333
metric,section,silhouette,0.07383279687143898,0.018110904178914713,0.053049813781735275,0.11687852573234976
metric,section,js_divergence,0.11746323315173804,0.03488707979085417,0.06678267814476099,0.21136740430467066
rank,section,auc_rank,2.0,0.0,2.0,2.0
rank,section,acc_rank,1.9166666666666667,0.27638539919628335,1.0,2.0
rank,section,mix_at_k_rank,2.5,0.5773502691896257,1.0,3.0
rank,section,silhouette_rank,2.0,0.0,2.0,2.0
rank,section,js_divergence_rank,1.1666666666666667,0.5527707983925666,1.0,3.0
metric,imports,acc,0.87129,0.016499334778958458,0.8366,0.8958333333333334
metric,imports,f1,0.8569448108616106,0.02155887615021763,0.8104115099009901,0.8871718958731992
metric,imports,auc,0.9330759754074075,0.009256545899269188,0.9093557422222222,0.9456385533333334
metric,imports,positive_rate,0.40252222222222217,0.019451760528402588,0.36186666666666667,0.4287666666666667
metric,imports,mix_at_k,0.16231629282407406,0.02666861616631142,0.10343,0.22482166666666667
metric,imports,silhouette,0.035610612717236964,0.015896903003120744,0.02143355167598222,0.07645379976871756
metric,imports,js_divergence,0.0371720136631194,0.007857677226295828,0.024527607293849216,0.05323464979750463
rank,imports,auc_rank,5.0,0.0,5.0,5.0
rank,imports,acc_rank,5.0,0.0,5.0,5.0
rank,imports,mix_at_k_rank,5.0,0.0,5.0,5.0
rank,imports,silhouette_rank,4.683333333333334,0.591373166640339,3.0,5.0
rank,imports,js_divergence_rank,4.0,0.0,4.0,4.0
metric,strings,acc,0.9134233333333334,0.011870661468667353,0.8941333333333333,0.9349333333333333
metric,strings,f1,0.9103731501150462,0.012564549605837232,0.8890751606594021,0.9330268304398546
metric,strings,auc,0.975937294962963,0.00622554978671638,0.9651431755555556,0.9866351555555555
metric,strings,positive_rate,0.46641333333333335,0.008088378036371646,0.4536,0.4826666666666667
metric,strings,mix_at_k,0.08972779861111112,0.016673626180391116,0.05758,0.115475
metric,strings,silhouette,0.05063059144701819,0.014147171941443116,0.03154791195808756,0.08270268625144965
metric,strings,js_divergence,0.0004740765457448613,0.0001723624291657805,0.00024814339402747177,0.0008148878875293827
rank,strings,auc_rank,4.0,0.0,4.0,4.0
rank,strings,acc_rank,4.0,0.0,4.0,4.0
rank,strings,mix_at_k_rank,4.0,0.0,4.0,4.0
rank,strings,silhouette_rank,3.1,0.30000000000000004,3.0,4.0
rank,strings,js_divergence_rank,5.0,0.0,5.0,5.0
metric,all,acc,0.9489355555555556,0.007234720467779914,0.9335666666666667,0.9618
metric,all,f1,0.9475601286426303,0.007668664694734481,0.9325253072417645,0.9610310119695321
metric,all,auc,0.9913760744814815,0.0023053000881763943,0.9848073622222222,0.9950538155555554
metric,all,positive_rate,0.4744333333333334,0.007176556483646106,0.45516666666666666,0.48456666666666665
metric,all,mix_at_k,0.06912688425925925,0.013534696783663043,0.043293333333333336,0.09093666666666667
metric,all,silhouette,0.039226848328305836,0.017540189932202185,0.02037927330559468,0.08274331082122113
metric,all,js_divergence,0.08202149250815678,0.012543040768650275,0.06214595453050574,0.10123558066839294
rank,all,auc_rank,1.0,0.0,1.0,1.0
rank,all,acc_rank,1.0833333333333333,0.27638539919628335,1.0,2.0
rank,all,mix_at_k_rank,1.15,0.41129875597510224,1.0,3.0
rank,all,silhouette_rank,4.216666666666667,0.4861984048604941,3.0,5.0
rank,all,js_divergence_rank,1.9166666666666667,0.2763853991962833,1.0,2.0
