model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
logistic_regression,wild_b,13,header,16,auc,0.8871059254444444,0.7420187167500001,0.14508720869444436
logistic_regression,wild_b,13,header,16,mix_at_10,0.11155452777777779,0.2456892777777778,-0.13413475000000002
logistic_regression,wild_b,13,header,16,js_divergence,0.04931514027491862,0.16308155226862986,-0.11376641199371124
logistic_regression,wild_b,13,header,16,same_family_rate_at_10,0.6476275613726867,0.45690399511219526,0.19072356626049147
logistic_regression,wild_b,13,header,32,auc,0.9256245665370371,0.8458890130370371,0.07973555349999994
logistic_regression,wild_b,13,header,32,mix_at_10,0.08789080555555555,0.14081749999999998,-0.052926694444444436
logistic_regression,wild_b,13,header,32,js_divergence,0.08758651738768444,0.08445178198167999,0.003134735406004452
logistic_regression,wild_b,13,header,32,same_family_rate_at_10,0.6865905522949092,0.6021809718438291,0.08440958045108005
logistic_regression,wild_b,13,header,64,auc,0.9459416611851854,0.8804989486666667,0.06544271251851874
logistic_regression,wild_b,13,header,64,mix_at_10,0.07087136111111111,0.10176875,-0.03089738888888889
logistic_regression,wild_b,13,header,64,js_divergence,0.08557426005025989,0.13763559322151636,-0.05206133317125647
logistic_regression,wild_b,13,header,64,same_family_rate_at_10,0.7063175687214042,0.6607090419737508,0.045608526747653366
logistic_regression,wild_b,13,imports,16,auc,0.6821355866851853,0.7420187167500001,-0.05988313006481483
logistic_regression,wild_b,13,imports,16,mix_at_10,0.3713272777777778,0.2456892777777778,0.125638
logistic_regression,wild_b,13,imports,16,js_divergence,0.07344126402478093,0.16308155226862986,-0.08964028824384893
logistic_regression,wild_b,13,imports,16,same_family_rate_at_10,0.308947271398172,0.45690399511219526,-0.14795672371402324
logistic_regression,wild_b,13,imports,32,auc,0.735340890888889,0.8458890130370371,-0.11054812214814813
logistic_regression,wild_b,13,imports,32,mix_at_10,0.28059419444444444,0.14081749999999998,0.13977669444444446
logistic_regression,wild_b,13,imports,32,js_divergence,0.05725379024319479,0.08445178198167999,-0.0271979917384852
logistic_regression,wild_b,13,imports,32,same_family_rate_at_10,0.47999081563784074,0.6021809718438291,-0.12219015620598839
logistic_regression,wild_b,13,imports,64,auc,0.7799127514074075,0.8804989486666667,-0.10058619725925921
logistic_regression,wild_b,13,imports,64,mix_at_10,0.24480066666666667,0.10176875,0.14303191666666665
logistic_regression,wild_b,13,imports,64,js_divergence,0.07317117332479049,0.13763559322151636,-0.06446441989672587
logistic_regression,wild_b,13,imports,64,same_family_rate_at_10,0.5248476435604712,0.6607090419737508,-0.1358613984132796
logistic_regression,wild_b,13,section,16,auc,0.751360026074074,0.7420187167500001,0.009341309324073954
logistic_regression,wild_b,13,section,16,mix_at_10,0.19295647222222223,0.2456892777777778,-0.05273280555555557
logistic_regression,wild_b,13,section,16,js_divergence,0.22610837246565474,0.16308155226862986,0.06302682019702488
logistic_regression,wild_b,13,section,16,same_family_rate_at_10,0.5256018702627634,0.45690399511219526,0.06869787515056813
logistic_regression,wild_b,13,section,32,auc,0.8177859726296297,0.8458890130370371,-0.02810304040740741
logistic_regression,wild_b,13,section,32,mix_at_10,0.11109305555555556,0.14081749999999998,-0.02972444444444443
logistic_regression,wild_b,13,section,32,js_divergence,0.1189695909404703,0.08445178198167999,0.03451780895879031
logistic_regression,wild_b,13,section,32,same_family_rate_at_10,0.6336441619358971,0.6021809718438291,0.031463190092067994
logistic_regression,wild_b,13,section,64,auc,0.8771502335185184,0.8804989486666667,-0.0033487151481482735
logistic_regression,wild_b,13,section,64,mix_at_10,0.08471413888888889,0.10176875,-0.017054611111111118
logistic_regression,wild_b,13,section,64,js_divergence,0.1590001496369892,0.13763559322151636,0.02136455641547283
logistic_regression,wild_b,13,section,64,same_family_rate_at_10,0.6753959650270754,0.6607090419737508,0.014686923053324641
logistic_regression,wild_b,13,strings,16,auc,0.7940907735,0.7420187167500001,0.05207205674999993
logistic_regression,wild_b,13,strings,16,mix_at_10,0.13523958333333336,0.2456892777777778,-0.11044969444444444
logistic_regression,wild_b,13,strings,16,js_divergence,0.019084927015469724,0.16308155226862986,-0.14399662525316015
logistic_regression,wild_b,13,strings,16,same_family_rate_at_10,0.5965319980289576,0.45690399511219526,0.13962800291676236
logistic_regression,wild_b,13,strings,32,auc,0.8406974086111113,0.8458890130370371,-0.005191604425925811
logistic_regression,wild_b,13,strings,32,mix_at_10,0.11094347222222223,0.14081749999999998,-0.029874027777777756
logistic_regression,wild_b,13,strings,32,js_divergence,0.00990879908000666,0.08445178198167999,-0.07454298290167333
logistic_regression,wild_b,13,strings,32,same_family_rate_at_10,0.6268550381611481,0.6021809718438291,0.024674066317318943
logistic_regression,wild_b,13,strings,64,auc,0.8766357926851851,0.8804989486666667,-0.0038631559814815697
logistic_regression,wild_b,13,strings,64,mix_at_10,0.09721038888888889,0.10176875,-0.004558361111111117
logistic_regression,wild_b,13,strings,64,js_divergence,0.004034559668824486,0.13763559322151636,-0.13360103355269187
logistic_regression,wild_b,13,strings,64,same_family_rate_at_10,0.6401741733491568,0.6607090419737508,-0.02053486862459397
logistic_regression,wild_b,17,header,16,auc,0.868892652625,0.723420630287037,0.14547202233796308
logistic_regression,wild_b,17,header,16,mix_at_10,0.13348166666666667,0.2783401111111111,-0.14485844444444446
logistic_regression,wild_b,17,header,16,js_divergence,0.1337903036843137,0.1978645159585679,-0.06407421227425422
logistic_regression,wild_b,17,header,16,same_family_rate_at_10,0.6137541457403639,0.41383445837692834,0.19991968736343557
logistic_regression,wild_b,17,header,32,auc,0.9154009838333333,0.7915359007777777,0.12386508305555566
