model,view,family,dimension,metric,n_protocol_seeds,paired_difference_mean,paired_difference_ci_lo,paired_difference_ci_hi,paired_difference_std
logistic_regression,wild_b,header,16,auc,5,0.1323116158092593,0.10191145458650502,0.16105884013518532,0.04010566686413629
logistic_regression,wild_b,header,16,js_divergence,5,-0.044679241888145614,-0.10703741689953836,0.01767893312324713,0.07929745558371021
logistic_regression,wild_b,header,16,mix_at_10,5,-0.11152278333333336,-0.13794848333333337,-0.08239369444444444,0.035687272427791634
logistic_regression,wild_b,header,16,same_family_rate_at_10,5,0.15447107976780955,0.11336507949837082,0.1889429401826664,0.04847054997584038
logistic_regression,wild_b,header,32,auc,5,0.10370023917037034,0.08848674645925914,0.11891373188148155,0.019422274746152098
logistic_regression,wild_b,header,32,js_divergence,5,-0.029432846601013207,-0.05354857457125863,-0.005317118630767778,0.030812625726696696
logistic_regression,wild_b,header,32,mix_at_10,5,-0.057341672222222216,-0.0674932722222222,-0.046615138888888887,0.013108050099427636
logistic_regression,wild_b,header,32,same_family_rate_at_10,5,0.09117870544188766,0.07609685805885702,0.10699971371108281,0.02061648488216286
logistic_regression,wild_b,header,64,auc,5,0.07263607727037032,0.06481957807037038,0.0809624665814815,0.01044382524662074
logistic_regression,wild_b,header,64,js_divergence,5,-0.06904348167939799,-0.10082103033341816,-0.039561756928779016,0.03927930117224238
logistic_regression,wild_b,header,64,mix_at_10,5,-0.034747627777777776,-0.03742075555555556,-0.0320745,0.0034138284339191084
logistic_regression,wild_b,header,64,same_family_rate_at_10,5,0.052530238010131146,0.048587583866493825,0.055967932847789024,0.004634718662068925
logistic_regression,wild_b,imports,16,auc,5,-0.06206083596111105,-0.09219462913888887,-0.03192704278333323,0.03966155574948365
logistic_regression,wild_b,imports,16,js_divergence,5,-0.07128487280486086,-0.12261338691960133,-0.013466518308786469,0.07100009478983489
logistic_regression,wild_b,imports,16,mix_at_10,5,0.13022780555555552,0.10603726666666664,0.1544183444444444,0.03127400876788848
logistic_regression,wild_b,imports,16,same_family_rate_at_10,5,-0.14719587508629656,-0.16462003451240417,-0.12498274789703881,0.02645992493507395
logistic_regression,wild_b,imports,32,auc,5,-0.0860056268814815,-0.10569535379259262,-0.06543724691111115,0.02579007827596291
logistic_regression,wild_b,imports,32,js_divergence,5,-0.0469036451836546,-0.06589174882677452,-0.028079522980920903,0.024694373866088495
logistic_regression,wild_b,imports,32,mix_at_10,5,0.14914612222222226,0.1399768666666667,0.16195717222222225,0.014669132305869298
logistic_regression,wild_b,imports,32,same_family_rate_at_10,5,-0.13904605960947752,-0.1597145138557559,-0.1228198866306904,0.023746335015806853
logistic_regression,wild_b,imports,64,auc,5,-0.09447698580740742,-0.10607400048888885,-0.08125056741250011,0.016917235614054706
logistic_regression,wild_b,imports,64,js_divergence,5,-0.09367725356788574,-0.1226295320783916,-0.06472497505737987,0.03734542635218528
logistic_regression,wild_b,imports,64,mix_at_10,5,0.13573419444444446,0.12611009444444446,0.1424926222222222,0.010816400494231914
logistic_regression,wild_b,imports,64,same_family_rate_at_10,5,-0.12286320641704336,-0.13042745132613012,-0.11508136336178339,0.010170086579226181
logistic_regression,wild_b,section,16,auc,5,-0.011161347831481483,-0.053549776212962905,0.03187581793888885,0.05743496836811447
logistic_regression,wild_b,section,16,js_divergence,5,0.030987653729039204,-0.02992099141314229,0.08988017858415234,0.07764735075108808
logistic_regression,wild_b,section,16,mix_at_10,5,-0.054157472222222225,-0.08056322222222223,-0.03544740555555555,0.029972618213035172
