model,view,seed,family,dimension,metric,family_seed_mean,family_percentile_in_null,n_null_repeats
logistic_regression,wild_b,13,header,16,auc,0.8871059254444444,1.0,10
logistic_regression,wild_b,13,header,16,mix_at_10,0.11155452777777779,0.0,10
logistic_regression,wild_b,13,header,16,js_divergence,0.04931514027491862,0.1,10
logistic_regression,wild_b,13,header,16,same_family_rate_at_10,0.6476275613726867,1.0,10
logistic_regression,wild_b,13,header,32,auc,0.9256245665370371,1.0,10
logistic_regression,wild_b,13,header,32,mix_at_10,0.08789080555555555,0.0,10
logistic_regression,wild_b,13,header,32,js_divergence,0.08758651738768444,0.8,10
logistic_regression,wild_b,13,header,32,same_family_rate_at_10,0.6865905522949092,1.0,10
logistic_regression,wild_b,13,header,64,auc,0.9459416611851854,1.0,10
logistic_regression,wild_b,13,header,64,mix_at_10,0.07087136111111111,0.0,10
logistic_regression,wild_b,13,header,64,js_divergence,0.08557426005025989,0.4,10
logistic_regression,wild_b,13,header,64,same_family_rate_at_10,0.7063175687214042,1.0,10
logistic_regression,wild_b,13,imports,16,auc,0.6821355866851853,0.1,10
logistic_regression,wild_b,13,imports,16,mix_at_10,0.3713272777777778,1.0,10
logistic_regression,wild_b,13,imports,16,js_divergence,0.07344126402478093,0.2,10
logistic_regression,wild_b,13,imports,16,same_family_rate_at_10,0.308947271398172,0.0,10
logistic_regression,wild_b,13,imports,32,auc,0.735340890888889,0.0,10
logistic_regression,wild_b,13,imports,32,mix_at_10,0.28059419444444444,1.0,10
logistic_regression,wild_b,13,imports,32,js_divergence,0.05725379024319479,0.7,10
logistic_regression,wild_b,13,imports,32,same_family_rate_at_10,0.47999081563784074,0.0,10
logistic_regression,wild_b,13,imports,64,auc,0.7799127514074075,0.0,10
logistic_regression,wild_b,13,imports,64,mix_at_10,0.24480066666666667,1.0,10
logistic_regression,wild_b,13,imports,64,js_divergence,0.07317117332479049,0.4,10
logistic_regression,wild_b,13,imports,64,same_family_rate_at_10,0.5248476435604712,0.0,10
logistic_regression,wild_b,13,section,16,auc,0.751360026074074,0.6,10
logistic_regression,wild_b,13,section,16,mix_at_10,0.19295647222222223,0.2,10
logistic_regression,wild_b,13,section,16,js_divergence,0.22610837246565474,0.7,10
logistic_regression,wild_b,13,section,16,same_family_rate_at_10,0.5256018702627634,1.0,10
logistic_regression,wild_b,13,section,32,auc,0.8177859726296297,0.2,10
logistic_regression,wild_b,13,section,32,mix_at_10,0.11109305555555556,0.2,10
logistic_regression,wild_b,13,section,32,js_divergence,0.1189695909404703,0.8,10
logistic_regression,wild_b,13,section,32,same_family_rate_at_10,0.6336441619358971,0.9,10
logistic_regression,wild_b,13,section,64,auc,0.8771502335185184,0.4,10
logistic_regression,wild_b,13,section,64,mix_at_10,0.08471413888888889,0.1,10
logistic_regression,wild_b,13,section,64,js_divergence,0.1590001496369892,0.5,10
logistic_regression,wild_b,13,section,64,same_family_rate_at_10,0.6753959650270754,0.9,10
logistic_regression,wild_b,13,strings,16,auc,0.7940907735,0.8,10
logistic_regression,wild_b,13,strings,16,mix_at_10,0.13523958333333336,0.0,10
logistic_regression,wild_b,13,strings,16,js_divergence,0.019084927015469724,0.0,10
logistic_regression,wild_b,13,strings,16,same_family_rate_at_10,0.5965319980289576,1.0,10
logistic_regression,wild_b,13,strings,32,auc,0.8406974086111113,0.4,10
logistic_regression,wild_b,13,strings,32,mix_at_10,0.11094347222222223,0.2,10
logistic_regression,wild_b,13,strings,32,js_divergence,0.00990879908000666,0.4,10
logistic_regression,wild_b,13,strings,32,same_family_rate_at_10,0.6268550381611481,0.6,10
logistic_regression,wild_b,13,strings,64,auc,0.8766357926851851,0.3,10
logistic_regression,wild_b,13,strings,64,mix_at_10,0.09721038888888889,0.4,10
logistic_regression,wild_b,13,strings,64,js_divergence,0.004034559668824486,0.1,10
logistic_regression,wild_b,13,strings,64,same_family_rate_at_10,0.6401741733491568,0.0,10
logistic_regression,wild_b,17,header,16,auc,0.868892652625,1.0,10
logistic_regression,wild_b,17,header,16,mix_at_10,0.13348166666666667,0.0,10
logistic_regression,wild_b,17,header,16,js_divergence,0.1337903036843137,0.3,10
logistic_regression,wild_b,17,header,16,same_family_rate_at_10,0.6137541457403639,1.0,10
logistic_regression,wild_b,17,header,32,auc,0.9154009838333333,1.0,10
logistic_regression,wild_b,17,header,32,mix_at_10,0.08774158333333333,0.0,10
logistic_regression,wild_b,17,header,32,js_divergence,0.08496361086799968,0.6,10
logistic_regression,wild_b,17,header,32,same_family_rate_at_10,0.6903625940067409,1.0,10
logistic_regression,wild_b,17,header,64,auc,0.9461634002962963,1.0,10
logistic_regression,wild_b,17,header,64,mix_at_10,0.07112311111111111,0.0,10
logistic_regression,wild_b,17,header,64,js_divergence,0.09313107415246726,0.5,10
logistic_regression,wild_b,17,header,64,same_family_rate_at_10,0.7060238870498099,1.0,10
logistic_regression,wild_b,17,imports,16,auc,0.681915190462963,0.3,10
logistic_regression,wild_b,17,imports,16,mix_at_10,0.36880030555555554,0.9,10
logistic_regression,wild_b,17,imports,16,js_divergence,0.05992666796489848,0.3,10
logistic_regression,wild_b,17,imports,16,same_family_rate_at_10,0.3096871019650196,0.1,10
logistic_regression,wild_b,17,imports,32,auc,0.7410603030555555,0.2,10
logistic_regression,wild_b,17,imports,32,mix_at_10,0.28945180555555555,1.0,10
logistic_regression,wild_b,17,imports,32,js_divergence,0.06749013876000046,0.6,10
logistic_regression,wild_b,17,imports,32,same_family_rate_at_10,0.4598537217701474,0.0,10
logistic_regression,wild_b,17,imports,64,auc,0.7721111213333335,0.0,10
logistic_regression,wild_b,17,imports,64,mix_at_10,0.24870111111111112,1.0,10
logistic_regression,wild_b,17,imports,64,js_divergence,0.06690381648397051,0.4,10
logistic_regression,wild_b,17,imports,64,same_family_rate_at_10,0.524436616642138,0.0,10
logistic_regression,wild_b,17,section,16,auc,0.7255916934351851,0.6,10
logistic_regression,wild_b,17,section,16,mix_at_10,0.17325225,0.0,10
logistic_regression,wild_b,17,section,16,js_divergence,0.1584069866009531,0.3,10
logistic_regression,wild_b,17,section,16,same_family_rate_at_10,0.5689848360321562,1.0,10
logistic_regression,wild_b,17,section,32,auc,0.7937940373148149,0.4,10
logistic_regression,wild_b,17,section,32,mix_at_10,0.1289511111111111,0.3,10
logistic_regression,wild_b,17,section,32,js_divergence,0.18580995535337483,0.7,10
logistic_regression,wild_b,17,section,32,same_family_rate_at_10,0.623781493876045,0.6,10
logistic_regression,wild_b,17,section,64,auc,0.8736684211296295,0.3,10
logistic_regression,wild_b,17,section,64,mix_at_10,0.08142897222222222,0.0,10
logistic_regression,wild_b,17,section,64,js_divergence,0.12755468245084162,0.6,10
logistic_regression,wild_b,17,section,64,same_family_rate_at_10,0.678682435302622,1.0,10
logistic_regression,wild_b,17,strings,16,auc,0.7946610875833333,0.7,10
logistic_regression,wild_b,17,strings,16,mix_at_10,0.13710030555555558,0.0,10
logistic_regression,wild_b,17,strings,16,js_divergence,0.013181379721455586,0.2,10
logistic_regression,wild_b,17,strings,16,same_family_rate_at_10,0.5916209065114385,1.0,10
logistic_regression,wild_b,17,strings,32,auc,0.8298602535,0.8,10
logistic_regression,wild_b,17,strings,32,mix_at_10,0.11440919444444446,0.1,10
logistic_regression,wild_b,17,strings,32,js_divergence,0.009729019570412192,0.1,10
logistic_regression,wild_b,17,strings,32,same_family_rate_at_10,0.6252734675332141,0.6,10
logistic_regression,wild_b,17,strings,64,auc,0.8760619999629631,0.4,10
logistic_regression,wild_b,17,strings,64,mix_at_10,0.09956486111111111,0.2,10
logistic_regression,wild_b,17,strings,64,js_divergence,0.02551127272373535,0.4,10
logistic_regression,wild_b,17,strings,64,same_family_rate_at_10,0.6358216272289828,0.1,10
logistic_regression,wild_b,23,header,16,auc,0.8773442140694445,1.0,10
logistic_regression,wild_b,23,header,16,mix_at_10,0.11564424999999998,0.0,10
logistic_regression,wild_b,23,header,16,js_divergence,0.11896963086418617,0.7,10
logistic_regression,wild_b,23,header,16,same_family_rate_at_10,0.6487946231652714,1.0,10
logistic_regression,wild_b,23,header,32,auc,0.9230101505740741,1.0,10
logistic_regression,wild_b,23,header,32,mix_at_10,0.08472452777777778,0.0,10
