model,view,seed,family,dimension,subset_repeat,sampling_mode,subset_indices_hash,auc,mix_at_10,js_divergence,same_family_rate_at_10
lightgbm,wild_b,13,header,16,0,family_random,b487e8b2df3d1eca,0.958931206851852,0.10200583333333334,0.03210079550836386,0.6615935226681727
lightgbm,wild_b,13,header,16,1,family_random,e82f01cca3f15205,0.9522797796296296,0.10995277777777777,0.16849011083469204,0.6860856163478094
lightgbm,wild_b,13,header,16,2,family_random,6bfa909eb869324f,0.9588010094444445,0.1036888888888889,0.0012614849101404335,0.6901027207373933
lightgbm,wild_b,13,header,16,3,family_random,39076d7cbfad4642,0.9489407707407409,0.10671555555555555,0.0006713536568920593,0.666439949925003
lightgbm,wild_b,13,header,16,4,family_random,a53943b11442e48b,0.952042449074074,0.10606138888888887,0.0016630538093358705,0.6742110013852974
lightgbm,wild_b,13,header,16,5,family_random,e51ccc6702e5b008,0.963887122962963,0.09234583333333334,0.07707466320264465,0.6701156607765298
lightgbm,wild_b,13,header,16,6,family_random,c25d26836bcd4631,0.9606533712962962,0.11272416666666668,0.04558471695533098,0.610349235087215
lightgbm,wild_b,13,header,16,7,family_random,9c7de3ad98901653,0.9456681524074074,0.1560936111111111,0.015946250930088977,0.4695675149062562
lightgbm,wild_b,13,header,16,8,family_random,fb118e416a70e4c4,0.9420667609259258,0.12222333333333334,0.14941402198895112,0.6642638161657722
lightgbm,wild_b,13,header,16,9,family_random,4bda6782f416291f,0.9572050616666665,0.1037313888888889,0.0009449509527462979,0.6835777753747339
lightgbm,wild_b,13,header,32,0,family_random,3a97614550d91f05,0.9749504344444442,0.08020361111111111,0.058162127954587806,0.7001349626203724
lightgbm,wild_b,13,header,32,1,family_random,70ed0c9cfdd6b15b,0.9767451496296297,0.07548972222222224,0.1897285541482396,0.7008096317116858
lightgbm,wild_b,13,header,32,2,family_random,1c85967d8fb1b8ba,0.9584596822222222,0.0955286111111111,0.0773014347458051,0.6686561676365113
