model,view,seed,family,dimension,sampling_mode,subset_indices_hash,n_subset_repeats,auc_mean,mix_at_10_mean,js_divergence_mean,same_family_rate_at_10_mean
lightgbm,wild_b,13,header,16,family_random,seed_level_aggregate,10,0.9540475685,0.11155427777777778,0.04931514027491862,0.6476306813374183
lightgbm,wild_b,13,header,32,family_random,seed_level_aggregate,10,0.9687327089629628,0.08790372222222222,0.08758651738768444,0.6865812427037181
lightgbm,wild_b,13,header,64,family_random,seed_level_aggregate,10,0.9814635556296297,0.07087136111111111,0.08557426005025989,0.7063178151162519
lightgbm,wild_b,13,imports,16,family_random,seed_level_aggregate,10,0.728342797425926,0.3713281944444445,0.07344126402478093,0.30894581238064217
lightgbm,wild_b,13,imports,32,family_random,seed_level_aggregate,10,0.8132411842962963,0.2805938888888889,0.05725379024319479,0.4799910003105715
lightgbm,wild_b,13,imports,64,family_random,seed_level_aggregate,10,0.8489378585370371,0.24480491666666665,0.07317117332479049,0.5248475162765941
lightgbm,wild_b,13,section,16,family_random,seed_level_aggregate,10,0.8810606270185186,0.19295802777777776,0.22610837246565474,0.5255938366693236
lightgbm,wild_b,13,section,32,family_random,seed_level_aggregate,10,0.9545182460740742,0.11109294444444444,0.1189695909404703,0.6336444093748999
lightgbm,wild_b,13,section,64,family_random,seed_level_aggregate,10,0.9739493982962962,0.08471411111111113,0.1590001496369892,0.6753956662736288
lightgbm,wild_b,13,strings,16,family_random,seed_level_aggregate,10,0.9386087821481481,0.13523958333333336,0.019084927015469724,0.5965319980289576
lightgbm,wild_b,13,strings,32,family_random,seed_level_aggregate,10,0.9593901517592591,0.11094347222222223,0.00990879908000666,0.6268550381611481
lightgbm,wild_b,13,strings,64,family_random,seed_level_aggregate,10,0.9706760726111112,0.09721038888888889,0.004034559668824486,0.6401741733491568
lightgbm,wild_b,17,header,16,family_random,seed_level_aggregate,10,0.9405142868518519,0.13348441666666666,0.1337903036843137,0.6137596229720892
lightgbm,wild_b,17,header,32,family_random,seed_level_aggregate,10,0.9683870712407406,0.08774269444444445,0.08496361086799968,0.6903642560342005
lightgbm,wild_b,17,header,64,family_random,seed_level_aggregate,10,0.9805320253703703,0.07112311111111111,0.09313107415246726,0.7060245933659102
lightgbm,wild_b,17,imports,16,family_random,seed_level_aggregate,10,0.7267903785925924,0.3688014444444444,0.05992666796489848,0.3096866346049677
lightgbm,wild_b,17,imports,32,family_random,seed_level_aggregate,10,0.798545212462963,0.2894520833333333,0.06749013876000046,0.4598555827183808
lightgbm,wild_b,17,imports,64,family_random,seed_level_aggregate,10,0.8374326702222223,0.2487011388888889,0.06690381648397051,0.524436616642138
lightgbm,wild_b,17,section,16,family_random,seed_level_aggregate,10,0.8904872912037037,0.17325033333333334,0.1584069866009531,0.5689837702654854
lightgbm,wild_b,17,section,32,family_random,seed_level_aggregate,10,0.9327671245185186,0.12895116666666664,0.18580995535337483,0.6237817582951815
lightgbm,wild_b,17,section,64,family_random,seed_level_aggregate,10,0.9745086907962964,0.08142891666666667,0.12755468245084162,0.6786833345959723
lightgbm,wild_b,17,strings,16,family_random,seed_level_aggregate,10,0.9361654037592592,0.13710030555555558,0.013181379721455586,0.5916209065114385
