model,view,seed,family,dimension,metric,family_seed_mean,null_seed_mean,paired_difference
lightgbm,wild_b,13,header,16,auc,0.9540475685,0.8389620679814815,0.11508550051851851
lightgbm,wild_b,13,header,16,mix_at_10,0.11155427777777778,0.24569947222222227,-0.1341451944444445
lightgbm,wild_b,13,header,16,js_divergence,0.04931514027491862,0.16308155226862986,-0.11376641199371124
lightgbm,wild_b,13,header,16,same_family_rate_at_10,0.6476306813374183,0.4569089145487575,0.19072176678866082
lightgbm,wild_b,13,header,32,auc,0.9687327089629628,0.9336156001296297,0.03511710883333308
lightgbm,wild_b,13,header,32,mix_at_10,0.08790372222222222,0.14081705555555554,-0.052913333333333326
lightgbm,wild_b,13,header,32,js_divergence,0.08758651738768444,0.08445178198167999,0.003134735406004452
lightgbm,wild_b,13,header,32,same_family_rate_at_10,0.6865812427037181,0.6021806235782807,0.08440061912543739
lightgbm,wild_b,13,header,64,auc,0.9814635556296297,0.9622332196851853,0.019230335944444454
lightgbm,wild_b,13,header,64,mix_at_10,0.07087136111111111,0.10176869444444443,-0.03089733333333332
lightgbm,wild_b,13,header,64,js_divergence,0.08557426005025989,0.13763559322151636,-0.05206133317125647
lightgbm,wild_b,13,header,64,same_family_rate_at_10,0.7063178151162519,0.6607092967896904,0.04560851832656154
lightgbm,wild_b,13,imports,16,auc,0.728342797425926,0.8389620679814815,-0.11061927055555554
lightgbm,wild_b,13,imports,16,mix_at_10,0.3713281944444445,0.24569947222222227,0.1256287222222222
lightgbm,wild_b,13,imports,16,js_divergence,0.07344126402478093,0.16308155226862986,-0.08964028824384893
lightgbm,wild_b,13,imports,16,same_family_rate_at_10,0.30894581238064217,0.4569089145487575,-0.1479631021681153
lightgbm,wild_b,13,imports,32,auc,0.8132411842962963,0.9336156001296297,-0.12037441583333341
lightgbm,wild_b,13,imports,32,mix_at_10,0.2805938888888889,0.14081705555555554,0.13977683333333338
lightgbm,wild_b,13,imports,32,js_divergence,0.05725379024319479,0.08445178198167999,-0.0271979917384852
lightgbm,wild_b,13,imports,32,same_family_rate_at_10,0.4799910003105715,0.6021806235782807,-0.12218962326770921
lightgbm,wild_b,13,imports,64,auc,0.8489378585370371,0.9622332196851853,-0.1132953611481482
lightgbm,wild_b,13,imports,64,mix_at_10,0.24480491666666665,0.10176869444444443,0.14303622222222223
lightgbm,wild_b,13,imports,64,js_divergence,0.07317117332479049,0.13763559322151636,-0.06446441989672587
lightgbm,wild_b,13,imports,64,same_family_rate_at_10,0.5248475162765941,0.6607092967896904,-0.13586178051309628
lightgbm,wild_b,13,section,16,auc,0.8810606270185186,0.8389620679814815,0.042098559037037075
lightgbm,wild_b,13,section,16,mix_at_10,0.19295802777777776,0.24569947222222227,-0.05274144444444451
lightgbm,wild_b,13,section,16,js_divergence,0.22610837246565474,0.16308155226862986,0.06302682019702488
lightgbm,wild_b,13,section,16,same_family_rate_at_10,0.5255938366693236,0.4569089145487575,0.0686849221205661
lightgbm,wild_b,13,section,32,auc,0.9545182460740742,0.9336156001296297,0.020902645944444465
lightgbm,wild_b,13,section,32,mix_at_10,0.11109294444444444,0.14081705555555554,-0.029724111111111104
lightgbm,wild_b,13,section,32,js_divergence,0.1189695909404703,0.08445178198167999,0.03451780895879031
lightgbm,wild_b,13,section,32,same_family_rate_at_10,0.6336444093748999,0.6021806235782807,0.031463785796619126
lightgbm,wild_b,13,section,64,auc,0.9739493982962962,0.9622332196851853,0.011716178611110961
lightgbm,wild_b,13,section,64,mix_at_10,0.08471411111111113,0.10176869444444443,-0.017054583333333304
lightgbm,wild_b,13,section,64,js_divergence,0.1590001496369892,0.13763559322151636,0.02136455641547283
lightgbm,wild_b,13,section,64,same_family_rate_at_10,0.6753956662736288,0.6607092967896904,0.014686369483938422
lightgbm,wild_b,13,strings,16,auc,0.9386087821481481,0.8389620679814815,0.0996467141666666
lightgbm,wild_b,13,strings,16,mix_at_10,0.13523958333333336,0.24569947222222227,-0.11045988888888891
lightgbm,wild_b,13,strings,16,js_divergence,0.019084927015469724,0.16308155226862986,-0.14399662525316015
lightgbm,wild_b,13,strings,16,same_family_rate_at_10,0.5965319980289576,0.4569089145487575,0.13962308348020014
lightgbm,wild_b,13,strings,32,auc,0.9593901517592591,0.9336156001296297,0.025774551629629383
lightgbm,wild_b,13,strings,32,mix_at_10,0.11094347222222223,0.14081705555555554,-0.029873583333333315
lightgbm,wild_b,13,strings,32,js_divergence,0.00990879908000666,0.08445178198167999,-0.07454298290167333
lightgbm,wild_b,13,strings,32,same_family_rate_at_10,0.6268550381611481,0.6021806235782807,0.024674414582867343
lightgbm,wild_b,13,strings,64,auc,0.9706760726111112,0.9622332196851853,0.008442852925925948
lightgbm,wild_b,13,strings,64,mix_at_10,0.09721038888888889,0.10176869444444443,-0.004558305555555545
lightgbm,wild_b,13,strings,64,js_divergence,0.004034559668824486,0.13763559322151636,-0.13360103355269187
lightgbm,wild_b,13,strings,64,same_family_rate_at_10,0.6401741733491568,0.6607092967896904,-0.020535123440533543
lightgbm,wild_b,17,header,16,auc,0.9405142868518519,0.8105387834444444,0.1299755034074075
lightgbm,wild_b,17,header,16,mix_at_10,0.13348441666666666,0.27833919444444444,-0.14485477777777778
lightgbm,wild_b,17,header,16,js_divergence,0.1337903036843137,0.1978645159585679,-0.06407421227425422
lightgbm,wild_b,17,header,16,same_family_rate_at_10,0.6137596229720892,0.4138341820153465,0.1999254409567427
lightgbm,wild_b,17,header,32,auc,0.9683870712407406,0.9241431733703702,0.04424389787037042
lightgbm,wild_b,17,header,32,mix_at_10,0.08774269444444445,0.1449822222222222,-0.05723952777777776
lightgbm,wild_b,17,header,32,js_divergence,0.08496361086799968,0.13690369146722153,-0.05194008059922185
lightgbm,wild_b,17,header,32,same_family_rate_at_10,0.6903642560342005,0.6059955672758868,0.08436868875831371
lightgbm,wild_b,17,header,64,auc,0.9805320253703703,0.9599850127037037,0.020547012666666586
lightgbm,wild_b,17,header,64,mix_at_10,0.07112311111111111,0.10519772222222223,-0.034074611111111125
lightgbm,wild_b,17,header,64,js_divergence,0.09313107415246726,0.11832330728776078,-0.02519223313529352
lightgbm,wild_b,17,header,64,same_family_rate_at_10,0.7060245933659102,0.6530719425812143,0.05295265078469591
lightgbm,wild_b,17,imports,16,auc,0.7267903785925924,0.8105387834444444,-0.08374840485185198
lightgbm,wild_b,17,imports,16,mix_at_10,0.3688014444444444,0.27833919444444444,0.09046224999999997
lightgbm,wild_b,17,imports,16,js_divergence,0.05992666796489848,0.1978645159585679,-0.13793784799366943
lightgbm,wild_b,17,imports,16,same_family_rate_at_10,0.3096866346049677,0.4138341820153465,-0.1041475474103788
lightgbm,wild_b,17,imports,32,auc,0.798545212462963,0.9241431733703702,-0.12559796090740727
lightgbm,wild_b,17,imports,32,mix_at_10,0.2894520833333333,0.1449822222222222,0.14446986111111107
lightgbm,wild_b,17,imports,32,js_divergence,0.06749013876000046,0.13690369146722153,-0.06941355270722108
lightgbm,wild_b,17,imports,32,same_family_rate_at_10,0.4598555827183808,0.6059955672758868,-0.146139984557506
lightgbm,wild_b,17,imports,64,auc,0.8374326702222223,0.9599850127037037,-0.12255234248148139
lightgbm,wild_b,17,imports,64,mix_at_10,0.2487011388888889,0.10519772222222223,0.14350341666666666
lightgbm,wild_b,17,imports,64,js_divergence,0.06690381648397051,0.11832330728776078,-0.05141949080379027
lightgbm,wild_b,17,imports,64,same_family_rate_at_10,0.524436616642138,0.6530719425812143,-0.12863532593907623
lightgbm,wild_b,17,section,16,auc,0.8904872912037037,0.8105387834444444,0.07994850775925932
lightgbm,wild_b,17,section,16,mix_at_10,0.17325033333333334,0.27833919444444444,-0.1050888611111111
lightgbm,wild_b,17,section,16,js_divergence,0.1584069866009531,0.1978645159585679,-0.03945752935761482
lightgbm,wild_b,17,section,16,same_family_rate_at_10,0.5689837702654854,0.4138341820153465,0.15514958825013891
lightgbm,wild_b,17,section,32,auc,0.9327671245185186,0.9241431733703702,0.008623951148148401
lightgbm,wild_b,17,section,32,mix_at_10,0.12895116666666664,0.1449822222222222,-0.016031055555555562
lightgbm,wild_b,17,section,32,js_divergence,0.18580995535337483,0.13690369146722153,0.048906263886153295
lightgbm,wild_b,17,section,32,same_family_rate_at_10,0.6237817582951815,0.6059955672758868,0.017786191019294684
lightgbm,wild_b,17,section,64,auc,0.9745086907962964,0.9599850127037037,0.014523678092592696
lightgbm,wild_b,17,section,64,mix_at_10,0.08142891666666667,0.10519772222222223,-0.023768805555555564
lightgbm,wild_b,17,section,64,js_divergence,0.12755468245084162,0.11832330728776078,0.00923137516308084
lightgbm,wild_b,17,section,64,same_family_rate_at_10,0.6786833345959723,0.6530719425812143,0.02561139201475804
lightgbm,wild_b,17,strings,16,auc,0.9361654037592592,0.8105387834444444,0.12562662031481475
lightgbm,wild_b,17,strings,16,mix_at_10,0.13710030555555558,0.27833919444444444,-0.14123888888888886
lightgbm,wild_b,17,strings,16,js_divergence,0.013181379721455586,0.1978645159585679,-0.18468313623711233
lightgbm,wild_b,17,strings,16,same_family_rate_at_10,0.5916209065114385,0.4138341820153465,0.177786724496092
lightgbm,wild_b,17,strings,32,auc,0.9567500746296297,0.9241431733703702,0.03260690125925947
lightgbm,wild_b,17,strings,32,mix_at_10,0.11440919444444446,0.1449822222222222,-0.030573027777777748
lightgbm,wild_b,17,strings,32,js_divergence,0.009729019570412192,0.13690369146722153,-0.12717467189680934
lightgbm,wild_b,17,strings,32,same_family_rate_at_10,0.6252734675332141,0.6059955672758868,0.01927790025732734
lightgbm,wild_b,17,strings,64,auc,0.9684796241851853,0.9599850127037037,0.008494611481481562
lightgbm,wild_b,17,strings,64,mix_at_10,0.09956486111111111,0.10519772222222223,-0.005632861111111123
lightgbm,wild_b,17,strings,64,js_divergence,0.02551127272373535,0.11832330728776078,-0.09281203456402543
lightgbm,wild_b,17,strings,64,same_family_rate_at_10,0.6358216272289828,0.6530719425812143,-0.017250315352231427
lightgbm,wild_b,23,header,16,auc,0.948926711462963,0.8222575313703704,0.12666918009259265
lightgbm,wild_b,23,header,16,mix_at_10,0.1156553611111111,0.2474107222222222,-0.1317553611111111
lightgbm,wild_b,23,header,16,js_divergence,0.11896963086418617,0.09401605706624407,0.024953573797942108
lightgbm,wild_b,23,header,16,same_family_rate_at_10,0.6487860707187975,0.485383140283372,0.16340293043542548
lightgbm,wild_b,23,header,32,auc,0.9700794758333332,0.9192822551481482,0.050797220685184996
lightgbm,wild_b,23,header,32,mix_at_10,0.08472452777777778,0.15792772222222223,-0.07320319444444445
lightgbm,wild_b,23,header,32,js_divergence,0.09208394234200436,0.15469707755124434,-0.06261313520923999
lightgbm,wild_b,23,header,32,same_family_rate_at_10,0.693213284101576,0.5796232884003522,0.11358999570122386
lightgbm,wild_b,23,header,64,auc,0.9800754509444444,0.9544685340925927,0.02560691685185168
lightgbm,wild_b,23,header,64,mix_at_10,0.07231466666666667,0.11105905555555558,-0.03874438888888891
lightgbm,wild_b,23,header,64,js_divergence,0.09288642337786145,0.21095707816618683,-0.11807065478832539
lightgbm,wild_b,23,header,64,same_family_rate_at_10,0.7054647485947323,0.6474821855259854,0.05798256306874694
lightgbm,wild_b,23,imports,16,auc,0.7364920165370371,0.8222575313703704,-0.08576551483333328
lightgbm,wild_b,23,imports,16,mix_at_10,0.35920597222222217,0.2474107222222222,0.11179524999999996
lightgbm,wild_b,23,imports,16,js_divergence,0.05162930948161241,0.09401605706624407,-0.04238674758463166
lightgbm,wild_b,23,imports,16,same_family_rate_at_10,0.339061402992177,0.485383140283372,-0.14632173729119496
lightgbm,wild_b,23,imports,32,auc,0.7961834206481482,0.9192822551481482,-0.12309883450000003
lightgbm,wild_b,23,imports,32,mix_at_10,0.2958619722222222,0.15792772222222223,0.13793424999999998
lightgbm,wild_b,23,imports,32,js_divergence,0.07708134432185557,0.15469707755124434,-0.07761573322938878
lightgbm,wild_b,23,imports,32,same_family_rate_at_10,0.45939903858782427,0.5796232884003522,-0.12022424981252788
