model,view,family,dimension,metric,n_protocol_seeds,paired_difference_mean,paired_difference_ci_lo,paired_difference_ci_hi,paired_difference_std
lightgbm,wild_b,header,16,auc,5,0.09964150991481482,0.07360804632592588,0.12567497350370377,0.0337583210478369
lightgbm,wild_b,header,16,js_divergence,5,-0.044679241888145614,-0.10703741689953836,0.01767893312324713,0.07929745558371021
lightgbm,wild_b,header,16,mix_at_10,5,-0.11151419444444444,-0.13795106111111113,-0.08195897777777778,0.035704767843044376
lightgbm,wild_b,header,16,same_family_rate_at_10,5,0.1544526898520922,0.11335360354321755,0.18893946918524648,0.048473560092341224
lightgbm,wild_b,header,32,auc,5,0.04162934944074066,0.033936856966666595,0.049047344537036984,0.009700174333374022
lightgbm,wild_b,header,32,js_divergence,5,-0.029432846601013207,-0.05354857457125863,-0.005317118630767778,0.030812625726696696
lightgbm,wild_b,header,32,mix_at_10,5,-0.057341616666666664,-0.06749340555555555,-0.04661623888888888,0.013110040832219167
lightgbm,wild_b,header,32,same_family_rate_at_10,5,0.0911765590625698,0.07608718530798866,0.10699944749147165,0.02061873872893064
lightgbm,wild_b,header,64,auc,5,0.022382392440740716,0.0202380679703704,0.024526716911111034,0.0027639497882963574
lightgbm,wild_b,header,64,js_divergence,5,-0.06904348167939799,-0.09949497045771902,-0.039561756928779016,0.03927930117224238
lightgbm,wild_b,header,64,mix_at_10,5,-0.034747538888888894,-0.03742065555555557,-0.03207442222222222,0.003413842630642221
lightgbm,wild_b,header,64,same_family_rate_at_10,5,0.0525314854267648,0.04858784998670085,0.055970598155126526,0.004636308315805286
lightgbm,wild_b,imports,16,auc,5,-0.11796451158518521,-0.14599960118518523,-0.0899294219851852,0.03532891238855553
lightgbm,wild_b,imports,16,js_divergence,5,-0.07128487280486086,-0.12261338691960133,-0.010842847564855115,0.07100009478983489
lightgbm,wild_b,imports,16,mix_at_10,5,0.13022133888888887,0.1060287444444444,0.15441393333333336,0.03127482225616738
lightgbm,wild_b,imports,16,same_family_rate_at_10,5,-0.147214194061825,-0.1653512559788953,-0.12500099667596892,0.026471461746733902
lightgbm,wild_b,imports,32,auc,5,-0.13010401733333332,-0.14058697245185184,-0.12250889231481484,0.012072072451430159
lightgbm,wild_b,imports,32,js_divergence,5,-0.0469036451836546,-0.06589174882677451,-0.028079522980920903,0.024694373866088495
lightgbm,wild_b,imports,32,mix_at_10,5,0.14914152777777778,0.13997840555555557,0.16226442777777778,0.014658520328447966
lightgbm,wild_b,imports,32,same_family_rate_at_10,5,-0.13904782345384045,-0.1597201790444635,-0.12282015710156777,0.023749725976015823
lightgbm,wild_b,imports,64,auc,5,-0.11277708562222222,-0.11884954994814811,-0.1055763633851852,0.008340077883161087
lightgbm,wild_b,imports,64,js_divergence,5,-0.09367725356788574,-0.12262953207839163,-0.06733396087596699,0.03734542635218528
lightgbm,wild_b,imports,64,mix_at_10,5,0.13573325,0.12610325555555554,0.14258879444444444,0.010822462879250844
lightgbm,wild_b,imports,64,same_family_rate_at_10,5,-0.12286380988867593,-0.13008061685388023,-0.11503024181121795,0.010168945624957711
lightgbm,wild_b,section,16,auc,5,0.04579781399259257,0.025971543237036966,0.0658316168814815,0.02575650414785291
lightgbm,wild_b,section,16,js_divergence,5,0.030987653729039204,-0.027904871126073937,0.08988017858415236,0.07764735075108808
lightgbm,wild_b,section,16,mix_at_10,5,-0.05416331111111111,-0.07969271388888867,-0.03545457222222223,0.029970124919357063
