feature_group,operator,test_week,selection_type,selection_mode,selection_value,n_trials,n_selected_features,n_candidate_features,auc_mean,auc_std,auc_min,auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,boundary_low_10_flip_rate_mean,boundary_low_10_flip_rate_std,boundary_low_10_flip_rate_min,boundary_low_10_flip_rate_max,boundary_low_10_malware_to_benign_rate_mean,boundary_low_10_malware_to_benign_rate_std,boundary_low_10_malware_to_benign_rate_min,boundary_low_10_malware_to_benign_rate_max,boundary_low_20_flip_rate_mean,boundary_low_20_flip_rate_std,boundary_low_20_flip_rate_min,boundary_low_20_flip_rate_max,boundary_low_20_malware_to_benign_rate_mean,boundary_low_20_malware_to_benign_rate_std,boundary_low_20_malware_to_benign_rate_min,boundary_low_20_malware_to_benign_rate_max
header,header_benign_substitution,2024-09-22_2024-09-28,baseline,baseline,0.0,5,0,7,0.96490315525,0.0006413299880577524,0.9639686987499999,0.96592110125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,1.0,5,1,7,0.9503238985,0.0008931294060557866,0.9493107099999999,0.9519782875,-0.014579256749999958,0.0004300602093229282,-0.015068597500000003,-0.01394281374999995,0.06842999999999999,0.003047064160794781,0.0648,0.0736,0.05534,0.001980504986108342,0.05255,0.05845,0.08323252228325637,0.0030829361750436945,0.07999013371879356,0.08769459006721565,-0.06557826061452618,0.0023451598033948887,-0.06882686751637485,-0.06320472033585078,-0.0415482502969991,0.0014054641005507374,-0.04351511016858371,-0.03976286683938703,0.3249,0.025952649190400582,0.2985,0.373,0.2041,0.026285737577629434,0.16,0.2335,0.32104999999999995,0.007182269836200815,0.31325,0.33125,0.2556,0.0034878360053190657,0.25125,0.2605
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,2.0,5,2,7,0.9501794075,0.000893504831419519,0.9491776425,0.951843,-0.014723747749999983,0.000434921040160935,-0.015275255000000154,-0.014078101249999975,0.06876,0.003095060580990299,0.06495,0.0736,0.05571,0.002171957642312577,0.0527,0.05845,0.08381586853385369,0.003115526541408122,0.08047576207546515,0.08796075091575456,-0.0662734940994656,0.0024056604981796278,-0.06927429076605303,-0.06376046966012794,-0.04192174855231917,0.0015027495871199003,-0.04385731652275617,-0.0405122159011523,0.32530000000000003,0.025844922131823114,0.2985,0.373,0.2045,0.026341981702218232,0.16,0.2335,0.32134999999999997,0.007427314454094432,0.31275,0.33175,0.2561,0.003929376540877712,0.25125,0.262
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,3.0,5,3,7,0.9504002925,0.0008804693506434795,0.9495179174999999,0.952091985,-0.014502862749999923,0.00042301959928547943,-0.015076942500000023,-0.01382911624999994,0.06976,0.0032055264778192046,0.0662,0.07465,0.05561000000000001,0.002118348413269169,0.0527,0.05815,0.0842312119364391,0.003048202733596928,0.0810578510291628,0.08827977763109725,-0.06528966871506105,0.0023801784859485632,-0.06821377119217532,-0.06262459753453016,-0.04123784972906961,0.0015840355994412663,-0.04309101214199596,-0.03936263389956926,0.3309,0.025830989140952387,0.305,0.3785,0.20420000000000002,0.026571789552079478,0.159,0.233,0.3263,0.007900000000000008,0.31475,0.33575,0.2556999999999999,0.004127347816697804,0.25025,0.262
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,1.0,100,1,7,0.9617307233999998,0.006101928319543077,0.9493107099999999,0.96616669375,-0.0031724318499999427,0.006087082433610697,-0.015068597500000003,0.00032148250000008094,0.015628999999999994,0.028257759270685284,0.0,0.0736,0.012333,0.02290059630227999,0.0,0.05845,0.018801184810610903,0.03442822463703026,3.4722066392620767e-06,0.08769459006721565,-0.014296104637715926,0.027399638351955684,-0.06882686751637485,0.001413687858880411,-0.009020436864791365,0.017334309747442947,-0.04351511016858371,0.0009739978200411482,0.075135,0.13317760425461933,0.0,0.373,0.044809999999999996,0.08381025533906934,0.0,0.2335,0.07304,0.13232808054226433,0.0,0.33125,0.0565725,0.10558197227154832,0.0,0.2605
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,2.0,100,2,7,0.9604286561625002,0.006939899648849355,0.9491776425,0.9662365849999999,-0.004474499087499917,0.006824266112119706,-0.01508098999999996,0.00046762624999996394,0.0223125,0.03148792179153778,0.0,0.0748,0.017506,0.025602470857321567,0.0,0.05845,0.026709097674867763,0.03839527495866881,2.0044656122706716e-05,0.08773395579574923,-0.020116387237508856,0.03064440120376122,-0.06873644247128874,0.0020551690023443525,-0.012648333592393377,0.019342913494939277,-0.04346834322379021,0.0014619057197957023,0.10765500000000003,0.14740364132205147,0.0,0.378,0.0636,0.09358653749338096,0.0,0.2335,0.1043225,0.14747420238384068,0.0,0.33525,0.08030999999999999,0.11810088970875705,0.0,0.2605
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,3.0,100,3,7,0.9599976105999999,0.006909327979533923,0.94918835,0.9663986324999999,-0.004905544649999918,0.006935853622573976,-0.01515422749999995,0.0004775312499999407,0.025395000000000004,0.03215098715436277,0.0,0.0748,0.019616500000000002,0.026145335200566847,0.0,0.05845,0.03014775049868268,0.03908441331874159,8.31614358957582e-05,0.08827977763109725,-0.022148384735257584,0.0312592327545453,-0.0691757998774881,0.0020717022166674252,-0.013965268589948012,0.019777945927824,-0.04378977933580411,0.0014757986009414535,0.12438,0.1518438691551292,0.0,0.38,0.072585,0.09797874909897555,0.0,0.2335,0.11867000000000003,0.15087222192968458,0.0,0.33525,0.089845,0.12092511515396623,0.0,0.262
header,header_benign_substitution,2024-09-29_2024-10-05,baseline,baseline,0.0,5,0,7,0.9684803264999999,0.0005177346888817579,0.96783199125,0.9691656949999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,1.0,5,1,7,0.9572946115000001,0.0006452148300248551,0.9562139125,0.9579186225,-0.01118571500000003,0.000369049129561361,-0.011706648750000048,-0.010833461250000065,0.058789999999999995,0.00606377770041086,0.05255,0.0675,0.04303,0.0018331939340942628,0.04075,0.0451,0.07819525138750756,0.0029380943181430232,0.07530537080962474,0.08251225974741397,-0.0587900295930134,0.0025029796853610485,-0.06247698016679431,-0.0567302542446227,-0.04562804631365372,0.0020111809040356853,-0.048940234516559517,-0.04361446839555329,0.3258,0.046847198422104164,0.269,0.408,0.17709999999999998,0.03430072885522988,0.1185,0.2125,0.28264999999999996,0.02601470737871177,0.259,0.3175,0.20385,0.004589662296945161,0.19875,0.211
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,2.0,5,2,7,0.9572151065000002,0.0006237229181868374,0.9561754650000001,0.957830245,-0.011265219999999987,0.00036642121541330267,-0.011745096249999976,-0.010921838750000079,0.05900000000000001,0.005960033556952509,0.05265,0.06745,0.043269999999999996,0.001889338508579127,0.04085,0.0452,0.07854721857948044,0.0029499880280062915,0.07557945863269866,0.08266309844652797,-0.05918757838999698,0.0025182134819242657,-0.06268850868204671,-0.05703091857325032,-0.04586932895048412,0.002055087711661421,-0.04910148052245321,-0.04371301060888325,0.3258,0.04603324885341028,0.27,0.4065,0.1774,0.03430947391027732,0.1185,0.213,0.28304999999999997,0.025490880722328912,0.26075,0.31775,0.2044,0.004846648326421046,0.199,0.21125
