feature_group,operator,selection_type,selection_mode,selection_value,selection_label,n_weeks,n_selected_features_mean,n_candidate_features,auc_across_weeks_mean,auc_across_weeks_std,auc_across_weeks_min,auc_across_weeks_max,delta_auc_across_weeks_mean,delta_auc_across_weeks_std,delta_auc_across_weeks_min,delta_auc_across_weeks_max,flip_rate_across_weeks_mean,flip_rate_across_weeks_std,flip_rate_across_weeks_min,flip_rate_across_weeks_max,malware_to_benign_rate_across_weeks_mean,malware_to_benign_rate_across_weeks_std,malware_to_benign_rate_across_weeks_min,malware_to_benign_rate_across_weeks_max,mean_abs_probability_shift_across_weeks_mean,mean_abs_probability_shift_across_weeks_std,mean_abs_probability_shift_across_weeks_min,mean_abs_probability_shift_across_weeks_max,mean_signed_probability_shift_across_weeks_mean,mean_signed_probability_shift_across_weeks_std,mean_signed_probability_shift_across_weeks_min,mean_signed_probability_shift_across_weeks_max,mean_margin_shift_across_weeks_mean,mean_margin_shift_across_weeks_std,mean_margin_shift_across_weeks_min,mean_margin_shift_across_weeks_max,boundary_low_10_flip_rate_across_weeks_mean,boundary_low_10_flip_rate_across_weeks_std,boundary_low_10_flip_rate_across_weeks_min,boundary_low_10_flip_rate_across_weeks_max,boundary_low_10_malware_to_benign_rate_across_weeks_mean,boundary_low_10_malware_to_benign_rate_across_weeks_std,boundary_low_10_malware_to_benign_rate_across_weeks_min,boundary_low_10_malware_to_benign_rate_across_weeks_max
header,header_benign_substitution,important,budget,1.0,Top-1,12,1.0,7,0.9332939203333334,0.014738523445617165,0.9043532455000001,0.9572946115000001,-0.015897645895833326,0.002739833433909195,-0.02139197675000002,-0.01118571500000003,0.070435,0.010403417307148005,0.05787,0.09346,0.05456,0.00923089558674202,0.04303,0.07651,0.0825361288216205,0.005154478796151755,0.07644106015060091,0.09148563517198674,-0.05890611524825754,0.005200014985674462,-0.07023553278003597,-0.051310927769968026,-0.03816597308489947,0.007215732959539313,-0.0537259981687348,-0.028134977032091214,0.30863333333333337,0.022342498119552846,0.2748,0.3463,0.16209166666666666,0.03020958618091651,0.11320000000000001,0.2041
header,header_bounded_jitter,important,budget,1.0,Top-1,12,1.0,7,0.9410280339791667,0.013713097023461402,0.9154949539999999,0.962676769,-0.008163532249999994,0.00133800562348613,-0.010250268250000038,-0.005803557500000012,0.03096666666666666,0.005104305916467871,0.024439999999999996,0.042510000000000006,0.026373333333333332,0.004622119523431743,0.021179999999999997,0.03728,0.03810772928687297,0.0024202628166166895,0.03491999832442065,0.04262453215574668,-0.029002397723589462,0.0023958205675820407,-0.03420819820013031,-0.025239047843060896,-0.016631460846038882,0.003566049297009906,-0.024504962651534734,-0.01200680927984538,0.12289166666666666,0.021787322702791084,0.08479999999999999,0.16240000000000002,0.08539166666666669,0.014949105788938979,0.058399999999999994,0.10640000000000001
header,header_benign_substitution,random,budget,1.0,Top-1,12,1.0,7,0.9470206963656249,0.012722535399330898,0.9220168906499999,0.9671962192500001,-0.0021708698635416524,0.0007682413072935218,-0.0037283316000000155,-0.0012841072499999873,0.010274666666666666,0.0027672071535314357,0.0070475,0.015628999999999994,0.007708958333333334,0.002419282878064742,0.0049499999999999995,0.012333,0.012083522465271173,0.003274854765620503,0.008389409133335197,0.018801184810610903,-0.008144863370404602,0.002758629915518285,-0.014296104637715926,-0.004947111507993627,-0.005285741815504847,0.0019481238098074311,-0.009020436864791365,-0.0029707737330611967,0.04735374999999999,0.013407726025970993,0.031939999999999996,0.075135,0.02371583333333333,0.009921711636887837,0.012530000000000001,0.044809999999999996
header,header_bounded_jitter,random,budget,1.0,Top-1,12,1.0,7,0.9479872600229168,0.012740529495160054,0.9247634635499999,0.9676265761875001,-0.0012043062062499811,0.00034683227032333055,-0.0017945738749999551,-0.0007510486999999866,0.005040458333333333,0.0012758062068474803,0.0031389999999999994,0.0080845,0.004092583333333333,0.0011459514939075254,0.002468,0.006898500000000001,0.006142526365806266,0.0012183680154553395,0.004214119343523962,0.008169405146914015,-0.00433348385276978,0.0009411600613876156,-0.005944670702828146,-0.0024619048992940737,-0.0024920656780915472,0.0005988896332952272,-0.003490892361272849,-0.0012313991761829376,0.02099833333333333,0.004119882852973157,0.014910000000000001,0.028555000000000007,0.013287916666666665,0.003052619406846448,0.0095,0.01974
header,header_benign_substitution,important,budget,2.0,Top-2,12,2.0,7,0.9331302453333334,0.014783720270029966,0.9040412745000002,0.9572151065000002,-0.016061320895833318,0.0027918101610802173,-0.021703947749999973,-0.011265219999999987,0.07071500000000001,0.010419803660978133,0.058140000000000004,0.09367,0.054858333333333335,0.009272508500340611,0.043269999999999996,0.07682000000000001,0.08313968006852117,0.005221040102256624,0.0769287252067177,0.09231328538475769,-0.05963930500187093,0.005213168401788574,-0.07091311319028047,-0.05190953468815647,-0.038703289882204055,0.007094373439881896,-0.05420873552596667,-0.02899264842099249,0.3087666666666667,0.022261226880435463,0.2748,0.3458,0.16233333333333333,0.030263793916530394,0.11339999999999999,0.2045
header,header_bounded_jitter,important,budget,2.0,Top-2,12,2.0,7,0.9408567535000002,0.013738687210157275,0.9152101937500001,0.9626331665000001,-0.00833481272916666,0.0013666399695893587,-0.010535028499999943,-0.005847160000000007,0.031259166666666664,0.004884856631013397,0.02601,0.042730000000000004,0.026727500000000005,0.004416788284489082,0.02125,0.03731,0.03886377450520714,0.0025007982281454164,0.035563683482804545,0.04359620600842216,-0.02981861076757515,0.0023567251808158394,-0.03494896073828505,-0.026155325311850663,-0.01724439766455365,0.0033831475259043643,-0.02486925662033827,-0.012884856582695517,0.12388333333333333,0.022097354039693432,0.0895,0.16230000000000003,0.08699166666666665,0.01554951544439747,0.0628,0.10939999999999998
header,header_benign_substitution,random,budget,2.0,Top-2,12,2.0,7,0.9448477647531252,0.013179483508089774,0.920460258425,0.9653439398250001,-0.004343801476041654,0.0009516361026710634,-0.005668757825000004,-0.0025853182500000017,0.020597708333333336,0.004059580127397894,0.013349499999999999,0.027017500000000007,0.015466875,0.00338788951711952,0.009964,0.021652,0.024091583992531498,0.0035591781560081895,0.01760097728711298,0.02814179100798759,-0.01618450306058765,0.0026775510891670737,-0.02054141950641559,-0.012285302474205015,-0.010503895548652846,0.002423940040230654,-0.01574161653499284,-0.007773013522185234,0.0916825,0.01137707114844004,0.06999499999999999,0.109365,0.04504,0.008778988409834017,0.03105,0.0636
header,header_bounded_jitter,random,budget,2.0,Top-2,12,2.0,7,0.9468938843583333,0.013052188617159049,0.9226709060749998,0.9667235324625003,-0.0022976818708333245,0.0006928652831330491,-0.003376633999999993,-0.0013964296999999925,0.009809583333333333,0.0025880262333914284,0.006220000000000001,0.015462499999999999,0.007885916666666668,0.002330514113821717,0.004907,0.013238499999999997,0.01187948063501105,0.002476127876279651,0.008085414237559298,0.015756630566904777,-0.008250785634855052,0.0018361033482548607,-0.010934265764134716,-0.005711401226116918,-0.004749280894427566,0.001333348245400415,-0.007657085449300791,-0.0034478384720988504,0.04125333333333333,0.008886961032258939,0.02651,0.05743499999999999,0.025604583333333333,0.006466568660661971,0.015885000000000003,0.038950000000000005
header,header_benign_substitution,important,budget,3.0,Top-3,12,3.0,7,0.9334241369583333,0.014766309738593955,0.9044144814999999,0.9574188290000001,-0.01576742927083331,0.0027615595087096536,-0.02133074075000001,-0.011061497500000027,0.07142833333333333,0.010344215640744456,0.059230000000000005,0.09409000000000001,0.05465999999999999,0.009238472997921968,0.04321,0.07651,0.08356915585410483,0.005189032991361542,0.07758787685592297,0.09274382474853635,-0.05870017086301038,0.00517227913466627,-0.0699410150891456,-0.05108130223145467,-0.038099062251064485,0.007082574421576252,-0.05357571828830586,-0.028239874027997863,0.3129,0.022350764341889224,0.2774,0.3482,0.16195833333333334,0.03022916523087522,0.1125,0.20420000000000002
header,header_bounded_jitter,important,budget,3.0,Top-3,12,3.0,7,0.9411620215208333,0.013719057634466835,0.9155934372499999,0.9628244685,-0.008029544708333329,0.001339484884837846,-0.010151785000000024,-0.005655858000000014,0.03196333333333333,0.005010379781569013,0.026060000000000007,0.04305,0.026412499999999995,0.004532330388442573,0.02096,0.03712,0.03944132790310908,0.002445933742077356,0.036332426820568864,0.04409842327889782,-0.028843757691260626,0.0023100653286111756,-0.03394214424050284,-0.025302428260708436,-0.016659308791750097,0.003477896676611936,-0.024401692600328075,-0.011899638366666175,0.13054166666666667,0.022138972361476546,0.0918,0.16970000000000002,0.08643333333333332,0.01490091346938912,0.0596,0.10769999999999999
