feature_group,operator,selection_type,selection_mode,selection_value,selection_label,n_weeks,n_selected_features_mean,n_candidate_features,auc_across_weeks_mean,auc_across_weeks_std,auc_across_weeks_min,auc_across_weeks_max,delta_auc_across_weeks_mean,delta_auc_across_weeks_std,delta_auc_across_weeks_min,delta_auc_across_weeks_max,flip_rate_across_weeks_mean,flip_rate_across_weeks_std,flip_rate_across_weeks_min,flip_rate_across_weeks_max,malware_to_benign_rate_across_weeks_mean,malware_to_benign_rate_across_weeks_std,malware_to_benign_rate_across_weeks_min,malware_to_benign_rate_across_weeks_max,mean_abs_probability_shift_across_weeks_mean,mean_abs_probability_shift_across_weeks_std,mean_abs_probability_shift_across_weeks_min,mean_abs_probability_shift_across_weeks_max,mean_signed_probability_shift_across_weeks_mean,mean_signed_probability_shift_across_weeks_std,mean_signed_probability_shift_across_weeks_min,mean_signed_probability_shift_across_weeks_max,mean_margin_shift_across_weeks_mean,mean_margin_shift_across_weeks_std,mean_margin_shift_across_weeks_min,mean_margin_shift_across_weeks_max,boundary_low_10_flip_rate_across_weeks_mean,boundary_low_10_flip_rate_across_weeks_std,boundary_low_10_flip_rate_across_weeks_min,boundary_low_10_flip_rate_across_weeks_max,boundary_low_10_malware_to_benign_rate_across_weeks_mean,boundary_low_10_malware_to_benign_rate_across_weeks_std,boundary_low_10_malware_to_benign_rate_across_weeks_min,boundary_low_10_malware_to_benign_rate_across_weeks_max
header,header_benign_substitution,important,budget,1.0,Top-1,12,1.0,7,0.9736638283125,0.005956715644578695,0.9633010112499999,0.9830743992499998,-0.00814517004166667,0.0018598744970283396,-0.011114907750000014,-0.005195377250000077,0.07535000000000001,0.012975755597780553,0.05861000000000001,0.10061,0.05975249999999999,0.011962596655826859,0.04509,0.08449999999999999,0.0732030853314115,0.009547948361461098,0.056799915451698504,0.09141862039098983,-0.04737699455735819,0.007525000080462713,-0.06417814443546777,-0.03604042545944225,-0.02356911130297849,0.005117430728087796,-0.03478847751464485,-0.01826692276746769,0.34251666666666675,0.022226067028504055,0.3127000000000001,0.3735,0.20560833333333337,0.019451240677367827,0.1739,0.23479999999999998
header,header_bounded_jitter,important,budget,1.0,Top-1,12,1.0,7,0.9783344862916666,0.0048172838413368295,0.9700932040000001,0.9858583837499999,-0.003474512062499999,0.0006963960948602055,-0.004842686500000015,-0.0024113927499999966,0.03296333333333333,0.005986344646127738,0.025379999999999996,0.04522,0.026564166666666666,0.005048812497893826,0.02034,0.03613,0.03336589580724416,0.004800114878930284,0.02548747158785946,0.04265500872400728,-0.021731881932932146,0.002982554965384404,-0.027369074110938602,-0.017309692586320414,-0.011917432764381196,0.0026394074170857868,-0.01750009311062968,-0.009600357476710206,0.13891666666666666,0.011857756486321045,0.123,0.1565,0.08986666666666666,0.008190475498338842,0.0796,0.1051
header,header_benign_substitution,random,budget,1.0,Top-1,12,1.0,7,0.9801476420677084,0.004555978885527995,0.9710798273250002,0.9874177448874998,-0.0016613562864583322,0.0004963964009779278,-0.0028444434249999782,-0.0008520316125000182,0.01748116666666667,0.0034433839117776117,0.0114825,0.022657999999999998,0.013796416666666667,0.0029536541480662377,0.008675500000000001,0.018667500000000004,0.018617929087467767,0.004474985736053991,0.011772467360562543,0.026689914243305392,-0.011954451509441263,0.003297717563487419,-0.0169490469949398,-0.007287317295823472,-0.007293701717742073,0.002556123160298966,-0.012521933172619334,-0.004687819668612115,0.09065208333333334,0.014408375813268785,0.070675,0.12106499999999999,0.058555416666666665,0.009252884113060219,0.044875,0.07577499999999998
header,header_bounded_jitter,random,budget,1.0,Top-1,12,1.0,7,0.9812352867062502,0.0043108748889761,0.9733931849875,0.9878893637249999,-0.0005737116479166628,0.00017150949491244997,-0.0008814138374999925,-0.00026573832500000115,0.0070209166666666675,0.0013444842076879228,0.004849,0.0098435,0.005190166666666667,0.001096273447741129,0.0034070000000000007,0.007487000000000001,0.0074477406211351065,0.0012619135555851841,0.005479444115416676,0.00974966243583877,-0.003897504576710326,0.000869519221780055,-0.00548515289560019,-0.0025266536191309702,-0.002299595535484185,0.0004927086076256794,-0.003658730676772572,-0.0016612351948847703,0.038983750000000005,0.004096498568391466,0.03228,0.045149999999999996,0.02353875,0.0024747543017775873,0.019385,0.028605000000000002
header,header_benign_substitution,important,budget,2.0,Top-2,12,2.0,7,0.968493517895833,0.007201542964685261,0.9545522257500002,0.98039522275,-0.013315480458333329,0.0031526512714467035,-0.01937204499999996,-0.007874553750000013,0.11653333333333334,0.016980882060586712,0.08846,0.14981,0.10376666666666666,0.016491988122182912,0.07615,0.13746,0.1196345474069973,0.015104634295090996,0.09162903405805349,0.14487176453185352,-0.0974221447831299,0.013342554374272975,-0.12161288692588135,-0.0732264583189119,-0.05981571285853518,0.00868639324862508,-0.08044531225266834,-0.04982236857443516,0.4126833333333333,0.011499335729607261,0.3912,0.42829999999999996,0.3107166666666667,0.01530924738697353,0.2814,0.3415
header,header_bounded_jitter,important,budget,2.0,Top-2,12,2.0,7,0.9781675932916666,0.004928848865454476,0.96953195225,0.9859494195,-0.003641405062499999,0.0007980381895127461,-0.005010153750000068,-0.0023203570000000394,0.041896666666666665,0.006226567183359453,0.03355,0.054380000000000005,0.03186416666666667,0.005338916023459776,0.02484,0.04229999999999999,0.04393275441327782,0.005943237197184565,0.03419112028765626,0.05456313825908499,-0.02491268421929897,0.0035787969948494207,-0.031783417362422524,-0.019294669060741804,-0.014907788273878826,0.0028035504171680936,-0.020624375207091185,-0.011426699587472902,0.21159166666666665,0.010109109615699214,0.19660000000000002,0.2265,0.13044999999999998,0.008170934259108115,0.11669999999999998,0.1407
header,header_benign_substitution,random,budget,2.0,Top-2,12,2.0,7,0.9785265196083333,0.004912253540090161,0.9699158944999999,0.9862295856625,-0.0032824787458333314,0.0007977983868473509,-0.0046811736999999645,-0.002040190837500019,0.033369416666666665,0.0055238550315628515,0.024888000000000004,0.04141549999999999,0.026749041666666664,0.004589273392280877,0.019475,0.034307,0.03506010754547974,0.006151977257312464,0.025851594798390717,0.0439977692403208,-0.023254657949973976,0.004254435131731413,-0.03104831389398405,-0.01665722838894672,-0.013951246255450392,0.0030959237326204842,-0.02060553236182998,-0.010528791011995806,0.1641054166666667,0.01871185246690064,0.13040000000000002,0.19329999999999997,0.10722375,0.011198648565228753,0.090005,0.12222999999999999
header,header_bounded_jitter,random,budget,2.0,Top-2,12,2.0,7,0.9807253410520835,0.00446251547167641,0.9725549186375001,0.98748243445,-0.0010836573020833321,0.00031634418745415884,-0.0016496394374999734,-0.0006756611624999653,0.013598083333333335,0.0028653207341800715,0.008633499999999999,0.01942,0.010043999999999999,0.0023272271232806932,0.006007499999999999,0.014910999999999999,0.014434634301975833,0.0029998931597006507,0.009080705387124794,0.019387805611681144,-0.007515727925014433,0.001852989919525956,-0.011063539967022546,-0.004587513410590914,-0.004522068052144662,0.001248358783145897,-0.007278033758346846,-0.0026382522895536777,0.07508083333333333,0.008985078564239466,0.054869999999999995,0.08817,0.0453025,0.006389223185698453,0.030974999999999996,0.058125
header,header_benign_substitution,important,budget,3.0,Top-3,12,3.0,7,0.9684386466041666,0.0072093586733072805,0.95449788575,0.9803567577500001,-0.013370351750000002,0.003159505343633402,-0.019426384999999935,-0.007913018750000056,0.11686,0.0170001568620214,0.0887,0.1504,0.10407416666666668,0.01650227229723901,0.07639,0.13801999999999998,0.12010040068835375,0.015113574097683227,0.09212246911154148,0.14551578703113846,-0.09787684960049571,0.013334637819178445,-0.1222215525913273,-0.07370160075389491,-0.06017917395804609,0.00869356265801053,-0.08080103636732346,-0.05023974413651883,0.41309999999999997,0.011439988344982416,0.39130000000000004,0.4284,0.3110416666666666,0.015213944170471465,0.28169999999999995,0.34190000000000004
header,header_bounded_jitter,important,budget,3.0,Top-3,12,3.0,7,0.9780858717708334,0.004892238776945267,0.969422268,0.98584816025,-0.0037231265833333606,0.0007685533483428756,-0.004834358250000115,-0.002421616250000014,0.04262083333333333,0.006008973093540099,0.03485,0.05406999999999999,0.032573333333333336,0.005124978590741192,0.02595,0.042760000000000006,0.04440065030197599,0.005820101625057839,0.034617300960545036,0.05461968463892776,-0.025362396829071612,0.003441701660469502,-0.03249157511831212,-0.019839286606668078,-0.015056115749752618,0.002718083994846682,-0.020832864775103134,-0.011757685651405548,0.21416666666666664,0.01059813924967754,0.2004,0.23559999999999998,0.132575,0.007444698896978081,0.1216,0.1457
