feature_group,operator,selection_type,selection_mode,selection_value,selection_label,n_weeks,n_selected_features_mean,n_candidate_features,auc_across_weeks_mean,auc_across_weeks_std,auc_across_weeks_min,auc_across_weeks_max,delta_auc_across_weeks_mean,delta_auc_across_weeks_std,delta_auc_across_weeks_min,delta_auc_across_weeks_max,flip_rate_across_weeks_mean,flip_rate_across_weeks_std,flip_rate_across_weeks_min,flip_rate_across_weeks_max,malware_to_benign_rate_across_weeks_mean,malware_to_benign_rate_across_weeks_std,malware_to_benign_rate_across_weeks_min,malware_to_benign_rate_across_weeks_max,mean_abs_probability_shift_across_weeks_mean,mean_abs_probability_shift_across_weeks_std,mean_abs_probability_shift_across_weeks_min,mean_abs_probability_shift_across_weeks_max,mean_signed_probability_shift_across_weeks_mean,mean_signed_probability_shift_across_weeks_std,mean_signed_probability_shift_across_weeks_min,mean_signed_probability_shift_across_weeks_max,mean_margin_shift_across_weeks_mean,mean_margin_shift_across_weeks_std,mean_margin_shift_across_weeks_min,mean_margin_shift_across_weeks_max,boundary_low_10_flip_rate_across_weeks_mean,boundary_low_10_flip_rate_across_weeks_std,boundary_low_10_flip_rate_across_weeks_min,boundary_low_10_flip_rate_across_weeks_max,boundary_low_10_malware_to_benign_rate_across_weeks_mean,boundary_low_10_malware_to_benign_rate_across_weeks_std,boundary_low_10_malware_to_benign_rate_across_weeks_min,boundary_low_10_malware_to_benign_rate_across_weeks_max
header,header_benign_substitution,important,budget,1.0,Top-1,12,1.0,7,0.9711606897291668,0.006794287601101103,0.9602458625000001,0.9818718132500001,-0.010207394354166647,0.0025293057883216214,-0.014032452499999981,-0.006342499250000011,0.07927333333333333,0.015519837484830684,0.05976,0.1125,0.06400416666666667,0.014343968220320191,0.046450000000000005,0.09535,0.07856463776497248,0.010889752278686672,0.061061519381110485,0.09931796573513868,-0.05383825289865261,0.009451756510297884,-0.074096034871261,-0.04082665719010263,-0.023938886835797434,0.005432739374552332,-0.035278200239404645,-0.017308808883036833,0.32955833333333334,0.027470543567408523,0.2964,0.38300000000000006,0.19876666666666667,0.02928789093730642,0.16570000000000001,0.2646
header,header_bounded_jitter,important,budget,1.0,Top-1,12,1.0,7,0.9774769612083335,0.00509339168627392,0.96969499225,0.985540003,-0.0038911228749999934,0.0007785593720771494,-0.005068395250000024,-0.0026743095000000493,0.03418583333333333,0.007505673918591337,0.02486,0.0509,0.026715000000000003,0.00559555701725336,0.020050000000000002,0.03902,0.03435968456256403,0.005124014021288298,0.025869903264709282,0.04468309573119348,-0.022741489999380003,0.003015706664349359,-0.028890949692884665,-0.01828621212418145,-0.011479765005300124,0.002302533044229888,-0.015980351182901847,-0.009374492298330738,0.1341166666666667,0.021413462795374524,0.11100000000000002,0.1879,0.0791,0.00935984330353167,0.0658,0.1036
header,header_benign_substitution,random,budget,1.0,Top-1,12,1.0,7,0.979542254071875,0.0047995884837393156,0.9707732427125001,0.987268659175,-0.0018258300114583246,0.0006323224108699338,-0.003505072287500006,-0.0009456533250000232,0.017933416666666663,0.004011105800531265,0.011365999999999998,0.025143000000000006,0.013917166666666666,0.003429603064576943,0.008622,0.0203315,0.019260134448847707,0.004474866089890195,0.012355017390385203,0.026539835992648836,-0.012206977642894669,0.0034549044632337413,-0.01880685862331494,-0.007729971157476604,-0.007235194173541525,0.002338297118742951,-0.011259552885379855,-0.00458441780805984,0.08993666666666668,0.016939681265858847,0.06621,0.12004000000000001,0.05593958333333333,0.011869538649124298,0.04115,0.08077999999999999
header,header_bounded_jitter,random,budget,1.0,Top-1,12,1.0,7,0.9807234680343749,0.004511767314083294,0.9735881375750001,0.9877985798000001,-0.0006446160489583306,0.00020095866308832264,-0.0009749463124999902,-0.0002986673874999357,0.007487208333333334,0.0016064380169899352,0.00517,0.011092499999999998,0.0054431666666666665,0.0012688082061087442,0.0035299999999999997,0.008239000000000002,0.007693776364739148,0.00136441430997434,0.00545089582399771,0.01013932451308549,-0.004178411513266486,0.0009587806159032865,-0.005973902453345353,-0.0028447914254465497,-0.0023641174012751314,0.0005076016672265735,-0.003621390670673574,-0.0017065233887940603,0.040573333333333336,0.007823150029808256,0.03157,0.06101000000000001,0.023755000000000002,0.005609590002843344,0.018125,0.040325
header,header_benign_substitution,important,budget,2.0,Top-2,12,2.0,7,0.9678727235833332,0.00784258711162244,0.9533728994999999,0.98051747625,-0.013495360499999996,0.0036950064963886934,-0.020905415500000024,-0.007696836250000017,0.1143225,0.01981517100817788,0.08314,0.15574,0.09806749999999999,0.01853138244753118,0.06829,0.1383,0.1199984868954118,0.017179154524417498,0.09110563147837457,0.1490592902984588,-0.09359963306939499,0.015295446545721432,-0.12200707738861985,-0.06999006036703556,-0.05734180391943566,0.009244442418585288,-0.07381824581550096,-0.047548509896322574,0.39248333333333335,0.01657240846172403,0.3639,0.42160000000000003,0.26835000000000003,0.017391592796520968,0.24419999999999997,0.29969999999999997
header,header_bounded_jitter,important,budget,2.0,Top-2,12,2.0,7,0.9770732180208332,0.005326338907768615,0.9684640795,0.985353583,-0.004294866062500009,0.0010362223203835789,-0.005814235500000042,-0.0028607295000000255,0.04372083333333334,0.007974985327398555,0.033460000000000004,0.060860000000000004,0.032668333333333334,0.006017344144683397,0.02431,0.045320000000000006,0.04612125106911236,0.006937930184878206,0.03528783604893756,0.05759518625007591,-0.027556709709576563,0.004426461994528992,-0.03464433348381456,-0.02028849442288042,-0.015644510033751276,0.002838611981921421,-0.02030377239751128,-0.01156183024637586,0.21219166666666667,0.021230616976956235,0.1908,0.2575,0.125425,0.009856142331899777,0.1089,0.14900000000000002
header,header_benign_substitution,random,budget,2.0,Top-2,12,2.0,7,0.9777993678697915,0.0052233136682185944,0.9695977776125,0.9859534231000001,-0.0035687162135416613,0.0009485511081521943,-0.005069708624999946,-0.002260889400000027,0.03406125000000001,0.006252396798761792,0.024766,0.04616150000000002,0.026760875,0.005195713329775647,0.018826499999999996,0.0378235,0.03614618738870983,0.006280774159783253,0.026183829061441746,0.04621510085419371,-0.0235802417751742,0.0045912269927186325,-0.03296895012586089,-0.01617414489697347,-0.013799575121824989,0.0029979110110967227,-0.019581745664349913,-0.010042149588121486,0.1612383333333333,0.019018311278578046,0.13552499999999998,0.19078499999999998,0.10030833333333332,0.012220617880814742,0.07990999999999998,0.12607500000000002
header,header_bounded_jitter,random,budget,2.0,Top-2,12,2.0,7,0.9801151099979165,0.004695450567280615,0.9725361064625,0.987291856375,-0.0012529740854166618,0.00039775734251755874,-0.0019334519999999954,-0.0007455797374999784,0.014449000000000002,0.0035340968553979005,0.008861,0.0219915,0.010437166666666666,0.0027327834279153706,0.006172500000000001,0.016534499999999997,0.015039047077169396,0.003305234081892475,0.009290536761735023,0.020182576915641706,-0.008226649721535528,0.002136750880523776,-0.012082947192333507,-0.004847315783822558,-0.004718235826648264,0.0012438968864696082,-0.006975681783869597,-0.002746372943509656,0.07734749999999999,0.012814645348844685,0.054650000000000004,0.10167500000000002,0.0444675,0.007744208185261204,0.030445000000000007,0.058225000000000006
header,header_benign_substitution,important,budget,3.0,Top-3,12,3.0,7,0.9678075940833333,0.007852588985890824,0.953308354,0.98048103275,-0.013560490000000001,0.0037057181224632073,-0.020969961000000037,-0.007733279750000021,0.114575,0.019930499868292314,0.08322,0.15646,0.09830416666666668,0.018625485433644104,0.06837,0.13892999999999997,0.12055289482511906,0.017231766169930458,0.0914730021054464,0.14987191991907656,-0.09416405388462644,0.015328204378653287,-0.12283749398706234,-0.07038183152021928,-0.05780511248630837,0.009255897545051005,-0.07416071493929705,-0.04788554161701023,0.393125,0.01729783825607504,0.3638,0.42489999999999994,0.26889166666666664,0.017752439190776632,0.24370000000000003,0.3021
header,header_bounded_jitter,important,budget,3.0,Top-3,12,3.0,7,0.9770719395624999,0.0053373872765794155,0.9685788897500001,0.9854498305,-0.0042961445208333235,0.001057783900720206,-0.005865773749999992,-0.0027644819999999904,0.043764166666666666,0.008240296776950585,0.032850000000000004,0.06109,0.032795000000000005,0.006287338467109911,0.024530000000000003,0.045930000000000006,0.04653649943577707,0.006973263929102494,0.03546635552924236,0.058425163934483534,-0.027918507022059655,0.004584707151823087,-0.03607889747585062,-0.02081396902938204,-0.016000654315971367,0.0028484094156061403,-0.020831540927300975,-0.011944756493754868,0.21063333333333334,0.02238959331673733,0.1858,0.254,0.12420833333333332,0.010405724252651629,0.1045,0.1434
