Model,View,Selection,M->B Rate (Imp),M->B Rate (Rand),Signed Shift (Imp),Signed Shift (Rand),AUC Change (Imp: Perturbed - Baseline),AUC Change (Rand: Perturbed - Baseline),Flip Rate (Imp),Flip Rate (Rand)
LR,Wild (B),1%,0.024,0.008,0.062,-0.001,0.027,-0.001,0.152,0.022
LR,Wild (B),5%,0.071,0.032,-0.028,-0.015,-0.006,-0.014,0.154,0.068
LR,Wild (B),10%,0.157,0.052,-0.111,-0.025,-0.072,-0.023,0.193,0.099
LR,Unpacked (B),1%,0.014,0.008,0.076,-0.002,0.039,-0.002,0.145,0.023
LR,Unpacked (B),5%,0.082,0.029,-0.027,-0.014,-0.019,-0.013,0.190,0.065
LR,Unpacked (B),10%,0.151,0.047,-0.123,-0.026,-0.078,-0.024,0.179,0.089
LightGBM,Wild (B),1%,0.069,0.003,-0.048,-0.001,0.013,0.000,0.166,0.008
LightGBM,Wild (B),5%,0.279,0.014,-0.189,-0.008,-0.081,0.001,0.284,0.036
LightGBM,Wild (B),10%,0.308,0.028,-0.216,-0.019,-0.084,-0.000,0.311,0.065
LightGBM,Unpacked (B),1%,0.052,0.003,-0.032,-0.001,0.018,0.001,0.154,0.010
LightGBM,Unpacked (B),5%,0.196,0.012,-0.148,-0.006,-0.057,0.001,0.223,0.035
LightGBM,Unpacked (B),10%,0.194,0.024,-0.152,-0.015,-0.049,0.001,0.220,0.060
