feature_group,perturbation_type,strength,n_weeks,n_trials_total,n_masked_features_mean,auc_original_across_weeks_mean,auc_original_across_weeks_std,auc_original_across_weeks_min,auc_original_across_weeks_max,mix_at_k_original_across_weeks_mean,mix_at_k_original_across_weeks_std,mix_at_k_original_across_weeks_min,mix_at_k_original_across_weeks_max,silhouette_original_across_weeks_mean,silhouette_original_across_weeks_std,silhouette_original_across_weeks_min,silhouette_original_across_weeks_max,js_divergence_original_across_weeks_mean,js_divergence_original_across_weeks_std,js_divergence_original_across_weeks_min,js_divergence_original_across_weeks_max,auc_mean_across_weeks_mean,auc_mean_across_weeks_std,auc_mean_across_weeks_min,auc_mean_across_weeks_max,mix_at_k_mean_across_weeks_mean,mix_at_k_mean_across_weeks_std,mix_at_k_mean_across_weeks_min,mix_at_k_mean_across_weeks_max,silhouette_mean_across_weeks_mean,silhouette_mean_across_weeks_std,silhouette_mean_across_weeks_min,silhouette_mean_across_weeks_max,js_divergence_mean_across_weeks_mean,js_divergence_mean_across_weeks_std,js_divergence_mean_across_weeks_min,js_divergence_mean_across_weeks_max,delta_auc_mean_across_weeks_mean,delta_auc_mean_across_weeks_std,delta_auc_mean_across_weeks_min,delta_auc_mean_across_weeks_max,delta_mix_at_k_mean_across_weeks_mean,delta_mix_at_k_mean_across_weeks_std,delta_mix_at_k_mean_across_weeks_min,delta_mix_at_k_mean_across_weeks_max,delta_silhouette_mean_across_weeks_mean,delta_silhouette_mean_across_weeks_std,delta_silhouette_mean_across_weeks_min,delta_silhouette_mean_across_weeks_max,delta_js_divergence_mean_across_weeks_mean,delta_js_divergence_mean_across_weeks_std,delta_js_divergence_mean_across_weeks_min,delta_js_divergence_mean_across_weeks_max
header,baseline,0.0,12,60,0.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.9491915662291667,0.012553868964072686,0.9257452222500001,0.9684803264999999,0.07890975000000001,0.0054663474417719436,0.069425,0.08646450000000001,0.11806045784345258,0.03885641007487044,0.06855893799981298,0.201455680866156,0.08158102838046156,0.012587592142101518,0.06135095867257645,0.10036399115519541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,important,0.01,12,60,1.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.8806110923541666,0.026166093195483055,0.8424294532500001,0.9231969404999999,0.07929304166666666,0.005513107912278755,0.06978799999999999,0.08687550000000001,0.11176401627115921,0.03861810250126676,0.06298093820229314,0.1951752172377556,0.0815810283334809,0.012587592129555436,0.06135095863171822,0.1003639911053743,-0.06858047387499999,0.014555890538164981,-0.09190843199999998,-0.042015572499999966,0.0003832916666666665,9.562458242465057e-05,0.00027399999999999923,0.0005635000000000001,-0.0062964415722933965,0.0006408886048717534,-0.007648093279913904,-0.0051622863631304305,-4.698067039565767e-11,1.6757233300692122e-11,-8.081376678958918e-11,-2.6090427041047802e-11
header,important,0.05,12,60,4.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.8275147131458334,0.03318280840224236,0.7826315597500001,0.8861930499999998,0.08035645833333334,0.005387058808146661,0.07054550000000001,0.0869245,0.11314222127536482,0.03944409557121849,0.06358012144245925,0.19857422495935176,0.08138775937846406,0.012666907486731651,0.061107375758709684,0.10024924710373624,-0.12167685308333333,0.02166687424768839,-0.15170632550000002,-0.07871010524999995,0.001446708333333333,0.0005665227436716218,0.0001260000000000011,0.0023825000000000014,-0.004918236568087759,0.00111535469298064,-0.006651900742753711,-0.0028814559068042534,-0.00019326900199750953,0.00016264574265678278,-0.0005882902426281311,9.276201025662234e-05
header,important,0.1,12,60,8.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.8132736244583333,0.037004785197224575,0.7449989412500001,0.879041336,0.08342187499999999,0.005399489864503407,0.07389949999999999,0.0897145,0.11474555696904758,0.039826985930250254,0.06480976579234135,0.2011050493726556,0.08115258647711764,0.012704601758325322,0.06082713075842168,0.10010558211999934,-0.1359179417708333,0.025303013978126482,-0.180746281,-0.08586181924999992,0.004512124999999999,0.0006689500207103179,0.0032204999999999985,0.005810499999999999,-0.003314900874404996,0.0013663147731570425,-0.005308624333521558,-0.000350631493500414,-0.00042844190334392326,0.0004545032957926787,-0.0016825203227355313,5.791847100128089e-05
header,random,0.01,12,1200,1.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.9465384222656249,0.013993285685262287,0.918166311125,0.9677070922625001,0.07912364791666666,0.005510791562030986,0.069490925,0.086620475,0.11817128708488694,0.03897838468550057,0.06810766956225404,0.20180431589789866,0.08213244642637449,0.012783349738129461,0.06290598968187636,0.10349988807494195,-0.0026531439635416524,0.0018294247250649357,-0.0075789111250000075,-0.0007414419999999344,0.0002138979166666666,7.571010738496566e-05,6.592499999999918e-05,0.00036499999999999976,0.00011082924143436883,0.00022281380990649951,-0.00045126843755893044,0.000357549747858619,0.0005514180459129229,0.001417251297050763,-0.0015799743287587614,0.0031358969197465346
header,random,0.05,12,1200,4.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.9379740072239583,0.014768819666040694,0.9162913701875,0.9602142662124998,0.07972767916666666,0.005593729232408687,0.07013627499999998,0.087153,0.11862296739019941,0.03895852073868591,0.0690709655134493,0.20177309896362666,0.08461040305290007,0.012438836345557229,0.06543165929895745,0.10490010098246066,-0.011217559005208324,0.003947180906082097,-0.018488180175000007,-0.00659407141249997,0.0008179291666666665,0.000211954128496723,0.0005282250000000031,0.001178124999999998,0.0005625095467468294,0.000500962352879598,-0.00010591719039058631,0.00185839861030181,0.0030293746724385125,0.002400147951829806,-0.0015079415983610814,0.00530197993553718
header,random,0.1,12,1200,8.0,0.948872509375,0.012661149333743028,0.92503348,0.96792056125,0.07863125,0.005327145450035444,0.070095,0.08634,0.11854031767880263,0.03954153552584456,0.06947324263207363,0.2011402302070201,0.08192413412630839,0.012521482868411886,0.062403186792601345,0.10003834776446219,0.9272321291239584,0.016347708511880176,0.8962288080125,0.9510875896250001,0.08063266875,0.005564713853540344,0.070822475,0.08844254999999997,0.11904197360032302,0.03916648752412573,0.06871750437178702,0.20318567524765885,0.08500712427277692,0.012194637370006315,0.06313311933523406,0.10311253215181544,-0.021959437105208323,0.0048565707966513405,-0.02951641423750002,-0.014329191374999918,0.00172291875,0.00022494507179647412,0.001397475,0.002145700000000001,0.0009815157568704416,0.0004664638194631591,0.00015856637197405362,0.0017299943815028277,0.0034260958923153606,0.002955635937006552,-0.0017036709354482516,0.009247703147484479
imports,baseline,0.0,12,60,0.0,0.9030433320833331,0.010340440784211036,0.88130156875,0.9188401962499999,0.17232250000000002,0.018453309098009137,0.13657,0.204625,0.035204917693796654,0.015590841581366638,0.02196321759468181,0.0747738659281921,0.037258025564100176,0.007739022294094845,0.024954223674516985,0.05284324861252525,0.9052737683958334,0.01006088981424189,0.8858759565,0.92114664975,0.168736875,0.016038920089276848,0.145596,0.2008105,0.035366917042373255,0.015932853703163975,0.021869016467601247,0.07709350467893446,0.03721578965291339,0.007902078164385928,0.0244587824928886,0.05327800219364144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,important,0.01,12,60,13.0,0.9030433320833331,0.010340440784211036,0.88130156875,0.9188401962499999,0.17232250000000002,0.018453309098009137,0.13657,0.204625,0.035204917693796654,0.015590841581366638,0.02196321759468181,0.0747738659281921,0.037258025564100176,0.007739022294094845,0.024954223674516985,0.05284324861252525,0.8650583426458335,0.012922143147447829,0.84113794725,0.8855788735000001,0.17101783333333334,0.015883619409805667,0.1465345,0.20233849999999998,0.034433036052023976,0.01576644761547412,0.020722221140071842,0.07590027066292857,0.07266306881758648,0.015434933829409454,0.04782351095700841,0.10398828528807107,-0.04021542575,0.0046707134352189155,-0.04712885649999998,-0.03118581224999999,0.002280958333333333,0.0022209966837204464,0.0004089999999999872,0.008950499999999997,-0.0009338809903492745,0.0004297048074104501,-0.0019355489252879457,-0.00020868312236303337,0.03544727916467309,0.007533210042381331,0.023364728464119806,0.05071028309442963
imports,important,0.05,12,60,65.0,0.9030433320833331,0.010340440784211036,0.88130156875,0.9188401962499999,0.17232250000000002,0.018453309098009137,0.13657,0.204625,0.035204917693796654,0.015590841581366638,0.02196321759468181,0.0747738659281921,0.037258025564100176,0.007739022294094845,0.024954223674516985,0.05284324861252525,0.80726096575,0.015703387083796105,0.7848623822499999,0.83089614925,0.1726825833333333,0.016430920528373395,0.1488595,0.2052585,0.033222032574173874,0.014997956309078483,0.019805226378321935,0.072622454266654,0.07276741631973128,0.015461368240224297,0.04788741700775107,0.10419967709327663,-0.09801280264583334,0.00858809375295536,-0.11754350500000002,-0.088042803,0.003945708333333333,0.0009286140985884424,0.0028374999999999984,0.005646000000000007,-0.002144884468199381,0.001220510599975407,-0.004471050412280455,-0.0003144018995739413,0.03555162666681789,0.007563226131361341,0.02342863451486247,0.050921674899635186
