seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,auc,mix_at_k,silhouette,js_divergence,delta_auc,delta_mix_at_k,delta_silhouette,delta_js_divergence
13,header,2024-09-22_2024-09-28,baseline,0.0,0,0,0.9645875074999999,0.0720175,0.17778634467449547,0.09400095758191013,0.0,0.0,0.0,0.0
13,header,2024-09-22_2024-09-28,important,0.01,0,1,0.9156229475,0.07238,0.17002865410744045,0.09400095747834607,-0.048964559999999935,0.0003625000000000017,-0.007757690567055026,-1.0356406010547659e-10
13,header,2024-09-22_2024-09-28,random,0.01,1,1,0.9645775525,0.07201,0.17778634467449547,0.09400095758186632,-9.954999999894909e-06,-7.499999999993623e-06,0.0,-4.381217610927024e-14
13,header,2024-09-22_2024-09-28,random,0.01,2,1,0.964470685,0.0719975,0.1785808918726023,0.09400075202216696,-0.00011682249999989125,-1.9999999999992246e-05,0.0007945471981068153,-2.0555974317160164e-07
13,header,2024-09-22_2024-09-28,random,0.01,3,1,0.96446675,0.0720325,0.1751427490992125,0.09400095753394733,-0.0001207574999998462,1.5000000000001124e-05,-0.0026435955752829587,-4.796280039798262e-11
13,header,2024-09-22_2024-09-28,random,0.01,4,1,0.9592918925,0.0723675,0.1756125132860029,0.08586886026161794,-0.005295614999999865,0.0003500000000000031,-0.0021738313884925586,-0.008132097320292186
13,header,2024-09-22_2024-09-28,random,0.01,5,1,0.964470685,0.0719975,0.1785808918726023,0.09400075202216696,-0.00011682249999989125,-1.9999999999992246e-05,0.0007945471981068153,-2.0555974317160164e-07
13,header,2024-09-22_2024-09-28,random,0.01,6,1,0.9631949424999999,0.0719725,0.17831266389981656,0.09400095761738747,-0.0013925649999999568,-4.500000000000337e-05,0.0005263192253210924,3.547734328535057e-11
13,header,2024-09-22_2024-09-28,random,0.01,7,1,0.9643057574999999,0.0720225,0.1778769476873656,0.09400097296796572,-0.0002817499999999695,5.0000000000050004e-06,9.06030128701163e-05,1.5386055596255943e-08
13,header,2024-09-22_2024-09-28,random,0.01,8,1,0.9644350875,0.072015,0.17833475601885893,0.09400078612139243,-0.00015241999999993094,-2.5000000000025002e-06,0.0005484113443634531,-1.7146051770056125e-07
13,header,2024-09-22_2024-09-28,random,0.01,9,1,0.9646355625,0.07203,0.17699624304958178,0.09363165274682608,4.805500000015783e-05,1.2499999999998623e-05,-0.0007901016249136916,-0.00036930483508404444
13,header,2024-09-22_2024-09-28,random,0.01,10,1,0.9645156699999999,0.072105,0.17828765443199082,0.09312389023458313,-7.183749999994937e-05,8.750000000000424e-05,0.0005013097574953496,-0.0008770673473269958
13,header,2024-09-22_2024-09-28,random,0.01,11,1,0.9643154825,0.071975,0.17883191762365985,0.09400082666288072,-0.00027202499999989804,-4.250000000000087e-05,0.0010455729491643806,-1.309190294090934e-07
13,header,2024-09-22_2024-09-28,random,0.01,12,1,0.9630473450000001,0.072015,0.17836192776861137,0.0940008808874193,-0.0015401624999997754,-2.5000000000025002e-06,0.0005755830941159001,-7.669449082758906e-08
13,header,2024-09-22_2024-09-28,random,0.01,13,1,0.9646355625,0.07203,0.17699624304958178,0.09363165274682608,4.805500000015783e-05,1.2499999999998623e-05,-0.0007901016249136916,-0.00036930483508404444
13,header,2024-09-22_2024-09-28,random,0.01,14,1,0.9646996225,0.0720675,0.1786791329946949,0.09400095074287207,0.00011211500000007923,5.000000000000837e-05,0.000892788320199428,-6.839038058092939e-09
