feature_group,perturbation_type,strength,n_weeks,n_trials_total,n_masked_features_mean,auc_original_across_weeks_mean,auc_original_across_weeks_std,auc_original_across_weeks_min,auc_original_across_weeks_max,mix_at_k_original_across_weeks_mean,mix_at_k_original_across_weeks_std,mix_at_k_original_across_weeks_min,mix_at_k_original_across_weeks_max,silhouette_original_across_weeks_mean,silhouette_original_across_weeks_std,silhouette_original_across_weeks_min,silhouette_original_across_weeks_max,js_divergence_original_across_weeks_mean,js_divergence_original_across_weeks_std,js_divergence_original_across_weeks_min,js_divergence_original_across_weeks_max,auc_mean_across_weeks_mean,auc_mean_across_weeks_std,auc_mean_across_weeks_min,auc_mean_across_weeks_max,mix_at_k_mean_across_weeks_mean,mix_at_k_mean_across_weeks_std,mix_at_k_mean_across_weeks_min,mix_at_k_mean_across_weeks_max,silhouette_mean_across_weeks_mean,silhouette_mean_across_weeks_std,silhouette_mean_across_weeks_min,silhouette_mean_across_weeks_max,js_divergence_mean_across_weeks_mean,js_divergence_mean_across_weeks_std,js_divergence_mean_across_weeks_min,js_divergence_mean_across_weeks_max,delta_auc_mean_across_weeks_mean,delta_auc_mean_across_weeks_std,delta_auc_mean_across_weeks_min,delta_auc_mean_across_weeks_max,delta_mix_at_k_mean_across_weeks_mean,delta_mix_at_k_mean_across_weeks_std,delta_mix_at_k_mean_across_weeks_min,delta_mix_at_k_mean_across_weeks_max,delta_silhouette_mean_across_weeks_mean,delta_silhouette_mean_across_weeks_std,delta_silhouette_mean_across_weeks_min,delta_silhouette_mean_across_weeks_max,delta_js_divergence_mean_across_weeks_mean,delta_js_divergence_mean_across_weeks_std,delta_js_divergence_mean_across_weeks_min,delta_js_divergence_mean_across_weeks_max
header,baseline,0.0,12,60,0.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.9491776397777777,0.012547077275446652,0.9262685724444445,0.968255832888889,0.06934727777777779,0.00498292506286205,0.06102733333333334,0.07642933333333332,0.11821097774990985,0.04016585298494743,0.0691575622024568,0.20335665318915988,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,important,0.01,12,60,1.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.880718414962963,0.026241474280354525,0.842261508,0.9231280635555554,0.06966611111111111,0.005018777708900645,0.06131266666666666,0.07678066666666666,0.11190910243493878,0.03995803762192671,0.06314152169129553,0.19728567417858608,0.08156766332304329,0.012666096958758472,0.06184048800801663,0.10090729809679758,-0.0684592248148148,0.014551264857778284,-0.09153360266666663,-0.04204763911111107,0.00031883333333333454,7.939359289383772e-05,0.0001813333333333389,0.0004440000000000027,-0.006301875314971099,0.000669212364450868,-0.007640827092455576,-0.005064299502430272,-4.6888301574732335e-11,1.6689345151228248e-11,-8.052031819083539e-11,-2.6050742119032578e-11
header,important,0.05,12,60,4.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.8274450629629628,0.03318757885818826,0.7825503688888888,0.8858566764444443,0.07090961111111112,0.005012900213695572,0.06207866666666666,0.07718333333333333,0.11324935902934906,0.04087583946320663,0.06346021639162716,0.20078478512962775,0.08137611807570724,0.012743975295692824,0.061620595115232234,0.10078622142713667,-0.12173257681481482,0.02157795469791649,-0.15124474177777777,-0.07931902622222223,0.0015623333333333333,0.000700241096046636,0.0007286666666666636,0.0028499999999999997,-0.004961618720560781,0.0012843799105463774,-0.006870099297994614,-0.0025718680595320843,-0.00019154529422435636,0.00016289283307070239,-0.0005914169540737563,0.0001101572637335707
header,important,0.1,12,60,8.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.813243406777778,0.037165034787020046,0.7444719635555556,0.8793005377777778,0.07442027777777778,0.004963653004095042,0.06573133333333334,0.08078466666666666,0.11491286198096201,0.04124017514215883,0.06481581462258862,0.20312079722540544,0.08114682104759888,0.012782246317782969,0.06133407533374803,0.10066453278030855,-0.135934233,0.02544569238666235,-0.18179660888888888,-0.08587516488888877,0.005073000000000001,0.000798350452147705,0.004050666666666666,0.0063980000000000035,-0.0032981157689478216,0.0014613326094882564,-0.0055343760215524175,-0.00023585596375442776,-0.0004208423223327271,0.0004383702845685744,-0.0016191712299986395,5.901754218881616e-05
header,random,0.01,12,1200,1.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.9465181897907406,0.013983138616628938,0.9185965900444444,0.9674777696888889,0.069575975,0.00501328983442131,0.06113256666666666,0.07658366666666666,0.11831533520970013,0.04029847486853996,0.06867807641365785,0.20372533211737331,0.08207486426600766,0.012845560055646028,0.0633677838703346,0.10388976437815987,-0.0026594499870370245,0.001851035515340685,-0.007671982399999987,-0.0007358649555555352,0.00022869722222222273,6.663016147519082e-05,0.00010523333333333183,0.00034580000000000304,0.00010435745979030582,0.0002275129554525984,-0.00047948578879893045,0.00036867892821348974,0.0005072008960760598,0.0013952974279398114,-0.0015725629191744284,0.002982466231414078
header,random,0.05,12,1200,4.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.9379783823037037,0.014752150610615172,0.9167458967333334,0.9599400442000002,0.07019061944444444,0.0050805777313736,0.06178993333333334,0.07713163333333334,0.11875744740948961,0.0402704989008057,0.06966012401662755,0.20373422474683353,0.08448780283159046,0.012490576081084566,0.06587569033071412,0.1051344544245796,-0.01119925747407406,0.003928299078863065,-0.01851856195555551,-0.006569173333333296,0.0008433416666666673,0.0002148603974526682,0.0005546666666666671,0.001349700000000001,0.0005464696595797674,0.0005225082257913698,-0.00011941869392881971,0.0018896614254427255,0.0029201394616588734,0.002405928038306806,-0.0016365957866190611,0.0054246334496573685
header,random,0.1,12,1200,8.0,0.9485360077777778,0.012775725577807337,0.9252614577777778,0.9679081511111113,0.06929555555555555,0.00497342462184115,0.06093666666666667,0.07631333333333333,0.11807175683646197,0.04030226506382205,0.06895030066171597,0.20362627094067598,0.0815676633699316,0.012666096971302233,0.06184048804875904,0.10090729814674582,0.9272247621722224,0.016361073539858825,0.8965754547111109,0.9508654946,0.07108994722222223,0.005061468012921309,0.062467800000000004,0.07846456666666667,0.11915222070098457,0.040481905197822014,0.06917843432763326,0.20507775081980817,0.08482388816489739,0.012242814681045612,0.06348158245983473,0.10261919442424665,-0.021952877605555535,0.0048635577351069685,-0.029693117733333305,-0.014310208066666625,0.0017426694444444446,0.00024171262492439196,0.0014404666666666649,0.0021315333333333337,0.0009412429510746913,0.0005123145612245647,2.087212517648547e-05,0.0017210976306483465,0.0032562247949657875,0.0028932647420547683,-0.0019234533422877811,0.0088333054844936
imports,baseline,0.0,12,60,0.0,0.9027711588888888,0.010760588731709021,0.8797470088888889,0.9182243888888888,0.15383750000000002,0.026773051667709675,0.11588,0.22159166666666666,0.03539814074551662,0.015776603074005597,0.020606459587995927,0.07419502376225974,0.0371720136631194,0.007857677226295826,0.024527607293849216,0.05323464979750463,0.9052723336296297,0.010231219578821898,0.8854379564444445,0.9206532555555554,0.15513375,0.025570952936415748,0.11937433333333333,0.21910333333333334,0.03534040466902388,0.015696812154251085,0.020564352214940358,0.07390031958125476,0.0371720136631194,0.007857677226295826,0.024527607293849216,0.05323464979750463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,important,0.01,12,60,13.0,0.9027711588888888,0.010760588731709021,0.8797470088888889,0.9182243888888888,0.15383750000000002,0.026773051667709675,0.11588,0.22159166666666666,0.03539814074551662,0.015776603074005597,0.020606459587995927,0.07419502376225974,0.0371720136631194,0.007857677226295826,0.024527607293849216,0.05323464979750463,0.8651902534444446,0.013042825765991473,0.8410089800000001,0.8853396195555556,0.1563461111111111,0.025732964983810645,0.120322,0.22019366666666668,0.03447974236949805,0.015543621219264957,0.019464374797889587,0.07271285807367675,0.07257880262855969,0.015352309361189592,0.04795355411773748,0.10391609356792642,-0.040082080185185186,0.004698542236724544,-0.04699638533333341,-0.031072168000000056,0.0012123611111111107,0.0016910534217328336,-0.003171333333333337,0.0048586666666666665,-0.0008606622995258256,0.0004107435087397351,-0.00174410835931402,-0.00014238505958979601,0.03540678896544028,0.007494974222983882,0.023425946823888273,0.05068144377042179
imports,important,0.05,12,60,65.0,0.9027711588888888,0.010760588731709021,0.8797470088888889,0.9182243888888888,0.15383750000000002,0.026773051667709675,0.11588,0.22159166666666666,0.03539814074551662,0.015776603074005597,0.020606459587995927,0.07419502376225974,0.0371720136631194,0.007857677226295826,0.024527607293849216,0.05323464979750463,0.8074185935925926,0.015952762739288574,0.7846840280000001,0.8309753991111112,0.15918427777777777,0.025454114150046163,0.12565633333333331,0.22254733333333335,0.033339497523477216,0.014822571572587387,0.018655537846188425,0.06951107983990168,0.07267882411970579,0.01537222461808991,0.048036905713607005,0.10409029975574624,-0.09785374003703702,0.00865330265579438,-0.11722445600000009,-0.08785582266666676,0.004050527777777779,0.0024733356897949756,-0.0014240000000000086,0.008513333333333328,-0.0020009071455466586,0.0012264689296545273,-0.004389239741353096,-0.00010156602736554193,0.03550681045658637,0.007518596102437797,0.023509298419757785,0.050855649958241614
