feature_group,perturbation_type,strength,n_weeks,n_trials_total,n_masked_features_mean,auc_original_across_weeks_mean,auc_original_across_weeks_std,auc_original_across_weeks_min,auc_original_across_weeks_max,mix_at_k_original_across_weeks_mean,mix_at_k_original_across_weeks_std,mix_at_k_original_across_weeks_min,mix_at_k_original_across_weeks_max,silhouette_original_across_weeks_mean,silhouette_original_across_weeks_std,silhouette_original_across_weeks_min,silhouette_original_across_weeks_max,js_divergence_original_across_weeks_mean,js_divergence_original_across_weeks_std,js_divergence_original_across_weeks_min,js_divergence_original_across_weeks_max,auc_mean_across_weeks_mean,auc_mean_across_weeks_std,auc_mean_across_weeks_min,auc_mean_across_weeks_max,mix_at_k_mean_across_weeks_mean,mix_at_k_mean_across_weeks_std,mix_at_k_mean_across_weeks_min,mix_at_k_mean_across_weeks_max,silhouette_mean_across_weeks_mean,silhouette_mean_across_weeks_std,silhouette_mean_across_weeks_min,silhouette_mean_across_weeks_max,js_divergence_mean_across_weeks_mean,js_divergence_mean_across_weeks_std,js_divergence_mean_across_weeks_min,js_divergence_mean_across_weeks_max,delta_auc_mean_across_weeks_mean,delta_auc_mean_across_weeks_std,delta_auc_mean_across_weeks_min,delta_auc_mean_across_weeks_max,delta_mix_at_k_mean_across_weeks_mean,delta_mix_at_k_mean_across_weeks_std,delta_mix_at_k_mean_across_weeks_min,delta_mix_at_k_mean_across_weeks_max,delta_silhouette_mean_across_weeks_mean,delta_silhouette_mean_across_weeks_std,delta_silhouette_mean_across_weeks_min,delta_silhouette_mean_across_weeks_max,delta_js_divergence_mean_across_weeks_mean,delta_js_divergence_mean_across_weeks_std,delta_js_divergence_mean_across_weeks_min,delta_js_divergence_mean_across_weeks_max
header,baseline,0.0,12,60,0.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.9482616189583334,0.01311239354586918,0.9249406927500001,0.9683249115000001,0.08035404166666665,0.006268337410677351,0.0693635,0.08880600000000001,0.1209032221354465,0.04038274145937251,0.07224639199522305,0.20626730178848388,0.08116902985957673,0.012926201689507548,0.060596939187888756,0.10000966903008135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,important,0.01,12,60,1.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.8763460916249999,0.027478905374058615,0.8372535432499999,0.9210972925,0.08078566666666667,0.006304854387471787,0.06978999999999999,0.0892065,0.11466731068980414,0.040195224222955475,0.06671380741746251,0.2001872371650062,0.08116902981272005,0.012926201676224632,0.060596939148045335,0.10000966897942516,-0.07191552733333333,0.015278986288703195,-0.09517361249999996,-0.044165220499999956,0.0004316250000000003,9.426693592311842e-05,0.0003280000000000061,0.0006135000000000001,-0.00623591144564234,0.00068503656783628,-0.007690718679683078,-0.005098979169148735,-4.685668161345339e-11,1.725892867167388e-11,-8.12753198076166e-11,-2.625900330510689e-11
header,important,0.05,12,60,4.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.8347356445833333,0.0337368692094827,0.78513639575,0.8929369919999999,0.08116541666666667,0.0061593485445341975,0.0703525,0.088838,0.11604748423761213,0.04097903831085468,0.06695577186144379,0.20325560417847566,0.08105910629796284,0.012980572207490979,0.06040742980550386,0.09998344193908834,-0.11352597437499999,0.021280633902733666,-0.13980429700000002,-0.07193399150000004,0.0008113750000000004,0.00039131003932304083,3.19999999999987e-05,0.0014495000000000007,-0.004855737897834378,0.0010414766412160201,-0.006094946265455014,-0.0030116976100082347,-0.00010992356161389239,0.00010629875865341909,-0.00034842948309921626,8.01953191772814e-05
header,important,0.1,12,60,8.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.7849493893125,0.03342095700023044,0.7237457199999999,0.85052823525,0.08470070833333332,0.006232896295257173,0.0736235,0.09214549999999999,0.11836831758928622,0.041504292037389874,0.06864988066187208,0.20691346355753115,0.08072573106179409,0.013051818475051314,0.05995047908486362,0.09983571221383805,-0.16331222964583333,0.02260928937487678,-0.20119497275000003,-0.11434274824999995,0.004346666666666666,0.0007362500235804565,0.003339500000000001,0.005759,-0.0025349045461603176,0.001503530180903913,-0.004521246738983384,0.0006461617690472598,-0.0004432987977826307,0.0004893575286979032,-0.0017493191189095953,7.26154587728095e-05
header,random,0.01,12,1200,1.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.9457106817864585,0.014556225532976962,0.9172162055875,0.9676726309,0.08055488958333332,0.0063044641328293015,0.06943179999999999,0.088965975,0.12100886577965854,0.04051266535076924,0.07178647807391406,0.20662670246004777,0.08165281080179719,0.01303925095698102,0.062197498712628016,0.10277017119344548,-0.0025509371718749965,0.0018617417216620013,-0.007724487162500026,-0.0006522805999999793,0.00020084791666666714,6.667573541833976e-05,6.829999999999877e-05,0.00034780000000000157,0.00010564364421201176,0.00022515336393658675,-0.00045991392130898494,0.00037833319868483596,0.00048378094222045433,0.001364082099736116,-0.0015751089164672955,0.00276050216336414
header,random,0.05,12,1200,4.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.9373448666833334,0.01538177007496312,0.9156291517499998,0.9600365394375,0.08114625625,0.006395993169157458,0.07003732500000001,0.08949902500000001,0.12147249246442271,0.04048620816810791,0.07278472220198717,0.2066130439100768,0.08406939221165334,0.012650012951860613,0.064827492247989,0.10359491951504422,-0.010916752274999999,0.003796063062709153,-0.017532887350000005,-0.006283734462500026,0.0007922145833333341,0.00021151681854384512,0.0005060249999999994,0.0012010500000000028,0.0005692703289762,0.0005381239730427962,-0.00013407635250268197,0.001969529617074696,0.0029003623520766097,0.0024025565098381805,-0.0017093475270111196,0.005501873325391146
header,random,0.1,12,1200,8.0,0.9481473508333332,0.012914023841814823,0.9246101124999999,0.9678123624999999,0.08020875,0.0062643260395007115,0.068815,0.088395,0.12132031238242987,0.04160854967866064,0.07528717597500052,0.2094270210602148,0.08148005465267978,0.013257289771178769,0.061670712038664394,0.10019453707669099,0.9271696802604167,0.017410257160428943,0.8949600937999999,0.9524277567874999,0.08202560624999998,0.0063496606560502255,0.0707434,0.09073732499999997,0.12190776547365202,0.04069731987750573,0.07233373132511532,0.20808861942348897,0.08455948925252615,0.012391421247212316,0.06291292421593377,0.10242437394631654,-0.02109193869791666,0.00549388383170655,-0.029980598950000034,-0.012456302874999976,0.001671564583333334,0.0002246036275907172,0.0013799,0.0020878999999999993,0.0010045433382055177,0.0004923226428871059,8.733932989226146e-05,0.0018213176350050705,0.003390459392949432,0.002824429872545935,-0.001612770781699524,0.008969531614610251
imports,baseline,0.0,12,60,0.0,0.905778508125,0.011683616441895492,0.88483705875,0.9227349775,0.17100416666666665,0.021148364479053428,0.1403375,0.1992225,0.03814254479474072,0.018646530574942574,0.02043953096946627,0.08343254754168761,0.037699840196357304,0.008218200663943857,0.02476467193676225,0.054752138204564774,0.9049708636041668,0.011665361765089421,0.8845177435,0.9240267265,0.169344375,0.017498661432288905,0.148868,0.19795200000000002,0.038111532277975306,0.017670658864696716,0.022116073165700113,0.08331447139228684,0.03776759697812436,0.008327045818846374,0.024416065533682356,0.05472720793203813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imports,important,0.01,12,60,13.0,0.905778508125,0.011683616441895492,0.88483705875,0.9227349775,0.17100416666666665,0.021148364479053428,0.1403375,0.1992225,0.03814254479474072,0.018646530574942574,0.02043953096946627,0.08343254754168761,0.037699840196357304,0.008218200663943857,0.02476467193676225,0.054752138204564774,0.8559115520625,0.01545468377808694,0.83080876375,0.8774480665000001,0.17154604166666665,0.017863313741038188,0.150815,0.20037849999999996,0.03715473134411224,0.017343324481753433,0.021694727862408742,0.08169569556772747,0.06583508617104646,0.014530976174564949,0.04252742672627734,0.09535098189026796,-0.04905931154166664,0.005816094152122368,-0.058898782000000004,-0.03839224749999996,0.0022016666666666647,0.0010410979047247306,0.0009084999999999955,0.004919500000000005,-0.0009568009338630579,0.0005068882542031091,-0.0020692096020706054,-0.0001375260571949144,0.0280674891929221,0.006204388737519645,0.018111361192594988,0.04062377395822984
imports,important,0.05,12,60,65.0,0.905778508125,0.011683616441895492,0.88483705875,0.9227349775,0.17100416666666665,0.021148364479053428,0.1403375,0.1992225,0.03814254479474072,0.018646530574942574,0.02043953096946627,0.08343254754168761,0.037699840196357304,0.008218200663943857,0.02476467193676225,0.054752138204564774,0.7995831592916668,0.023216926366155927,0.7640930477500001,0.8314623080000001,0.1730725,0.01793869691244787,0.15188550000000003,0.20232100000000003,0.0363420822136896,0.016756366129657575,0.021503922439919464,0.07934816561552635,0.07240436584010283,0.015860638052812046,0.04683416662696603,0.10468765170829282,-0.1053877043125,0.017063839669625675,-0.14568432000000014,-0.08499419175000004,0.003728124999999999,0.0011878687168798043,0.0020469999999999933,0.005830000000000002,-0.001769450064285704,0.001130014870613075,-0.003966305776760479,-9.198300505003365e-05,0.034636768861978494,0.0075376464764990506,0.022418101093283675,0.04996044377625469
