Model,Subset,Masking,k=5,k=10,k=15,k=20
LR,Header,Important,0.0050,0.0045,0.0040,0.0037
LR,Header,Random,0.0017,0.0017,0.0017,0.0016
LR,Imports,Important,0.0044,0.0051,0.0060,0.0065
LR,Imports,Random,0.0006,0.0005,0.0000,0.0001
LightGBM-gain,Header,Important,0.0167,0.0155,0.0147,0.0142
LightGBM-gain,Header,Random,0.0017,0.0017,0.0017,0.0016
LightGBM-gain,Imports,Important,0.0175,0.0183,0.0179,0.0201
LightGBM-gain,Imports,Random,0.0006,0.0005,0.0000,0.0001
LightGBM-permutation,Header,Important,0.0253,0.0206,0.0182,0.0166
LightGBM-permutation,Header,Random,0.0017,0.0017,0.0017,0.0016
LightGBM-permutation,Imports,Important,0.0143,0.0147,0.0159,0.0162
LightGBM-permutation,Imports,Random,0.0006,0.0005,0.0003,0.0001
