feature_group,perturbation_type,strength,n_trials,n_masked_features_mean,flip_rate_mean,flip_rate_std,flip_rate_median,flip_rate_min,flip_rate_max,flip_rate_q1,flip_rate_q3,benign_to_malware_rate_mean,benign_to_malware_rate_std,benign_to_malware_rate_median,benign_to_malware_rate_min,benign_to_malware_rate_max,benign_to_malware_rate_q1,benign_to_malware_rate_q3,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_median,malware_to_benign_rate_min,malware_to_benign_rate_max,malware_to_benign_rate_q1,malware_to_benign_rate_q3,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_median,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_abs_probability_shift_q1,mean_abs_probability_shift_q3,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_median,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_signed_probability_shift_q1,mean_signed_probability_shift_q3,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_median,mean_margin_shift_min,mean_margin_shift_max,mean_margin_shift_q1,mean_margin_shift_q3
header,important,0.01,60,1.0,0.025694166666666667,0.018051051658344516,0.025787499999999998,0.00635,0.069225,0.0082125,0.0338375,0.01656625,0.01253185592882528,0.0190125,0.002375,0.044975,0.00328125,0.025425,0.00109875,0.0009305959671987983,0.0010500000000000002,0.0,0.00325,0.00014375,0.001825,0.05274511309004373,0.027675410002083393,0.06953257783728645,0.015545051905135755,0.08970799497443639,0.019655464205012227,0.07593561042596306,0.03782014117932413,0.03646012787894277,0.05494948841810211,-0.009071258753895197,0.08278557329956736,-0.005692208897203347,0.06998082357787076,-0.04293649354623536,0.024023720797742353,-0.04474614594368589,-0.08214829874872034,-0.01261652144640259,-0.06648830015849985,-0.016536403694508782
header,important,0.05,60,4.0,0.13650083333333332,0.017753132333165573,0.1355125,0.1015,0.1772,0.12276875,0.14864375000000002,0.09720791666666666,0.013000483558047199,0.0965,0.071525,0.134525,0.08755625,0.1047125,0.005632916666666667,0.0026749824441272304,0.004775,0.002325,0.01405,0.0037437499999999997,0.007106250000000001,0.20333658237636357,0.010175923333079012,0.2041436533375079,0.18106010307027803,0.22196161218428243,0.19612361520021715,0.2096253924252835,0.13259843516820097,0.009964684701785008,0.1311484260716831,0.1145022380278016,0.15540859375718305,0.12404020839377944,0.1393601068996939,-0.16000599198113516,0.0071686615238556375,-0.1595509929395849,-0.17717249071469546,-0.14740235577707378,-0.16413460800023041,-0.15401314158633372
header,important,0.1,60,8.0,0.19904374999999996,0.029183963070851655,0.1992,0.138425,0.26765,0.1783375,0.2159125,0.12626,0.030111379078348443,0.11845,0.079725,0.203025,0.103825,0.14165624999999998,0.03361875,0.0310834433504532,0.019375,0.003725,0.11825,0.01149375,0.04110625,0.33008758312341885,0.01790082843157757,0.33712221556040367,0.2968831232073683,0.36277796203557555,0.3133490537543674,0.3436029831816265,0.07711155267565985,0.02777528801470225,0.07960919827739028,0.026808465123024126,0.1318865171664939,0.05112136182193594,0.09918922914900036,-0.3006415182592001,0.024649014378038393,-0.31088404320631713,-0.3400545150045156,-0.26158656655291795,-0.32139389061565765,-0.2741418789558538
header,random,0.01,1200,1.0,0.007561625,0.012482935196073679,0.0018625,0.0,0.071625,5e-05,0.00820625,0.002961125,0.0066622337489795165,0.00025,0.0,0.04645,0.0,0.00155,0.0016847291666666664,0.0036045828222531716,0.000325,0.0,0.025,0.0,0.0014562499999999999,0.021457329339930158,0.02752615345081727,0.0069854070014488045,8.239936510889834e-20,0.10174775094751187,0.0003922500000000002,0.03388012001665488,0.001332284410749963,0.021529670209749194,-6.450000000000004e-06,-0.06341996758745953,0.08120200175033362,-0.004093200876783304,0.0014362089134893462,-0.01839373454844887,0.023588905715446987,-0.005853720347101731,-0.09402790197577574,0.0003370928571428572,-0.031057129051013217,-0.00029864643347154616
header,random,0.05,1200,4.0,0.026228729166666666,0.022727900487561157,0.02165,0.0,0.13795,0.00839375,0.03728125,0.011693083333333333,0.014939892523644726,0.005075,0.0,0.09545,0.001325,0.01741875,0.005163770833333334,0.0060260250208283486,0.002975,0.0,0.05005,0.00135,0.006625,0.07459645265458363,0.04277217057161785,0.07618346583746427,0.00021420000000000035,0.24150564970791757,0.038957178730510494,0.10284613897639219,0.005958599520211739,0.038251188416876074,0.0002486931543005885,-0.10320545832442869,0.13659356178509538,-0.01751034637459186,0.031040459208578276,-0.06565909750361591,0.038416829263739134,-0.06614687521454339,-0.20733361919201035,-0.0002006619047619049,-0.09005177539912426,-0.034050406217628476
header,random,0.1,1200,8.0,0.0503408125,0.03457163083829009,0.0429125,0.000725,0.32245,0.025993750000000003,0.06853125,0.025699687500000002,0.02687347938345865,0.017849999999999998,7.5e-05,0.2625,0.005725,0.036768749999999996,0.008717854166666667,0.00959892498753025,0.0055875000000000005,0.0,0.08435,0.002675,0.010925,0.13330517678678294,0.05024549851857912,0.13164440990010232,0.0028785435420721787,0.29380256078011335,0.09895004149310517,0.16695720458194707,0.01133454724039456,0.04945790217135002,0.008637460287486888,-0.10389417247124709,0.2500224402127621,-0.02425505866996621,0.043849149528212866,-0.11948149675315735,0.04599287094652021,-0.11747861712106472,-0.28064560371937697,-0.0023920728875986815,-0.15042886971453406,-0.0879916277196872
imports,important,0.01,60,13.0,0.04203916666666667,0.019155546067363596,0.033424999999999996,0.01655,0.0858,0.026481249999999998,0.0584375,0.007150000000000001,0.0023358572659018927,0.00645,0.003375,0.01135,0.005125,0.00935625,0.025320416666666665,0.014808439662673971,0.019799999999999998,0.004925,0.0577,0.01358125,0.03699375,0.10752602779227301,0.01695885465259095,0.1038255799592748,0.07561629603542237,0.14237634223317736,0.09383378572361678,0.12112936000692079,-0.05416759928173939,0.016505173007479532,-0.05387186993942305,-0.08862046377596633,-0.0213939562458618,-0.0651890013064799,-0.044227825479159766,-0.09935211986967074,0.015049808316309829,-0.0985876362686584,-0.13001685572445545,-0.0693827167478778,-0.11138816376516762,-0.08650927393522113
imports,important,0.05,60,65.0,0.09343875,0.057783920309668904,0.0669375,0.03105,0.222275,0.049056249999999996,0.13059374999999998,0.006439166666666667,0.0029947188469407644,0.0068000000000000005,0.000775,0.0117,0.00485,0.008624999999999999,0.0736025,0.054871640500808797,0.0484125,0.015775,0.18675,0.029243750000000002,0.11361875,0.19029575480327846,0.02337013551485188,0.18553237297135572,0.1520520551137422,0.2393450104923747,0.17178943717148246,0.21023667135359414,-0.08066406067665981,0.024220081481530917,-0.08082904843949258,-0.1322294326620122,-0.03180159430932724,-0.09740711207091657,-0.0631382500260174,-0.17843450586204895,0.018168343090944478,-0.17682813952212167,-0.22000191226407015,-0.14507645308643097,-0.1898581064051974,-0.16487757168319794
imports,important,0.1,60,129.0,0.12345833333333331,0.04941566820239193,0.1124375,0.0494,0.270325,0.0854625,0.15871875000000002,0.008922083333333334,0.0035740939751292993,0.008425,0.0035,0.02345,0.0066625,0.010725,0.09970875,0.04898610896319656,0.0896625,0.026625,0.243975,0.06021875,0.13693125,0.2130462804556938,0.022140563069820877,0.2109305774356806,0.17588645632792543,0.25721884182690713,0.19551929243210242,0.23042441710190834,-0.07774410393066512,0.023590588913210156,-0.07775892414096733,-0.12496844292057731,-0.03002196721693111,-0.09491853708309611,-0.06248479129131196,-0.1985600645850778,0.017988178537469996,-0.19767213269866507,-0.23314373067445013,-0.16628456558151886,-0.21374528689135816,-0.1849484752966547
imports,random,0.01,1200,13.0,0.0024204583333333335,0.0022234971980937047,0.001775,7.5e-05,0.021625,0.0011,0.002875,0.0003936666666666667,0.0009534976694022674,0.000175,0.0,0.01155,0.0001,0.00030625,0.0010157916666666666,0.0010634376246857276,0.0007,2.5e-05,0.009125,0.000375,0.001225,0.008636786752155573,0.007041365613022418,0.006822017534441418,0.0007451110648502288,0.057752833481622246,0.004437703412849471,0.010408770690739942,-0.0030659996235937116,0.004367616142835615,-0.001942983153872706,-0.030521316283700486,0.009581651110824584,-0.004445578207470944,-0.0003960608289694558,-0.007322946268297281,0.0066024293431921465,-0.005585558130356102,-0.05480737625923795,-0.00045350940310106614,-0.008762581081122189,-0.003393971243123365
imports,random,0.05,1200,65.0,0.00927225,0.004411437282318919,0.0082,0.002625,0.036425,0.006275,0.011275,0.001524791666666667,0.0020427021927495667,0.0008,7.5e-05,0.018975,0.00055,0.0015,0.0041663125,0.002327416317473896,0.00355,0.0008,0.018175,0.0025,0.00525,0.03808807509663151,0.013661144561361046,0.03486438922576397,0.013734638124888949,0.11651155717489944,0.028500359885786253,0.04478759942422375,-0.014194196235053221,0.009569995990499605,-0.012359734854283091,-0.05963306506071435,0.007959132758041072,-0.019411318240703412,-0.007199020127179151,-0.034537627760255624,0.013444136669239121,-0.03121363834479493,-0.11376758208387822,-0.012038779632294364,-0.04067663642406624,-0.025204729200075472
imports,random,0.1,1200,129.0,0.0172639375,0.00639374417694831,0.0160375,0.0057,0.056375,0.01274375,0.020725,0.002685979166666667,0.0026244481125370545,0.0017,0.000225,0.01925,0.00109375,0.00308125,0.0087043125,0.004341790582794585,0.0076,0.00215,0.0426,0.00585,0.01050625,0.07052903696479347,0.01719314268739489,0.06805108866341647,0.030902435834287246,0.15133784121352178,0.057738451946475505,0.08116053638830006,-0.027337242221213566,0.013538240729972305,-0.025726896137699955,-0.08079849283429906,0.009542857983306343,-0.035870573165061995,-0.01719998071516204,-0.06529892602336523,0.017212791180847373,-0.06251394318246922,-0.14546841853428455,-0.027385407652339648,-0.07599189405916118,-0.052357487406249056
