Setting,Subset,Strength,Delta AUC (Imp),Delta Mix (Imp)
Baseline,Header,1%,0.068,0.0003
Baseline,Header,5%,0.122,0.0016
Baseline,Header,10%,0.136,0.0051
Baseline,Imports,1%,0.040,0.0012
Baseline,Imports,5%,0.098,0.0041
Baseline,Imports,10%,0.138,0.0052
Controlled,Header,1%,0.069,0.0004
Controlled,Header,5%,0.122,0.0014
Controlled,Header,10%,0.136,0.0045
Controlled,Imports,1%,0.040,0.0023
Controlled,Imports,5%,0.098,0.0039
Controlled,Imports,10%,0.138,0.0051
Robustness,Header,1%,0.072,0.0004
Robustness,Header,5%,0.114,0.0008
Robustness,Header,10%,0.163,0.0043
Robustness,Imports,1%,0.049,0.0022
Robustness,Imports,5%,0.105,0.0037
Robustness,Imports,10%,0.145,0.0042
