feature_group,operator,test_week,selection_type,selection_mode,selection_value,n_trials,n_selected_features,n_candidate_features,auc_mean,auc_std,auc_min,auc_max,delta_auc_mean,delta_auc_std,delta_auc_min,delta_auc_max,flip_rate_mean,flip_rate_std,flip_rate_min,flip_rate_max,malware_to_benign_rate_mean,malware_to_benign_rate_std,malware_to_benign_rate_min,malware_to_benign_rate_max,mean_abs_probability_shift_mean,mean_abs_probability_shift_std,mean_abs_probability_shift_min,mean_abs_probability_shift_max,mean_signed_probability_shift_mean,mean_signed_probability_shift_std,mean_signed_probability_shift_min,mean_signed_probability_shift_max,mean_margin_shift_mean,mean_margin_shift_std,mean_margin_shift_min,mean_margin_shift_max,boundary_low_10_flip_rate_mean,boundary_low_10_flip_rate_std,boundary_low_10_flip_rate_min,boundary_low_10_flip_rate_max,boundary_low_10_malware_to_benign_rate_mean,boundary_low_10_malware_to_benign_rate_std,boundary_low_10_malware_to_benign_rate_min,boundary_low_10_malware_to_benign_rate_max,boundary_low_20_flip_rate_mean,boundary_low_20_flip_rate_std,boundary_low_20_flip_rate_min,boundary_low_20_flip_rate_max,boundary_low_20_malware_to_benign_rate_mean,boundary_low_20_malware_to_benign_rate_std,boundary_low_20_malware_to_benign_rate_min,boundary_low_20_malware_to_benign_rate_max
header,header_benign_substitution,2024-09-22_2024-09-28,baseline,baseline,0.0,5,0,7,0.9897690740000001,0.00014141266733711864,0.9895923525,0.9900176950000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,1.0,5,1,7,0.9860123272499999,0.00037381324013847775,0.9853136562499999,0.9864312400000003,-0.0037567467500000395,0.0004889640248160334,-0.004704038750000361,-0.0032909987499998294,0.06095999999999999,0.005657331526435408,0.053,0.07035,0.04949,0.005659628963103501,0.04035,0.05765,0.1165000410541915,0.004236501694076238,0.1094574170755117,0.1223488423904655,-0.09833483411224989,0.004144249085489086,-0.1041462812583648,-0.09165999700117856,-0.09039337807049853,0.0028158470825910497,-0.09273344963904884,-0.0852313966214132,0.2644,0.014853955702101712,0.245,0.286,0.17,0.01126499001331115,0.15,0.179,0.18969999999999998,0.007175304871571667,0.18125,0.20175,0.13420000000000004,0.0028346075566116754,0.132,0.13975
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,2.0,5,2,7,0.9820645585,0.0006369108508846637,0.98106248875,0.9829254,-0.007704515500000087,0.0005726607933724511,-0.008529863749999977,-0.006784040000000102,0.0988,0.014486925139587081,0.08695,0.12615,0.0867,0.014376160822695331,0.07565,0.11415,0.1858283987364061,0.011635120899770415,0.1685349004330414,0.19818071950466756,-0.16787522868303856,0.01132880082301007,-0.1790227034208848,-0.15105064953831301,-0.14941729046900343,0.008702568988503745,-0.15830008422774217,-0.13755195625086009,0.3242,0.02290545786488451,0.301,0.353,0.23399999999999999,0.020806249061279647,0.2055,0.264,0.25139999999999996,0.006171709649683782,0.24475,0.25975,0.19519999999999998,0.006733127059546698,0.1885,0.20675
header,header_benign_substitution,2024-09-22_2024-09-28,important,budget,3.0,5,3,7,0.9820378609999999,0.0006573552052112901,0.98100186,0.98291914375,-0.007731213000000148,0.0005919214399482003,-0.008590492499999991,-0.00679029625000005,0.09886999999999999,0.014620759214213196,0.0869,0.12645,0.08676,0.014514420415572918,0.0756,0.11445,0.18610120206973946,0.011677295056128838,0.16876770043304137,0.19842478617133424,-0.16812650201637191,0.01138020258218637,-0.1792711700875515,-0.15124724953831303,-0.14964418513567007,0.008700848610978551,-0.15856128422774218,-0.13779315625086008,0.32409999999999994,0.02315037796667691,0.3015,0.353,0.2338,0.020932271735289512,0.206,0.264,0.25175,0.0062349819566699695,0.24425,0.2595,0.1955,0.0067767986542319495,0.1885,0.2065
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,1.0,100,1,7,0.9886138893624999,0.0016142162932438052,0.9853136562499999,0.99002195125,-0.0011551846375000585,0.0016208006792244626,-0.004704038750000361,4.256249999778916e-06,0.0181265,0.02591373714364642,0.0,0.07035,0.014517,0.02100884482783382,0.0,0.05765,0.03659039367227199,0.05026329018069615,1.9200000000000612e-05,0.1223488423904655,-0.030920102640918844,0.04244781739911218,-0.1041462812583648,-1.900000000000004e-05,-0.028755386092050274,0.03925613302103052,-0.09273344963904884,-8.400000000000052e-06,0.08592500000000002,0.11786520638,0.0,0.286,0.057025000000000006,0.07801731778906527,0.0,0.179,0.0595575,0.08232991448282938,0.0,0.20175,0.042335000000000005,0.05844618486265807,0.0,0.13975
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,2.0,100,2,7,0.9878597973,0.0020447551380538714,0.9817248249999999,0.99001722625,-0.0019092767000000754,0.002067339872853447,-0.007997413750000182,2.2000000010624632e-07,0.028857,0.030075206582831648,0.0,0.1009,0.0234905,0.02503619049995426,0.0,0.0879,0.05724548643369551,0.0578631745883416,0.0005885250000000008,0.1959682696364348,-0.04889435773307968,0.050021304810193554,-0.17790604257841283,-0.0004566333333333336,-0.045162064399192854,0.04565886847479302,-0.15830008422774217,-0.0004517652417488735,0.13096999999999998,0.12748079894635114,0.0,0.353,0.08759999999999998,0.08573776880698496,0.0,0.264,0.09118750000000002,0.09046293008050314,0.0,0.25975,0.06562,0.06558106129058908,0.0,0.20675
header,header_benign_substitution,2024-09-22_2024-09-28,random,budget,3.0,100,3,7,0.987054003975,0.002387153698053725,0.9810604525000001,0.9899899112499999,-0.0027150700250000892,0.0023795598197791797,-0.008531899999999926,-2.6297500000049823e-05,0.0393565,0.03306904493253472,0.0,0.1262,0.032376,0.028897881825490253,0.0,0.1142,0.07903035890723478,0.060046403997416384,0.0009830533333333343,0.19826144617133426,-0.068183655409211,0.05327776085006619,-0.17909683008755145,-0.0008700533333333336,-0.06292372000007249,0.04779933943268869,-0.15937971175426602,-0.0007727666666666669,0.17489999999999994,0.11943041907319928,0.0,0.353,0.12039499999999999,0.08319255660814855,0.0,0.264,0.12236999999999998,0.08741906599821346,0.0,0.261,0.08949499999999999,0.06543635247322394,0.0,0.208
header,header_benign_substitution,2024-09-29_2024-10-05,baseline,baseline,0.0,5,0,7,0.9897377095,0.00022002342131386123,0.9894556612499998,0.9901241125000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,1.0,5,1,7,0.98731025425,0.00045423811579850244,0.9867555962499999,0.9879944175,-0.002427455249999966,0.0004245106195936523,-0.0028725475000001,-0.0017576824999999685,0.04746,0.0019197395656703024,0.04435,0.0499,0.03564,0.000523832034148352,0.03505,0.03655,0.10916364144654331,0.005821301763370594,0.09887379296841911,0.11603751685767,-0.09109964113936869,0.005637768829208436,-0.09784042515620875,-0.08134913262181903,-0.08639177351139624,0.004877051522991742,-0.09435409259750491,-0.079239180530622,0.2741,0.015473848907107745,0.251,0.288,0.17559999999999998,0.0023958297101421794,0.171,0.178,0.19029999999999997,0.013021520648526427,0.17275,0.20725,0.13345,0.008756997202237764,0.12075,0.14475
header,header_benign_substitution,2024-09-29_2024-10-05,important,budget,2.0,5,2,7,0.9849470117499999,0.0010903521106884787,0.9835563650000001,0.98619660875,-0.004790697749999939,0.0009390198226419392,-0.00606749374999993,-0.003555491249999987,0.07752,0.009219956615949992,0.06935,0.09475,0.06417999999999999,0.009369823904428512,0.05675,0.08205,0.16518016615273368,0.013572863161587656,0.1435165312124488,0.17834019457028763,-0.14635854303331713,0.013581853189736794,-0.1586839689525791,-0.12511070068404065,-0.1369739577268711,0.010902822759732056,-0.148668037298846,-0.12010265566246528,0.3336,0.019812622239370536,0.302,0.3565,0.23410000000000003,0.00950473566176356,0.2205,0.25,0.25475,0.012335923151511607,0.24075,0.27125,0.19319999999999998,0.009062836200660365,0.181,0.207
