feature_group,feature_index,feature_name,importance,importance_abs,is_candidate
header,43,coff_characteristic::DLL,0.10075896211813219,0.10075896211813219,False
header,26,image_base,0.09089167626518561,0.09089167626518561,False
header,28,checksum,0.08539278912166617,0.08539278912166617,True
header,0,timestamp,0.07062353513167753,0.07062353513167753,True
header,24,address_of_entrypoint,0.05452291480048395,0.05452291480048395,False
header,17,sizeof_image,0.053351598462449704,0.053351598462449704,False
header,18,sizeof_initialized_data,0.051258431493606836,0.051258431493606836,False
header,15,sizeof_code,0.05067399645005326,0.05067399645005326,False
header,47,dll_characteristic::DYNAMIC_BASE,0.04339267766269241,0.04339267766269241,False
header,49,dll_characteristic::NX_COMPAT,0.036440096906522605,0.036440096906522605,False
header,73,dos::e_lfanew,0.03269467743270354,0.03269467743270354,False
header,30,coff_characteristic::RELOCS_STRIPPED,0.03208498857071423,0.03208498857071423,False
header,11,major_operating_system_version,0.030783839614466083,0.030783839614466083,False
header,10,minor_linker_version,0.027617516085195096,0.027617516085195096,False
header,9,major_linker_version,0.025387770409692353,0.025387770409692353,False
header,1,number_of_sections,0.024459897120394508,0.024459897120394508,False
header,13,major_subsystem_version,0.020666705228105237,0.020666705228105237,False
header,19,sizeof_uninitialized_data,0.018171647836443837,0.018171647836443837,False
header,56,dll_characteristic::TERMINAL_SERVER_AWARE,0.016990274461567995,0.016990274461567995,False
header,7,major_image_version,0.013418995512752108,0.013418995512752108,False
header,33,coff_characteristic::LOCAL_SYMS_STRIPPED,0.011983735170139379,0.011983735170139379,False
header,32,coff_characteristic::LINE_NUMS_STRIPPED,0.011841379554356827,0.011841379554356827,False
header,6,subsystem,0.010759409687577349,0.010759409687577349,False
header,20,sizeof_stack_reserve,0.009838255928204562,0.009838255928204562,False
header,16,sizeof_headers,0.007410268259209939,0.007410268259209939,False
header,25,base_of_code,0.006330044858937717,0.006330044858937717,False
header,51,dll_characteristic::NO_SEH,0.005694144401120776,0.005694144401120776,False
header,21,sizeof_stack_commit,0.005410888182588623,0.005410888182588623,False
header,14,minor_subsystem_version,0.004134069287788627,0.004134069287788627,False
header,12,minor_operating_system_version,0.004086874628094662,0.004086874628094662,False
header,35,coff_characteristic::LARGE_ADDRESS_AWARE,0.003926443058650351,0.003926443058650351,False
header,55,dll_characteristic::GUARD_CF,0.0034544284049987145,0.0034544284049987145,False
header,22,sizeof_heap_reserve,0.0029422950741773957,0.0029422950741773957,False
header,8,minor_image_version,0.0025228202492399714,0.0025228202492399714,False
header,58,dos::e_cblp,0.002456526676151635,0.002456526676151635,False
header,4,pointer_to_symbol_table,0.002314307200338702,0.002314307200338702,True
header,59,dos::e_cp,0.0021435023903558417,0.0021435023903558417,False
header,39,coff_characteristic::DEBUG_STRIPPED,0.0021235793772465326,0.0021235793772465326,False
header,2,number_of_symbols,0.0019170416729976548,0.0019170416729976548,True
header,37,coff_characteristic::BYTES_REVERSED_LO,0.001443436668235954,0.001443436668235954,False
header,27,section_alignment,0.0014111372695650903,0.0014111372695650903,False
header,40,coff_characteristic::REMOVABLE_RUN_FROM_SWAP,0.0013406726255089626,0.0013406726255089626,False
header,62,dos::e_minalloc,0.0012659555008384012,0.0012659555008384012,False
header,5,machine,0.0012472718469523224,0.0012472718469523224,False
