seed,feature_group,test_week,perturbation_type,strength,trial_id,n_masked_features,flip_rate,benign_to_malware_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift
13,header,2024-09-22_2024-09-28,baseline,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,header,2024-09-22_2024-09-28,important,0.01,0,1,0.00725,0.003325,0.000975,0.020563270359071222,-0.007977599861255187,-0.017509903039166
13,header,2024-09-22_2024-09-28,important,0.05,0,4,0.1053,0.07685,0.004425,0.19234407842170914,0.11849453666201541,-0.1577498565233381
13,header,2024-09-22_2024-09-28,important,0.1,0,8,0.204625,0.079725,0.094925,0.3508340913922709,0.03280359967380874,-0.3326137479533566
13,header,2024-09-22_2024-09-28,random,0.01,1,1,0.0,0.0,0.0,3.7990444123892075e-19,5.724587470723464e-20,-5.551115123125783e-20
13,header,2024-09-22_2024-09-28,random,0.01,2,1,0.0,0.0,0.0,0.0003906115529094232,-0.0003888115529094231,-0.00037744823502194424
13,header,2024-09-22_2024-09-28,random,0.01,3,1,0.004425,0.002025,0.000625,0.02206391076072473,-0.011758938693768171,-0.02042224300669813
13,header,2024-09-22_2024-09-28,random,0.01,4,1,0.020125,0.004425,0.009225,0.08339278636959027,-0.053202396900073425,-0.07702209143521559
13,header,2024-09-22_2024-09-28,random,0.01,5,1,0.0,0.0,0.0,0.0003906115529094233,-0.00038881155290942314,-0.00037744823502194435
13,header,2024-09-22_2024-09-28,random,0.01,6,1,0.001325,0.000675,0.0,0.0021636165532842584,0.0020702022934780163,-0.0015415313475463518
13,header,2024-09-22_2024-09-28,random,0.01,7,1,0.0,0.0,0.0,0.0010341483344677282,5.408252625969802e-05,-0.0010070161459095487
13,header,2024-09-22_2024-09-28,random,0.01,8,1,5e-05,2.5e-05,2.5e-05,4.889285714285743e-05,-4.6692857142857227e-05,-4.154285714285725e-05
13,header,2024-09-22_2024-09-28,random,0.01,9,1,0.0022,0.00075,0.000575,0.02499970168063799,-0.01959359344193225,-0.024290755277319085
13,header,2024-09-22_2024-09-28,random,0.01,10,1,0.000125,5e-05,7.5e-05,0.00042982303921568655,-0.00011530196078431373,-0.0002307980392156864
13,header,2024-09-22_2024-09-28,random,0.01,11,1,0.00495,0.00255,0.0,0.009921261347283335,0.008994261347283336,-0.006814290078188009
13,header,2024-09-22_2024-09-28,random,0.01,12,1,0.0022,5e-05,0.001375,0.012617650190424247,-0.007544729814133871,-0.011621686145001073
13,header,2024-09-22_2024-09-28,random,0.01,13,1,0.0022,0.00075,0.000575,0.02499970168063799,-0.01959359344193225,-0.024290755277319085
13,header,2024-09-22_2024-09-28,random,0.01,14,1,0.002225,0.000275,0.0011,0.004783901115511167,-0.0025419244676414925,-0.0036850719885270396
13,header,2024-09-22_2024-09-28,random,0.01,15,1,0.0005,0.00025,0.0,0.0022974716550116553,-0.0014303855744255745,-0.0020326930835830835
13,header,2024-09-22_2024-09-28,random,0.01,16,1,0.004775,0.0007,0.001825,0.04319949796119001,-0.021487172704275734,-0.041071990092761704
13,header,2024-09-22_2024-09-28,random,0.01,17,1,5e-05,2.5e-05,2.5e-05,0.0003103162197524701,0.0002486336611999109,-0.00024268866119991133
13,header,2024-09-22_2024-09-28,random,0.01,18,1,0.0,0.0,0.0,3.500000000000331e-06,3.4999999999997996e-06,-3.0000000000001983e-06
13,header,2024-09-22_2024-09-28,random,0.01,19,1,0.002875,0.000575,0.0012,0.03750006378667446,-0.02528702229346214,-0.03665592276078858
13,header,2024-09-22_2024-09-28,random,0.01,20,1,0.0,0.0,0.0,3.5000000000002473e-06,3.4999999999999614e-06,-3.000000000000122e-06
13,header,2024-09-22_2024-09-28,random,0.05,1,4,0.023875,0.003675,0.01185,0.08838871769538731,-0.04967294024602046,-0.08080706465659482
13,header,2024-09-22_2024-09-28,random,0.05,2,4,0.001225,0.00065,2.5e-05,0.004436373384658747,0.00044987452579055986,-0.003621361702160634
13,header,2024-09-22_2024-09-28,random,0.05,3,4,0.00895,0.001825,0.003925,0.06403602161823525,-0.036511309042248044,-0.06174415195445132
