seed,density_bin,feature_group,auc_rank,mix_at_10_rank,js_divergence_rank,auc_vs_mix_conflicts,auc_vs_js_conflicts
13,high_density,header,3,3,2,0,4
13,high_density,section,4,4,4,0,4
13,high_density,imports,5,5,3,0,4
13,high_density,strings,2,2,5,0,4
13,high_density,all,1,1,1,0,4
13,mid_density,header,2,3,3,2,2
13,mid_density,section,3,2,1,2,2
13,mid_density,imports,4,5,4,2,2
13,mid_density,strings,5,4,5,2,2
13,mid_density,all,1,1,2,2,2
13,low_density,header,2,3,3,3,2
13,low_density,section,3,1,1,3,2
13,low_density,imports,4,5,4,3,2
13,low_density,strings,5,4,5,3,2
13,low_density,all,1,2,2,3,2
42,high_density,header,3,3,2,0,4
42,high_density,section,4,4,4,0,4
42,high_density,imports,5,5,3,0,4
42,high_density,strings,2,2,5,0,4
42,high_density,all,1,1,1,0,4
42,mid_density,header,2,3,3,2,2
42,mid_density,section,3,2,1,2,2
42,mid_density,imports,4,5,4,2,2
42,mid_density,strings,5,4,5,2,2
42,mid_density,all,1,1,2,2,2
42,low_density,header,2,3,3,3,2
42,low_density,section,3,1,1,3,2
42,low_density,imports,4,5,4,3,2
42,low_density,strings,5,4,5,3,2
42,low_density,all,1,2,2,3,2
77,high_density,header,3,3,2,0,4
77,high_density,section,4,4,4,0,4
77,high_density,imports,5,5,3,0,4
77,high_density,strings,2,2,5,0,4
77,high_density,all,1,1,1,0,4
77,mid_density,header,2,3,3,2,2
77,mid_density,section,3,2,1,2,2
77,mid_density,imports,4,5,4,2,2
77,mid_density,strings,5,4,5,2,2
77,mid_density,all,1,1,2,2,2
77,low_density,header,2,2,3,4,2
77,low_density,section,3,1,1,4,2
77,low_density,imports,4,5,4,4,2
77,low_density,strings,5,4,5,4,2
77,low_density,all,1,3,2,4,2
123,high_density,header,3,3,2,0,4
123,high_density,section,4,4,4,0,4
123,high_density,imports,5,5,3,0,4
123,high_density,strings,2,2,5,0,4
123,high_density,all,1,1,1,0,4
123,mid_density,header,2,3,3,2,2
123,mid_density,section,3,2,1,2,2
123,mid_density,imports,4,5,4,2,2
123,mid_density,strings,5,4,5,2,2
123,mid_density,all,1,1,2,2,2
123,low_density,header,2,3,3,3,2
123,low_density,section,3,1,1,3,2
123,low_density,imports,4,5,4,3,2
123,low_density,strings,5,4,5,3,2
123,low_density,all,1,2,2,3,2
2024,high_density,header,3,4,2,1,4
2024,high_density,section,4,3,4,1,4
2024,high_density,imports,5,5,3,1,4
2024,high_density,strings,2,2,5,1,4
2024,high_density,all,1,1,1,1,4
2024,mid_density,header,2,3,3,2,2
2024,mid_density,section,3,2,1,2,2
2024,mid_density,imports,4,5,4,2,2
2024,mid_density,strings,5,4,5,2,2
2024,mid_density,all,1,1,2,2,2
2024,low_density,header,2,3,3,3,2
2024,low_density,section,3,1,1,3,2
2024,low_density,imports,4,5,4,3,2
2024,low_density,strings,5,4,5,3,2
2024,low_density,all,1,2,2,3,2
