seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
13,high_density,header,120001,0.9806732174638475,0.01491487570936909,0.07315651759171146
13,mid_density,header,239999,0.9454279994184402,0.05032479301997091,0.07799126126388334
13,low_density,header,120000,0.8968223791502539,0.08884416666666665,0.0791646439127898
13,high_density,section,120001,0.9794999852231889,0.014909875751035407,0.049703755113885514
13,mid_density,section,239999,0.9368851646279657,0.04613394222475926,0.0848640137296407
13,low_density,section,120000,0.8901829496781876,0.07836083333333334,0.2074508125349746
13,high_density,imports,120001,0.9504153894426112,0.14499879167673602,0.06080571847129314
13,mid_density,imports,239999,0.9207468361413395,0.1410443376847403,0.039381618034554124
13,low_density,imports,120000,0.872551321992053,0.14297833333333332,0.018297089653359425
13,high_density,strings,120001,0.9872221489812686,0.011575736868859427,0.0005959257782171601
13,mid_density,strings,239999,0.9067522279574766,0.06254692727886367,0.0002102653432060416
13,low_density,strings,120000,0.8515157810477542,0.11420166666666666,0.0004697667464816991
13,high_density,all,120001,0.9972802463132545,0.009843251306239115,0.0734435544207486
13,mid_density,all,239999,0.9817617936239168,0.043225180104917105,0.07814371339797342
13,low_density,all,120000,0.9420437731837423,0.08788250000000002,0.08052485255751139
42,high_density,header,120001,0.9828942137694751,0.016056532862226146,0.07106131034377759
42,mid_density,header,239998,0.9426136994494682,0.050520421003508356,0.08020499092884734
42,low_density,header,120001,0.8966429906338016,0.08695594203381639,0.07713269930732652
42,high_density,section,120001,0.9806990681423017,0.01606653277889351,0.050785583920434044
42,mid_density,section,239998,0.9356624586179771,0.04600580004833373,0.0884520117325675
42,low_density,section,120001,0.891671572998292,0.07640352997058358,0.22769203387981968
42,high_density,imports,120001,0.9137845053083655,0.09463004474962709,0.0627817935845008
42,mid_density,imports,239998,0.9181940867302772,0.13729156076300636,0.0388062517838684
42,low_density,imports,120001,0.8712190630872556,0.14053466221114827,0.018625080134619137
42,high_density,strings,120001,0.9865128714254172,0.012522395646702943,0.0005218462211647605
42,mid_density,strings,239998,0.9070863601380786,0.06191843265360544,0.00015431040766320826
42,low_density,strings,120001,0.8494577111593457,0.11264072799393336,0.0006122884699725573
42,high_density,all,120001,0.9967349356424923,0.010565745285455955,0.07135412076733158
42,mid_density,all,239998,0.981731442032263,0.043800781673180605,0.08041985065179398
42,low_density,all,120001,0.946644624148053,0.08540762160315331,0.07827069592353196
77,high_density,header,120001,0.9802053489071818,0.015084874292714226,0.07103919774099256
77,mid_density,header,239998,0.9442120566037238,0.05088209068408903,0.07741474690243029
77,low_density,header,120001,0.9007981260382049,0.08719760668661095,0.07904730733851797
77,high_density,section,120001,0.9791160303830846,0.01497404188298431,0.046196920454547895
77,mid_density,section,239998,0.935944450884379,0.046809140076167294,0.09176918361563383
77,low_density,section,120001,0.8824812688012968,0.0770135248872926,0.21809532559109868
77,high_density,imports,120001,0.9433414944569972,0.09916084032633064,0.058862803907690005
77,mid_density,imports,239998,0.9182420124883195,0.13902907524229374,0.039638679133196277
77,low_density,imports,120001,0.8751433164807598,0.1432321397321689,0.01795766769554583
77,high_density,strings,120001,0.9847866566044721,0.01169573586886776,0.0004961515730181154
77,mid_density,strings,239998,0.9061853552070542,0.06312719272660607,0.00020428824321572822
77,low_density,strings,120001,0.8583124635310083,0.11224739793835051,0.0005056122638198382
77,high_density,all,120001,0.9972242423923623,0.009994916709027427,0.0713230075339601
77,mid_density,all,239998,0.9812884666805298,0.04391369928082734,0.077624277245921
77,low_density,all,120001,0.9457776412928134,0.08726760610328248,0.08024467800016674
123,high_density,header,120000,0.9816289357170795,0.015254166666666664,0.07277559676239787
123,mid_density,header,240000,0.9421930380403829,0.05052666666666666,0.07911366821349446
123,low_density,header,120000,0.8994022602090881,0.08715083333333336,0.07663848861085963
123,high_density,section,120000,0.979672351108899,0.015159166666666666,0.050324929845477755
123,mid_density,section,240000,0.9375446395604926,0.04617124999999998,0.08529416105191351
123,low_density,section,120000,0.8952961758043639,0.07725583333333333,0.1839902818620696
123,high_density,imports,120000,0.9210123558921757,0.1430575,0.0638325323636424
123,mid_density,imports,240000,0.9179146835145449,0.14268041666666664,0.03912102489309989
123,low_density,imports,120000,0.8737735500260673,0.14059750000000001,0.0180729586262166
123,high_density,strings,120000,0.9836723767087117,0.012123333333333331,0.0005401925190589054
123,mid_density,strings,240000,0.9054001925215969,0.06192250000000001,0.00015441207281797765
123,low_density,strings,120000,0.8552825192924481,0.11453333333333332,0.0006117321426283201
123,high_density,all,120000,0.996485092916236,0.01018916666666667,0.07301204249151086
123,mid_density,all,240000,0.9810975824643902,0.043775833333333326,0.07928253760657014
