density_bin,feature_group,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max
high_density,all,5,0.997557146866599,8.271286207880346e-05,0.9974464541766604,0.9977033453211379,0.015142666666666669,0.00035088910878889836,0.014503333333333333,0.015500833333333337,0.0632683866267916,0.0005999365805440778,0.06221788613299184,0.06391516464813053
high_density,header,5,0.9953041067970088,0.00023655772572425893,0.9949828983052633,0.9955900558768253,0.021841000000000003,0.0003926612902857765,0.021479166666666667,0.02260583333333334,0.06288498756728275,0.0005895155491931317,0.061845817740246584,0.06353043267861179
high_density,imports,5,0.925007263837658,0.011222900656717655,0.9030974450936613,0.932779095874976,0.14302800000000002,0.02485364686855164,0.10834250000000001,0.16475250000000002,0.05575379793583548,0.0007977190105425531,0.054750304970657,0.05676738821094904
high_density,section,5,0.996800403953306,0.00031344283523800315,0.9962978125587704,0.9971203520635535,0.022387666666666663,0.0006653535818562108,0.021377499999999997,0.023209166666666666,0.038053034205389344,0.0022137488994275387,0.035436862615648684,0.04205147716280402
high_density,strings,5,0.9952549163976793,0.00021517862789410648,0.9950428990143597,0.9955951333711596,0.017654166666666665,0.0003975861192524468,0.016942500000000003,0.01811083333333333,0.00046612088670680405,3.0345391925470104e-05,0.0004077888104247221,0.0004934813472064052
low_density,all,5,0.9776164497184394,0.0006650774692653096,0.9769679690270529,0.978808777308121,0.08253652942614367,0.0008420963693771057,0.08120916666666667,0.08352666666666665,0.08146267494433851,0.0010246884530158492,0.07958357615352349,0.08241497253204386
low_density,header,5,0.9552464327934805,0.001408763664004663,0.9535906720604331,0.9572574745105266,0.08285719526226171,0.00029301004537205655,0.08252833333333333,0.0833875,0.08024597818792759,0.001022413511623448,0.07834225773346795,0.08111633158394896
low_density,imports,5,0.930921317231223,0.0008109808478167437,0.9299280089838435,0.9322690254156241,0.13046795134068329,0.001537449306659555,0.12842916666666668,0.13261999999999996,0.018573349574781767,0.00019182768011882375,0.01827408688035289,0.018801676535850877
low_density,section,5,0.9731281639432796,0.00046428820199471114,0.9725804819720162,0.973665816367456,0.07297871127740603,0.0005020166074359434,0.07205833333333334,0.0734675,0.20948902817017417,0.012311672049269248,0.1883834201506871,0.22307682931553252
low_density,strings,5,0.9460506396766613,0.001535802190942396,0.9442794908715151,0.948029309331915,0.1081141518542901,0.0009189995357039715,0.10708666666666665,0.10936000000000003,0.0005061337454070195,6.645905402000351e-05,0.0004095826168232793,0.0005917808405914214
mid_density,all,5,0.9918081445281333,0.0003686428818473581,0.991162567311527,0.9921668022821571,0.04305261948522007,0.0002749360458746669,0.042648750000000006,0.04338226409276705,0.08157543761512857,0.0004163509300831627,0.08093986804951836,0.08224485098862326
mid_density,header,5,0.9844991640517373,0.0004447612749377515,0.983766243620183,0.9849498591333541,0.04956745788836621,0.00025494633145355604,0.049289166666666676,0.050019583333333346,0.08137495523902319,0.0004264013539413416,0.08072126466078759,0.08204900844469762
mid_density,imports,5,0.9463407686376183,0.0007004448944429853,0.9450682934348982,0.9470869571966818,0.1366402827977061,0.0014688282582440472,0.135265,0.13935724732186383,0.04330946808770535,0.000331036322553584,0.042731584032501976,0.04376549775098321
mid_density,section,5,0.9897939217909206,0.00029048160228872024,0.989462482642758,0.9902095853002261,0.04475178710154347,0.00038498039539011474,0.044210833333333324,0.045265416666666655,0.1021926794959801,0.0022906296211560977,0.09957528524667586,0.10556873878611303
mid_density,strings,5,0.9710890525320796,0.0009031952283206038,0.969746279314277,0.9722612140214495,0.06206313490750657,0.0004876028245976765,0.061379166666666665,0.06277083333333335,0.00018658312386835138,1.4768078307768805e-05,0.00017321419161956466,0.00021344913626358163
