seed,density_bin,feature_group,auc_rank,mix_at_10_rank,js_divergence_rank,auc_vs_mix_conflicts,auc_vs_js_conflicts
13,high_density,header,4,3,2,2,4
13,high_density,section,2,4,4,2,4
13,high_density,imports,5,5,3,2,4
13,high_density,strings,3,2,5,2,4
13,high_density,all,1,1,1,2,4
13,mid_density,header,3,3,3,0,2
13,mid_density,section,2,2,1,0,2
13,mid_density,imports,5,5,4,0,2
13,mid_density,strings,4,4,5,0,2
13,mid_density,all,1,1,2,0,2
13,low_density,header,3,2,3,2,2
13,low_density,section,2,1,1,2,2
13,low_density,imports,5,5,4,2,2
13,low_density,strings,4,4,5,2,2
13,low_density,all,1,3,2,2,2
42,high_density,header,3,3,2,3,3
42,high_density,section,2,4,4,3,3
42,high_density,imports,5,5,3,3,3
42,high_density,strings,4,2,5,3,3
42,high_density,all,1,1,1,3,3
42,mid_density,header,3,3,3,0,2
42,mid_density,section,2,2,1,0,2
42,mid_density,imports,5,5,4,0,2
42,mid_density,strings,4,4,5,0,2
42,mid_density,all,1,1,2,0,2
42,low_density,header,3,3,3,1,2
42,low_density,section,2,1,1,1,2
42,low_density,imports,5,5,4,1,2
42,low_density,strings,4,4,5,1,2
42,low_density,all,1,2,2,1,2
77,high_density,header,4,3,2,2,4
77,high_density,section,2,4,4,2,4
77,high_density,imports,5,5,3,2,4
77,high_density,strings,3,2,5,2,4
77,high_density,all,1,1,1,2,4
77,mid_density,header,3,3,3,0,2
77,mid_density,section,2,2,1,0,2
77,mid_density,imports,5,5,4,0,2
77,mid_density,strings,4,4,5,0,2
77,mid_density,all,1,1,2,0,2
77,low_density,header,3,2,3,2,2
77,low_density,section,2,1,1,2,2
77,low_density,imports,5,5,4,2,2
77,low_density,strings,4,4,5,2,2
77,low_density,all,1,3,2,2,2
123,high_density,header,3,3,2,3,3
123,high_density,section,2,4,4,3,3
123,high_density,imports,5,5,3,3,3
123,high_density,strings,4,2,5,3,3
123,high_density,all,1,1,1,3,3
123,mid_density,header,3,3,3,0,2
123,mid_density,section,2,2,1,0,2
123,mid_density,imports,5,5,4,0,2
123,mid_density,strings,4,4,5,0,2
123,mid_density,all,1,1,2,0,2
123,low_density,header,3,3,3,1,2
123,low_density,section,2,1,1,1,2
123,low_density,imports,5,5,4,1,2
123,low_density,strings,4,4,5,1,2
123,low_density,all,1,2,2,1,2
2024,high_density,header,3,4,2,2,3
2024,high_density,section,2,3,4,2,3
2024,high_density,imports,5,5,3,2,3
2024,high_density,strings,4,2,5,2,3
2024,high_density,all,1,1,1,2,3
2024,mid_density,header,3,3,3,0,2
2024,mid_density,section,2,2,1,0,2
2024,mid_density,imports,5,5,4,0,2
2024,mid_density,strings,4,4,5,0,2
2024,mid_density,all,1,1,2,0,2
2024,low_density,header,3,3,3,1,2
2024,low_density,section,2,1,1,1,2
2024,low_density,imports,5,5,4,1,2
2024,low_density,strings,4,4,5,1,2
2024,low_density,all,1,2,2,1,2
