seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
13,high_density,header,120001,0.9969202479529283,0.01491487570936909,0.07315651759171146
13,mid_density,header,239999,0.9845643168430864,0.05032479301997091,0.07799126126388334
13,low_density,header,120000,0.9481641551398766,0.08884416666666665,0.0791646439127898
13,high_density,section,120001,0.9989056989672599,0.014909875751035407,0.049703755113885514
13,mid_density,section,239999,0.9887446442666652,0.04613394222475926,0.0848640137296407
13,low_density,section,120000,0.968817150254519,0.07836083333333334,0.2074508125349746
13,high_density,imports,120001,0.9536433205448012,0.14499879167673602,0.06080571847129314
13,mid_density,imports,239999,0.9428565372327887,0.1410443376847403,0.039381618034554124
13,low_density,imports,120000,0.9226003873027953,0.14297833333333332,0.018297089653359425
13,high_density,strings,120001,0.9985113787642832,0.011575736868859427,0.0005959257782171601
13,mid_density,strings,239999,0.9693354210710012,0.06254692727886367,0.0002102653432060416
13,low_density,strings,120000,0.941307966765159,0.11420166666666666,0.0004697667464816991
13,high_density,all,120001,0.99908323584726,0.009843251306239115,0.0734435544207486
13,mid_density,all,239999,0.9913644923706726,0.043225180104917105,0.07814371339797342
13,low_density,all,120000,0.97453755821075,0.08788250000000002,0.08052485255751139
42,high_density,header,120001,0.9966793998119947,0.016056532862226146,0.07106131034377759
42,mid_density,header,239998,0.9843597379894288,0.050520421003508356,0.08020499092884734
42,low_density,header,120001,0.9492312353245531,0.08695594203381639,0.07713269930732652
42,high_density,section,120001,0.998881644271669,0.01606653277889351,0.050785583920434044
42,mid_density,section,239998,0.9890639978724479,0.04600580004833373,0.0884520117325675
42,low_density,section,120001,0.9699488824613871,0.07640352997058358,0.22769203387981968
42,high_density,imports,120001,0.9479262119885445,0.09463004474962709,0.0627817935845008
42,mid_density,imports,239998,0.9434911264242283,0.13729156076300636,0.0388062517838684
42,low_density,imports,120001,0.9220192250974668,0.14053466221114827,0.018625080134619137
42,high_density,strings,120001,0.9982663670615852,0.012522395646702943,0.0005218462211647605
42,mid_density,strings,239998,0.9694338559756863,0.06191843265360544,0.00015431040766320826
42,low_density,strings,120001,0.9397260298586377,0.11264072799393336,0.0006122884699725573
42,high_density,all,120001,0.9989511820890258,0.010565745285455955,0.07135412076733158
42,mid_density,all,239998,0.9915338282512636,0.043800781673180605,0.08041985065179398
42,low_density,all,120001,0.9746880617037756,0.08540762160315331,0.07827069592353196
77,high_density,header,120001,0.9968497964788402,0.015084874292714226,0.07103919774099256
77,mid_density,header,239998,0.9838051926475435,0.05088209068408903,0.07741474690243029
77,low_density,header,120001,0.9526979731764591,0.08719760668661095,0.07904730733851797
77,high_density,section,120001,0.9989988294294114,0.01497404188298431,0.046196920454547895
77,mid_density,section,239998,0.9885467340532916,0.046809140076167294,0.09176918361563383
77,low_density,section,120001,0.9705180891689869,0.0770135248872926,0.21809532559109868
77,high_density,imports,120001,0.954147764669077,0.09916084032633064,0.058862803907690005
77,mid_density,imports,239998,0.9434705651091027,0.13902907524229374,0.039638679133196277
77,low_density,imports,120001,0.9216561225576473,0.1432321397321689,0.01795766769554583
77,high_density,strings,120001,0.9984527776767169,0.01169573586886776,0.0004961515730181154
77,mid_density,strings,239998,0.967986278331322,0.06312719272660607,0.00020428824321572822
77,low_density,strings,120001,0.9434868857240434,0.11224739793835051,0.0005056122638198382
77,high_density,all,120001,0.9991927052682695,0.009994916709027427,0.0713230075339601
77,mid_density,all,239998,0.9909686857886316,0.04391369928082734,0.077624277245921
77,low_density,all,120001,0.9763114252233279,0.08726760610328248,0.08024467800016674
123,high_density,header,120000,0.996871635023301,0.015254166666666664,0.07277559676239787
123,mid_density,header,240000,0.9843185126289157,0.05052666666666666,0.07911366821349446
123,low_density,header,120000,0.9507396706337891,0.08715083333333336,0.07663848861085963
123,high_density,section,120000,0.9988804167879878,0.015159166666666666,0.050324929845477755
123,mid_density,section,240000,0.9895032451804798,0.04617124999999998,0.08529416105191351
123,low_density,section,120000,0.9695352455043262,0.07725583333333333,0.1839902818620696
123,high_density,imports,120000,0.9541654744768306,0.1430575,0.0638325323636424
123,mid_density,imports,240000,0.9437233737217081,0.14268041666666664,0.03912102489309989
123,low_density,imports,120000,0.9236831221125932,0.14059750000000001,0.0180729586262166
123,high_density,strings,120000,0.9983016031709533,0.012123333333333331,0.0005401925190589054
123,mid_density,strings,240000,0.9682131248796481,0.06192250000000001,0.00015441207281797765
123,low_density,strings,120000,0.9412206153936084,0.11453333333333332,0.0006117321426283201
123,high_density,all,120000,0.9990316386031358,0.01018916666666667,0.07301204249151086
123,mid_density,all,240000,0.9915292954196868,0.043775833333333326,0.07928253760657014
123,low_density,all,120000,0.9751737106554198,0.08667416666666668,0.07805644173429654
2024,high_density,header,120000,0.9970281847452108,0.014538333333333334,0.07375916984477479
2024,mid_density,header,240000,0.9830327275448705,0.05069833333333334,0.07696238055737561
2024,low_density,header,120000,0.9530244150955302,0.08726416666666667,0.08084023256500775
2024,high_density,section,120000,0.9988391280168143,0.013713333333333333,0.050860939711727206
2024,mid_density,section,240000,0.9886243747783318,0.047203749999999996,0.09395691632658013
2024,low_density,section,120000,0.9707479241777464,0.07584583333333335,0.20681815036878365
2024,high_density,imports,120000,0.9325035269940163,0.1436425,0.06321659324059896
2024,mid_density,imports,240000,0.9406456172387255,0.14152125,0.03901667982836401
2024,low_density,imports,120000,0.9256272335901101,0.1379175,0.018140621643428764
2024,high_density,strings,120000,0.9985225206210924,0.011056666666666666,0.0005523892252003388
2024,mid_density,strings,240000,0.9663461442949237,0.06289291666666667,0.000173572844679258
2024,low_density,strings,120000,0.9444240438880372,0.11206083333333335,0.0004705246890685154
2024,high_density,all,120000,0.9991207165118693,0.009185833333333332,0.07404521350493423
2024,mid_density,all,240000,0.9902632731477498,0.04373166666666666,0.07717866345646306
2024,low_density,all,120000,0.9759182136917244,0.08501750000000001,0.0821382467795839
