density_bin,feature_group,n_rows,auc_rank_mean,auc_rank_std,auc_rank_min,auc_rank_max,mix_at_10_rank_mean,mix_at_10_rank_std,mix_at_10_rank_min,mix_at_10_rank_max,js_divergence_rank_mean,js_divergence_rank_std,js_divergence_rank_min,js_divergence_rank_max,auc_vs_mix_conflicts_mean,auc_vs_mix_conflicts_std,auc_vs_mix_conflicts_min,auc_vs_mix_conflicts_max,auc_vs_js_conflicts_mean,auc_vs_js_conflicts_std,auc_vs_js_conflicts_min,auc_vs_js_conflicts_max
high_density,all,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,0.4,0.0,1.0,4.0,0.0,4.0,4.0
high_density,header,5,3.0,0.0,3.0,3.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0,0.2,0.4,0.0,1.0,4.0,0.0,4.0,4.0
high_density,imports,5,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,0.0,3.0,3.0,0.2,0.4,0.0,1.0,4.0,0.0,4.0,4.0
high_density,section,5,4.0,0.0,4.0,4.0,3.8,0.39999999999999997,3.0,4.0,4.0,0.0,4.0,4.0,0.2,0.4,0.0,1.0,4.0,0.0,4.0,4.0
high_density,strings,5,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,5.0,0.0,5.0,5.0,0.2,0.4,0.0,1.0,4.0,0.0,4.0,4.0
low_density,all,5,1.0,0.0,1.0,1.0,2.2,0.39999999999999997,2.0,3.0,2.0,0.0,2.0,2.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0
low_density,header,5,2.0,0.0,2.0,2.0,2.8,0.39999999999999997,2.0,3.0,3.0,0.0,3.0,3.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0
low_density,imports,5,4.0,0.0,4.0,4.0,5.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0
low_density,section,5,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0
low_density,strings,5,5.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,5.0,0.0,5.0,5.0,3.2,0.39999999999999997,3.0,4.0,2.0,0.0,2.0,2.0
mid_density,all,5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
mid_density,header,5,2.0,0.0,2.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
mid_density,imports,5,4.0,0.0,4.0,4.0,5.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
mid_density,section,5,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
mid_density,strings,5,5.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,5.0,0.0,5.0,5.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0
