seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
13,high_density,header,120001,0.9786574800458983,0.019149007091607568,0.0680437977133733
13,mid_density,header,239999,0.9452980870993871,0.04995062479426997,0.07938549242633793
13,low_density,header,120000,0.8994749736223846,0.08535833333333333,0.08108797853897928
13,high_density,section,120001,0.9753700742379566,0.019919000674994376,0.035827110430779324
13,mid_density,section,239999,0.9385103585834562,0.045177271571964876,0.1002681347566224
13,low_density,section,120000,0.8923658372724187,0.07526500000000001,0.2030503800398214
13,high_density,imports,120001,0.9389508842102079,0.1559903667469438,0.06040001688767213
13,mid_density,imports,239999,0.9231845685104623,0.1392143300597086,0.04095404303757971
13,low_density,imports,120000,0.8766362948804305,0.13564666666666667,0.018177858441893527
13,high_density,strings,120001,0.9857630386292158,0.015346538778843512,0.0005100990139251836
13,mid_density,strings,239999,0.9074952012048491,0.06191025795940817,0.00020943082338507592
13,low_density,strings,120000,0.8505880108953828,0.11170416666666665,0.0004055847188208625
13,high_density,all,120001,0.9960587866142229,0.013187390105082457,0.06836703661033718
13,mid_density,all,239999,0.9820725712144943,0.0429610123375514,0.07955600253259756
13,low_density,all,120000,0.9443209229454889,0.08506666666666667,0.08238163889105928
42,high_density,header,120001,0.9781733863179615,0.020703994133382222,0.07059197453628814
42,mid_density,header,239998,0.9446364325779619,0.049629580246502034,0.07886839679670671
42,low_density,header,120001,0.8994562112199869,0.08409013258222847,0.07916330758055388
42,high_density,section,120001,0.9746499600968164,0.02084065966116949,0.03701845500891971
42,mid_density,section,239998,0.9398114151809285,0.04481120676005633,0.0911970904391843
42,low_density,section,120001,0.8931339237098153,0.07401854984541795,0.23933835302811163
42,high_density,imports,120001,0.8957203353271619,0.1034074716044033,0.05863838236477052
42,mid_density,imports,239998,0.9212489201967933,0.13633321944349533,0.04132355350452824
42,low_density,imports,120001,0.8744958614504792,0.13367388605094957,0.018738609918594662
42,high_density,strings,120001,0.9840579778710309,0.01645152957058691,0.0004384967788115455
42,mid_density,strings,239998,0.9090514548000739,0.061471345594546624,0.00017209992384112588
42,low_density,strings,120001,0.8490042395916632,0.10960575328538928,0.0006149454572213439
42,high_density,all,120001,0.9956866613818409,0.013928217264856125,0.07091688648466388
42,mid_density,all,239998,0.9823991878090126,0.04326286052383769,0.07908869429638526
42,low_density,all,120001,0.9477837168662974,0.08312097399188341,0.08028554100290321
77,high_density,header,120000,0.9760876068652072,0.019790833333333334,0.06573354026572806
77,mid_density,header,240000,0.946145269664143,0.049967083333333336,0.08052800160264799
77,low_density,header,120000,0.9014146482537893,0.08432166666666667,0.07849199978630314
77,high_density,section,120000,0.974469939228984,0.019914166666666667,0.03039780963808337
77,mid_density,section,240000,0.9384646498126761,0.045466666666666676,0.1006677686142268
77,low_density,section,120000,0.8829206165430215,0.07475833333333333,0.22121586660975023
77,high_density,imports,120000,0.9360948645084979,0.11190916666666668,0.05714333630700502
77,mid_density,imports,240000,0.9191087234314739,0.13605833333333334,0.041382018048343176
77,low_density,imports,120000,0.8798964091606917,0.13642500000000002,0.018164825352672512
77,high_density,strings,120000,0.9835637567169663,0.015928333333333333,0.0004755593963600268
77,mid_density,strings,240000,0.9077595878439356,0.06255666666666666,0.00018829208367541995
77,low_density,strings,120000,0.8563006293902995,0.10915583333333334,0.00044347205861253213
77,high_density,all,120000,0.9961858004223737,0.01365,0.06603072148979379
77,mid_density,all,240000,0.9817880058390694,0.04341291666666667,0.08073919092498603
77,low_density,all,120000,0.9474066651968164,0.08461416666666667,0.07970247158615776
123,high_density,header,120001,0.979397202571938,0.019859834501379157,0.0722333587280599
123,mid_density,header,239999,0.9422050177073953,0.049465622773428225,0.07921090379344584
123,low_density,header,120000,0.9010195684442164,0.08466749999999999,0.07670423668077242
123,high_density,section,120001,0.9761409653058992,0.0201314989041758,0.03729143635155417
123,mid_density,section,239999,0.9387985453629304,0.04483810349209788,0.09473273440252682
123,low_density,section,120000,0.8973997279118474,0.07495000000000002,0.19766077784006103
123,high_density,imports,120001,0.9051987279015167,0.15401704985791786,0.06081123542572904
123,mid_density,imports,239999,0.9190080218155963,0.1411655881899508,0.04106242454520813
123,low_density,imports,120000,0.8789373232094607,0.13266750000000002,0.018301860577303
123,high_density,strings,120001,0.9813122151164759,0.01618236514695711,0.00047446384497287823
123,mid_density,strings,239999,0.9058783360874854,0.06154817311738798,0.00016269762350679264
123,low_density,strings,120000,0.8569084897861726,0.11122333333333334,0.0005992948320554328
