density_bin,feature_group,density_definition,n_rows,auc_mean,auc_std,auc_min,auc_max,mix_at_10_mean,mix_at_10_std,mix_at_10_min,mix_at_10_max,mix_at_10_benign_query_mean,mix_at_10_benign_query_std,mix_at_10_benign_query_min,mix_at_10_benign_query_max,mix_at_10_malware_query_mean,mix_at_10_malware_query_std,mix_at_10_malware_query_min,mix_at_10_malware_query_max,mix_at_10_class_balanced_mean,mix_at_10_class_balanced_std,mix_at_10_class_balanced_min,mix_at_10_class_balanced_max,js_divergence_mean,js_divergence_std,js_divergence_min,js_divergence_max,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_benign_mean,n_benign_std,n_benign_min,n_benign_max,n_malware_mean,n_malware_std,n_malware_min,n_malware_max
high_density,all,class_conditional,5,0.9994499892748232,3.8512671936575506e-05,0.9993857880555556,0.9995067219713005,0.011642775693535886,0.0003233317059206882,0.011009074924375629,0.011874901042491313,0.004088306072676566,0.00017034013333884178,0.0038349360843985933,0.004343260945650906,0.019197269117736927,0.0005310312748537015,0.018183333333333333,0.019741666666666668,0.011642787595206747,0.0003233150586171769,0.011009134708865963,0.011874963806158788,0.08019249535580028,0.001304247106421725,0.07806953076964383,0.08178776607162523,120000.6,0.4898979485566356,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.2,0.4,60000.0,60001.0
high_density,header,class_conditional,5,0.9989666799320261,9.493303255823459e-05,0.9988131018055555,0.9990978001755527,0.016825582759032565,0.00010734915474464316,0.01669152757060358,0.017011666666666668,0.00651928769520508,0.0003490020205144068,0.006075,0.007071548807519876,0.02713191006816553,0.00046841818266463506,0.026646666666666666,0.027948333333333332,0.016825598881685305,0.00010733828253987383,0.01669161150091943,0.017011666666666665,0.07967403085111426,0.0012911963459302526,0.07755500706050546,0.08121019759387474,120000.6,0.4898979485566356,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.2,0.4,60000.0,60001.0
high_density,imports,class_conditional,5,0.9382369025935937,0.012073100204944332,0.916545379861111,0.952939481980856,0.12298096320863994,0.021850284764794167,0.09296083333333331,0.14292380896825863,0.15276675762626182,0.04368095815087268,0.09806666666666668,0.19217666666666666,0.09319505202691067,0.007320607943130151,0.08439192680121997,0.1042866666666667,0.12298090482658623,0.02185022029618315,0.09296083333333335,0.14292348699743895,0.06917302300132191,0.0015269954716706283,0.06696862087473508,0.07168796279098769,120000.6,0.4898979485566356,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.2,0.4,60000.0,60001.0
high_density,section,class_conditional,5,0.9991602308361337,6.89366764065943e-05,0.9990846818055555,0.999283748881963,0.01728624778543512,0.0006624311339521586,0.015983200139998835,0.017822351480404328,0.00532563108392638,0.0003582241815001538,0.004859919001349978,0.0058149030849485835,0.029246901679416452,0.0011075349252234424,0.02710666666666667,0.030285000000000003,0.017286266381671418,0.0006624037287957183,0.015983292834008324,0.017822451542474294,0.08937746529623233,0.013049304402906435,0.07017568076540849,0.1100246818767055,120000.6,0.4898979485566356,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.2,0.4,60000.0,60001.0
high_density,strings,class_conditional,5,0.9989758975251727,5.579811138565993e-05,0.9988968565277778,0.9990453996600056,0.013282767242217428,0.00040333899727136645,0.012519895667536102,0.01362405313289056,0.0052946314116986935,0.0003362587974150813,0.004803253279112014,0.005773237112714788,0.021270928417859707,0.0005607874755738989,0.02023666666666667,0.021918333333333335,0.013282779914779197,0.00040331824447873863,0.012519959972889343,0.013624118556357395,0.00091423434926251,0.00014137567361466753,0.0007190284986486484,0.0011269169526801968,120000.6,0.4898979485566356,120000.0,120001.0,60000.4,0.4898979485566356,60000.0,60001.0,60000.2,0.4,60000.0,60001.0
low_density,all,class_conditional,5,0.9883386462896878,0.00034791589938961326,0.9877964270039944,0.9886946280555556,0.08277902758727011,0.0011391800406442116,0.0808325,0.08426833333333335,0.0642157825258468,0.0011421512923027275,0.06283166666666667,0.06577000000000001,0.10134233333333334,0.0013768303373247524,0.09883333333333333,0.10276666666666669,0.08277905792959006,0.0011391978507103357,0.0808325,0.08426833333333335,0.08405016496224775,0.002074801318180963,0.08116607330393347,0.08662142668509955,120000.2,0.4,120000.0,120001.0,60000.2,0.4,60000.0,60001.0,60000.0,0.0,60000.0,60000.0
low_density,header,class_conditional,5,0.957311076002912,0.0007038955601723803,0.9564074597367822,0.9584657798611111,0.08523702387480106,0.0005989119532258859,0.08410416666666669,0.08575083333333335,0.06453111459809004,0.0006264301703159713,0.063785,0.06562057299045017,0.10594300000000001,0.0010008576322334674,0.10412333333333336,0.10700333333333334,0.08523705729904503,0.0005989364058122269,0.08410416666666667,0.08575083333333333,0.08282955931568954,0.0020646766954581317,0.07991314910917553,0.08534310956780856,120000.2,0.4,120000.0,120001.0,60000.2,0.4,60000.0,60001.0,60000.0,0.0,60000.0,60000.0
low_density,imports,class_conditional,5,0.9367371080299536,0.0008011800998789755,0.9359660138997683,0.9382479151388889,0.14492142702560812,0.003323459150557901,0.14048916666666666,0.15007499999999996,0.08944636352727453,0.0008145050803294231,0.0887,0.09094181763637273,0.2003966666666667,0.006636583290954591,0.19212333333333334,0.21049833333333332,0.1449215150969706,0.0033234290302082297,0.14048916666666666,0.150075,0.018173152100827598,0.00026213277817039953,0.01777818047789992,0.01858658001853231,120000.2,0.4,120000.0,120001.0,60000.2,0.4,60000.0,60001.0,60000.0,0.0,60000.0,60000.0
low_density,section,class_conditional,5,0.9723934901423291,0.0007586824064083044,0.9716073012672011,0.9736245134722222,0.07679703773301888,0.0009080170053271552,0.07504333333333331,0.07759333333333332,0.04993883218613023,0.0005707247468549234,0.04883333333333333,0.05034416093065115,0.10365533333333335,0.0012536499600056684,0.10125333333333335,0.10486000000000001,0.07679708275973178,0.0009080449348702792,0.07504333333333334,0.07759333333333335,0.2271304583020742,0.010105744081564724,0.2119189095309623,0.24044904250760457,120000.2,0.4,120000.0,120001.0,60000.2,0.4,60000.0,60001.0,60000.0,0.0,60000.0,60000.0
low_density,strings,class_conditional,5,0.9556086625202154,0.001412797692257851,0.9540409781944444,0.9576462983333334,0.10707898624733683,0.000980016055174292,0.10549833333333336,0.1082515979033508,0.09742200432215017,0.0008640899957466105,0.09629833333333333,0.09870335494408426,0.11673599999999999,0.0012847492621779035,0.11435833333333334,0.11794333333333334,0.1070790021610751,0.0009800350966584586,0.10549833333333333,0.10825167747204213,0.000463688552419559,3.4268125169383096e-05,0.00040849793746318007,0.0005163130075909255,120000.2,0.4,120000.0,120001.0,60000.2,0.4,60000.0,60001.0,60000.0,0.0,60000.0,60000.0
