seed,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,high_density,120001,60001,60000,1.0000166666666668,3494,0.05823333333333333,"{""2024-09-22_2024-09-28"": 12922, ""2024-09-29_2024-10-05"": 14227, ""2024-10-06_2024-10-12"": 10741, ""2024-10-13_2024-10-19"": 10397, ""2024-10-20_2024-10-26"": 10244, ""2024-10-27_2024-11-02"": 7617, ""2024-11-03_2024-11-09"": 9412, ""2024-11-10_2024-11-16"": 9867, ""2024-11-17_2024-11-23"": 9545, ""2024-11-24_2024-11-30"": 8815, ""2024-12-01_2024-12-07"": 7335, ""2024-12-08_2024-12-14"": 8879}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,mid_density,239998,119998,120000,0.9999833333333333,8881,0.07400833333333333,"{""2024-09-22_2024-09-28"": 19228, ""2024-09-29_2024-10-05"": 18516, ""2024-10-06_2024-10-12"": 19364, ""2024-10-13_2024-10-19"": 20077, ""2024-10-20_2024-10-26"": 20133, ""2024-10-27_2024-11-02"": 21485, ""2024-11-03_2024-11-09"": 19922, ""2024-11-10_2024-11-16"": 19875, ""2024-11-17_2024-11-23"": 20122, ""2024-11-24_2024-11-30"": 20524, ""2024-12-01_2024-12-07"": 20702, ""2024-12-08_2024-12-14"": 20050}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,120001,60001,60000,1.0000166666666668,6553,0.10921666666666667,"{""2024-09-22_2024-09-28"": 7850, ""2024-09-29_2024-10-05"": 7257, ""2024-10-06_2024-10-12"": 9895, ""2024-10-13_2024-10-19"": 9526, ""2024-10-20_2024-10-26"": 9623, ""2024-10-27_2024-11-02"": 10898, ""2024-11-03_2024-11-09"": 10666, ""2024-11-10_2024-11-16"": 10258, ""2024-11-17_2024-11-23"": 10333, ""2024-11-24_2024-11-30"": 10661, ""2024-12-01_2024-12-07"": 11963, ""2024-12-08_2024-12-14"": 11071}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
42,high_density,120000,60000,60000,1.0,3652,0.060866666666666666,"{""2024-09-22_2024-09-28"": 12808, ""2024-09-29_2024-10-05"": 14405, ""2024-10-06_2024-10-12"": 10606, ""2024-10-13_2024-10-19"": 10254, ""2024-10-20_2024-10-26"": 10217, ""2024-10-27_2024-11-02"": 7714, ""2024-11-03_2024-11-09"": 9584, ""2024-11-10_2024-11-16"": 9887, ""2024-11-17_2024-11-23"": 9409, ""2024-11-24_2024-11-30"": 8776, ""2024-12-01_2024-12-07"": 7281, ""2024-12-08_2024-12-14"": 9059}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,mid_density,240000,120000,120000,1.0,8742,0.07285,"{""2024-09-22_2024-09-28"": 19456, ""2024-09-29_2024-10-05"": 18276, ""2024-10-06_2024-10-12"": 19393, ""2024-10-13_2024-10-19"": 20227, ""2024-10-20_2024-10-26"": 20103, ""2024-10-27_2024-11-02"": 21289, ""2024-11-03_2024-11-09"": 19843, ""2024-11-10_2024-11-16"": 19760, ""2024-11-17_2024-11-23"": 20438, ""2024-11-24_2024-11-30"": 20632, ""2024-12-01_2024-12-07"": 20534, ""2024-12-08_2024-12-14"": 20049}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
42,low_density,120000,60000,60000,1.0,6562,0.10936666666666667,"{""2024-09-22_2024-09-28"": 7736, ""2024-09-29_2024-10-05"": 7319, ""2024-10-06_2024-10-12"": 10001, ""2024-10-13_2024-10-19"": 9519, ""2024-10-20_2024-10-26"": 9680, ""2024-10-27_2024-11-02"": 10997, ""2024-11-03_2024-11-09"": 10573, ""2024-11-10_2024-11-16"": 10353, ""2024-11-17_2024-11-23"": 10153, ""2024-11-24_2024-11-30"": 10592, ""2024-12-01_2024-12-07"": 12185, ""2024-12-08_2024-12-14"": 10892}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0030778386131181503, ""label_0_q_low"": -0.4439785079659936, ""label_1_q_high"": -0.03378032854013037, ""label_1_q_low"": -0.324757230965725, ""low_quantile"": 0.25}"
77,high_density,120000,60000,60000,1.0,3630,0.0605,"{""2024-09-22_2024-09-28"": 13062, ""2024-09-29_2024-10-05"": 14220, ""2024-10-06_2024-10-12"": 10657, ""2024-10-13_2024-10-19"": 10213, ""2024-10-20_2024-10-26"": 10019, ""2024-10-27_2024-11-02"": 7596, ""2024-11-03_2024-11-09"": 9540, ""2024-11-10_2024-11-16"": 9978, ""2024-11-17_2024-11-23"": 9604, ""2024-11-24_2024-11-30"": 8758, ""2024-12-01_2024-12-07"": 7378, ""2024-12-08_2024-12-14"": 8975}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
77,mid_density,240000,120000,120000,1.0,8829,0.073575,"{""2024-09-22_2024-09-28"": 19218, ""2024-09-29_2024-10-05"": 18453, ""2024-10-06_2024-10-12"": 19418, ""2024-10-13_2024-10-19"": 20254, ""2024-10-20_2024-10-26"": 20293, ""2024-10-27_2024-11-02"": 21428, ""2024-11-03_2024-11-09"": 19745, ""2024-11-10_2024-11-16"": 19619, ""2024-11-17_2024-11-23"": 20284, ""2024-11-24_2024-11-30"": 20613, ""2024-12-01_2024-12-07"": 20494, ""2024-12-08_2024-12-14"": 20181}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
77,low_density,120000,60000,60000,1.0,6427,0.10711666666666667,"{""2024-09-22_2024-09-28"": 7720, ""2024-09-29_2024-10-05"": 7327, ""2024-10-06_2024-10-12"": 9925, ""2024-10-13_2024-10-19"": 9533, ""2024-10-20_2024-10-26"": 9688, ""2024-10-27_2024-11-02"": 10976, ""2024-11-03_2024-11-09"": 10715, ""2024-11-10_2024-11-16"": 10403, ""2024-11-17_2024-11-23"": 10112, ""2024-11-24_2024-11-30"": 10629, ""2024-12-01_2024-12-07"": 12128, ""2024-12-08_2024-12-14"": 10844}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0032699053860748284, ""label_0_q_low"": -0.44374788747678706, ""label_1_q_high"": -0.03278646591026233, ""label_1_q_low"": -0.3250510020425165, ""low_quantile"": 0.25}"
123,high_density,120001,60000,60001,0.9999833336111065,3529,0.05881568640522658,"{""2024-09-22_2024-09-28"": 12870, ""2024-09-29_2024-10-05"": 14155, ""2024-10-06_2024-10-12"": 10708, ""2024-10-13_2024-10-19"": 10346, ""2024-10-20_2024-10-26"": 10065, ""2024-10-27_2024-11-02"": 7712, ""2024-11-03_2024-11-09"": 9699, ""2024-11-10_2024-11-16"": 9864, ""2024-11-17_2024-11-23"": 9530, ""2024-11-24_2024-11-30"": 8854, ""2024-12-01_2024-12-07"": 7311, ""2024-12-08_2024-12-14"": 8887}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034178829633328394, ""label_0_q_low"": -0.44347110840243026, ""label_1_q_high"": -0.03357966151344631, ""label_1_q_low"": -0.3245158235560092, ""low_quantile"": 0.25}"
