seed,density_bin,feature_group,n_samples,n_benign,n_malware,auc,mix_at_10,mix_at_10_benign_query,mix_at_10_malware_query,mix_at_10_class_balanced,js_divergence,density_definition,thresholds_json
13,high_density,header,120001,60001,60000,0.9990228404526591,0.01669152757060358,0.006619889668505524,0.026763333333333337,0.01669161150091943,0.07755500706050546,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,mid_density,header,239998,119998,120000,0.9838046714320238,0.051020841840348684,0.061253520892014864,0.040788333333333336,0.0510209271126741,0.07888865120879192,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,header,120001,60001,60000,0.9564074597367822,0.08567511937400522,0.06562057299045017,0.10573000000000002,0.0856752864952251,0.0843380109864505,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,high_density,section,120001,60001,60000,0.999136000372216,0.017822351480404328,0.0058149030849485835,0.029830000000000002,0.017822451542474294,0.08280182578601326,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,mid_density,section,239998,119998,120000,0.9865573964427186,0.04517787648230403,0.05213170219503659,0.03822416666666667,0.045177934430851635,0.07244690059229285,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,section,120001,60001,60000,0.9716073012672011,0.07736018866509445,0.05034416093065115,0.10437666666666667,0.0773604137986589,0.21962719672986208,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,high_density,imports,120001,60001,60000,0.9430383357499597,0.140867159440338,0.19115181413643106,0.09058166666666666,0.14086674040154887,0.06852824169062904,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,mid_density,imports,239998,119998,120000,0.9415215683803063,0.1427070225585213,0.14059984333072217,0.14481416666666666,0.14270700499869443,0.041833990622034294,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,low_density,imports,120001,60001,60000,0.9359660138997683,0.14378463512804063,0.09094181763637273,0.19662833333333335,0.14378507548485303,0.01858658001853231,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
13,high_density,strings,120001,60001,60000,0.9990453996600056,0.01362405313289056,0.005773237112714788,0.021475,0.013624118556357395,0.0009454327824713458,class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0034221770411427895, ""label_0_q_low"": -0.442181833768432, ""label_1_q_high"": -0.03425919291600583, ""label_1_q_low"": -0.3276275564876697, ""low_quantile"": 0.25}"
