seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
13,high_density,header,120000,0.9966013323471969,0.0217125,0.06309575303558099
13,mid_density,header,240000,0.9821719504883489,0.049654166666666666,0.08149179057220421
13,low_density,header,120000,0.9511961405028279,0.0833875,0.08111633158394896
13,high_density,section,120000,0.9943962036946207,0.02293833333333333,0.03710917090117863
13,mid_density,section,240000,0.9856531568043756,0.04465833333333334,0.10410222712574374
13,low_density,section,120000,0.9700010603672335,0.07328333333333334,0.2061799732200062
13,high_density,imports,120000,0.9339899546745751,0.16475250000000002,0.05596517634774084
13,mid_density,imports,240000,0.9419989627638092,0.13682875,0.043347346961471064
13,low_density,imports,120000,0.9271369218235521,0.13165583333333333,0.01873209685304813
13,high_density,strings,120000,0.9954779835738159,0.017831666666666666,0.00048576155262233377
13,mid_density,strings,240000,0.9751142170025319,0.061839583333333344,0.00021344913626358163
13,low_density,strings,120000,0.9497014174035258,0.10936000000000003,0.0004095826168232793
13,high_density,all,120000,0.9978516157549407,0.015351666666666666,0.06350433067243817
13,mid_density,all,240000,0.9936183460657267,0.042648750000000006,0.08165286270208735
13,low_density,all,120000,0.9861680907270358,0.08352666666666665,0.08241497253204386
42,high_density,header,120000,0.9960381732382447,0.02260583333333334,0.06327647591320062
42,mid_density,header,240000,0.9818222997139128,0.049289166666666676,0.0812596157956088
42,low_density,header,120000,0.9526803051433039,0.08286916666666667,0.08066250811636103
42,high_density,section,120000,0.9952585458140107,0.023209166666666666,0.03841886962780913
42,mid_density,section,240000,0.985938061941389,0.044210833333333324,0.09957528524667586
42,low_density,section,120000,0.9705542431209155,0.07285083333333334,0.22307682931553252
42,high_density,imports,120000,0.9329238960912734,0.10834250000000001,0.054908823007873725
42,mid_density,imports,240000,0.9408715402941814,0.13548291666666668,0.04376549775098321
42,low_density,imports,120000,0.9277060617716074,0.13043916666666666,0.01861081271778315
42,high_density,strings,120000,0.9954002846762048,0.01811083333333333,0.0004077888104247221
42,mid_density,strings,240000,0.9747643025555728,0.061379166666666665,0.0001838206889149165
42,low_density,strings,120000,0.9498363399837767,0.10813083333333334,0.0005473113169822573
42,high_density,all,120000,0.9974074514785447,0.015500833333333337,0.06367476771148062
42,mid_density,all,240000,0.9939788898939572,0.042916249999999996,0.08148450075991594
42,low_density,all,120000,0.9873417330592057,0.08224166666666666,0.081748067273644
77,high_density,header,120000,0.9964738033590663,0.021479166666666667,0.061845817740246584
