seed,density_bin,n_samples,n_benign,n_malware,benign_to_malware_ratio,n_packed_malware,packed_ratio,week_distribution_json,density_definition,thresholds_json
13,high_density,120000,60000,60000,1.0,3240,0.054,"{""2024-09-22_2024-09-28"": 12821, ""2024-09-29_2024-10-05"": 14351, ""2024-10-06_2024-10-12"": 10538, ""2024-10-13_2024-10-19"": 10468, ""2024-10-20_2024-10-26"": 10378, ""2024-10-27_2024-11-02"": 7755, ""2024-11-03_2024-11-09"": 9570, ""2024-11-10_2024-11-16"": 9913, ""2024-11-17_2024-11-23"": 9528, ""2024-11-24_2024-11-30"": 8753, ""2024-12-01_2024-12-07"": 7088, ""2024-12-08_2024-12-14"": 8837}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,mid_density,240000,120000,120000,1.0,8916,0.0743,"{""2024-09-22_2024-09-28"": 19370, ""2024-09-29_2024-10-05"": 18376, ""2024-10-06_2024-10-12"": 19449, ""2024-10-13_2024-10-19"": 20032, ""2024-10-20_2024-10-26"": 20035, ""2024-10-27_2024-11-02"": 21284, ""2024-11-03_2024-11-09"": 19746, ""2024-11-10_2024-11-16"": 19811, ""2024-11-17_2024-11-23"": 20168, ""2024-11-24_2024-11-30"": 20580, ""2024-12-01_2024-12-07"": 21045, ""2024-12-08_2024-12-14"": 20104}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
13,low_density,120000,60000,60000,1.0,6772,0.11286666666666667,"{""2024-09-22_2024-09-28"": 7809, ""2024-09-29_2024-10-05"": 7273, ""2024-10-06_2024-10-12"": 10013, ""2024-10-13_2024-10-19"": 9500, ""2024-10-20_2024-10-26"": 9587, ""2024-10-27_2024-11-02"": 10961, ""2024-11-03_2024-11-09"": 10684, ""2024-11-10_2024-11-16"": 10276, ""2024-11-17_2024-11-23"": 10304, ""2024-11-24_2024-11-30"": 10667, ""2024-12-01_2024-12-07"": 11867, ""2024-12-08_2024-12-14"": 11059}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0025026113726198673, ""label_0_q_low"": -0.4169114828109741, ""label_1_q_high"": -0.0196235328912735, ""label_1_q_low"": -0.2966661751270294, ""low_quantile"": 0.25}"
42,high_density,120001,60000,60001,0.9999833336111065,3502,0.05836569390510158,"{""2024-09-22_2024-09-28"": 12809, ""2024-09-29_2024-10-05"": 14369, ""2024-10-06_2024-10-12"": 10583, ""2024-10-13_2024-10-19"": 10336, ""2024-10-20_2024-10-26"": 10289, ""2024-10-27_2024-11-02"": 7845, ""2024-11-03_2024-11-09"": 9702, ""2024-11-10_2024-11-16"": 9945, ""2024-11-17_2024-11-23"": 9470, ""2024-11-24_2024-11-30"": 8744, ""2024-12-01_2024-12-07"": 7044, ""2024-12-08_2024-12-14"": 8865}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0024051754735410213, ""label_0_q_low"": -0.41874104738235474, ""label_1_q_high"": -0.02032281830906868, ""label_1_q_low"": -0.29673391580581665, ""low_quantile"": 0.25}"
42,mid_density,239998,120000,119998,1.000016666944449,8803,0.07335955599259987,"{""2024-09-22_2024-09-28"": 19496, ""2024-09-29_2024-10-05"": 18273, ""2024-10-06_2024-10-12"": 19396, ""2024-10-13_2024-10-19"": 20085, ""2024-10-20_2024-10-26"": 20019, ""2024-10-27_2024-11-02"": 21119, ""2024-11-03_2024-11-09"": 19661, ""2024-11-10_2024-11-16"": 19661, ""2024-11-17_2024-11-23"": 20361, ""2024-11-24_2024-11-30"": 20735, ""2024-12-01_2024-12-07"": 20887, ""2024-12-08_2024-12-14"": 20305}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0024051754735410213, ""label_0_q_low"": -0.41874104738235474, ""label_1_q_high"": -0.02032281830906868, ""label_1_q_low"": -0.29673391580581665, ""low_quantile"": 0.25}"
42,low_density,120001,60000,60001,0.9999833336111065,6651,0.11084815253079115,"{""2024-09-22_2024-09-28"": 7695, ""2024-09-29_2024-10-05"": 7358, ""2024-10-06_2024-10-12"": 10021, ""2024-10-13_2024-10-19"": 9579, ""2024-10-20_2024-10-26"": 9692, ""2024-10-27_2024-11-02"": 11036, ""2024-11-03_2024-11-09"": 10637, ""2024-11-10_2024-11-16"": 10394, ""2024-11-17_2024-11-23"": 10169, ""2024-11-24_2024-11-30"": 10521, ""2024-12-01_2024-12-07"": 12069, ""2024-12-08_2024-12-14"": 10830}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.0024051754735410213, ""label_0_q_low"": -0.41874104738235474, ""label_1_q_high"": -0.02032281830906868, ""label_1_q_low"": -0.29673391580581665, ""low_quantile"": 0.25}"
77,high_density,120000,60000,60000,1.0,3429,0.05715,"{""2024-09-22_2024-09-28"": 13166, ""2024-09-29_2024-10-05"": 14279, ""2024-10-06_2024-10-12"": 10595, ""2024-10-13_2024-10-19"": 10153, ""2024-10-20_2024-10-26"": 10068, ""2024-10-27_2024-11-02"": 7663, ""2024-11-03_2024-11-09"": 9641, ""2024-11-10_2024-11-16"": 10063, ""2024-11-17_2024-11-23"": 9573, ""2024-11-24_2024-11-30"": 8797, ""2024-12-01_2024-12-07"": 7178, ""2024-12-08_2024-12-14"": 8824}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.002532403217628598, ""label_0_q_low"": -0.41886261105537415, ""label_1_q_high"": -0.019944971427321434, ""label_1_q_low"": -0.297162801027298, ""low_quantile"": 0.25}"
77,mid_density,239999,120000,119999,1.0000083334027783,8972,0.0747672897274144,"{""2024-09-22_2024-09-28"": 19165, ""2024-09-29_2024-10-05"": 18364, ""2024-10-06_2024-10-12"": 19374, ""2024-10-13_2024-10-19"": 20325, ""2024-10-20_2024-10-26"": 20258, ""2024-10-27_2024-11-02"": 21286, ""2024-11-03_2024-11-09"": 19677, ""2024-11-10_2024-11-16"": 19543, ""2024-11-17_2024-11-23"": 20310, ""2024-11-24_2024-11-30"": 20627, ""2024-12-01_2024-12-07"": 20752, ""2024-12-08_2024-12-14"": 20318}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.002532403217628598, ""label_0_q_low"": -0.41886261105537415, ""label_1_q_high"": -0.019944971427321434, ""label_1_q_low"": -0.297162801027298, ""low_quantile"": 0.25}"
77,low_density,120001,60000,60001,0.9999833336111065,6485,0.1080815319744671,"{""2024-09-22_2024-09-28"": 7669, ""2024-09-29_2024-10-05"": 7357, ""2024-10-06_2024-10-12"": 10031, ""2024-10-13_2024-10-19"": 9522, ""2024-10-20_2024-10-26"": 9674, ""2024-10-27_2024-11-02"": 11051, ""2024-11-03_2024-11-09"": 10682, ""2024-11-10_2024-11-16"": 10394, ""2024-11-17_2024-11-23"": 10117, ""2024-11-24_2024-11-30"": 10576, ""2024-12-01_2024-12-07"": 12070, ""2024-12-08_2024-12-14"": 10858}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.002532403217628598, ""label_0_q_low"": -0.41886261105537415, ""label_1_q_high"": -0.019944971427321434, ""label_1_q_low"": -0.297162801027298, ""low_quantile"": 0.25}"
123,high_density,120001,60000,60001,0.9999833336111065,3404,0.05673238779353677,"{""2024-09-22_2024-09-28"": 12931, ""2024-09-29_2024-10-05"": 14339, ""2024-10-06_2024-10-12"": 10639, ""2024-10-13_2024-10-19"": 10478, ""2024-10-20_2024-10-26"": 10232, ""2024-10-27_2024-11-02"": 7740, ""2024-11-03_2024-11-09"": 9644, ""2024-11-10_2024-11-16"": 9965, ""2024-11-17_2024-11-23"": 9481, ""2024-11-24_2024-11-30"": 8723, ""2024-12-01_2024-12-07"": 6952, ""2024-12-08_2024-12-14"": 8877}",class_conditional,"{""high_quantile"": 0.75, ""label_0_q_high"": -0.002588917501270771, ""label_0_q_low"": -0.4169239103794098, ""label_1_q_high"": -0.020046323537826538, ""label_1_q_low"": -0.29510462284088135, ""low_quantile"": 0.25}"
