seed,density_bin,feature_group,n_samples,auc,mix_at_10,js_divergence
13,high_density,header,120001,0.9959416958171194,0.019149007091607568,0.06804535165429115
13,mid_density,header,239999,0.9848288271224386,0.04995062479426997,0.07938040979206562
13,low_density,header,120000,0.9517438157335065,0.08535833333333333,0.08108289539813995
13,high_density,section,120001,0.9980965530529872,0.019919000674994376,0.0358109213411808
13,mid_density,section,239999,0.9891325094124847,0.045177271571964876,0.10026517137885094
13,low_density,section,120000,0.9709902218400013,0.07526500000000001,0.20305250585079193
13,high_density,imports,120001,0.9412424834960247,0.11534903875801036,0.060400016605854034
13,mid_density,imports,239999,0.9452703833939909,0.1373593223305097,0.04095401242375374
13,low_density,imports,120000,0.9273437632620035,0.1383775,0.018177893944084644
13,high_density,strings,120001,0.9977362068185757,0.015353205389955084,0.0005100111302454025
13,mid_density,strings,239999,0.9704521755953304,0.06180275751148964,0.0002094232477247715
13,low_density,strings,120000,0.9425122552230335,0.1117075,0.0004055556782986969
13,high_density,all,120001,0.998554557466227,0.013187390105082457,0.06836849264800549
13,mid_density,all,239999,0.9916905735668535,0.0429610123375514,0.07955095544457436
13,low_density,all,120000,0.9760220428003751,0.08506666666666667,0.08237655088305473
42,high_density,header,120001,0.9956519184479967,0.020703994133382222,0.07059324160218239
42,mid_density,header,239998,0.9848412737389243,0.049629580246502034,0.07886309362947941
42,low_density,header,120001,0.9523285696320963,0.08408929925583952,0.07915814593434334
42,high_density,section,120001,0.9981374545139663,0.02084065966116949,0.0370023176074028
42,mid_density,section,239998,0.9894062171484456,0.04481120676005633,0.09119628742337227
42,low_density,section,120001,0.9717899914998227,0.07401854984541795,0.23933854699134827
42,high_density,imports,120001,0.9330910481921122,0.10779160173665221,0.05863838084042072
42,mid_density,imports,239998,0.9455526458122568,0.1373019775164793,0.041323572397232056
42,low_density,imports,120001,0.9267478695850513,0.13358722010649912,0.01873859204351902
42,high_density,strings,120001,0.9973921802728163,0.01645236289697586,0.00043850313522852957
42,mid_density,strings,239998,0.9698674575818473,0.061463845532046105,0.0001721084991004318
42,low_density,strings,120001,0.9425280232695558,0.10960491995900033,0.0006148775282781571
42,high_density,all,120001,0.9983878325452464,0.013928217264856125,0.07091801799833775
42,mid_density,all,239998,0.9918029427372075,0.04326286052383769,0.07908357493579388
42,low_density,all,120001,0.9760302745736181,0.08312097399188341,0.0802803710103035
77,high_density,header,120003,0.9958010117789178,0.01979033857486896,0.06573470309376717
77,mid_density,header,239997,0.9844245825975974,0.04996770792968246,0.08052285388112068
77,low_density,header,120000,0.9553204672384252,0.08432166666666667,0.0784871093928814
77,high_density,section,120003,0.9982593537445896,0.01991366882494604,0.030383417382836342
77,mid_density,section,239997,0.9890276432105932,0.04546765167897932,0.1006680428981781
77,low_density,section,120000,0.972353455675966,0.07475833333333333,0.22121573984622955
77,high_density,imports,120003,0.9401955934284368,0.11267051657041907,0.05714394152164459
77,mid_density,imports,239997,0.9457236290977316,0.13593878256811542,0.04138128273189068
77,low_density,imports,120000,0.9268246486804252,0.13635750000000002,0.018164812587201595
77,high_density,strings,120003,0.9975771091144291,0.015932101697457565,0.00047551735769957304
77,mid_density,strings,239997,0.9685617567768944,0.06240661341600103,0.00018829997861757874
77,low_density,strings,120000,0.94637283124746,0.10916166666666666,0.0004434614675119519
77,high_density,all,120003,0.9986212817410942,0.013649658758531035,0.06603177450597286
77,mid_density,all,239997,0.9913203300325643,0.04341345933490835,0.0807341281324625
77,low_density,all,120000,0.9778264573434892,0.08461416666666667,0.07969755679368973
123,high_density,header,120001,0.9959497860371951,0.019859834501379157,0.0722349788993597
123,mid_density,header,239997,0.984754511745837,0.04946603499210407,0.07920737937092781
123,low_density,header,120002,0.9536001463015507,0.08466608889851834,0.0766977071762085
123,high_density,section,120001,0.9982816688465271,0.0201314989041758,0.03727550432085991
123,mid_density,section,239997,0.9897175872551585,0.044838477147631006,0.09473200887441635
123,low_density,section,120002,0.971692404368531,0.07494875085415242,0.19764820486307144
123,high_density,imports,120001,0.9414554172396905,0.15436121365655286,0.06081123650074005
123,mid_density,imports,239997,0.9457948093885127,0.14114884769392952,0.041063377633690834
