model,feature_group,pooled_auc_gap_low_minus_high,class_cond_auc_gap_low_minus_high,pooled_mix_gap_low_minus_high,class_cond_mix_gap_low_minus_high,class_balanced_mix_gap_low_minus_high,pooled_js_gap_low_minus_high,class_cond_js_gap_low_minus_high
LR,all,-0.0490939194579908,-0.044742900771990946,0.07037964691544236,0.07354051094296435,0.07354055591851245,0.011391546364836802,0.002928652175419086
LR,header,-0.07794901170410995,-0.07579623289388238,0.06473785144568239,0.07107569401366101,0.07107575552907451,0.010476270004165969,0.002172943598843971
LR,imports,-0.040171327143400215,-0.03395635932786578,-0.0024086585445121655,0.027151522665088912,0.027151247809758708,-0.040906315305964544,-0.050025389962476935
LR,section,-0.08330192331583819,-0.08773875251165819,0.05452838736204976,0.0624567513617942,0.06245682181685861,0.178949517091001,0.14024918175707318
LR,strings,-0.1299799054213473,-0.12221063163224322,0.09430640770493581,0.09691468982341817,0.09691473514052544,3.619438477570606e-05,-0.0003706525040955588
LightGBM,all,-0.012368219089482713,-0.011373891773013178,0.07037964691544236,0.07354051094296435,0.07354055591851245,0.011391546364836802,0.002928652175419086
LightGBM,header,-0.04542551787056859,-0.04285224318994485,0.06473785144568239,0.07107569401366101,0.07107575552907451,0.010476270004165969,0.002172943598843971
LightGBM,imports,-0.014039256177106885,-0.005525518801640872,-0.0024086585445121655,0.027151522665088912,0.027151247809758708,-0.040906315305964544,-0.050025389962476935
LightGBM,section,-0.028111129580846717,-0.027169967207500756,0.05452838736204976,0.0624567513617942,0.06245682181685861,0.178949517091001,0.14024918175707318
LightGBM,strings,-0.04762186186220807,-0.04428860415313629,0.09430640770493581,0.09691468982341817,0.09691473514052544,3.619438477570606e-05,-0.0003706525040955588
RF,all,-0.021712578743642408,-0.01990539644963618,0.07037943511284812,0.07354020269681699,0.07354016509726939,0.011384953185915953,0.002916667982935897
RF,header,-0.042190346384441635,-0.03947336541688118,0.06473716818124557,0.07107485576529254,0.07107481733397505,0.010469601303339002,0.002161094918847084
RF,imports,-0.00605929352810286,-0.0050206712041609425,0.004609240857562369,0.03351658718487481,0.033516293850494316,-0.040906625986099246,-0.050025204196572304
RF,section,-0.026256625004456358,-0.025375379831319766,0.05452823710122437,0.06245644415684993,0.0624563888992838,0.1789631124585867,0.14025277644395828
RF,strings,-0.052982998662768344,-0.04889398612198692,0.0943062832785682,0.09691095890095353,0.09691094909067799,3.6318920319899906e-05,-0.00037047169753350316
