feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.028381513042946865,0.02798517347355376,0.008508262431146408,0.08366596945025458,0.30534006417139203,0.08690332054443348,0.23983433264305268,0.4775019895916233,0.21843008121190274,0.061044585692655105,0.1826984775126874,0.3402,0.002632528548555135,0.0017856100937439375,0.0,0.005275646266995837,0.1152260168273248,0.057095369787050654,0.002898919130904676,0.15460526236274896,0.08721131799799604,0.039496535618155935,0.009005078170269076,0.11430859446457542,0.002632528548555135,0.0017856100937439375,0.0,0.005275646266995837,0.1152260168273248,0.057095369787050654,0.002898919130904676,0.15460526236274896,0.08721131799799604,0.039496535618155935,0.009005078170269076,0.11430859446457542,0.19004856816895585,0.03330880178437699,0.1704984775126874,0.25653403054974544,12.336578759636833,5.87116214813535,4.0661693426294825,21.565311932745672,0.0845787894494409,0.038043264358765504,0.009005078170269076,0.10903294819757958,0.0845787894494409,0.038043264358765504,0.009005078170269076,0.10903294819757958
header,important,0.05,5,0.17136723902300816,0.2356721813185147,0.018533178890175916,0.6380530162248648,0.3251637130845374,0.0652364706543735,0.2352718136325568,0.40759012650210835,0.3471157751253876,0.09555913434622026,0.2629,0.5239416666666666,0.014334874106514928,0.024273170319172255,-0.001006476031874759,0.062421349577595486,0.18746094921430834,0.04392009554777724,0.15184056143522373,0.27181373842345924,0.16475916501630905,0.03256905713407756,0.13058391784206314,0.21841682478328184,0.014334874106514928,0.024273170319172255,-0.001006476031874759,0.062421349577595486,0.18746094921430834,0.04392009554777724,0.15184056143522373,0.27181373842345924,0.16475916501630905,0.03256905713407756,0.13058391784206314,0.21841682478328184,0.17574853610237948,0.14497573327328078,-0.11411134955819813,0.25406357835906923,6.400963172273608,4.5316885920158985,0.8211569467481639,14.185370008992805,0.15042429090979412,0.015714430356635452,0.1315903938739379,0.17146863595117523,0.15042429090979412,0.015714430356635452,0.1315903938739379,0.17146863595117523
header,important,0.1,5,0.5354861736429974,0.237064518914307,0.06155833333333333,0.6659583333333333,0.3355135764237155,0.04885472775778208,0.3053679390330793,0.43267680282001175,0.5223073224640249,0.09210768640558631,0.33876384363463635,0.5812083333333333,0.004668591958649127,0.001831603923301683,0.0015808753987381907,0.006829957698265665,0.20141882453325807,0.033579403756301855,0.16115492452418367,0.25936736032635166,0.1898560924816814,0.013033842966981773,0.17482201859464142,0.2115567233219483,0.004668591958649127,0.001831603923301683,0.0015808753987381907,0.006829957698265665,0.20141882453325807,0.033579403756301855,0.16115492452418367,0.25936736032635166,0.1898560924816814,0.013033842966981773,0.17482201859464142,0.2115567233219483,-0.013178851178972485,0.1455414162174962,-0.09901889798117836,0.277205510301303,1.7957853812450923,1.85373204190679,0.851313673806652,5.503135404921668,0.18518750052303226,0.011484555545539166,0.17324114319590322,0.20472676562368264,0.18518750052303226,0.011484555545539166,0.17324114319590322,0.20472676562368264
header,random,0.01,5,0.04655029242325759,0.02923130803443367,0.01330375,0.09458962841976316,0.07450199866889813,0.02169517487355814,0.03517229166666667,0.09329663873599472,0.08333089913359382,0.03556202898353892,0.033732500000000006,0.13711625,0.00042396390029096447,0.00032632770992033634,8.46055617941821e-06,0.0008532387796400198,0.004155241835520586,0.0030660736251452952,0.0003798244520865024,0.00794073749822381,0.004072120992701963,0.0028351295928255244,0.0005248996396210959,0.007006915913991885,0.00042396390029096447,0.00032632770992033634,8.46055617941821e-06,0.0008532387796400198,0.004155241835520586,0.0030660736251452952,0.0003798244520865024,0.00794073749822381,0.004072120992701963,0.0028351295928255244,0.0005248996396210959,0.007006915913991885,0.03678060671033623,0.012756865280875473,0.020428750000000006,0.05738816630347525,2.0725602149235227,0.5665224319790841,1.4495907457371033,2.915721971899224,0.003648157092410999,0.002530013081676153,0.0005164390834416777,0.006437790252110204,0.003648157092410999,0.002530013081676153,0.0005164390834416777,0.006437790252110204
header,random,0.05,5,0.20134870069693864,0.03633912056161409,0.16197791666666667,0.26672,0.25185507281865743,0.039190993691403164,0.1920516335484731,0.3094517060487752,0.2623295473082137,0.033086063055765294,0.21502529145590454,0.3016474450851639,0.001719608798177662,0.000533913359230555,0.0010734570739624582,0.002580990240613051,0.013375152703444604,0.007129812739373448,0.006950206658123764,0.026443496977388643,0.011695185668913831,0.004435992215301386,0.00714167600565716,0.020012210114102768,0.001719608798177662,0.000533913359230555,0.0010734570739624582,0.002580990240613051,0.013375152703444604,0.007129812739373448,0.006950206658123764,0.026443496977388643,0.011695185668913831,0.004435992215301386,0.00714167600565716,0.020012210114102768,0.06098084661127505,0.017540232358349384,0.03492744508516388,0.08881213050655137,1.3161002958615473,0.10000689424264256,1.1309517287236197,1.4318379413244462,0.009975576870736169,0.004291379638297659,0.005738932778736661,0.01795871217735343,0.009975576870736169,0.004291379638297659,0.005738932778736661,0.01795871217735343
header,random,0.1,5,0.2929460801548876,0.03809621620181625,0.2496858333333333,0.35915291666666666,0.2842437754029071,0.03572133601044803,0.22992562499999997,0.3297300788346472,0.33639553815857914,0.03425763931566237,0.29848374999999994,0.3969075257706186,0.004524917409479887,0.001165174353522646,0.002561318094792647,0.006082346307336767,0.019700578910783022,0.0033624833342661966,0.01449229868027994,0.02428999483909125,0.020087449743939344,0.0021453930502491948,0.017721695161542983,0.023321559506538442,0.004524917409479887,0.001165174353522646,0.002561318094792647,0.006082346307336767,0.019700578910783022,0.0033624833342661966,0.01449229868027994,0.02428999483909125,0.020087449743939344,0.0021453930502491948,0.017721695161542983,0.023321559506538442,0.043449458003691516,0.009155285530114177,0.03482803046432942,0.06094291666666665,1.1528739843498101,0.04768751461736267,1.1051212654886842,1.2440783918457528,0.015562532334459459,0.0017819510353266287,0.012785999815327204,0.018387788829778505,0.015562532334459459,0.0017819510353266287,0.012785999815327204,0.018387788829778505
imports,important,0.01,5,0.05447723430350933,0.005549372080819331,0.04802045529528209,0.06368154702274387,0.1311258835641526,0.039275335499117395,0.10035365442910071,0.20874436731214224,0.10130272671718307,0.017712624956348212,0.0907575770201915,0.13660605656572392,0.050213489580146355,0.03064362113214806,0.02283024466143979,0.10972393615080744,0.03202211103456807,0.010101561184299395,0.022161944658613653,0.05117033414889682,0.0352164546074228,0.00957253528417833,0.023743154847997605,0.048541872874018566,0.050213489580146355,0.03064362113214806,0.02283024466143979,0.10972393615080744,0.03202211103456807,0.010101561184299395,0.022161944658613653,0.05117033414889682,0.0352164546074228,0.00957253528417833,0.023743154847997605,0.048541872874018566,0.04682549241367376,0.013752895707109122,0.034245031139545606,0.07292450954298005,1.8545465350148258,0.1947037083319629,1.6059721891112617,2.145143498428753,-0.014997034972723556,0.026596646448709373,-0.06118206327678888,0.021695756240150077,-0.014997034972723556,0.026596646448709373,-0.06118206327678888,0.021695756240150077
imports,important,0.05,5,0.08210009941280542,0.0448257367137601,0.029795182358149725,0.16493456505003848,0.25553437123391165,0.04318595484734785,0.21670050486926,0.33957000112271246,0.17506080727582402,0.011763620334475394,0.15676666666666667,0.19149166666666667,0.06757891284955367,0.038856352672025155,0.01717530976047943,0.13636963076206143,0.08334639226255262,0.01534301642678392,0.06384914288626897,0.10487938822388487,0.1059750962208863,0.014290054072833258,0.08481659804759523,0.12452900207052686,0.06757891284955367,0.038856352672025155,0.01717530976047943,0.13636963076206143,0.08334639226255262,0.01534301642678392,0.06384914288626897,0.10487938822388487,0.1059750962208863,0.014290054072833258,0.08481659804759523,0.12452900207052686,0.09296070786301858,0.039619836450453985,0.026557101616628193,0.1420519535229189,2.8299360391990547,1.5717663935226727,1.1610159859976663,5.767614838378869,0.03839618337133264,0.029260229931176884,-0.011840628691534572,0.0676412882871158,0.03839618337133264,0.029260229931176884,-0.011840628691534572,0.0676412882871158
imports,important,0.1,5,0.10829850637471375,0.04813680213679281,0.049074798187729037,0.19546904212031233,0.31511682066883423,0.04759257718488711,0.2727024722932651,0.4067025934658134,0.21556230009740954,0.01129725942623164,0.1967717204713255,0.22740833333333332,0.10179241210310033,0.046391835502040644,0.045195231804341485,0.18182409394335897,0.14441158327300052,0.023082012273425486,0.1084638070654198,0.17465239996213866,0.14637208316217193,0.021658259484367975,0.11937534384640669,0.18128121217693327,0.10179241210310033,0.046391835502040644,0.045195231804341485,0.18182409394335897,0.14441158327300052,0.023082012273425486,0.1084638070654198,0.17465239996213866,0.14637208316217193,0.021658259484367975,0.11937534384640669,0.18128121217693327,0.10726379372269576,0.047688496744253815,0.01500595787968767,0.14769692228359646,2.383396752623011,0.9524027687142629,1.076768974344548,4.009628724678637,0.04457967105907161,0.05446801383240718,-0.04983865389551223,0.10170567405106223,0.04457967105907161,0.05446801383240718,-0.04983865389551223,0.10170567405106223
imports,random,0.01,5,0.0067724877540183024,0.0021970022134688936,0.004194592917665765,0.01040305729682173,0.02685986369598743,0.006037381252186393,0.020778733188028285,0.03811047490737622,0.02852079387466753,0.005472014151688405,0.021288572595228372,0.037815833333333326,-0.0012834871158456985,0.00301868332054205,-0.006145454671238043,0.0033566750205744345,0.0019751057981549414,0.0005260157510877615,0.0016314683693132326,0.0030155179428189294,0.0017708590208971088,0.0004197455514532706,0.0009352284285683687,0.0020303179136640314,-0.0012834871158456985,0.00301868332054205,-0.006145454671238043,0.0033566750205744345,0.0019751057981549414,0.0005260157510877615,0.0016314683693132326,0.0030155179428189294,0.0017708590208971088,0.0004197455514532706,0.0009352284285683687,0.0020303179136640314,0.021748306120649225,0.003720004675698549,0.016422002343547078,0.027412776036511596,4.452730036870004,0.9688451226770781,3.553838078699404,6.244542428530146,0.003054346136742807,0.0031038707441188845,-0.0014108313323329125,0.00816294569614905,0.003054346136742807,0.0031038707441188845,-0.0014108313323329125,0.00816294569614905
