feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.03851555555555555,0.028556530549719045,0.018966666666666666,0.09535555555555555,0.2972505898707517,0.08410752298766758,0.2349,0.46395555555555557,0.22459690717984046,0.0663772989285711,0.1834222222222222,0.3567888888888889,0.001572652120061213,0.00150432071307005,-0.00026554454277349926,0.004271747056456832,0.11589850571536424,0.05779604436892493,0.0028922234208109687,0.15813449340220542,0.09245376790578282,0.04168892430059332,0.009555665314950557,0.11887686789561236,0.001572652120061213,0.00150432071307005,-0.00026554454277349926,0.004271747056456832,0.11589850571536424,0.05779604436892493,0.0028922234208109687,0.15813449340220542,0.09245376790578282,0.04168892430059332,0.009555665314950557,0.11887686789561236,0.18608135162428488,0.03795567446758431,0.1608777777777778,0.2614333333333333,7.152096527814747,1.9193109515507194,3.741668608715917,9.670767428236672,0.0908811157857216,0.040688715035896064,0.009821209857724056,0.11520986859803106,0.0908811157857216,0.040688715035896064,0.009821209857724056,0.11520986859803106
header,important,0.05,5,0.19296666666666668,0.24801089880472174,0.030088888888888887,0.6828888888888889,0.3142953167751247,0.0636626340924205,0.2259611111111111,0.39254880609784554,0.347274197017844,0.08711028267507537,0.2597111111111111,0.5089,0.013826725539175166,0.025644133026499802,-0.001146317198225999,0.06493889603252556,0.19008395268546346,0.04696966792533805,0.1519109573508839,0.2794539266201944,0.17114633375079405,0.034993163540259976,0.1350961158830044,0.2305500206344524,0.013826725539175166,0.025644133026499802,-0.001146317198225999,0.06493889603252556,0.19008395268546346,0.04696966792533805,0.1519109573508839,0.2794539266201944,0.17114633375079405,0.034993163540259976,0.1350961158830044,0.2305500206344524,0.1543075303511774,0.1645676877671548,-0.17398888888888886,0.25003765175588694,4.619386507782394,2.737229918646639,0.7452164009111618,8.631462333825702,0.1573196082116189,0.01736638677662494,0.1362424330812304,0.17475617704258772,0.1573196082116189,0.01736638677662494,0.1362424330812304,0.17475617704258772
header,important,0.1,5,0.5734577777777778,0.24867265481817857,0.07626666666666666,0.7049333333333333,0.3181784366246045,0.04713127097883457,0.28999444444444444,0.4120888888888889,0.5186286319563268,0.07757115821537172,0.36417777777777777,0.5695222222222223,0.007070300904929172,0.0021209219700668866,0.0038340250074742066,0.009628126288207306,0.19492430492872184,0.03291950174778901,0.15369633452148068,0.2529711669053675,0.19700104297208434,0.013141224851786806,0.18220938327744862,0.21674620429894065,0.007070300904929172,0.0021209219700668866,0.0038340250074742066,0.009628126288207306,0.19492430492872184,0.03291950174778901,0.15369633452148068,0.2529711669053675,0.19700104297208434,0.013141224851786806,0.18220938327744862,0.21674620429894065,-0.05482914582145089,0.17144431842559377,-0.14712350688503217,0.2879111111111111,1.593902146685037,1.5905940880800118,0.790269992451133,4.775058275058275,0.18993074206715516,0.012278447332682366,0.1759215497937674,0.20711807801073334,0.18993074206715516,0.012278447332682366,0.1759215497937674,0.20711807801073334
header,random,0.01,5,0.05102411111111112,0.03200158038844371,0.01607888888888889,0.10333,0.07193134991685093,0.02083251995771696,0.03372083333333334,0.09052055555555555,0.08396232050892696,0.03450751686227944,0.033756111111111105,0.13372055555555556,0.0005334955509862249,0.0003390029622150973,2.1240782008685732e-05,0.0009361312899096086,0.0041540056099356095,0.0031168346022648397,0.0003165763245351061,0.008103566388421662,0.00421446290340236,0.002903381983337451,0.0006107171619738283,0.007373323568362377,0.0005334955509862249,0.0003390029622150973,2.1240782008685732e-05,0.0009361312899096086,0.0041540056099356095,0.0031168346022648397,0.0003165763245351061,0.008103566388421662,0.00421446290340236,0.002903381983337451,0.0006107171619738283,0.007373323568362377,0.03293820939781585,0.012081451078630148,0.017677222222222216,0.054885,1.8910090915653128,0.4732207259039555,1.2941116380098283,2.5918949403802776,0.0036809673524161356,0.002590614375878342,0.0005894763799651426,0.0066708031754974745,0.0036809673524161356,0.002590614375878342,0.0005894763799651426,0.0066708031754974745
header,random,0.05,5,0.21058577777777776,0.040072351207642416,0.1582472222222222,0.2801072222222222,0.24643913787745791,0.039821498759467854,0.18472305555555557,0.3040569444444444,0.26397309371890504,0.03297577480309675,0.22026166666666666,0.3039132463723028,0.0026323708514877408,0.0005250374127009651,0.002057454083105459,0.003475527299726039,0.013019471496048462,0.006807484881083778,0.0069205064757046795,0.025632842864386912,0.012049857036076058,0.0049739578632839645,0.006785426261970739,0.021323153845033332,0.0026323708514877408,0.0005250374127009651,0.002057454083105459,0.003475527299726039,0.013019471496048462,0.006807484881083778,0.0069205064757046795,0.025632842864386912,0.012049857036076058,0.0049739578632839645,0.006785426261970739,0.021323153845033332,0.053387315941127264,0.01969010254294839,0.02380602415008065,0.08391500000000007,1.2709367502719682,0.11459821397897327,1.0849889694425452,1.392758333766707,0.009417486184588314,0.0047589330630759055,0.004727972178865281,0.018432459197378147,0.009417486184588314,0.0047589330630759055,0.004727972178865281,0.018432459197378147
header,random,0.1,5,0.3065386666666667,0.03952256786560506,0.26568222222222226,0.3782672222222222,0.2779103873296124,0.03585292158511759,0.22396,0.3242983255369504,0.33540445448125844,0.032777616246289394,0.2995188888888889,0.39100777777777773,0.0063627842176400716,0.0014527953909397226,0.0037265504111814785,0.008148969434300884,0.01953386678876779,0.00382057811084094,0.01325916598300524,0.023855063344600986,0.020227122404977572,0.0019924115661113812,0.017883280882046042,0.022953811032379857,0.0063627842176400716,0.0014527953909397226,0.0037265504111814785,0.008148969434300884,0.01953386678876779,0.00382057811084094,0.01325916598300524,0.023855063344600986,0.020227122404977572,0.0019924115661113812,0.017883280882046042,0.022953811032379857,0.02886578781459177,0.009876522352449,0.012740555555555533,0.040919999999999956,1.0983799745530225,0.03939395889984714,1.0336813628225783,1.1540185852773153,0.013864338187337497,0.0018134296805456841,0.010980161729501602,0.016627171051758552,0.013864338187337497,0.0018134296805456841,0.010980161729501602,0.016627171051758552
imports,important,0.01,5,0.06394702957916644,0.016348380948184166,0.04688229638785881,0.09150398439127051,0.12600424299025592,0.04668173670479838,0.07528710234996,0.21401684635161433,0.10131124369339176,0.016570177460870424,0.09128888888888889,0.13433399624473652,0.0483815966292638,0.03823449734463803,0.014539893611881793,0.12221039709912529,0.029741801512588716,0.004585769651045031,0.022549328900274057,0.03501281539449108,0.034748738286687855,0.009353377487373879,0.02252697017795735,0.04738502816458612,0.0483815966292638,0.03823449734463803,0.014539893611881793,0.12221039709912529,0.029741801512588716,0.004585769651045031,0.022549328900274057,0.03501281539449108,0.034748738286687855,0.009353377487373879,0.02252697017795735,0.04738502816458612,0.037364214114225316,0.020135059171230613,0.0007960156087294806,0.06106263833280767,1.6585289366300582,0.3468633355698348,1.0086992453282222,2.037253259118207,-0.013632858342575948,0.03382743367398741,-0.07482536893453917,0.019615323007857732,-0.013632858342575948,0.03382743367398741,-0.07482536893453917,0.019615323007857732
imports,important,0.05,5,0.10596017978129449,0.04623541226911896,0.044298751461015085,0.17425491003982968,0.23639590989025452,0.06379334218809161,0.14056128299649268,0.3399501527576781,0.17528619798707018,0.010694401519373033,0.15934444444444446,0.19241111111111112,0.06761830913943441,0.04233932209645229,0.023507928705454706,0.1430692241900804,0.08733357237582642,0.018712490687840786,0.0634718454670411,0.10807196168171618,0.10499078030743374,0.01379792869802973,0.08658038679333724,0.12406253325468419,0.06761830913943441,0.04233932209645229,0.023507928705454706,0.1430692241900804,0.08733357237582642,0.018712490687840786,0.0634718454670411,0.10807196168171618,0.10499078030743374,0.01379792869802973,0.08658038679333724,0.12406253325468419,0.06932601820577568,0.04090556857943899,0.018156201071281436,0.12868779402989117,2.0462318006962006,1.00865970004727,1.104193339901478,3.9049982174586177,0.037372471167999334,0.03557822614929757,-0.019006690935396198,0.08414223300613666,0.037372471167999334,0.03557822614929757,-0.019006690935396198,0.08414223300613666
imports,important,0.1,5,0.13795639866901901,0.050172154119684745,0.0681781238631174,0.2099780249965664,0.2919939155387139,0.0754855753253031,0.17123774256162982,0.4070670525808008,0.21615916994110335,0.012808529009838945,0.19621807192773896,0.23176666666666668,0.1028472337736335,0.053380705193414965,0.04248005612022243,0.19263651225339729,0.14775715574763995,0.02215001525832964,0.10848574049022885,0.1722211415394036,0.14393152745456303,0.023247314147733202,0.1128000326003068,0.17847992765103715,0.1028472337736335,0.053380705193414965,0.04248005612022243,0.19263651225339729,0.14775715574763995,0.02215001525832964,0.10848574049022885,0.1722211415394036,0.14393152745456303,0.023247314147733202,0.1128000326003068,0.17847992765103715,0.07820277127208435,0.04737835832997957,-0.0004669138854552779,0.12803994806462154,1.7970562408134874,0.6492827978504376,0.9977763678581941,2.878020995733029,0.04108429368092954,0.06607500922299127,-0.0608404140020492,0.13599987153081472,0.04108429368092954,0.06607500922299127,-0.0608404140020492,0.13599987153081472
imports,random,0.01,5,0.008301423761828847,0.0016474241415026449,0.005794521290182753,0.01077633566817745,0.02587596387331011,0.008609379809279581,0.012696272843725704,0.03946494613281878,0.028663036989715618,0.005718590872981085,0.02144,0.03863277777777778,-0.0001248795094205047,0.0027263857907130254,-0.005222595865284713,0.0029893165262559586,0.001656593319134535,0.0011063315081228707,-0.00024304811208037959,0.003226325853667189,0.0017609893528413314,0.00042791265426588774,0.0009157467950913101,0.0020874058999633626,-0.0001248795094205047,0.0027263857907130254,-0.005222595865284713,0.0029893165262559586,0.001656593319134535,0.0011063315081228707,-0.00024304811208037959,0.003226325853667189,0.0017609893528413314,0.00042791265426588774,0.0009157467950913101,0.0020874058999633626,0.020361613227886773,0.005074219077612614,0.012399761484583093,0.02785644210960033,3.539721852115652,0.73100690399721,2.3716188420733557,4.520393828958611,0.0018858688622618355,0.0028420314211294925,-0.0010717754542120819,0.007310001765248075,0.0018858688622618355,0.0028420314211294925,-0.0010717754542120819,0.007310001765248075
