feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,0.03249533413285362,0.023537296705998807,0.016625,0.07926666666666667,0.30205710385803375,0.06454859714819146,0.23464264434435145,0.42509583333333334,0.246281342891587,0.066025317109481,0.1942650477912684,0.3766,0.0011115367297376499,0.0008507995054971406,-1.9978204917725506e-05,0.0023513159732706512,0.11988244942370978,0.06074417037342622,0.004005823924787655,0.16811145458893773,0.1024294354630585,0.04688217505282675,0.010619292780212342,0.13890316189678076,0.0011115367297376499,0.0008507995054971406,-1.9978204917725506e-05,0.0023513159732706512,0.11988244942370978,0.06074417037342622,0.004005823924787655,0.16811145458893773,0.1024294354630585,0.04688217505282675,0.010619292780212342,0.13890316189678076,0.21378600875873338,0.042609680724091395,0.1776400477912684,0.29733333333333334,9.280643727903644,2.434443548032258,4.751051303616484,11.685115656617649,0.10131789873332084,0.04621537517763685,0.010639270985130067,0.1365518459235101,0.10131789873332084,0.04621537517763685,0.010639270985130067,0.1365518459235101
header,important,0.05,5,0.1257158344993004,0.09247492564959073,0.034712505829835434,0.24449166666666666,0.4679537718132701,0.1786873619968877,0.2346884778686578,0.7004416666666666,0.3448845159623669,0.07451889551639118,0.259175,0.45820833333333333,0.0057736753720645465,0.003471759874144174,0.0007254502365084958,0.010845652679359219,0.17736027571675173,0.032212508724965706,0.13088946062945794,0.22061132259851834,0.16882898568179397,0.02884011852343108,0.12978617468603515,0.20339678795942373,0.0057736753720645465,0.003471759874144174,0.0007254502365084958,0.010845652679359219,0.17736027571675173,0.032212508724965706,0.13088946062945794,0.22061132259851834,0.16882898568179397,0.02884011852343108,0.12978617468603515,0.20339678795942373,0.21916868146306653,0.031194673468736795,0.174225,0.27147499999999997,4.492731416203491,2.602742670029511,1.7568966765621605,7.664689034369884,0.16305531030972942,0.02996573254315114,0.11894052200667593,0.19519947232332868,0.16305531030972942,0.02996573254315114,0.11894052200667593,0.19519947232332868
header,important,0.1,5,0.17408465887134386,0.08293102669395669,0.0583982943567193,0.24449166666666666,0.601479358833213,0.12417630103592342,0.4271781534460338,0.7041458333333334,0.43300763072807724,0.046039223578408325,0.34805,0.4749083333333333,0.008572514237737328,0.008512037993658619,0.0011664852792101499,0.021148762745982985,0.20015301080112208,0.0449992632652342,0.15183983628231557,0.2554928987711901,0.1962698446196402,0.04662433536660835,0.14797965894638743,0.25416825402415233,0.008572514237737328,0.008512037993658619,0.0011664852792101499,0.021148762745982985,0.20015301080112208,0.0449992632652342,0.15183983628231557,0.2554928987711901,0.1962698446196402,0.04662433536660835,0.14797965894638743,0.25416825402415233,0.2589229718567334,0.04584433479036817,0.21371666666666667,0.33356315364038636,3.3068320626716114,1.7293064249091696,1.8741265891816354,5.959934341129492,0.18769733038190287,0.03830668528013545,0.14681317366717728,0.23489351361236543,0.18769733038190287,0.03830668528013545,0.14681317366717728,0.23489351361236543
header,random,0.01,5,0.05577095524352056,0.037487133503861236,0.022186249999999998,0.10386583333333332,0.07893757604072343,0.017966507021494677,0.05445374999999999,0.09807875,0.08732840695841423,0.031187216082750567,0.04947583333333333,0.12975333333333333,0.00045262631534131895,0.00034648992746234174,2.2410278575268895e-05,0.0009706009070821863,0.0037043390584590016,0.0027358276396764274,0.00047748048022347445,0.007381002498584799,0.00398564515601568,0.002769606439870461,0.0006368273558668425,0.007327629876311826,0.00045262631534131895,0.00034648992746234174,2.2410278575268895e-05,0.0009706009070821863,0.0037043390584590016,0.0027358276396764274,0.00047748048022347445,0.007381002498584799,0.00398564515601568,0.002769606439870461,0.0006368273558668425,0.007327629876311826,0.03155745171489369,0.014750599254518692,0.013415416666666694,0.058130640449063894,1.9893615824550892,0.6844063655934236,1.135354308199368,2.879515371669382,0.00353301884067436,0.002511061940716409,0.0006144170772915736,0.0066076937828367325,0.00353301884067436,0.002511061940716409,0.0006144170772915736,0.0066076937828367325
header,random,0.05,5,0.20242189612898928,0.054816909963577645,0.12367500000000002,0.2780420833333333,0.24728800640262755,0.04077423539014917,0.17889020833333336,0.30105615017838677,0.26725555610717133,0.03361613549252338,0.2163356972025233,0.30711083333333333,0.0025388962680716978,0.0007911905804940906,0.0015107477424227077,0.003686453674211154,0.012436178601682998,0.005863540785304205,0.005921670644471216,0.023001879395589175,0.011939262740060639,0.005048926438340535,0.006998622547587363,0.02116070944626682,0.0025388962680716978,0.0007911905804940906,0.0015107477424227077,0.003686453674211154,0.012436178601682998,0.005863540785304205,0.005921670644471216,0.023001879395589175,0.011939262740060639,0.005048926438340535,0.006998622547587363,0.02116070944626682,0.06483365997818206,0.036699725995873525,0.029068750000000032,0.12275551935505369,1.392437175145989,0.29484380841901103,1.1045480225565376,1.754623800125434,0.00940036647198894,0.005640790315434019,0.004167232487664485,0.019649961703844112,0.00940036647198894,0.005640790315434019,0.004167232487664485,0.019649961703844112
header,random,0.1,5,0.3204402494003598,0.033542297190364875,0.2938054166666667,0.3848854166666667,0.2746449618398573,0.03180613490142349,0.21455645833333334,0.29921958333333337,0.33855754853848435,0.0240148373470107,0.29784583333333337,0.3708769093590887,0.005996435780646752,0.0013027721233254018,0.0046641449962943615,0.007915055941525351,0.017458112255244677,0.002950382427721056,0.011761264902634367,0.019614830564939244,0.01845907254639409,0.001672506294701912,0.01601534410691638,0.020849556846768497,0.005996435780646752,0.0013027721233254018,0.0046641449962943615,0.007915055941525351,0.017458112255244677,0.002950382427721056,0.011761264902634367,0.019614830564939244,0.01845907254639409,0.001672506294701912,0.01601534410691638,0.020849556846768497,0.01811729913812462,0.02912594872485896,-0.020451666666666646,0.0476679166666667,1.0634575676964604,0.09416124787194434,0.9357466939995864,1.162243151292026,0.012462636765747341,0.002012649715629186,0.008883382559198622,0.014869487687833537,0.012462636765747341,0.002012649715629186,0.008883382559198622,0.014869487687833537
imports,important,0.01,5,0.03891846130749819,0.015111562730190488,0.02558550917116343,0.06802042815653858,0.14338924542534884,0.03158545725757642,0.10598390601494782,0.18269241026188063,0.12490043856488953,0.024686815429284005,0.08041599653336222,0.15637942384773715,0.054589254356994174,0.024286153377981606,0.02922151388616212,0.086044476355284,0.02901526459515964,0.006872943391612759,0.01940447631844444,0.037393014093723864,0.039434551099088375,0.017858978543055456,0.023336956281117538,0.0680068088156035,0.054589254356994174,0.024286153377981606,0.02922151388616212,0.086044476355284,0.02901526459515964,0.006872943391612759,0.01940447631844444,0.037393014093723864,0.039434551099088375,0.017858978543055456,0.023336956281117538,0.0680068088156035,0.08598197725739136,0.016079203312741673,0.05483048736219879,0.09951654735090719,3.413397741732092,0.6847004450704797,2.299006755556638,4.242886184498158,-0.0151547032579058,0.03682900581931571,-0.05976482009915496,0.03495067239597738,-0.0151547032579058,0.03682900581931571,-0.05976482009915496,0.03495067239597738
imports,important,0.05,5,0.06806866316448622,0.03447743166128449,0.02945343790791338,0.12854671190385886,0.2598980989362608,0.062398278297329156,0.16156061656621687,0.3533035650325939,0.1809068707518885,0.022875907644884712,0.14379640508987276,0.21255833333333332,0.09958788133116345,0.05229685968531533,0.051970856780205965,0.18763393558130226,0.07852809119693382,0.021691239398077003,0.0504044278389042,0.11355544837320508,0.09023935047540096,0.0417929518161324,0.05094316842782087,0.16831674427816357,0.09958788133116345,0.05229685968531533,0.051970856780205965,0.18763393558130226,0.07852809119693382,0.021691239398077003,0.0504044278389042,0.11355544837320508,0.09023935047540096,0.0417929518161324,0.05094316842782087,0.16831674427816357,0.11283820758740226,0.04090901771901793,0.06408433203158362,0.18310489542541994,3.4738615930422325,2.024051322100566,1.4985295312688576,7.216757989267677,-0.009348530855762482,0.0759320877624967,-0.09656617638327958,0.1163458874979576,-0.009348530855762482,0.0759320877624967,-0.09656617638327958,0.1163458874979576
imports,important,0.1,5,0.13688947215727754,0.06510660230901523,0.0362757020293865,0.2327751209522162,0.3278438246116839,0.04411865363336432,0.2639340764840791,0.4015198548198381,0.2074895305210252,0.014162109250884692,0.19114522136946577,0.23386666666666667,0.14471352800217144,0.0628026397361645,0.05276595548495311,0.2232842963306857,0.1278131676335634,0.025613250881589847,0.09614954457148772,0.16706638515097993,0.1254925732408752,0.028757741157865613,0.10051431183034498,0.18185370486964347,0.14471352800217144,0.0628026397361645,0.05276595548495311,0.2232842963306857,0.1278131676335634,0.025613250881589847,0.09614954457148772,0.16706638515097993,0.1254925732408752,0.028757741157865613,0.10051431183034498,0.18185370486964347,0.07060005836374765,0.07635633334169137,-0.029851811979790976,0.19759096463728015,2.3652065010318823,2.0696958637340965,0.8717568619117207,6.4469232456814805,-0.019220954761296215,0.08748884387925332,-0.12276998450034071,0.12908774938469036,-0.019220954761296215,0.08748884387925332,-0.12276998450034071,0.12908774938469036
imports,random,0.01,5,0.006521947023159528,0.0016361918485083705,0.004754663705406717,0.008636025916131078,0.025347997518292503,0.004246020824918619,0.020485359219158356,0.033198918312280626,0.029178284737927346,0.0037689814245856247,0.023520661983450413,0.03422973412099953,0.0024843757977676293,0.004051311776514894,-0.0018421530779493545,0.00804292980440679,0.0019282872725299393,0.0004758751081191364,0.00117709891098034,0.002517167925348518,0.0020121453724147374,0.0007310114693573038,0.0007658117570247258,0.002813506833813256,0.0024843757977676293,0.004051311776514894,-0.0018421530779493545,0.00804292980440679,0.0019282872725299393,0.0004758751081191364,0.00117709891098034,0.002517167925348518,0.0020121453724147374,0.0007310114693573038,0.0007658117570247258,0.002813506833813256,0.022656337714767816,0.0027410629040333086,0.018581442125705512,0.025831438360685615,4.642988362142924,0.7700881787020009,3.582486872353297,5.613389135142573,-0.00047223042535289204,0.0034390274843088676,-0.005434244463639826,0.002762905378266461,-0.00047223042535289204,0.0034390274843088676,-0.005434244463639826,0.002762905378266461
imports,random,0.05,5,0.018090491686297838,0.0017006921365223732,0.015621757611593946,0.019856585529862556,0.06280338906059196,0.004549975979856419,0.05958875710591495,0.07175762315241528,0.06711859348030814,0.00417656632638749,0.0598278347680436,0.07256347017505853,0.00726259803288383,0.0081236165874023,0.001465071774977833,0.02287339535093561,0.0090552182639203,0.0010079959326116663,0.007866920478328304,0.010739836049794699,0.008132287941603467,0.001199466514823399,0.006428485724125787,0.01014304858733205,0.00726259803288383,0.0081236165874023,0.001465071774977833,0.02287339535093561,0.0090552182639203,0.0010079959326116663,0.007866920478328304,0.010739836049794699,0.008132287941603467,0.001199466514823399,0.006428485724125787,0.01014304858733205,0.04902810179401029,0.003484884434432167,0.043289328158221216,0.052959849814165495,3.7318119887823,0.30772263516932447,3.3658856247594993,4.299532208216537,0.0008696899087196361,0.007091000894945058,-0.012730346763603562,0.006543738615033834,0.0008696899087196361,0.007091000894945058,-0.012730346763603562,0.006543738615033834
imports,random,0.1,5,0.026697809027204387,0.004790620873094218,0.021623453415594705,0.03374806170841303,0.0997695648121243,0.006887650736149934,0.09102698810603232,0.10919649968903097,0.09827471636893619,0.005704037941524339,0.09178666666666667,0.10791958333333333,0.014581338245367398,0.011501261787384556,0.0016674882611766694,0.03569152972586062,0.019468319719068046,0.0030788811027559005,0.015628335439914025,0.02446232339448596,0.01597494942016677,0.0012706972368022199,0.014685525700733199,0.01769658350374583,0.014581338245367398,0.011501261787384556,0.0016674882611766694,0.03569152972586062,0.019468319719068046,0.0030788811027559005,0.015628335439914025,0.02446232339448596,0.01597494942016677,0.0012706972368022199,0.014685525700733199,0.01769658350374583,0.07157690734173179,0.004313717896830588,0.06373727100077939,0.07548983540989013,3.7730775223167057,0.5371555915263344,3.0828637692928296,4.391097413599204,0.0013936111747993737,0.011785087176672194,-0.020910095009837947,0.013757401130174318,0.0013936111747993737,0.011785087176672194,-0.020910095009837947,0.013757401130174318
