seed,feature_group,operator,selection_type,selection_mode,selection_value,trial_id,density_scope,density_bin,n_samples,n_malware,n_benign,n_selected_features,auc,flip_rate,malware_to_benign_rate,mean_abs_probability_shift,mean_signed_probability_shift,mean_margin_shift,boundary_low_10_flip_rate,boundary_low_10_malware_to_benign_rate,boundary_low_20_flip_rate,boundary_low_20_malware_to_benign_rate,baseline_auc,delta_auc
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,pooled,all,480000,240000,240000,129,0.9124926327256943,0.2726458333333333,0.2683125,0.18618562741235872,-0.16667117369379744,-0.12336694736211178,0.2914583333333333,0.255875,0.15235416666666668,0.13439583333333333,0.9285730160677084,-0.016080383342014115
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,high_density,209555,115217,94338,129,0.9862747391722221,0.16488886188670074,0.16488886188670074,0.13326449179846817,-0.11083991714809972,-0.10577035295092846,0.0,0.0,0.0,0.0,0.8892922368343109,0.09698250233791117
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,mid_density,150445,92367,58078,129,0.8985742121790783,0.37876081284441415,0.3715287927506577,0.24293283388572107,-0.22739555679003848,-0.15551908697347935,0.34015372956587636,0.28504925841723505,0.3382591750568366,0.3024791599004006,0.9526006024192463,-0.054026390240167976
123,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,low_density,120000,32416,87584,129,0.874068409134733,0.35328232971372164,0.34180651530108586,0.2125875666306633,-0.19208395725670357,-0.09429581393387011,0.4910549043800123,0.4305983960518199,0.41455891425046265,0.36798272671190624,0.9135571677096066,-0.03948875857487355
13,imports,imports_benign_mass_injection,important,ratio,0.1,0,pooled,all,480000,240000,240000,129,0.7663241466059029,0.35330833333333334,0.3530916666666667,0.25541119053496275,-0.2521329082822866,-0.08148569227699222,0.46108333333333335,0.45891666666666664,0.23591666666666666,0.23483333333333334,0.9310476277864583,-0.16472348118055546
13,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,high_density,167909,72774,95135,129,0.5546106186742432,0.20540302855415396,0.20540302855415396,0.19874056862197462,-0.19430626742201396,-0.05940453330271932,0.04094531464688101,0.04094531464688101,0.020474063895568533,0.020474063895568533,0.827109946886455,-0.2724993282122118
13,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,mid_density,192091,134626,57465,129,0.8656074569137826,0.40493663928215945,0.4048400754683345,0.28052638080775905,-0.2787475845224134,-0.10171963401477473,0.5581965386615168,0.5572309292133997,0.6134219713288271,0.6129391666047687,0.9680348883794532,-0.10242743146567057
13,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,low_density,120000,32600,87400,129,0.8368672168718676,0.4702760736196319,0.469079754601227,0.27820230198987994,-0.27131231191609523,-0.04721942303782128,0.5414110429447853,0.5328220858895706,0.5015337423312883,0.49555214723926383,0.9158103901391248,-0.0789431732672572
2024,imports,imports_benign_mass_injection,important,ratio,0.1,0,pooled,all,480000,240000,240000,129,0.8723786446093751,0.31478333333333336,0.3105625,0.21800367236689594,-0.20928829894072035,-0.11644734222880294,0.4663333333333333,0.4252916666666667,0.23947916666666666,0.21879166666666666,0.9291685660069444,-0.05678992139756933
2024,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,high_density,172296,78363,93933,129,0.9511148483913138,0.1516659648048186,0.14157191531717775,0.11856920305408893,-0.10286202835000618,-0.07708763615621149,0.22125813449023862,0.12032665560801327,0.11063612582147643,0.06016716646462068,0.8389786808970672,0.1121361674942466
2024,imports,imports_benign_mass_injection,important,ratio,0.1,0,density_restricted,mid_density,187704,129521,58183,129,0.8913797314404547,0.387859883725419,0.3876437025656071,0.2731743868057619,-0.2697411694797046,-0.1504115333140228,0.5340847680074114,0.532231915386397,0.5503184713375796,0.5492375989191276,0.9664264507207783,-0.07504671928032358
