feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,5.166666666666667e-05,4.2295258468165064e-05,0.0,9.166666666666667e-05,0.04648955598777932,0.004244556125210505,0.04155017312572136,0.05287083333333333,0.06447394490684585,0.0028873631297334276,0.060582828476429366,0.06929166666666667,0.00025828833737469027,0.00028240479531653197,4.88148953521339e-05,0.0008016862099171629,0.01704292877059599,0.0014912390164312308,0.015370347213761404,0.0190320974671766,0.01838991899921536,0.001364964593046952,0.016228849403619905,0.019780804337779956,0.00025828833737469027,0.00028240479531653197,4.88148953521339e-05,0.0008016862099171629,0.01704292877059599,0.0014912390164312308,0.015370347213761404,0.0190320974671766,0.01838991899921536,0.001364964593046952,0.016228849403619905,0.019780804337779956,0.06442227824017917,0.002855651983617332,0.060582828476429366,0.0692,768.6320581166874,13.301704676573882,755.9090909090909,786.993441721319,0.01813163066184067,0.0012801362441926295,0.016179439431520004,0.0195211894418158,0.01813163066184067,0.0012801362441926295,0.016179439431520004,0.0195211894418158
header,important,0.05,5,0.034743333333333334,0.011752681018010788,0.022866666666666667,0.05023333333333333,0.358309805053689,0.08742828110778743,0.18520077166988197,0.41707257113571305,0.30468308165196184,0.05162045601061523,0.20628994758377014,0.3452304564128632,0.004031211583470418,0.001322892767085092,0.0023560637216420988,0.006339351041935837,0.07990272564278005,0.011886969542731824,0.05991662280685661,0.09670096439616349,0.0826887911447658,0.009175734221572624,0.06968857089772862,0.0958204811427843,0.004031211583470418,0.001322892767085092,0.0023560637216420988,0.006339351041935837,0.07990272564278005,0.011886969542731824,0.05991662280685661,0.09670096439616349,0.0826887911447658,0.009175734221572624,0.06968857089772862,0.0958204811427843,0.26993974831862855,0.04552329630328503,0.18020661425043683,0.30160584688115416,9.47914810100045,2.6864631692957914,6.872537287581882,13.16825761145868,0.07865757956129538,0.008537700307008346,0.06530262740916981,0.08948113010084846,0.07865757956129538,0.008537700307008346,0.06530262740916981,0.08948113010084846
header,important,0.1,5,0.058516666666666675,0.0065100157876579355,0.051783333333333334,0.07028333333333334,0.3330309944655855,0.12042574077215962,0.19695915399647498,0.49750617726350355,0.306819273653868,0.041720906852828754,0.26323947300439166,0.3724449407117918,0.04221056055749928,0.011131745163319344,0.02500381298803822,0.05850784166684542,0.16409117744637053,0.032377378879941236,0.12440069093744177,0.220349251809568,0.17901138048466156,0.021816137135898975,0.15462450951785967,0.21455992053032824,0.04221056055749928,0.011131745163319344,0.02500381298803822,0.05850784166684542,0.16409117744637053,0.032377378879941236,0.12440069093744177,0.220349251809568,0.17901138048466156,0.021816137135898975,0.15462450951785967,0.21455992053032824,0.24830260698720133,0.03841090580579753,0.208747806337725,0.3120449407117918,5.260226719787546,0.6053126300474382,4.73737253972018,6.166306965427016,0.13680081992716228,0.02170082283221166,0.11190948086393593,0.17738561785118,0.13680081992716228,0.02170082283221166,0.11190948086393593,0.17738561785118
header,random,0.01,5,0.002535,0.0015455798758969976,0.0006137499999999999,0.005311666666666667,0.015856479660487303,0.005705414813965875,0.007674406976695735,0.023955516481318676,0.02050405744664048,0.007683160700928734,0.009344088799260008,0.032696810859909504,8.275688803308312e-05,6.105719964188879e-05,1.3894544947373743e-05,0.00019715248560704391,0.001458017937143199,0.0006947751158279398,0.00023239422679474653,0.002246564141484014,0.002460409040535405,0.0012154629949162488,0.0003515022550201419,0.003794014546152069,8.275688803308312e-05,6.105719964188879e-05,1.3894544947373743e-05,0.00019715248560704391,0.001458017937143199,0.0006947751158279398,0.00023239422679474653,0.002246564141484014,0.002460409040535405,0.0012154629949162488,0.0003515022550201419,0.003794014546152069,0.01796905744664048,0.006329109265665862,0.008730338799260008,0.02738514419324284,9.83896726608759,3.428986474288807,6.155659402555916,15.224584601645635,0.002377652152502322,0.0011735021408871026,0.00033760771007276813,0.0037177477762330934,0.002377652152502322,0.0011735021408871026,0.00033760771007276813,0.0037177477762330934
header,random,0.05,5,0.010654249999999999,0.0009573239031568973,0.009725416666666665,0.012472916666666667,0.060643395324528435,0.00544261315737759,0.05286813695057063,0.06730028041783506,0.07088814146790201,0.004097919272389303,0.06366253635204613,0.07545687119274005,0.0004225439296032075,0.00010781239488318864,0.00030081597403844307,0.0005643802011711885,0.005868930991497221,0.0013769775334893728,0.004637065431362197,0.008445622816601156,0.008513311834544972,0.001753264195435387,0.006845144585654744,0.011449035240090338,0.0004225439296032075,0.00010781239488318864,0.00030081597403844307,0.0005643802011711885,0.005868930991497221,0.0013769775334893728,0.004637065431362197,0.008445622816601156,0.008513311834544972,0.001753264195435387,0.006845144585654744,0.011449035240090338,0.06023389146790202,0.0040534236520689305,0.05393711968537947,0.06480812119274006,6.6957578441839445,0.5985786616924634,5.611277775847608,7.323312009534653,0.008090767904941763,0.001710269095471755,0.006511498726215153,0.01088465503891915,0.008090767904941763,0.001710269095471755,0.006511498726215153,0.01088465503891915
header,random,0.1,5,0.023606833333333334,0.0051286120645193415,0.01884625,0.03226458333333333,0.10439727068059368,0.016207880013008713,0.08805020833333334,0.13181342789164682,0.1127967065005278,0.009987834710489389,0.09672708333333332,0.1264738723574458,0.001037761060407556,0.00030414373954155066,0.0005794564397133828,0.001502327743111187,0.011718935840551049,0.0009052265601831402,0.010850628916600186,0.013448479294010097,0.018333157877190105,0.0009401580263581745,0.01694318355851519,0.0197063135150173,0.001037761060407556,0.00030414373954155066,0.0005794564397133828,0.001502327743111187,0.011718935840551049,0.0009052265601831402,0.010850628916600186,0.013448479294010097,0.018333157877190105,0.0009401580263581745,0.01694318355851519,0.0197063135150173,0.08918987316719448,0.0065134984575653905,0.07760874999999999,0.09643360224081467,4.915402291097118,0.6888629160564272,3.9198978970474587,5.726688365678136,0.017295396816782542,0.0006514636965008438,0.016363727118801807,0.01820398577190611,0.017295396816782542,0.0006514636965008438,0.016363727118801807,0.01820398577190611
imports,important,0.01,5,0.06538712768352509,0.052380334462208335,0.01675743854733991,0.16516891808562242,0.11687451541512073,0.01542555416595084,0.10243233265652006,0.13907902762500066,0.11358138427844,0.00612651622391792,0.10586049147133084,0.12140732160565329,0.010973435700415913,0.014090262301955928,0.00240141718816711,0.038973834002041796,0.03350414313008625,0.0063441612230065135,0.021396881473449314,0.03997272363887283,0.05242453948942605,0.005445290005521517,0.04720555705446716,0.06192045783063982,0.010973435700415913,0.014090262301955928,0.00240141718816711,0.038973834002041796,0.03350414313008625,0.0063441612230065135,0.021396881473449314,0.03997272363887283,0.05242453948942605,0.005445290005521517,0.04720555705446716,0.06192045783063982,0.04819425659491492,0.04912213705309425,-0.043761596479969134,0.09816085788536819,3.018294908375448,2.1250534070232865,0.7350494452153314,6.8577483431052375,0.04145110378901014,0.015919926381495964,0.011599296540232507,0.05926258271056839,0.04145110378901014,0.015919926381495964,0.011599296540232507,0.05926258271056839
imports,important,0.05,5,0.09495335034684689,0.044285344865229406,0.05050712754527649,0.17376076035748642,0.25910122007295844,0.05059936858733837,0.18119577802762069,0.3235182031463993,0.16465002296560374,0.011135114558354517,0.15087374271881068,0.17869790928862483,0.05842016741565774,0.01529371303378691,0.03911054508891654,0.0860316320023532,0.07509367361536481,0.011138342460198208,0.06217882098659577,0.0918912409970356,0.0698261765912431,0.011789828872203744,0.05702812849865402,0.09162453545262372,0.05842016741565774,0.01529371303378691,0.03911054508891654,0.0860316320023532,0.07509367361536481,0.011138342460198208,0.06217882098659577,0.0918912409970356,0.0698261765912431,0.011789828872203744,0.05702812849865402,0.09162453545262372,0.06969667261875684,0.048722641606254426,-0.022887017638675733,0.10571213216545546,2.091452180355055,0.7821937548795117,0.868284314642793,3.024092157227583,0.011406009175585364,0.020133623981319744,-0.023077202176119305,0.033798600198516326,0.011406009175585364,0.020133623981319744,-0.023077202176119305,0.033798600198516326
imports,important,0.1,5,0.19165428515735514,0.0681710545321635,0.1281467354146211,0.3036085737541829,0.3673234786505271,0.09208089709981741,0.2150755961270619,0.4784384713406138,0.19346166188633324,0.011793430521366527,0.1738568845259623,0.21009607772879915,0.10380534127570103,0.02482910635861707,0.08497676392110154,0.15090099199898555,0.11711047648582103,0.01366922544150237,0.09810128607080326,0.1362596539187585,0.09716595018404475,0.012849060078156303,0.08101529889055159,0.11249865914256174,0.10380534127570103,0.02482910635861707,0.08497676392110154,0.15090099199898555,0.11711047648582103,0.01366922544150237,0.09810128607080326,0.1362596539187585,0.09716595018404475,0.012849060078156303,0.08101529889055159,0.11249865914256174,0.0018073767289780774,0.0760262048680991,-0.12975168922822058,0.06221996957196693,1.1394205142634874,0.3668970730307675,0.5726349634207819,1.4855369071295736,-0.006639391091656277,0.018331595349880703,-0.038402332856423804,0.018754712606461443,-0.006639391091656277,0.018331595349880703,-0.038402332856423804,0.018754712606461443
imports,random,0.01,5,0.003378371608698312,0.001580470631804111,0.0010982719436419966,0.005835179692279221,0.007566622868920607,0.0028707472087452428,0.004168274797375531,0.01281108135718215,0.009956543723631368,0.0021841430979244666,0.0072299397505020775,0.01362481464820646,0.0008196675659826291,0.0022068111489927664,-0.0005995511515700602,0.005211333023042303,0.0009402660068681268,0.0003125396001355112,0.0006348347596027704,0.0015425221488137464,0.0012430196836322762,0.0004014362379032495,0.000490702542315058,0.001644140318057885,0.0008196675659826291,0.0022068111489927664,-0.0005995511515700602,0.005211333023042303,0.0009402660068681268,0.0003125396001355112,0.0006348347596027704,0.0015425221488137464,0.0012430196836322762,0.0004014362379032495,0.000490702542315058,0.001644140318057885,0.006578172114933059,0.0019822808014750234,0.004103703513275227,0.009309870914691269,3.9628329700984866,2.7946592802678016,1.974547764039155,9.476835786061018,0.0004233521176496468,0.002279359089105084,-0.003967589374615299,0.0022436914696279454,0.0004233521176496468,0.002279359089105084,-0.003967589374615299,0.0022436914696279454
