feature_group,density_bin,perturbation_type,strength,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,important,0.01,5,120000.0,0.0,120000.0,120000.0,1.0,0.0,1.0,1.0,5.166666666666667e-05,4.2295258468165064e-05,0.0,9.166666666666667e-05,5.166666666666667e-05,4.2295258468165064e-05,0.0,9.166666666666667e-05,0.0,0.0,0.0,0.0,0.00020003263009834267,0.0001636814318766004,0.0,0.00035117964435079654,0.0,0.0,0.0,0.0,0.007672510868155786,0.003302801589365859,0.0038652878312252685,0.013254851676424227,0.007667057809306434,0.0033030837404394433,0.0038637112722201524,0.013247547589051846,-0.0058245028432384075,0.003384546119268951,-0.011847373058553184,-0.002290487426291651,0.9994905733062787,5.0305094129273624e-05,0.9994053989546303,0.9995546958617778,0.9992322849689039,0.00033027942738684163,0.9986037127447132,0.9995052858896779,0.00025828833737469027,0.00028240479531653197,4.88148953521339e-05,0.0008016862099171629,0.00025828833737469027,0.00028240479531653197,4.88148953521339e-05,0.0008016862099171629
header,high_density,important,0.05,5,120000.0,0.0,120000.0,120000.0,4.0,0.0,4.0,4.0,0.034743333333333334,0.011752681018010788,0.022866666666666667,0.05023333333333333,0.023826666666666666,0.012113568379667853,0.006375,0.039216666666666664,0.004945,0.00639312912430212,0.0,0.0156,0.091361388710767,0.046219821286862806,0.023835488393830814,0.1502410369377135,0.006734446872424272,0.008716901635168398,0.0,0.021295716967180477,0.0782313223611558,0.013255511014108278,0.062413179192638266,0.09947105755847091,0.059792670158093884,0.02648030422646581,0.013978139550845285,0.08651688349139926,-0.056081933250364036,0.011905459302857883,-0.07754964463092402,-0.04255708751850947,0.9994905733062787,5.0305094129273624e-05,0.9994053989546303,0.9995546958617778,0.9954593617228081,0.0013265597776231236,0.9931353388170971,0.9971397059935857,0.004031211583470418,0.001322892767085092,0.0023560637216420988,0.006339351041935837,0.004031211583470418,0.001322892767085092,0.0023560637216420988,0.006339351041935837
header,high_density,important,0.1,5,120000.0,0.0,120000.0,120000.0,8.0,0.0,8.0,8.0,0.058516666666666675,0.0065100157876579355,0.051783333333333334,0.07028333333333334,0.03188166666666666,0.021853574205505964,0.005833333333333334,0.061233333333333334,0.020755,0.018651151736852903,0.00019166666666666667,0.04545,0.12172359076088443,0.08320045946591904,0.021810250817884406,0.2345880024263321,0.02807059587466172,0.025257582601113354,0.0002604019247098783,0.06204425231784313,0.20094803367551112,0.02141571674009924,0.17835995538299676,0.23543559652097637,-0.030062444214578377,0.07335098657050744,-0.12103748140192373,0.035706031815047175,-0.17002549318421478,0.02906496414920203,-0.21357866779157955,-0.1337441392278608,0.9994905733062787,5.0305094129273624e-05,0.9994053989546303,0.9995546958617778,0.9572800127487794,0.011133784441712749,0.9409879280483824,0.9745184991526857,0.04221056055749928,0.011131745163319344,0.02500381298803822,0.05850784166684542,0.04221056055749928,0.011131745163319344,0.02500381298803822,0.05850784166684542
header,high_density,random,0.01,5,120000.0,0.0,120000.0,120000.0,1.0,0.0,1.0,1.0,0.002535,0.0015455798758969976,0.0006137499999999999,0.005311666666666667,0.00042450000000000007,0.00024142364217284108,7.916666666666668e-05,0.0007416666666666667,0.0013456666666666665,0.0013212321847847603,0.00013541666666666666,0.0036687499999999997,0.0016130853316591903,0.0009157556456691358,0.00031519575315195757,0.00284136257702008,0.001823630120225557,0.0017998620488751855,0.00018366977869204514,0.005008247539957909,0.004836553103537653,0.002033619473136403,0.0016327795140698028,0.007940887000881386,0.0004905510555929543,0.0013140537060221586,-0.0013506225147539145,0.0022265732258833814,-0.0019893406080899274,0.0010398475799525996,-0.002984359986562345,-0.00029798637422184544,0.9994905733062783,5.030509412943604e-05,0.99940539895463,0.999554695861778,0.9994078164182454,0.00010191660675346924,0.9992082464690231,0.9994933616230572,8.275688803308312e-05,6.105719964188879e-05,1.3894544947373743e-05,0.00019715248560704391,8.275688803308312e-05,6.105719964188879e-05,1.3894544947373743e-05,0.00019715248560704391
header,high_density,random,0.05,5,120000.0,0.0,120000.0,120000.0,4.0,0.0,4.0,4.0,0.010654249999999999,0.0009573239031568973,0.009725416666666665,0.012472916666666667,0.00435175,0.0010757443934318227,0.0024979166666666665,0.005782916666666667,0.003759916666666667,0.0021827113363378533,0.0012299999999999998,0.0076,0.016685647763113882,0.004162045697829875,0.009339460975229788,0.022154646745203208,0.0050997867493957185,0.0029875572105259015,0.0016644676748198517,0.010374836471190488,0.018017011749288225,0.0011045737825231608,0.016348070576522385,0.019830918765098002,0.0037921407356078076,0.00341606142827192,-0.0022112901146097218,0.00760304100360706,-0.009042305194687779,0.001666570818231809,-0.010882147372092902,-0.006381434253605997,0.9994905733062783,5.030509412943604e-05,0.99940539895463,0.999554695861778,0.9990680293766754,0.00012456020028945723,0.998868106375987,0.9991949537411893,0.0004225439296032075,0.00010781239488318864,0.00030081597403844307,0.0005643802011711885,0.0004225439296032075,0.00010781239488318864,0.00030081597403844307,0.0005643802011711885
header,high_density,random,0.1,5,120000.0,0.0,120000.0,120000.0,8.0,0.0,8.0,8.0,0.023606833333333334,0.0051286120645193415,0.01884625,0.03226458333333333,0.011981166666666666,0.004231080030231314,0.006986250000000001,0.019567083333333332,0.007433583333333334,0.004017704720636177,0.003159166666666667,0.015068333333333333,0.04571269190732086,0.01577939608512152,0.027815195753151962,0.07412943962115234,0.010030654158981139,0.005327187827552258,0.004275065687833373,0.02012241264188738,0.033873493082462534,0.00662571263875465,0.026915553505263486,0.04583238689620865,0.006074946790673924,0.011569659513651713,-0.01564543334283473,0.01798107937510092,-0.01571826651432743,0.006006281275264044,-0.027624590493721568,-0.011764508964051604,0.9994905733062783,5.030509412943604e-05,0.99940539895463,0.999554695861778,0.9984528122458711,0.000327581345202836,0.9979723621159217,0.9989163132755143,0.001037761060407556,0.00030414373954155066,0.0005794564397133828,0.001502327743111187,0.001037761060407556,0.00030414373954155066,0.0005794564397133828,0.001502327743111187
header,low_density,important,0.01,5,120002.0,2.5298221281347035,120000.0,120007.0,1.0,0.0,1.0,1.0,0.06447394490684585,0.0028873631297334276,0.060582828476429366,0.06929166666666667,0.04397595430866472,0.0027567748032850197,0.041391321738985506,0.0491,3.4999430579744035e-05,1.8559084840447042e-05,8.333263889467588e-06,6.66661111157407e-05,0.10787464337033628,0.007115331052255526,0.10095528455284553,0.12110250138737591,5.911536990404243e-05,3.147892827324497e-05,1.4109546519174874e-05,0.00011299275433962797,0.0670740047569745,0.0024044140612146923,0.06408282537846101,0.07050030210059521,0.06692010312488106,0.0024662764332124463,0.06376837267303201,0.07038328056757011,-0.036342568181884624,0.001231156579051938,-0.0385596488064825,-0.03491744172130885,0.9574958041283038,0.0008006110744721556,0.9564312217641097,0.9584785575687502,0.9391058851290884,0.0010921558218951848,0.9375566863076091,0.9405139993690175,0.01838991899921536,0.001364964593046952,0.016228849403619905,0.019780804337779956,0.01838991899921536,0.001364964593046952,0.016228849403619905,0.019780804337779956
header,low_density,important,0.05,5,120002.0,2.5298221281347035,120000.0,120007.0,4.0,0.0,4.0,4.0,0.30468308165196184,0.05162045601061523,0.20628994758377014,0.3452304564128632,0.22580438754060497,0.058814280593889906,0.11219073174390214,0.26955833333333334,0.009106580376389879,0.014098589426789283,0.0006583333333333334,0.037216356530362246,0.5542534725541353,0.14548866434330732,0.2736382113821138,0.6648510883193226,0.015426771189183949,0.023899924528058104,0.0011072644960544943,0.06307820511009732,0.25535128317740713,0.03747780323696568,0.1877684815400402,0.2934694045752291,0.22303803139593104,0.07094643080406662,0.08839998599594949,0.2881741979398572,-0.03263509695439077,0.03142778041586793,-0.08462385549468597,0.010228322016151582,0.9574958041283038,0.0008006110744721556,0.9564312217641097,0.9584785575687502,0.874807012983538,0.009197241050079439,0.8626580764259659,0.8879160995498317,0.0826887911447658,0.009175734221572624,0.06968857089772862,0.0958204811427843,0.0826887911447658,0.009175734221572624,0.06968857089772862,0.0958204811427843
header,low_density,important,0.1,5,120002.0,2.5298221281347035,120000.0,120007.0,8.0,0.0,8.0,8.0,0.306819273653868,0.041720906852828754,0.26323947300439166,0.3724449407117918,0.17450609842230755,0.08341095043768279,0.07382438479679336,0.2872665761163932,0.0702810441191912,0.059966189011666594,0.004958044114093344,0.14074882709310757,0.4290313497681188,0.2070202916045635,0.1800609756097561,0.7093123739763796,0.11900022834195514,0.10162455585450672,0.008332749807436453,0.23855595259953954,0.2836870972694103,0.026934524678422632,0.2554336341964133,0.3283219411869785,0.0997918963019074,0.13503227507227425,-0.0531245986885004,0.280705679387132,-0.11054266604739785,0.0695528009977948,-0.185439096281865,-0.01553836645365126,0.9574958041283038,0.0008006110744721556,0.9564312217641097,0.9584785575687502,0.7784844236436422,0.02226604185482372,0.7418713012337814,0.8029801609297007,0.17901138048466156,0.021816137135898975,0.15462450951785967,0.21455992053032824,0.17901138048466156,0.021816137135898975,0.15462450951785967,0.21455992053032824
header,low_density,random,0.01,5,120002.0,2.5298221281347035,120000.0,120007.0,1.0,0.0,1.0,1.0,0.02050405744664048,0.007683160700928734,0.009344088799260008,0.032696810859909504,0.007204274226373056,0.0027385279216409378,0.003540803826634778,0.009842759172381612,0.006057579838620713,0.004300909654163365,0.0012587395105040792,0.013741552153732049,0.017691234754093486,0.006774028061895798,0.008659234954859483,0.024303526603843464,0.010241935566166082,0.007300141898563297,0.0021295043139908645,0.023290631488255817,0.020127705322834265,0.007314374372089073,0.008746840585449892,0.0309585578200762,0.004402553175675177,0.005843348838961192,-0.003238878506834244,0.01135261652875364,-0.0025606263256847672,0.0013928857873576228,-0.004687625162703841,-0.0010429343322382785,0.9574958041283038,0.0008006110744720316,0.9564312217641098,0.9584785575687501,0.9550353950877684,0.0018496703998097496,0.9529322626118896,0.9581270553137301,0.002460409040535405,0.0012154629949162488,0.0003515022550201419,0.003794014546152069,0.002460409040535405,0.0012154629949162488,0.0003515022550201419,0.003794014546152069
