feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,9.166666666666667e-05,0.0001069787102392081,0.0,0.000275,0.02364930721622715,0.025358508662205473,0.0019666666666666665,0.05691273713640473,0.030524755724257856,0.029257719590123472,0.005433288055932867,0.06825776451862901,0.00018894548817884881,0.0002254995829883516,-5.481395539685963e-07,0.0005262155749243824,0.007688170689152107,0.009041170767549282,0.00012890981673407964,0.019087000636054507,0.008520596769011467,0.01003844553515769,9.340846032646066e-05,0.022996765552111387,0.00018894548817884881,0.0002254995829883516,-5.481395539685963e-07,0.0005262155749243824,0.007688170689152107,0.009041170767549282,0.00012890981673407964,0.019087000636054507,0.008520596769011467,0.01003844553515769,9.340846032646066e-05,0.022996765552111387,0.03043308905759119,0.029335081010102022,0.005158288055932867,0.06825776451862901,105.29805625637745,106.71699031345248,19.757411112483155,255.74786876776028,0.00833165128083262,0.00982563470799056,9.020876628895724e-05,0.0226025976074683,0.00833165128083262,0.00982563470799056,9.020876628895724e-05,0.0226025976074683
header,important,0.05,5,0.04344827837545799,0.023075339074834837,0.02036666666666667,0.08386666666666667,0.15357728564246376,0.014040158610655846,0.13836307651281882,0.1724590519127163,0.21953032295564207,0.03726460877652153,0.19408171598570012,0.291425,0.0034794773562394354,0.001536328499725711,0.0022113520578531665,0.0063956374063215415,0.06810675188165945,0.015614613435351686,0.03794148874397407,0.08296260746927786,0.07474888882145117,0.010478778031739374,0.05418609353457182,0.08188944268049181,0.0034794773562394354,0.001536328499725711,0.0022113520578531665,0.0063956374063215415,0.06810675188165945,0.015614613435351686,0.03794148874397407,0.08296260746927786,0.07474888882145117,0.010478778031739374,0.05418609353457182,0.08188944268049181,0.17608204458018406,0.0240641081900269,0.14389835515259597,0.20755833333333332,6.238773519286278,2.69980944732031,3.4748608903020664,10.823559558171166,0.07126941146521173,0.011906975502826255,0.04779045612825028,0.07939532591635368,0.07126941146521173,0.011906975502826255,0.04779045612825028,0.07939532591635368
header,important,0.1,5,0.049348223903689696,0.011357512071440812,0.03135,0.06565778618511513,0.3245956428874426,0.08948166051871054,0.20941753923974682,0.4476726986362443,0.2891546693638664,0.04671769294144749,0.23333972216898194,0.3654136215531537,0.0153343676690457,0.0054391546312597015,0.011349232765118678,0.02585623067263365,0.09253993836931199,0.013307581259990823,0.0792466820226998,0.11810223179753765,0.12505877551218167,0.01420424770591593,0.10863956639849459,0.14663835948485793,0.0153343676690457,0.0054391546312597015,0.011349232765118678,0.02585623067263365,0.09253993836931199,0.013307581259990823,0.0792466820226998,0.11810223179753765,0.12505877551218167,0.01420424770591593,0.10863956639849459,0.14663835948485793,0.23980644546017676,0.04895011452721328,0.17811472216898194,0.3157386215531537,6.253494532408067,2.014111889649186,4.225255267885594,9.636814961682868,0.10972440784313597,0.01736617180114995,0.08278333572586094,0.13146763595583133,0.10972440784313597,0.01736617180114995,0.08278333572586094,0.13146763595583133
header,random,0.01,5,0.0023727469416921524,0.001193189294297129,0.0012954166666666665,0.004690833333333333,0.0144626047779776,0.0048669770271467456,0.007689407039195998,0.02258092742053092,0.019064035812201563,0.006865792693286213,0.010268247764601963,0.03138640511329072,9.167530065328e-05,6.47954172950461e-05,1.1193822938843078e-05,0.0002074846826842225,0.0014226500727518708,0.0006854298174132823,0.0002568905332441751,0.002230527758085099,0.002332427288211551,0.0010731001600307398,0.0005739655326623238,0.0036751841640238203,9.167530065328e-05,6.47954172950461e-05,1.1193822938843078e-05,0.0002074846826842225,0.0014226500727518708,0.0006854298174132823,0.0002568905332441751,0.002230527758085099,0.002332427288211551,0.0010731001600307398,0.0005739655326623238,0.0036751841640238203,0.016691288870509413,0.005736800372935271,0.008972831097935296,0.02669557177995739,8.45274946552896,1.3229433999389477,6.691008373769563,10.33923705722071,0.0022407519875582717,0.0010290649188704074,0.0005627717097234807,0.0035894734438566334,0.0022407519875582717,0.0010290649188704074,0.0005627717097234807,0.0035894734438566334
header,random,0.05,5,0.010343902717477354,0.001601376789872967,0.008369513587386773,0.012752916666666666,0.05878231967465479,0.00677486185988588,0.049632915137146405,0.06878583333333334,0.06793080733771664,0.00580004308092871,0.06065782785143457,0.07539812168231932,0.00041975266527143236,0.0001268923174071183,0.0002631640965444493,0.0005881079996360005,0.005863704052312663,0.0015584107789387064,0.004496240235872117,0.008855055624627472,0.008403669274559985,0.0016015034100483523,0.006559091554853419,0.011282587385540494,0.00041975266527143236,0.0001268923174071183,0.0002631640965444493,0.0005881079996360005,0.005863704052312663,0.0015584107789387064,0.004496240235872117,0.008855055624627472,0.008403669274559985,0.0016015034100483523,0.006559091554853419,0.011282587385540494,0.05758690462023928,0.004914288496079304,0.05154574451810124,0.06411583333333333,6.667031781154575,0.7778480285905693,5.698321098412993,7.618011649325433,0.007983916609288553,0.0015452165432790336,0.0062188578211745055,0.010694479385904494,0.007983916609288553,0.0015452165432790336,0.0062188578211745055,0.010694479385904494
header,random,0.1,5,0.023160803770385246,0.004869140104836363,0.017737768851926235,0.030282916666666666,0.10187295630391228,0.010724976363703965,0.08958553821281844,0.1186288276201151,0.11017520560523106,0.010365676397413854,0.09390838409679918,0.12423916666666664,0.0010410464788148744,0.00023552374736014723,0.0006775082660482546,0.0014200475742245533,0.011610115117528515,0.0012689019765581672,0.009963615504241397,0.013749192178488256,0.018385110265887773,0.001564995266913468,0.016579831730216755,0.02091360413977031,0.0010410464788148744,0.00023552374736014723,0.0006775082660482546,0.0014200475742245533,0.011610115117528515,0.0012689019765581672,0.009963615504241397,0.013749192178488256,0.018385110265887773,0.001564995266913468,0.016579831730216755,0.02091360413977031,0.08701440183484581,0.006055633611189733,0.07617061524487294,0.09395624999999996,4.874931844001959,0.5797017056363138,4.102615611111875,5.520302834685681,0.0173440637870729,0.0014428971626494814,0.0159023234641685,0.01984657687462315,0.0173440637870729,0.0014428971626494814,0.0159023234641685,0.01984657687462315
imports,important,0.01,5,0.04490103959350779,0.030380702298134426,0.006623674973470316,0.09575962297441612,0.1413083185326195,0.031180894999710385,0.09814636009634259,0.18674482406775955,0.11715885206696278,0.01771375652319413,0.0983942603348138,0.14195,0.0063421257601028016,0.008866590218999217,-0.002608230739316153,0.01897941332221298,0.036952113621187575,0.016355588850466386,0.01901343342870565,0.060038768630427786,0.035909264652231834,0.008896492743370692,0.02807936361772434,0.05196374471788967,0.0063421257601028016,0.008866590218999217,-0.002608230739316153,0.01897941332221298,0.036952113621187575,0.016355588850466386,0.01901343342870565,0.060038768630427786,0.035909264652231834,0.008896492743370692,0.02807936361772434,0.05196374471788967,0.07225781247345496,0.027900429010233648,0.03909037702558388,0.1053766179895062,5.303307289331828,5.255101381608157,1.408213564458452,15.596830120305164,0.02956713889212903,0.01462300761152828,0.009446954198980118,0.054571975457205824,0.02956713889212903,0.01462300761152828,0.009446954198980118,0.054571975457205824
imports,important,0.05,5,0.09839023288317046,0.03280246318108505,0.05549660070201626,0.15074236640084807,0.2623090878938783,0.0340338336066826,0.21310147892426373,0.31442389284245487,0.1806515299663075,0.029998351371528748,0.15457431649820427,0.235375,0.026659622680753437,0.02038038661526054,-0.003944838854626487,0.05821433960692668,0.08619219413695142,0.02730927969738483,0.04740653725224553,0.11104719963770127,0.07188654300027886,0.0081170475557444,0.05674348929030382,0.07987165999373069,0.026659622680753437,0.02038038661526054,-0.003944838854626487,0.05821433960692668,0.08619219413695142,0.02730927969738483,0.04740653725224553,0.11104719963770127,0.07188654300027886,0.0081170475557444,0.05674348929030382,0.07987165999373069,0.08226129708313706,0.03157595600768613,0.0372993002658186,0.11989930700654687,2.006277249608923,0.606667257960023,1.247437406990373,3.070608490929467,0.045226920319525424,0.024936805205481413,0.01589489320603399,0.08381649884835718,0.045226920319525424,0.024936805205481413,0.01589489320603399,0.08381649884835718
imports,important,0.1,5,0.13211803057005245,0.05893931531408791,0.06329807703520576,0.23803965243078096,0.36142076892397845,0.10857231575886109,0.26970316338202477,0.5675695373546913,0.2298129527166471,0.0493980311972692,0.1754814302499021,0.31450833333333333,0.05666006789175713,0.06046591821421301,0.0003536521984092156,0.1734049247707955,0.13974876825320312,0.03670860182884242,0.09440336056782028,0.19025707530428249,0.09962225224977825,0.011583320009428567,0.07883046040828101,0.11208870030836227,0.05666006789175713,0.06046591821421301,0.0003536521984092156,0.1734049247707955,0.13974876825320312,0.03670860182884242,0.09440336056782028,0.19025707530428249,0.09962225224977825,0.011583320009428567,0.07883046040828101,0.11208870030836227,0.09769492214659463,0.08386681185883088,-0.03349798576411428,0.19228843269721874,2.095353759929299,0.883312288459966,0.8592756063032184,3.1688693042250065,0.04296218435802113,0.06340968091627219,-0.07538954488001759,0.10028191926484475,0.04296218435802113,0.06340968091627219,-0.07538954488001759,0.10028191926484475
imports,random,0.01,5,0.003265116266547351,0.0025088529552203262,0.0008143446827801771,0.007796016119516415,0.007829025707187558,0.0018430251042379072,0.005529184247538678,0.011144655503259642,0.009666180095744414,0.0020588921954930502,0.006874583333333332,0.013134650478722077,-0.0001438329162210228,0.0012246306076658265,-0.0013029361761019876,0.0022226137450260417,0.001100314433602889,0.00045267877179328144,0.0004823924828739501,0.0017018647553156574,0.0012794733616431652,0.0004212162490075108,0.000597467999787965,0.0018937114556488222,-0.0001438329162210228,0.0012246306076658265,-0.0013029361761019876,0.0022226137450260417,0.001100314433602889,0.00045267877179328144,0.0004823924828739501,0.0017018647553156574,0.0012794733616431652,0.0004212162490075108,0.000597467999787965,0.0018937114556488222,0.006401063829197064,0.001025382079008748,0.005338634359205662,0.008282738650553156,4.952871997195906,3.420248493376509,1.684790061662522,11.17104774636195,0.001423306277864188,0.0013704670905058836,-0.0010673584110041155,0.002604793092332247,0.001423306277864188,0.0013704670905058836,-0.0010673584110041155,0.002604793092332247
imports,random,0.05,5,0.00834178282412083,0.004713862590777592,0.004552318869310694,0.017459976200713982,0.023136201912405674,0.00478375621944075,0.01769674594041682,0.02957990336714858,0.026899546023704167,0.0037480510137198873,0.022647916666666663,0.03176939678518753,-0.0007463542729915027,0.002948814062915679,-0.004812161529518633,0.004187831057148322,0.003386101499485162,0.0006502650467456485,0.002507718984595869,0.0041741793650399706,0.004126087112062547,0.0004796503738063728,0.0037074963631806347,0.004871001944906128,-0.0007463542729915027,0.002948814062915679,-0.004812161529518633,0.004187831057148322,0.003386101499485162,0.0006502650467456485,0.002507718984595869,0.0041741793650399706,0.004126087112062547,0.0004796503738063728,0.0037074963631806347,0.004871001944906128,0.01855776319958334,0.004260949685694386,0.01430942058447355,0.026089990416199402,3.979121954195091,1.6247763453090793,1.8195555606707186,6.272470168924891,0.004872441385054051,0.0029743089273908856,-0.00044682609594987,0.008519657892699267,0.004872441385054051,0.0029743089273908856,-0.00044682609594987,0.008519657892699267
imports,random,0.1,5,0.011545448566758413,0.004964371443865981,0.005992501720056441,0.017942159145727745,0.04040760368027727,0.005402327844876371,0.03210049126232134,0.047413725786215916,0.04217133009741098,0.004560606938408812,0.035991650487054924,0.04623791666666666,0.0012352759400104895,0.005111832563565251,-0.0037511366188067276,0.01098431925266009,0.007353590661403052,0.0007283096091468311,0.005974011363537845,0.008046361245519607,0.008389567525814767,0.0013444014604395396,0.007001821794009255,0.010672088066242463,0.0012352759400104895,0.005111832563565251,-0.0037511366188067276,0.01098431925266009,0.007353590661403052,0.0007283096091468311,0.005974011363537845,0.008046361245519607,0.008389567525814767,0.0013444014604395396,0.007001821794009255,0.010672088066242463,0.03062588153065257,0.00489053559696404,0.02551246486262366,0.039596700756762346,4.380530841251622,1.8436352008646386,2.5199958544249523,6.962266743610932,0.007154291585804276,0.004087124494318548,-0.0003122311864176275,0.011347292404763981,0.007154291585804276,0.004087124494318548,-0.0003122311864176275,0.011347292404763981
