feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,5.555555555555556e-05,4.5542003404264885e-05,0.0,0.0001,0.0465401060875985,0.004348084590332817,0.04135,0.05318333333333333,0.06454416400623195,0.003085997143656003,0.06043333333333333,0.06963333333333334,0.0002483704428581923,0.00026335284356486586,5.033111697971826e-05,0.0007531386717430921,0.017121985664763306,0.0014819656431470508,0.01546196079798312,0.019066443839186875,0.01842518355413001,0.0014246712896494437,0.016177550276124886,0.020079750330459945,0.0002483704428581923,0.00026335284356486586,5.033111697971826e-05,0.0007531386717430921,0.017121985664763306,0.0014819656431470508,0.01546196079798312,0.019066443839186875,0.01842518355413001,0.0014246712896494437,0.016177550276124886,0.020079750330459945,0.0644886084506764,0.0030548223849258763,0.06043333333333333,0.06954444444444445,720.4444444444443,61.86962035473879,636.3333333333333,783.375,0.018176813111271818,0.001356316399126378,0.016122592672294545,0.019821201290023516,0.018176813111271818,0.001356316399126378,0.016122592672294545,0.019821201290023516
header,important,0.05,5,0.03497555555555555,0.011767898162394754,0.023322222222222223,0.050611111111111114,0.35840088219498734,0.08761079957754288,0.18499444444444443,0.418,0.30452742571152747,0.05177150628637638,0.20583333333333334,0.34552222222222223,0.004028755499822023,0.0013166951775897759,0.0023581517713617828,0.006353447742125651,0.07994043145833843,0.012005541592376922,0.05972265670049404,0.09686010519320243,0.08270989919182703,0.009186920316015944,0.06927738585754029,0.09590858889756504,0.004028755499822023,0.0013166951775897759,0.0023581517713617828,0.006353447742125651,0.07994043145833843,0.012005541592376922,0.05972265670049404,0.09686010519320243,0.08270989919182703,0.009186920316015944,0.06927738585754029,0.09590858889756504,0.2695518701559719,0.04552515565674213,0.17994444444444446,0.30209268411319257,9.38621382074576,2.592905602301643,6.827003293084522,12.893758932825154,0.078681143692005,0.008525707267409102,0.06500375762315935,0.08955514115543939,0.078681143692005,0.008525707267409102,0.06500375762315935,0.08955514115543939
header,important,0.1,5,0.058928888888888885,0.006485732108841248,0.05265555555555555,0.07071111111111111,0.3332855497777136,0.12022968060594359,0.1971111111111111,0.4973999711107901,0.30671167213568096,0.04185836531758322,0.2635888888888889,0.3737694717895158,0.04238646701472226,0.011334088443388813,0.024543959374840774,0.05877113255534827,0.16409430623250817,0.03252372411798278,0.12472687182235798,0.22065531738164068,0.17872640902866785,0.02126488581832501,0.15475667108410096,0.21289663932942848,0.04238646701472226,0.011334088443388813,0.024543959374840774,0.05877113255534827,0.16409430623250817,0.03252372411798278,0.12472687182235798,0.22065531738164068,0.17872640902866785,0.02126488581832501,0.15475667108410096,0.21289663932942848,0.2477827832467921,0.03857391075787001,0.20851111111111112,0.31300280512284917,5.22023283822073,0.596988673121011,4.683689503456945,6.150896409043047,0.1363399420139456,0.020945958112294574,0.11185125133236618,0.1753430878885024,0.1363399420139456,0.020945958112294574,0.11185125133236618,0.1753430878885024
header,random,0.01,5,0.0025362222222222223,0.0015331165064085056,0.0006311111111111112,0.005292777777777777,0.01587298654799868,0.005698814469900146,0.007688611111111111,0.023951944444444446,0.02050178877012609,0.007737743697577279,0.00932277777777778,0.03283555555555555,8.226323835311078e-05,6.062781402365216e-05,1.3697385989563938e-05,0.00019581547684744405,0.0014554352941649452,0.00069481574698605,0.00022935989498538146,0.002240745823865342,0.002468659049909274,0.0012257471377341471,0.00034364103113720403,0.0038433922533966046,8.226323835311078e-05,6.062781402365216e-05,1.3697385989563938e-05,0.00019581547684744405,0.0014554352941649452,0.00069481574698605,0.00022935989498538146,0.002240745823865342,0.002468659049909274,0.0012257471377341471,0.00034364103113720403,0.0038433922533966046,0.01796556654790387,0.006390771845377034,0.008691666666666669,0.02754277777777777,9.730785572837428,3.26168955454037,6.145750678638547,14.772007042253524,0.0023863958115561633,0.0011848543441900718,0.0003299436451476401,0.003767822857145575,0.0023863958115561633,0.0011848543441900718,0.0003299436451476401,0.003767822857145575
header,random,0.05,5,0.010689555555555555,0.0009640615855539211,0.009657222222222223,0.012469444444444444,0.06075117960940307,0.0054611538180748915,0.05295777777777777,0.06747361111111111,0.07080671646802911,0.004010786101717073,0.06379469345125664,0.07534722222222223,0.00042203585573560853,0.0001063993518985123,0.0003044502256706272,0.0005610266272787878,0.00587602623057267,0.0013869716689502458,0.004636411098793436,0.008469816287525588,0.008506190355735712,0.00178767826908898,0.0068320886603407014,0.011497072289451482,0.00042203585573560853,0.0001063993518985123,0.0003044502256706272,0.0005610266272787878,0.00587602623057267,0.0013869716689502458,0.004636411098793436,0.008469816287525588,0.008506190355735712,0.00178767826908898,0.0068320886603407014,0.011497072289451482,0.060117160912473544,0.003910616414629786,0.05413747122903442,0.06459277777777779,6.665123318832011,0.57821929603975,5.619959901982624,7.336767298369325,0.008084154500000103,0.0017454096936768955,0.006501868233471785,0.010936045662172695,0.008084154500000103,0.0017454096936768955,0.006501868233471785,0.010936045662172695
header,random,0.1,5,0.023667999999999998,0.0050735304702050205,0.018783888888888885,0.032252222222222224,0.10456562673844524,0.016231795227658802,0.08808972222222222,0.13203230035889285,0.11280632449649267,0.010241550316384133,0.09635833333333334,0.12698828914913002,0.0010351926948398871,0.00030405722852628323,0.0005905438098290194,0.0015097673833350312,0.011749532562821494,0.0008846659661435201,0.010900926598600364,0.013441939504891264,0.018374380597093863,0.0008961665416759247,0.01698796101374585,0.019620180451569096,0.0010351926948398871,0.00030405722852628323,0.0005905438098290194,0.0015097673833350312,0.011749532562821494,0.0008846659661435201,0.010900926598600364,0.013441939504891264,0.018374380597093863,0.0008961665416759247,0.01698796101374585,0.019620180451569096,0.08913832449649267,0.0067398738095164916,0.07701055555555555,0.09610555555555556,4.89714318841593,0.6737544706618755,3.9373500614674963,5.744077371269707,0.01733918790225398,0.0006184166302380394,0.016397417203916832,0.018110413068234063,0.01733918790225398,0.0006184166302380394,0.016397417203916832,0.018110413068234063
imports,important,0.01,5,0.0656808545349109,0.05281848520323324,0.01674265235194402,0.16632504302265677,0.11690225491318036,0.01537418991011987,0.10232199094921379,0.1394484579049736,0.11354931804069561,0.00608350317777742,0.10558888888888888,0.12151111111111111,0.0109971584842526,0.014485442861052113,0.0020876341986822977,0.03975483959744197,0.03341425390261947,0.006298320037997453,0.021377427780844505,0.0396689579432159,0.05246006241113064,0.005447427939568519,0.04714913685895761,0.0620678125571007,0.0109971584842526,0.014485442861052113,0.0020876341986822977,0.03975483959744197,0.03341425390261947,0.006298320037997453,0.021377427780844505,0.0396689579432159,0.05246006241113064,0.005447427939568519,0.04714913685895761,0.0620678125571007,0.0478684635057847,0.049597617961233374,-0.04481393191154566,0.0985261600737562,3.0195424672405786,2.1386927769268382,0.7305641345576498,6.8847402432217475,0.041462903926878035,0.016477590811319283,0.010578089371879873,0.0599801783584184,0.041462903926878035,0.016477590811319283,0.010578089371879873,0.0599801783584184
imports,important,0.05,5,0.09505591864151612,0.04414315679772546,0.05034335942864991,0.17343885302145104,0.2590940022706026,0.050205084217205674,0.18162544960255972,0.32300744479895865,0.16430388416703393,0.011127059528589176,0.15023333333333333,0.17887497639072517,0.05846002561764434,0.015334025704151377,0.03896397850573474,0.08601738972242112,0.07501969350845332,0.011425604098023994,0.06182667356973515,0.09250683766189971,0.06948572096675368,0.01207928086752827,0.0569984814849287,0.09193883766376598,0.05846002561764434,0.015334025704151377,0.03896397850573474,0.08601738972242112,0.07501969350845332,0.011425604098023994,0.06182667356973515,0.09250683766189971,0.06948572096675368,0.01207928086752827,0.0569984814849287,0.09193883766376598,0.06924796552551779,0.04875611405888974,-0.02320551968811771,0.10499095877851827,2.0850710030956314,0.7842788678176674,0.8662034527797089,3.038026190151412,0.011025695349109332,0.020308852383316176,-0.023953920777990745,0.034131955853851426,0.011025695349109332,0.020308852383316176,-0.023953920777990745,0.034131955853851426
imports,important,0.1,5,0.19175601536285897,0.06766005535228095,0.1283958247493476,0.30221087130471,0.3673910181618848,0.09152200661085025,0.21564141433917514,0.47745924409098844,0.1929300691674598,0.01175763007730928,0.1733888888888889,0.20983923472618796,0.10387084836874061,0.02520321418117581,0.08451863376038515,0.15155765454131687,0.11708054768714245,0.013573795351584666,0.09819369491441843,0.13674773582901512,0.09706377503713837,0.01294261510352011,0.08147784494171428,0.11247191649449984,0.10387084836874061,0.02520321418117581,0.08451863376038515,0.15155765454131687,0.11708054768714245,0.013573795351584666,0.09819369491441843,0.13674773582901512,0.09706377503713837,0.01294261510352011,0.08147784494171428,0.11247191649449984,0.0011740538046008276,0.07558499434361082,-0.12882198241582113,0.062326397472874606,1.1343979319443587,0.3649890012824681,0.5737347837300868,1.485423864791143,-0.0068070733316022425,0.018840234269738812,-0.03908573804681703,0.01968022828940319,-0.0068070733316022425,0.018840234269738812,-0.03908573804681703,0.01968022828940319
imports,random,0.01,5,0.0033881831327825366,0.00158441067265413,0.0010941164632211223,0.005866295838483724,0.007595703735255199,0.002913368711914349,0.004150887458116339,0.012928525486412606,0.009941504944677142,0.0022182595874740666,0.0071538888888888885,0.013654444444444445,0.0008217136183321571,0.002224242100830034,-0.0006069623385807632,0.005246850011342974,0.0009448690051185159,0.00030998090909739606,0.0006378612551000918,0.00154141198712765,0.0012444952685871124,0.0003933521918686387,0.0005039779781737585,0.0016367968432380031,0.0008217136183321571,0.002224242100830034,-0.0006069623385807632,0.005246850011342974,0.0009448690051185159,0.00030998090909739606,0.0006378612551000918,0.00154141198712765,0.0012444952685871124,0.0003933521918686387,0.0005039779781737585,0.0016367968432380031,0.006553321811894606,0.002000444407665717,0.004103785120064442,0.00930229714905348,3.9517969063535716,2.810512246691304,1.9826566012637181,9.502108744134192,0.0004227816502549553,0.0022865231552763256,-0.003983062540381288,0.0022437591818187663,0.0004227816502549553,0.0022865231552763256,-0.003983062540381288,0.0022437591818187663
imports,random,0.05,5,0.008389943724681218,0.003438657923865445,0.0031767692795937794,0.013705534953989837,0.022588488530074217,0.006470522444222407,0.012975963394100768,0.032416787264833574,0.027407719376147287,0.004601280241113198,0.022198888888888893,0.033528333333333334,3.8136292893666774e-05,0.0016243107394426361,-0.0025894393538368143,0.0018013106206590745,0.003242511887272872,0.0005241618601787199,0.002844399265434688,0.004188004746174162,0.0040608666430550855,0.000429205851301749,0.0037267664327694737,0.00489571277432313,3.8136292893666774e-05,0.0016243107394426361,-0.0025894393538368143,0.0018013106206590745,0.003242511887272872,0.0005241618601787199,0.002844399265434688,0.004188004746174162,0.0040608666430550855,0.000429205851301749,0.0037267664327694737,0.00489571277432313,0.01901777565146607,0.0044369448437683945,0.013312655042937408,0.025512651003013618,4.011214774920328,2.0712001138162828,2.44633525403347,7.774320401820402,0.0040227303501614185,0.001479264026369855,0.0019254558121103993,0.0063988045778823385,0.0040227303501614185,0.001479264026369855,0.0019254558121103993,0.0063988045778823385
imports,random,0.1,5,0.013759021603106047,0.008032543991125409,0.006604649317676928,0.026480034198901686,0.036798574327818225,0.0065427070001030626,0.028128198960669915,0.0471875644871978,0.042327235676731315,0.00526156392337252,0.03552111111111111,0.04913506727254548,0.0007785177092814943,0.004039824367488911,-0.005384346308786814,0.005630426188546328,0.007649706197551673,0.0018908995019494869,0.006257902499483226,0.011326678994662904,0.008942332466009216,0.001598614399691107,0.006736447303406124,0.011636899434603637,0.0007785177092814943,0.004039824367488911,-0.005384346308786814,0.005630426188546328,0.007649706197551673,0.0018908995019494869,0.006257902499483226,0.011326678994662904,0.008942332466009216,0.001598614399691107,0.006736447303406124,0.011636899434603637,0.02856821407362527,0.0073749746863225754,0.02001385468998721,0.0414770260777254,4.077223013665195,1.8446860954061302,1.7558092463044224,6.416140370958128,0.008163814756727722,0.003538748930508402,0.003236005005543197,0.013591013244814298,0.008163814756727722,0.003538748930508402,0.003236005005543197,0.013591013244814298
