feature_group,density_bin,perturbation_type,strength,n_rows,n_samples_mean,n_samples_std,n_samples_min,n_samples_max,n_masked_features_mean,n_masked_features_std,n_masked_features_min,n_masked_features_max,flip_rate_mean_mean,flip_rate_mean_std,flip_rate_mean_min,flip_rate_mean_max,benign_to_malware_rate_overall_mean_mean,benign_to_malware_rate_overall_mean_std,benign_to_malware_rate_overall_mean_min,benign_to_malware_rate_overall_mean_max,malware_to_benign_rate_overall_mean_mean,malware_to_benign_rate_overall_mean_std,malware_to_benign_rate_overall_mean_min,malware_to_benign_rate_overall_mean_max,benign_to_malware_rate_cond_mean_mean,benign_to_malware_rate_cond_mean_std,benign_to_malware_rate_cond_mean_min,benign_to_malware_rate_cond_mean_max,malware_to_benign_rate_cond_mean_mean,malware_to_benign_rate_cond_mean_std,malware_to_benign_rate_cond_mean_min,malware_to_benign_rate_cond_mean_max,mean_abs_probability_shift_mean_mean,mean_abs_probability_shift_mean_std,mean_abs_probability_shift_mean_min,mean_abs_probability_shift_mean_max,mean_signed_probability_shift_mean_mean,mean_signed_probability_shift_mean_std,mean_signed_probability_shift_mean_min,mean_signed_probability_shift_mean_max,mean_margin_shift_mean_mean,mean_margin_shift_mean_std,mean_margin_shift_mean_min,mean_margin_shift_mean_max,baseline_auc_mean_mean,baseline_auc_mean_std,baseline_auc_mean_min,baseline_auc_mean_max,perturbed_auc_mean_mean,perturbed_auc_mean_std,perturbed_auc_mean_min,perturbed_auc_mean_max,delta_auc_mean_mean,delta_auc_mean_std,delta_auc_mean_min,delta_auc_mean_max,auc_drop_mean_mean,auc_drop_mean_std,auc_drop_mean_min,auc_drop_mean_max
header,high_density,important,0.01,5,180000.0,0.0,180000.0,180000.0,1.0,0.0,1.0,1.0,5.555555555555556e-05,4.5542003404264885e-05,0.0,0.0001,5.555555555555556e-05,4.5542003404264885e-05,0.0,0.0001,0.0,0.0,0.0,0.0,0.00021513146661856483,0.00017697476192005997,0.0,0.0003979483551467987,0.0,0.0,0.0,0.0,0.0076930112417710585,0.0033042595847687663,0.0038940842099163308,0.013265879034204954,0.00768743884930282,0.0033044007137599724,0.003892479923651037,0.01325811023087593,-0.005818724818999499,0.0033871300920854967,-0.011858852636648291,-0.002260077066131101,0.999495138129552,4.790072164876776e-05,0.9994289228378688,0.9995641883604784,0.9992467676866937,0.0003051028938124201,0.9986757841661257,0.9995092307566481,0.0002483704428581923,0.00026335284356486586,5.033111697971826e-05,0.0007531386717430921,0.0002483704428581923,0.00026335284356486586,5.033111697971826e-05,0.0007531386717430921
header,high_density,important,0.05,5,180000.0,0.0,180000.0,180000.0,4.0,0.0,4.0,4.0,0.03497555555555555,0.011767898162394754,0.023322222222222223,0.050611111111111114,0.02406222222222222,0.012166070203542755,0.006266666666666667,0.03931111111111111,0.004908888888888889,0.0063447631754925595,0.0,0.015477777777777778,0.09216250582844945,0.046277260340770204,0.02351273606536874,0.1500678656260604,0.006679767795710495,0.008641857164631657,0.0,0.021101904170390682,0.07833497013003923,0.01326607602664028,0.06259217449594758,0.09944640196095332,0.05992613670351079,0.026595625616258688,0.013829382187649673,0.08655021884901355,-0.05609721564117974,0.011880959664577374,-0.07746858653134353,-0.04254160638757545,0.999495138129552,4.790072164876776e-05,0.9994289228378688,0.9995641883604784,0.9954663826297301,0.001327594576887296,0.9931062691507768,0.9971369332682808,0.004028755499822023,0.0013166951775897759,0.0023581517713617828,0.006353447742125651,0.004028755499822023,0.0013166951775897759,0.0023581517713617828,0.006353447742125651
header,high_density,important,0.1,5,180000.0,0.0,180000.0,180000.0,8.0,0.0,8.0,8.0,0.058928888888888885,0.006485732108841248,0.05265555555555555,0.07071111111111111,0.032175555555555554,0.022015174788941702,0.005744444444444444,0.06157777777777778,0.020922222222222224,0.018788392791926182,0.0002,0.045422222222222225,0.12265054632144827,0.08352746642185448,0.02155334139325468,0.2350695622667119,0.02827994784988882,0.025415015510841486,0.0002718417277052027,0.06192719615833245,0.20115912144171427,0.021413995899002024,0.1786656071465966,0.2358111756849864,-0.0300000829120645,0.07363005690494484,-0.1214115180508837,0.03587140671924494,-0.17003610046850268,0.029120310441201225,-0.21360514313876153,-0.13362526358141427,0.999495138129552,4.790072164876776e-05,0.9994289228378688,0.9995641883604784,0.9571086711148299,0.01134154682967626,0.9407239524842943,0.9749838181420271,0.04238646701472226,0.011334088443388813,0.024543959374840774,0.05877113255534827,0.04238646701472226,0.011334088443388813,0.024543959374840774,0.05877113255534827
header,high_density,random,0.01,5,180000.0,0.0,180000.0,180000.0,1.0,0.0,1.0,1.0,0.0025362222222222223,0.0015331165064085056,0.0006311111111111112,0.005292777777777777,0.00042155555555555555,0.0002375500986796597,8.5e-05,0.0007422222222222222,0.0013587777777777775,0.0013241284298607262,0.00014333333333333334,0.0036866666666666667,0.0016011279666055711,0.0008988061701241795,0.0003382561018747789,0.002833389888021717,0.0018403446273030418,0.0018014338095090536,0.00019440007233491064,0.005026282701892051,0.004838787340191129,0.002027394798183873,0.0016466902583390773,0.007938387122703098,0.0004893607137513893,0.0013306334662472226,-0.0013672034380579645,0.00223589963338551,-0.0019878995593408813,0.001040928995554442,-0.002984999542427429,-0.00030375581444454615,0.999495138129552,4.7900721648637995e-05,0.9994289228378687,0.9995641883604781,0.999412874891199,9.309737466251376e-05,0.9992331073610213,0.9995027000750223,8.226323835311078e-05,6.062781402365216e-05,1.3697385989563938e-05,0.00019581547684744405,8.226323835311078e-05,6.062781402365216e-05,1.3697385989563938e-05,0.00019581547684744405
header,high_density,random,0.05,5,180000.0,0.0,180000.0,180000.0,4.0,0.0,4.0,4.0,0.010689555555555555,0.0009640615855539211,0.009657222222222223,0.012469444444444444,0.004362,0.0010951559221531702,0.0024827777777777778,0.005824444444444445,0.0037935555555555557,0.002172547364128735,0.0012966666666666669,0.007625555555555555,0.016709658439183414,0.004199912787442944,0.009315462542210363,0.022234475738038686,0.005143400267101696,0.002968492705257353,0.0017568950981572927,0.010396437065426506,0.01804314618462048,0.001055738528353612,0.01643448372666618,0.019769284701064507,0.003806658318605518,0.0034537480487215567,-0.0022831345316739644,0.007706325510967874,-0.009043227820945377,0.0016687551393389875,-0.0108399842938673,-0.006333841289735083,0.999495138129552,4.7900721648637995e-05,0.9994289228378687,0.9995641883604781,0.9990731022738164,0.00011567018985208728,0.9988924656210744,0.9991975570899989,0.00042203585573560853,0.0001063993518985123,0.0003044502256706272,0.0005610266272787878,0.00042203585573560853,0.0001063993518985123,0.0003044502256706272,0.0005610266272787878
header,high_density,random,0.1,5,180000.0,0.0,180000.0,180000.0,8.0,0.0,8.0,8.0,0.023667999999999998,0.0050735304702050205,0.018783888888888885,0.032252222222222224,0.012033777777777779,0.004300454905595654,0.006931666666666667,0.01970388888888889,0.007477111111111111,0.004028504047931133,0.003295555555555556,0.015170555555555553,0.04588336595472857,0.01599865027817147,0.027584453484258926,0.07455749421904562,0.010089652498060112,0.0053410547133897505,0.004465253522823076,0.02026222842217737,0.03388337394720619,0.006554277950337056,0.02699565319985588,0.045716151644872215,0.006097016995665283,0.011665953445996902,-0.015794581406202678,0.018032252907454964,-0.0157019674833909,0.00595384856494239,-0.027514534190382266,-0.011828208365530498,0.999495138129552,4.7900721648637995e-05,0.9994289228378687,0.9995641883604781,0.9984599454347121,0.0003303949938667383,0.9979499495095675,0.9989045412298136,0.0010351926948398871,0.00030405722852628323,0.0005905438098290194,0.0015097673833350312,0.0010351926948398871,0.00030405722852628323,0.0005905438098290194,0.0015097673833350312
header,low_density,important,0.01,5,180000.8,1.6,180000.0,180004.0,1.0,0.0,1.0,1.0,0.06454416400623195,0.003085997143656003,0.06043333333333333,0.06963333333333334,0.04404203383134696,0.0029846356977503733,0.041188888888888886,0.049444444444444444,3.999980247352529e-05,8.888790133881707e-06,3.3333333333333335e-05,5.555555555555556e-05,0.1080098429255268,0.007603148832023946,0.10070632980168433,0.12199133724436646,6.754980189186507e-05,1.5035184463777853e-05,5.6051717050932325e-05,9.400263207369807e-05,0.06713317246703479,0.002560212244972113,0.06415738192641979,0.07092094857671803,0.06697291871437319,0.0026177874551294713,0.06383825449883107,0.07081140027580594,-0.036359731242065416,0.0013239820913233777,-0.03880193930023672,-0.0348408803021337,0.9575618914549295,0.000862561958943548,0.9563086820725748,0.9586080851693639,0.9391367079007995,0.0011458219230383367,0.9375621199167694,0.94089275798438,0.01842518355413001,0.0014246712896494437,0.016177550276124886,0.020079750330459945,0.01842518355413001,0.0014246712896494437,0.016177550276124886,0.020079750330459945
header,low_density,important,0.05,5,180000.8,1.6,180000.0,180004.0,4.0,0.0,4.0,4.0,0.30452742571152747,0.05177150628637638,0.20583333333333334,0.34552222222222223,0.2255255493581624,0.05910664056071153,0.11134444444444444,0.2690111111111111,0.009162216938389024,0.014126260120795566,0.0006666666666666666,0.03732222222222222,0.5532436490438242,0.14562231290214495,0.2722358054876392,0.6630571851526947,0.015501215566796924,0.023903555320534252,0.0011210343410186466,0.06315096822711036,0.2552505075714858,0.037530920852976164,0.18766130350323199,0.29307922010251863,0.2229625605816389,0.07110934699350291,0.08807482145029878,0.28786589144838876,-0.03277841345714535,0.03112659794668165,-0.08427832335943194,0.009758125053219446,0.9575618914549295,0.000862561958943548,0.9563086820725748,0.9586080851693639,0.8748519922631026,0.009141277853765456,0.8626994962717989,0.8881002619662592,0.08270989919182703,0.009186920316015944,0.06927738585754029,0.09590858889756504,0.08270989919182703,0.009186920316015944,0.06927738585754029,0.09590858889756504
header,low_density,important,0.1,5,180000.8,1.6,180000.0,180004.0,8.0,0.0,8.0,8.0,0.30671167213568096,0.04185836531758322,0.2635888888888889,0.3737694717895158,0.17431872225061668,0.08327609281444116,0.0738111111111111,0.28749361125308326,0.0702377548153251,0.060000461773873776,0.005166551854403236,0.14074444444444445,0.4282876722716247,0.20632789152242684,0.18046726433034502,0.7086905316206075,0.11886806711656514,0.10156046548483239,0.008693051167486119,0.23814626809550668,0.28360320018685986,0.02703650525847067,0.25565152245827283,0.328641287125945,0.09979540605215328,0.13512091202373747,-0.05301994851836504,0.2808680653758911,-0.11064600337462512,0.0692975769663413,-0.18510208000070255,-0.016077078647349963,0.9575618914549295,0.000862561958943548,0.9563086820725748,0.9586080851693639,0.7788354824262618,0.02170616016815493,0.7434120427431463,0.8026209767396986,0.17872640902866785,0.02126488581832501,0.15475667108410096,0.21289663932942848,0.17872640902866785,0.02126488581832501,0.15475667108410096,0.21289663932942848
header,low_density,random,0.01,5,180000.8,1.6,180000.0,180004.0,1.0,0.0,1.0,1.0,0.02050178877012609,0.007737743697577279,0.00932277777777778,0.03283555555555555,0.007192400598505219,0.0027186166130797563,0.003551666666666666,0.009865336325859425,0.0060594256695530235,0.004320146861538566,0.0012844444444444444,0.013814444444444449,0.017662001354663236,0.0067284221157689955,0.00866260162601626,0.024318698474432365,0.010238523283210068,0.007316954335777359,0.002177024482109228,0.023374694491445757,0.02013029704449823,0.007335459836749627,0.008735641129625516,0.031019461574531466,0.004390585967519785,0.00583910987319449,-0.0032488265138505847,0.011304631306697167,-0.0025596628718742866,0.0013959479509681192,-0.004678155865892142,-0.0010499831848000201,0.9575618914549295,0.0008625619589435068,0.9563086820725747,0.9586080851693637,0.9550932324050205,0.0019629253381546943,0.9528300389553426,0.9582644441382268,0.002468659049909274,0.0012257471377341471,0.00034364103113720403,0.0038433922533966046,0.002468659049909274,0.0012257471377341471,0.00034364103113720403,0.0038433922533966046
