feature_group,perturbation_type,strength,n_rows,high_flip_rate_mean,high_flip_rate_std,high_flip_rate_min,high_flip_rate_max,mid_flip_rate_mean,mid_flip_rate_std,mid_flip_rate_min,mid_flip_rate_max,low_flip_rate_mean,low_flip_rate_std,low_flip_rate_min,low_flip_rate_max,high_delta_auc_mean,high_delta_auc_std,high_delta_auc_min,high_delta_auc_max,mid_delta_auc_mean,mid_delta_auc_std,mid_delta_auc_min,mid_delta_auc_max,low_delta_auc_mean,low_delta_auc_std,low_delta_auc_min,low_delta_auc_max,high_auc_drop_mean,high_auc_drop_std,high_auc_drop_min,high_auc_drop_max,mid_auc_drop_mean,mid_auc_drop_std,mid_auc_drop_min,mid_auc_drop_max,low_auc_drop_mean,low_auc_drop_std,low_auc_drop_min,low_auc_drop_max,delta_flip_density_mean,delta_flip_density_std,delta_flip_density_min,delta_flip_density_max,flip_density_ratio_mean,flip_density_ratio_std,flip_density_ratio_min,flip_density_ratio_max,delta_auc_density_mean,delta_auc_density_std,delta_auc_density_min,delta_auc_density_max,auc_drop_density_mean,auc_drop_density_std,auc_drop_density_min,auc_drop_density_max
header,important,0.01,5,1e-05,2e-05,0.0,5e-05,0.048928209490158275,0.002836984135159541,0.04414601727507198,0.052878363509052714,0.06599989726474502,0.003411517419968175,0.061641152990391745,0.070075,5.949035690411275e-05,7.472247371386892e-05,1.6133364922565896e-05,0.0002083456979681264,0.015987459275208706,0.0013108214696731272,0.014584009764543548,0.018071131152596287,0.017536476992774674,0.0015861770855979162,0.01565970473053091,0.019840521970917013,5.949035690411275e-05,7.472247371386892e-05,1.6133364922565896e-05,0.0002083456979681264,0.015987459275208706,0.0013108214696731272,0.014584009764543548,0.018071131152596287,0.017536476992774674,0.0015861770855979162,0.01565970473053091,0.019840521970917013,0.06598989726474502,0.0034020605107357937,0.061641152990391745,0.070075,1384.8333333333335,0.0,1384.8333333333335,1384.8333333333335,0.01747698663587056,0.0015305478997837353,0.015643571365608344,0.019632176272948887,0.01747698663587056,0.0015305478997837353,0.015643571365608344,0.019632176272948887
header,important,0.05,5,0.018379911719634885,0.005580443203729344,0.009366666666666667,0.02455,0.2563023338156427,0.06920587192058676,0.20690416666666667,0.39065579439914333,0.25471944465740565,0.04064472335390426,0.21700833333333333,0.3332055566203615,0.005307915384434048,0.002294568245682632,0.0024869262401310266,0.009127370001601798,0.08024654127506523,0.00898404405812703,0.06738738302167058,0.09244486731034285,0.08273085989445417,0.01199441468986565,0.07107523331566867,0.1056533995428518,0.005307915384434048,0.002294568245682632,0.0024869262401310266,0.009127370001601798,0.08024654127506523,0.00898404405812703,0.06738738302167058,0.09244486731034285,0.08273085989445417,0.01199441468986565,0.07107523331566867,0.1056533995428518,0.23633953293777074,0.04016000205004777,0.19481666666666667,0.31203888995369483,15.533159562386425,5.999315400362006,9.778820878708224,26.296263345195726,0.07742294451002012,0.01196025683652993,0.06619032578686668,0.09932277554673241,0.07742294451002012,0.01196025683652993,0.06619032578686668,0.09932277554673241
header,important,0.1,5,0.07410214338063828,0.014701073146229903,0.05495833333333333,0.0943,0.33266309475029654,0.1075032519478836,0.1838125,0.4627096462272015,0.32827277728241155,0.026851878608680876,0.294525,0.3637416666666667,0.037590203335578345,0.012952223169674936,0.019011627577361856,0.05602354817241406,0.1481165158985496,0.01876688213400216,0.13164213572338312,0.18417117685336915,0.17479510364026507,0.008005094282404299,0.16777341213751196,0.1894729216484916,0.037590203335578345,0.012952223169674936,0.019011627577361856,0.05602354817241406,0.1481165158985496,0.01876688213400216,0.13164213572338312,0.18417117685336915,0.17479510364026507,0.008005094282404299,0.16777341213751196,0.1894729216484916,0.25417063390177325,0.03878674493038747,0.200225,0.3041666666666667,4.669431786995258,1.226786804878217,3.123276776246023,6.105609176108547,0.13720490030468674,0.017935754241102272,0.1117498639650979,0.15749696882533404,0.13720490030468674,0.017935754241102272,0.1117498639650979,0.15749696882533404
header,random,0.01,5,0.0024624485475381436,0.0010217853491421276,0.0016725,0.0043625,0.017351882755775063,0.005857113128748976,0.012772969887374534,0.028262916666666665,0.023378389494670877,0.009707686827807016,0.016303197473354396,0.04228833333333333,0.00010754759175020555,8.323246486599019e-05,9.708066651614721e-06,0.0002604741710569125,0.0015983617939023763,0.0007577442472527499,0.0002611071844615731,0.002618205449952932,0.0027106771400460805,0.001406728021736491,0.0006220034241985195,0.00497271374733253,0.00010754759175020555,8.323246486599019e-05,9.708066651614721e-06,0.0002604741710569125,0.0015983617939023763,0.0007577442472527499,0.0002611071844615731,0.002618205449952932,0.0027106771400460805,0.001406728021736491,0.0006220034241985195,0.00497271374733253,0.020915940947132734,0.008837800899352906,0.01359278080668773,0.03792583333333333,9.807177537315336,2.151564764728917,6.0150152092314455,12.478960549828178,0.0026031295482958744,0.001330066963192005,0.0006122953575469047,0.0047122395762756175,0.0026031295482958744,0.001330066963192005,0.0006122953575469047,0.0047122395762756175
header,random,0.05,5,0.008605252998201078,0.002288702552185843,0.006088749999999999,0.011328749999999999,0.056452405308035816,0.007668555194416038,0.04356145833333333,0.06283801807208829,0.0691338859974778,0.0066203109214422245,0.06278333333333334,0.08172541666666666,0.00044368480735414655,0.00014562354964965934,0.0002610142984477926,0.0006932916209656303,0.006039080168943017,0.0014706234132502711,0.004804501853424315,0.008553550781485241,0.00966094772633204,0.0018978222084175692,0.0075247363314490945,0.013114401598536763,0.00044368480735414655,0.00014562354964965934,0.0002610142984477926,0.0006932916209656303,0.006039080168943017,0.0014706234132502711,0.004804501853424315,0.008553550781485241,0.00966094772633204,0.0018978222084175692,0.0075247363314490945,0.013114401598536763,0.06052863299927673,0.005386050651688275,0.05656165167566128,0.07059041666666666,8.501567807107367,1.8695214288850686,6.037869431377897,11.011286071500978,0.009217262918977894,0.0017647392294526342,0.007163471063420424,0.012421109977571133,0.009217262918977894,0.0017647392294526342,0.007163471063420424,0.012421109977571133
header,random,0.1,5,0.020833652491838228,0.0019704817040686593,0.017418749999999997,0.023144583333333333,0.10513589538721853,0.015586428732005704,0.0801763757348989,0.1294304166666667,0.11811540854520657,0.011980878261487304,0.10487287605936617,0.13849666666666666,0.0009367060578621301,0.00023328743274808692,0.0005774299579518472,0.0012738578398473644,0.011896319843679792,0.0007617626522889238,0.010927563811619601,0.012798688579405276,0.01966492849020384,0.001856814846774164,0.016266522800415135,0.021964023150465382,0.0009367060578621301,0.00023328743274808692,0.0005774299579518472,0.0012738578398473644,0.011896319843679792,0.0007617626522889238,0.010927563811619601,0.012798688579405276,0.01966492849020384,0.001856814846774164,0.016266522800415135,0.021964023150465382,0.09728175605336833,0.011608902026170988,0.08406620939269951,0.11535208333333333,5.711318006256758,0.7044869678139049,4.814141389401478,6.754598732209066,0.018728222432341714,0.0017494323917875098,0.01568909284246329,0.021159255537978542,0.018728222432341714,0.0017494323917875098,0.01568909284246329,0.021159255537978542
imports,important,0.01,5,0.04095640084898732,0.012877144287075532,0.023588459320299064,0.05563241216962503,0.13027742485737764,0.024277869436237814,0.09431337902051147,0.16350423899878885,0.14511594801204478,0.028147255753604616,0.10842630627327796,0.18123333333333333,0.005879821205589497,0.0052885129890468474,-0.0014843046067846144,0.013929997798382887,0.042689316034276434,0.007023712598838436,0.03445310831920256,0.0553660220250316,0.05839909624873192,0.007039072060227748,0.048482258438383496,0.06566228248671502,0.005879821205589497,0.0052885129890468474,-0.0014843046067846144,0.013929997798382887,0.042689316034276434,0.007023712598838436,0.03445310831920256,0.0553660220250316,0.05839909624873192,0.007039072060227748,0.048482258438383496,0.06566228248671502,0.10415954716305746,0.0163411857302636,0.08483784695297888,0.12711396852704931,3.7123409215906342,0.5655391420154748,2.9239549450182154,4.59658279504383,0.052519275043142424,0.00663328112654681,0.043811180200602595,0.0637199518950845,0.052519275043142424,0.00663328112654681,0.043811180200602595,0.0637199518950845
imports,important,0.05,5,0.07372688639253906,0.02721025303191558,0.04623855053384356,0.12404714011605326,0.2802431236123989,0.055661367272245715,0.22640822369206523,0.3764427279869864,0.16514462951269382,0.008913778341252109,0.14957880966863027,0.17634019716502364,0.07243790167416282,0.026091121463216963,0.042751388667722656,0.10409020496689836,0.07315945081466746,0.024763671366317044,0.03870852653585277,0.10836885621764691,0.07644818250243508,0.00822937751802304,0.06203586881647272,0.08429676242602568,0.07243790167416282,0.026091121463216963,0.042751388667722656,0.10409020496689836,0.07315945081466746,0.024763671366317044,0.03870852653585277,0.10836885621764691,0.07644818250243508,0.00822937751802304,0.06203586881647272,0.08429676242602568,0.09141774312015474,0.025234359965962284,0.043657000613761834,0.11653644946615643,2.486872759088555,0.7031547028051617,1.3519387917602792,3.5203309385933164,0.004010280828272261,0.0260908537149633,-0.030913088647672615,0.03480706999449512,0.004010280828272261,0.0260908537149633,-0.030913088647672615,0.03480706999449512
imports,important,0.1,5,0.10385544124057118,0.03148089745210291,0.06706235426684369,0.1517387700209267,0.3599149776815561,0.05339649692910371,0.30109339164755455,0.4519957506611927,0.19149510903119588,0.010442976451230308,0.1746,0.2014649877917684,0.0742253746873202,0.02441150328992006,0.0473613274147312,0.10984056573771694,0.09523492721070607,0.012352162536146996,0.08192004452427626,0.11307277332295962,0.09046532423998058,0.0071949495323338514,0.07941078943522872,0.09739714423435542,0.0742253746873202,0.02441150328992006,0.0473613274147312,0.10984056573771694,0.09523492721070607,0.012352162536146996,0.08192004452427626,0.11307277332295962,0.09046532423998058,0.0071949495323338514,0.07941078943522872,0.09739714423435542,0.08763966779062468,0.03185167229632871,0.04869788572934622,0.12968764573315633,2.013569919456873,0.5943163954937226,1.3209323874355259,2.9338367576110462,0.016239949552660372,0.025567490516533516,-0.025427594139087017,0.047364416706780266,0.016239949552660372,0.025567490516533516,-0.025427594139087017,0.047364416706780266
imports,random,0.01,5,0.0017495613568165335,0.0017244024437822834,5.149913413543707e-05,0.005060348007710413,0.007953639943429786,0.0037019588522883224,0.00457384393834338,0.014948422837221517,0.010561910086028022,0.003183829157315198,0.006999825004374889,0.01616937600506595,0.0009865167817851661,0.0013638471799310356,-0.0002871095020352543,0.002903188941829099,0.0008400503012752903,0.0003379969848788117,0.0003332049600385578,0.0012888683234620446,0.0012524364523300547,0.0004619801999703005,0.000551876716169325,0.001749985482906008,0.0009865167817851661,0.0013638471799310356,-0.0002871095020352543,0.002903188941829099,0.0008400503012752903,0.0003379969848788117,0.0003332049600385578,0.0012888683234620446,0.0012524364523300547,0.0004619801999703005,0.000551876716169325,0.001749985482906008,0.00881234872921149,0.0020273235952989878,0.00610971619719605,0.011109027997355537,45.55685568255878,78.59480645565952,3.195309093451438,202.70567344322342,0.0002659196705448885,0.00108081755471705,-0.0013635750857849517,0.001525789661704585,0.0002659196705448885,0.00108081755471705,-0.0013635750857849517,0.001525789661704585
