seed,feature_group,perturbation_type,strength,high_flip_rate,mid_flip_rate,low_flip_rate,high_delta_auc,mid_delta_auc,low_delta_auc,high_auc_drop,mid_auc_drop,low_auc_drop,delta_flip_density,flip_density_ratio,delta_auc_density,auc_drop_density
13,header,important,0.01,0.0,0.04414601727507198,0.061641152990391745,2.0793056194290394e-05,0.014584009764543548,0.015826126688386566,2.0793056194290394e-05,0.014584009764543548,0.015826126688386566,0.061641152990391745,nan,0.015805333632192275,0.015805333632192275
13,header,important,0.05,0.021166666666666667,0.39065579439914333,0.3332055566203615,0.006330623996119389,0.09244486731034285,0.1056533995428518,0.006330623996119389,0.09244486731034285,0.1056533995428518,0.31203888995369483,15.74199480096196,0.09932277554673241,0.09932277554673241
13,header,important,0.1,0.05495833333333333,0.39860582752428136,0.33363055307872436,0.019011627577361856,0.13164213572338312,0.1765085964026959,0.019011627577361856,0.13164213572338312,0.1765085964026959,0.278672219745391,6.070609002190587,0.15749696882533404,0.15749696882533404
13,header,random,0.01,0.0027104166666666665,0.012772969887374534,0.016303197473354396,9.394541121379162e-05,0.0017542878520199368,0.002927819361407896,9.394541121379162e-05,0.0017542878520199368,0.002927819361407896,0.01359278080668773,6.0150152092314455,0.0028338739501941046,0.0028338739501941046
13,header,random,0.05,0.011328749999999999,0.062032341801424175,0.06840151332072233,0.0006932916209656303,0.008553550781485241,0.013114401598536763,0.0006932916209656303,0.008553550781485241,0.013114401598536763,0.057072763320722336,6.037869431377897,0.012421109977571133,0.012421109977571133
13,header,random,0.1,0.02080666666666666,0.0801763757348989,0.10487287605936617,0.0012738578398473644,0.011361774610366054,0.02005629467716153,0.0012738578398473644,0.011361774610366054,0.02005629467716153,0.08406620939269951,5.040349698463611,0.018782436837314165,0.018782436837314165
13,imports,important,0.01,0.029240581909901062,0.11786212084338149,0.11590736743860468,0.00741500607286627,0.04276105724779766,0.062433948146893514,0.00741500607286627,0.04276105724779766,0.062433948146893514,0.08666678552870362,3.963921367767228,0.055018942074027244,0.055018942074027244
13,imports,important,0.05,0.07835248293834367,0.2997024270448461,0.17634019716502364,0.04882089619171004,0.09254025690640244,0.08362796618620516,0.04882089619171004,0.09254025690640244,0.08362796618620516,0.09798771422667997,2.2506012643375635,0.03480706999449512,0.03480706999449512
13,imports,important,0.1,0.0870297930280185,0.37620854443682383,0.2014649877917684,0.05003272752757515,0.1064765897671266,0.09739714423435542,0.05003272752757515,0.1064765897671266,0.09739714423435542,0.11443519476374991,2.314896781690708,0.047364416706780266,0.047364416706780266
13,imports,random,0.01,0.0013919967857680955,0.005185678886701033,0.008069516087365936,-9.257283035101205e-05,0.0005998137926177649,0.0008619448181132139,-9.257283035101205e-05,0.0005998137926177649,0.0008619448181132139,0.00667751930159784,5.797079540606285,0.000954517648464226,0.000954517648464226
13,imports,random,0.05,0.004533685261965481,0.019425208522312443,0.02502520812326564,0.0006330763338810774,0.002630366449249716,0.004250861374806497,0.0006330763338810774,0.002630366449249716,0.004250861374806497,0.02049152286130016,5.519837985492734,0.00361778504092542,0.00361778504092542
13,imports,random,0.1,0.011496738335853754,0.04721122148720105,0.0494537545520454,0.0022934770738891664,0.006795750475468132,0.00934010353682948,0.0022934770738891664,0.006795750475468132,0.00934010353682948,0.037957016216191644,4.301546500177255,0.007046626462940315,0.007046626462940315
42,header,important,0.01,0.0,0.04920416666666667,0.06255833333333333,1.6133364922565896e-05,0.01522212860317429,0.01565970473053091,1.6133364922565896e-05,0.01522212860317429,0.01565970473053091,0.06255833333333333,nan,0.015643571365608344,0.015643571365608344
42,header,important,0.05,0.02455,0.21549166666666666,0.24499166666666666,0.003709749155516029,0.07667026152307765,0.08174875108547608,0.003709749155516029,0.07667026152307765,0.08174875108547608,0.22044166666666667,9.979293957909029,0.07803900192996005,0.07803900192996005
42,header,important,0.1,0.0943,0.1838125,0.294525,0.04776496883621806,0.14729597569863406,0.1722119884713591,0.04776496883621806,0.14729597569863406,0.1722119884713591,0.200225,3.123276776246023,0.12444701963514104,0.12444701963514104
42,header,random,0.01,0.0043625,0.028262916666666665,0.04228833333333333,0.0002604741710569125,0.002618205449952932,0.00497271374733253,0.0002604741710569125,0.002618205449952932,0.00497271374733253,0.03792583333333333,9.693600764087869,0.0047122395762756175,0.0047122395762756175
42,header,random,0.05,0.006088749999999999,0.04356145833333333,0.06278333333333334,0.00036126526802867097,0.004839609505877984,0.0075247363314490945,0.00036126526802867097,0.004839609505877984,0.0075247363314490945,0.05669458333333335,10.31136659139123,0.007163471063420424,0.007163471063420424
42,header,random,0.1,0.02045791666666667,0.10610875,0.12200125000000002,0.001007063968058597,0.012780890357842346,0.02001395397206751,0.001007063968058597,0.012780890357842346,0.02001395397206751,0.10154333333333335,5.9635226786696265,0.019006890004008913,0.019006890004008913
42,imports,important,0.01,0.023588459320299064,0.09431337902051147,0.10842630627327796,0.013929997798382887,0.03445310831920256,0.06400973579921254,0.013929997798382887,0.03445310831920256,0.06400973579921254,0.08483784695297888,4.59658279504383,0.050079738000829654,0.050079738000829654
42,imports,important,0.05,0.05717863322024035,0.22640822369206523,0.14957880966863027,0.042751388667722656,0.06862232903907795,0.06203586881647272,0.042751388667722656,0.06862232903907795,0.06203586881647272,0.09240017644838991,2.6159913457966617,0.01928448014875006,0.01928448014875006
42,imports,important,0.1,0.12918578249777884,0.3554347047446214,0.18422390161393803,0.0473613274147312,0.08192004452427626,0.07941078943522872,0.0473613274147312,0.08192004452427626,0.07941078943522872,0.05503811911615919,1.4260385164064435,0.03204946202049752,0.03204946202049752
42,imports,random,0.01,0.005060348007710413,0.014948422837221517,0.01616937600506595,3.297172671299364e-05,0.0012888683234620446,0.0015587613884175788,3.297172671299364e-05,0.0012888683234620446,0.0015587613884175788,0.011109027997355537,3.195309093451438,0.001525789661704585,0.001525789661704585
42,imports,random,0.05,0.011725386689666282,0.03666903459968003,0.039845605205929155,-0.00023514431579183537,0.0037793629796035954,0.004702325345769443,-0.00023514431579183537,0.0037793629796035954,0.004702325345769443,0.028120218516262875,3.398233786272102,0.004937469661561278,0.004937469661561278
42,imports,random,0.1,0.007143822057807313,0.041252775854246755,0.04257105243423849,-0.0004537321889761803,0.006341536138153203,0.007699544642657957,-0.0004537321889761803,0.006341536138153203,0.007699544642657957,0.035427230376431175,5.959142331619753,0.008153276831634138,0.008153276831634138
77,header,important,0.01,5e-05,0.048329166666666666,0.06924166666666667,0.0002083456979681264,0.015110624267659745,0.019840521970917013,0.0002083456979681264,0.015110624267659745,0.019840521970917013,0.06919166666666668,1384.8333333333335,0.019632176272948887,0.019632176272948887
77,header,important,0.05,0.022191666666666665,0.20690416666666667,0.21700833333333333,0.009127370001601798,0.0881806708928291,0.07614271801691053,0.009127370001601798,0.0881806708928291,0.07614271801691053,0.19481666666666667,9.778820878708224,0.06701534801530873,0.06701534801530873
77,header,important,0.1,0.059575,0.39050833333333335,0.3637416666666667,0.05602354817241406,0.1361872999175734,0.16777341213751196,0.05602354817241406,0.1361872999175734,0.16777341213751196,0.3041666666666667,6.105609176108547,0.1117498639650979,0.1117498639650979
77,header,random,0.01,0.0017491666666666667,0.013209166666666666,0.01709125,9.708066651614721e-06,0.0002611071844615731,0.0006220034241985195,9.708066651614721e-06,0.0002611071844615731,0.0006220034241985195,0.015342083333333333,9.771081467365411,0.0006122953575469047,0.0006122953575469047
77,header,random,0.05,0.011134999999999999,0.06218374999999998,0.08172541666666666,0.0002610142984477926,0.005125669389654458,0.008453810955774221,0.0002610142984477926,0.005125669389654458,0.008453810955774221,0.07059041666666666,7.33950755874869,0.008192796657326428,0.008192796657326428
77,header,random,0.1,0.017418749999999997,0.10448770833333335,0.11765666666666666,0.001020410910966002,0.012798688579405276,0.02002384785090965,0.001020410910966002,0.012798688579405276,0.02002384785090965,0.10023791666666666,6.754598732209066,0.019003436939943646,0.019003436939943646
77,imports,important,0.01,0.05563241216962503,0.1497006650657873,0.16266666666666665,0.0019423305916305145,0.0553660220250316,0.06566228248671502,0.0019423305916305145,0.0553660220250316,0.06566228248671502,0.10703425449704163,2.9239549450182154,0.0637199518950845,0.0637199518950845
77,imports,important,0.05,0.04623855053384356,0.3764427279869864,0.162775,0.06417915402859387,0.10836885621764691,0.08429676242602568,0.06417915402859387,0.10836885621764691,0.08429676242602568,0.11653644946615643,3.5203309385933164,0.02011760839743182,0.02011760839743182
77,imports,important,0.1,0.06706235426684369,0.4519957506611927,0.19675,0.07000911659766074,0.11307277332295962,0.09585835294240119,0.07000911659766074,0.11307277332295962,0.09585835294240119,0.12968764573315633,2.9338367576110462,0.025849236344740456,0.025849236344740456
77,imports,random,0.01,0.0013538540492898821,0.007805946861132935,0.011131666666666668,0.002376105572770004,0.0010622772095250533,0.001749985482906008,0.002376105572770004,0.0010622772095250533,0.001749985482906008,0.009777812617376785,8.222205837110288,-0.000626120089863996,-0.000626120089863996
77,imports,random,0.05,0.0025813595439179767,0.01952012349640909,0.0247,0.0071679706051511975,0.0034638432651844684,0.004135455257648191,0.0071679706051511975,0.0034638432651844684,0.004135455257648191,0.02211864045608202,9.568601188546731,-0.003032515347503007,-0.003032515347503007
77,imports,random,0.1,0.005787210067720594,0.03446418493476601,0.03560916666666666,0.0032639790394776934,0.0077554545175407994,0.007895864541568015,0.0032639790394776934,0.0077554545175407994,0.007895864541568015,0.029821956598946063,6.153080024740146,0.004631885502090321,0.004631885502090321
123,header,important,0.01,0.0,0.052878363509052714,0.070075,3.477395496931379e-05,0.018071131152596287,0.01816303019416443,3.477395496931379e-05,0.018071131152596287,0.01816303019416443,0.070075,nan,0.018128256239195117,0.018128256239195117
123,header,important,0.05,0.01462455859817443,0.21402670801240373,0.23208333333333334,0.004884907528801996,0.07654952362740597,0.07107523331566867,0.004884907528801996,0.07654952362740597,0.07107523331566867,0.2174587747351589,15.869424829157175,0.06619032578686668,0.06619032578686668
123,header,important,0.1,0.07936071690319142,0.4627096462272015,0.34875833333333334,0.03245900757745823,0.14128599129978825,0.1680085995412668,0.03245900757745823,0.14128599129978825,0.1680085995412668,0.26939761643014193,4.394596557875958,0.13554959196380856,0.13554959196380856
123,header,random,0.01,0.0018176594043573858,0.01870186055816745,0.0226825,0.0001046038630310886,0.0016281183284585,0.002133552048722642,0.0001046038630310886,0.0016281183284585,0.002133552048722642,0.020864840595642614,12.478960549828178,0.0020289481856915537,0.0020289481856915537
123,header,random,0.05,0.00830834832433873,0.06283801807208829,0.06487000000000001,0.0004929364782518042,0.006872069314273088,0.009772721259618066,0.0004929364782518042,0.006872069314273088,0.009772721259618066,0.05656165167566128,7.8078093825180455,0.009279784781366263,0.009279784781366263
123,header,random,0.1,0.022340345792524488,0.10547622620119368,0.10754958333333331,0.0005774299579518472,0.010927563811619601,0.016266522800415135,0.0005774299579518472,0.010927563811619601,0.016266522800415135,0.08520923754080882,4.814141389401478,0.01568909284246329,0.01568909284246329
